step,channel_150,channel_205,channel_299,channel_190,channel_837,channel_878,channel_314,channel_831,channel_91,channel_842,channel_398,channel_215,channel_426,channel_27,channel_541,channel_416,channel_377,channel_527,channel_47,channel_547,channel_38,channel_95,channel_590,channel_478,channel_81,channel_477,channel_463,channel_743,channel_674,channel_349,channel_424,channel_769,channel_804,channel_30,channel_620,channel_124,channel_322,channel_396,channel_864,channel_802,channel_691,channel_218,channel_211,channel_309,channel_317,channel_493,channel_402,channel_235,channel_22,channel_839
0,8.200720003515016e-06,2.5042227207450196e-05,2.2354388420353644e-05,1.7858164937933907e-05,1.2638762200367637e-05,1.3579498954641167e-05,2.6184025045949966e-05,7.302782250917517e-06,1.8146762158721685e-05,7.693247425777372e-06,9.906567356665619e-06,4.96109169034753e-05,2.7903630325454287e-05,3.5228091292083263e-05,7.486527465516701e-06,5.570363555307267e-06,6.913367087690858e-06,1.9440845790086314e-05,1.822237936721649e-05,3.7612404412357137e-05,1.5072602764121257e-05,1.255524421139853e-05,1.1694906788761728e-05,2.3033666366245598e-05,4.77956491522491e-05,1.6194700947380625e-05,5.4776741308160126e-05,4.501117655308917e-05,1.090328260033857e-05,1.62636333698174e-05,2.676246549526695e-05,3.1594059691997245e-05,2.543736445659306e-05,2.548226257204078e-05,6.198660230438691e-06,2.9517428629333153e-05,1.7679034499451518e-05,4.8917074309429154e-05,2.0735325961140916e-05,6.936244608368725e-05,1.0675880730559584e-05,1.6382000467274338e-05,3.71087844541762e-05,2.9960454412503168e-05,1.4209445907908957e-05,3.23196618410293e-05,3.622629810706712e-05,3.3732136216713116e-05,6.210165156517178e-05,7.5715556704381015e-06
100,3.442120214458555e-05,2.3730999600957148e-05,2.2436874132836238e-05,3.858591662719846e-05,2.6315286959288642e-05,2.0284478523535654e-05,2.9621422072523274e-05,3.572475543478504e-05,4.6629262214992195e-05,3.929716694983654e-05,3.8829195545986295e-05,3.709461816470139e-05,4.547191201709211e-05,4.189362152828835e-05,1.5744892152724788e-05,2.7550147933652624e-05,2.558161759225186e-05,4.234244624967687e-05,4.653127325582318e-05,2.208855039498303e-05,3.7783018342452124e-05,3.092762563028373e-05,3.3539236028445885e-05,3.332203414174728e-05,5.940904884482734e-05,2.3607773982803337e-05,2.6885098122875206e-05,6.347989256028086e-05,6.235670298337936e-05,4.3176776671316475e-05,4.350045492174104e-05,5.561623038374819e-05,3.944533455069177e-05,4.0325285226572305e-05,6.604530790355057e-05,2.6551244445727207e-05,4.4183077989146113e-05,6.352018681354821e-05,1.983781658054795e-05,3.437154373386875e-05,6.898777792230248e-05,5.936952220508829e-05,3.640638533397578e-05,5.45370603504125e-05,3.515089338179678e-05,5.412805694504641e-05,4.8835212510311976e-05,4.44620854977984e-05,6.548243982251734e-05,7.551043381681666e-05
200,3.4825163311325014e-05,2.9198194170021452e-05,2.2793263269704767e-05,1.4683102563139983e-05,2.048456371994689e-05,2.17948982026428e-05,2.430602216918487e-05,1.668269032961689e-05,4.284723036107607e-05,2.7950856747338548e-05,2.4437236788799055e-05,3.2423020456917584e-05,4.859989712713286e-05,4.626130612450652e-05,3.427599585847929e-05,4.1761180909816176e-05,3.336049121571705e-05,5.072310887044296e-05,5.927282472839579e-05,4.663094659917988e-05,5.6683664297452196e-05,6.0335973103065044e-05,6.066470450605266e-05,4.013041689177044e-05,3.6618672311306e-05,3.6948902561562136e-05,4.3813564843731e-05,3.7994093872839585e-05,3.5542041587177664e-05,6.387123721651733e-05,6.398293771781027e-05,2.2701207853970118e-05,6.519349699374288e-05,5.8832287322729826e-05,2.2653630367130972e-05,3.574362926883623e-05,3.0871800845488906e-05,3.592592474888079e-05,3.438317071413621e-05,4.134437403990887e-05,2.0375864551169798e-05,3.6398745578480884e-05,7.118391658877954e-05,6.92824978614226e-05,3.219595237169415e-05,7.356323476415128e-05,6.123198545537889e-05,3.666190241347067e-05,4.206630546832457e-05,3.8572561606997624e-05
300,3.169761475874111e-05,1.603812961548101e-05,3.831857975455932e-05,2.3209871869767085e-05,2.990559551108163e-05,1.4046450814930722e-05,4.3005689803976566e-05,4.416251613292843e-05,2.7824145945487544e-05,3.0568822694476694e-05,4.748043284052983e-05,4.7874320443952456e-05,5.186511407373473e-05,4.4449829147197306e-05,5.397884524427354e-05,3.620027200668119e-05,4.161876131547615e-05,5.87276736041531e-05,2.442553886794485e-05,5.996278196107596e-05,3.5879256756743416e-05,4.8280464397976175e-05,5.746239912696183e-05,2.435817805235274e-05,6.127280357759446e-05,6.258599751163274e-05,3.970717443735339e-05,3.548344102455303e-05,3.224585816496983e-05,6.097506047808565e-05,4.8891692131292075e-05,4.4052118028048426e-05,3.0354833143064752e-05,5.380012225941755e-05,3.7009984225733206e-05,3.503124389681034e-05,4.688332410296425e-05,4.759632429340854e-05,6.785041477996856e-05,3.323181954328902e-05,6.14028176642023e-05,7.081555668264627e-05,5.96693207626231e-05,3.712221950991079e-05,5.163259993423708e-05,5.832993701915257e-05,6.347257294692099e-05,6.911440868861973e-05,5.426849747891538e-05,6.303392729023471e-05
400,1.4155346434563398e-05,1.9301196516607888e-05,1.417984731233446e-05,1.314472592639504e-05,1.604367935215123e-05,3.116052903351374e-05,2.0341236449894495e-05,3.107819793513045e-05,3.736966027645394e-05,1.49858778968337e-05,1.688599877525121e-05,5.046831211075187e-05,4.1919232899090275e-05,1.9727844119188376e-05,1.9242612324887887e-05,1.905411045299843e-05,2.7720845537260175e-05,3.287718936917372e-05,2.689716529857833e-05,1.6716416212148033e-05,3.500815000734292e-05,2.109904926328454e-05,1.9199833332095295e-05,1.3186475371185225e-05,1.4519613614538684e-05,2.475185647199396e-05,2.351193325011991e-05,1.4212656424206216e-05,1.0627644769556355e-05,3.721337634488009e-05,4.6031920646782964e-05,1.9654748030006886e-05,2.9779486794723198e-05,3.49985966749955e-05,2.281045999552589e-05,2.0238692741259e-05,3.591059794416651e-05,1.762633110047318e-05,1.6425419744336978e-05,2.4557708456995897e-05,1.3623325685330201e-05,4.635838922695257e-05,3.0130078812362626e-05,1.834189060900826e-05,3.0796421924605966e-05,3.905275298166089e-05,3.0036451789783314e-05,4.295118560548872e-05,4.4549353333422914e-05,3.856115654343739e-05
500,3.077365909120999e-05,2.1967614884488285e-05,1.976149906113278e-05,1.3581619896285702e-05,1.6562878954573534e-05,3.238113640691154e-05,2.2836711650597863e-05,4.6284978452604264e-05,2.2425765564548783e-05,2.1265124814817682e-05,1.5030906070023775e-05,2.4969185687950812e-05,1.683029404375702e-05,2.8484615540946834e-05,1.9682654965436086e-05,2.7751117158913985e-05,1.2033289749524556e-05,5.509510447154753e-05,2.561066321504768e-05,1.2214327398396563e-05,2.762367330433335e-05,2.818613029376138e-05,3.346431185491383e-05,4.452904613572173e-05,3.1457071600016207e-05,1.2818868526665028e-05,3.388039840501733e-05,1.860415613919031e-05,1.62607611855492e-05,3.5017048503505066e-05,2.522511567804031e-05,4.55234112450853e-05,3.989190372521989e-05,3.308805025881156e-05,1.5171677659964189e-05,3.136280793114565e-05,3.5568598832469434e-05,3.673569153761491e-05,3.3353477192576975e-05,2.8454154744395055e-05,2.2158417777973227e-05,2.5884915885399096e-05,4.0255759813589975e-05,3.585018203011714e-05,2.4637205569888465e-05,4.725720646092668e-05,3.299563832115382e-05,6.351416232064366e-05,4.83655312564224e-05,3.427200863370672e-05
600,2.4736817067605443e-05,1.4300064322014805e-05,9.887450687529054e-06,1.1973770597251132e-05,1.6038753528846428e-05,1.530828740214929e-05,1.4978093531681225e-05,4.1990635509137064e-05,2.0896322894259356e-05,2.6891853849519975e-05,1.938300920301117e-05,1.7225414921995252e-05,2.5499779439996928e-05,3.64658008038532e-05,1.8520720914239064e-05,1.6361258531105705e-05,1.5236034414556343e-05,3.110593752353452e-05,2.1106883650645614e-05,2.0165516616543755e-05,2.0199697246425785e-05,2.0243425751687028e-05,2.403664620942436e-05,2.1233228835626505e-05,3.957013541366905e-05,2.1104271581862122e-05,3.15697216137778e-05,2.3689062800258398e-05,1.5727106074336916e-05,4.874938531429507e-05,3.446573100518435e-05,1.7681042663753033e-05,4.194707071292214e-05,2.408465115877334e-05,3.58662691724021e-05,1.3909736480854917e-05,1.842894016590435e-05,3.964660209021531e-05,2.0598299670382403e-05,1.733322824293282e-05,1.3872408999304753e-05,3.351954001118429e-05,5.4300526244333014e-05,2.651563409017399e-05,4.8082896682899445e-05,2.8941305572516285e-05,2.1100337107782252e-05,3.212070805602707e-05,5.260731268208474e-05,2.512836545065511e-05
700,1.3378029507293832e-05,8.340022759512067e-06,1.8948518118122593e-05,1.8086033378494903e-05,1.0078200830321293e-05,1.3175404092180543e-05,3.0295363103505224e-05,2.114990638801828e-05,2.8327784093562514e-05,1.840534787334036e-05,2.623814725666307e-05,3.6098117561778054e-05,1.848056126618758e-05,1.5023580999695696e-05,2.4683518859092146e-05,2.3135078663472086e-05,2.2326032194541767e-05,2.3044023691909388e-05,9.98567611532053e-06,2.9382317734416574e-05,1.7969658074434847e-05,3.618269693106413e-05,1.138533934863517e-05,2.375186886638403e-05,4.567153882817365e-05,3.9155569538706914e-05,2.5028868549270555e-05,1.9962548321927898e-05,1.3100753676553722e-05,2.6091634936165065e-05,2.2806219931226224e-05,1.6196292563108727e-05,2.159148789360188e-05,2.751410829660017e-05,1.803881059458945e-05,2.9009650461375713e-05,1.4676820683234837e-05,2.744361336226575e-05,2.685837353055831e-05,3.223880412406288e-05,1.395544040860841e-05,3.209364876965992e-05,3.028582978004124e-05,3.2356707379221916e-05,2.9237015041871928e-05,4.212446219753474e-05,3.2680767617421225e-05,3.602790820877999e-05,3.059188020415604e-05,4.1474311728961766e-05
800,1.9154635083395988e-05,8.01395799499005e-06,2.563973976066336e-05,1.2387052265694365e-05,1.3851516996510327e-05,2.8977005058550276e-05,2.8741957066813484e-05,2.8060054319212213e-05,1.0756272786238696e-05,3.210526847396977e-05,1.525399784441106e-05,1.893917033157777e-05,2.019346175075043e-05,2.7382271582609974e-05,1.2165746738901362e-05,2.0940571630490012e-05,2.6975440050591715e-05,2.3026554117677733e-05,1.964591683645267e-05,1.181517836812418e-05,2.2424634153139777e-05,2.7016914827981964e-05,1.703279667708557e-05,3.1236675567924976e-05,2.161180782422889e-05,2.488576137693599e-05,1.9386721760383807e-05,1.9293813238618895e-05,1.0145166015718132e-05,4.627946691471152e-05,3.969115641666576e-05,6.404789019143209e-05,1.5771398466313258e-05,4.269995042704977e-05,2.2448877643910237e-05,2.8619660952244885e-05,2.3685184714850038e-05,3.794815711444244e-05,9.420681635674555e-06,4.446342427399941e-05,1.5328685549320653e-05,4.1151117329718545e-05,5.7506520533934236e-05,4.253341830917634e-05,4.497930422076024e-05,5.519332262338139e-05,4.599198655341752e-05,2.6220503059448674e-05,3.090943573624827e-05,3.3850621548481286e-05
900,1.1372330845915712e-05,2.7798656446975656e-05,1.7598120393813588e-05,1.4320444279292133e-05,2.8661906981142238e-05,1.9873428755090572e-05,2.4156077415682375e-05,1.2791907465725671e-05,1.1663686564133968e-05,1.715901817078702e-05,1.2041824447805993e-05,2.212007348134648e-05,4.169946987531148e-05,1.9027436792384833e-05,1.2534352208604105e-05,1.2027220691379625e-05,2.074119220196735e-05,2.3477807189919986e-05,3.3034160878742114e-05,1.6540589058422484e-05,3.91193461837247e-05,2.531376958359033e-05,1.541394340165425e-05,1.5173050087469164e-05,2.337558544240892e-05,2.4247572582680732e-05,2.1313691831892356e-05,3.0052828151383437e-05,1.6638567103655078e-05,2.2065130906412378e-05,2.451263935654424e-05,2.6602972866385244e-05,3.603700679377653e-05,4.467013422981836e-05,1.9146580598317087e-05,1.8568327504908666e-05,9.8106283985544e-06,1.5188548786682077e-05,2.0218620193190873e-05,1.87006971827941e-05,3.193506563547999e-05,4.380108293844387e-05,3.117905362159945e-05,3.676242340588942e-05,1.5148073543969076e-05,2.7617243176791817e-05,2.0222216335241683e-05,6.46755361231044e-05,2.2244617866817862e-05,2.6112938940059394e-05
