step,mean,median,p90,p99,max
0,2.1180209949075595e-05,1.71239698829595e-05,3.411175021028612e-05,0.000119808031377033,0.00030366587452590466
100,0.0001203023313455073,9.702053284854628e-05,0.00019424538186285645,0.0004917678335914375,0.0026289992965757847
200,0.00011642758683600667,9.529634189675562e-05,0.00018660250498214737,0.0004863199603278159,0.001399958273395896
300,0.00012034019890653067,9.620479613658972e-05,0.00019438596063992009,0.0005793696938781052,0.0018318812362849712
400,6.10467762161956e-05,5.1344040912226774e-05,9.723627954372205e-05,0.00020293192210374365,0.000963741447776556
500,6.932734155538713e-05,5.521364801097661e-05,0.00010884851144510321,0.00025757231487659736,0.0015644413651898503
600,6.482925335810868e-05,4.9548272727406584e-05,9.727458382258192e-05,0.0003044093056814741,0.0022150410804897547
700,6.701044405791176e-05,5.365678953239694e-05,0.00010568304423941299,0.00033104725880548334,0.0009519555023871362
800,5.7101962410805686e-05,4.5222197513794526e-05,9.436773325433023e-05,0.00022871104520163496,0.0010619494132697582
900,6.197554667457845e-05,4.9044178012991324e-05,0.00010115537224919535,0.00030598385201301403,0.0009529810631647706
1000,6.171938209372943e-05,4.9973403292824514e-05,9.505138950771652e-05,0.0002687435247935349,0.0012864808086305857
1100,6.527717804008912e-05,5.0782922698999755e-05,0.00010784379628603347,0.00026476762868696794,0.0017871964955702424
1200,5.5536448459950604e-05,4.589300624502357e-05,8.987248293124139e-05,0.00025195503549184644,0.0006075184792280197
1300,6.432290847361141e-05,5.359586612030398e-05,0.00010763683530967683,0.00020353712607175048,0.0007801055908203125
1400,6.460598086529703e-05,5.197612881602254e-05,0.00010136122364201583,0.00027031538193113925,0.0011207502102479339
1500,6.310037689161163e-05,4.8829861043486744e-05,0.00010103706154040992,0.0003458836858044371,0.0016643881099298596
1600,6.915384483566609e-05,5.215108103584498e-05,0.0001024647535814438,0.00033857578528113567,0.0025448990054428577
1700,5.8008947487816643e-05,4.542451097222511e-05,9.229450733982958e-05,0.0002658204975887188,0.0015804632566869259
1800,6.66278110778811e-05,5.20554694958264e-05,0.00010437136370455846,0.0003087198492721641,0.0010445854859426618
1900,6.737238753475237e-05,4.951106348016765e-05,0.00010192973422817886,0.0003473218035651371,0.002538117580115795
2000,6.768755060753457e-05,5.694308129022829e-05,0.00010696416575228795,0.0002446600570692673,0.0007498189806938171
2100,6.472185874477938e-05,5.070936094853096e-05,0.0001072617269528564,0.0002727553976001212,0.0011245193891227245
2200,7.033379305657459e-05,5.395233347371686e-05,0.00010705036766012199,0.000358723345561884,0.0016611776081845164
2300,6.574514877399906e-05,5.110769961902406e-05,0.00010146787462872453,0.0003139635329716829,0.0016924308147281408
2400,6.455763077488947e-05,4.9234462494496256e-05,0.00010377641228842549,0.00032956895593087946,0.001192274154163897
2500,6.46372344691924e-05,5.0902033763122745e-05,0.00010241092968499288,0.00027081748994532906,0.0008686985238455236
2600,6.729069592787644e-05,5.318527473718859e-05,0.00010796517017297447,0.0002716693896218197,0.0016058683395385742
2700,6.57518732225526e-05,5.152089215698652e-05,0.00010533533350098878,0.00027481991855893176,0.0017174126114696264
2800,6.004362693598101e-05,4.86174612888135e-05,9.46790532907471e-05,0.00022668328674626482,0.0014239521697163582
