step,channel_221,channel_212,channel_240,channel_231,channel_206,channel_204,channel_402,channel_208,channel_29,channel_232,channel_236,channel_194,channel_20,channel_247,channel_254,channel_225,channel_235,channel_210,channel_245,channel_198,channel_48,channel_241,channel_252,channel_238,channel_234,channel_430,channel_217,channel_336,channel_203,channel_205,channel_14,channel_243,channel_368,channel_340,channel_404,channel_249,channel_213,channel_349,channel_39,channel_44,channel_396,channel_201,channel_244,channel_359,channel_360,channel_228,channel_251,channel_16,channel_55,channel_12
0,4.8655245336703956e-05,7.329000254685525e-06,7.83771429269109e-06,9.102520380110946e-06,9.43047689361265e-06,2.0026640413561836e-05,2.279126965731848e-05,1.48201825140859e-05,1.6550871805520728e-05,3.295693386462517e-05,7.705546522629447e-06,1.4317645764094777e-05,1.0361984095652588e-05,3.398488479433581e-05,1.3792159734293818e-05,1.1646462553471792e-05,4.345551133155823e-05,2.3036631318973377e-05,3.560045297490433e-05,4.1074301407206804e-05,9.448830496694427e-06,3.136712621198967e-05,1.9110393623122945e-05,2.7470512577565387e-05,9.098425834963564e-06,2.869686250051018e-05,1.9817489373963326e-05,7.235983048303751e-06,2.76667378784623e-05,5.184440306038596e-05,1.1510871445352677e-05,1.0129389011126477e-05,8.978465302789118e-06,8.197873285098467e-06,1.5421835996676236e-05,2.7738367862184532e-05,1.44417499541305e-05,1.5746067219879478e-05,8.983179213828407e-06,1.1272207302681636e-05,2.204740303568542e-05,3.455930345808156e-05,2.783113086479716e-05,7.901427125034388e-06,1.4709182323713321e-05,5.7467044825898483e-05,1.2613398212124594e-05,8.347941729880404e-06,1.70055718626827e-05,1.6964802853181027e-05
100,5.205856359680183e-05,4.9962174671236426e-05,5.644779957947321e-05,5.7097076933132485e-05,5.395522020990029e-05,5.7349945564055815e-05,5.713466089218855e-05,6.0122543800389394e-05,5.931071791565046e-05,6.0453079640865326e-05,5.245094507699832e-05,5.399753717938438e-05,6.109064270276576e-05,6.178866169648245e-05,6.207986734807491e-05,6.293734622886404e-05,6.233073509065434e-05,6.335903890430927e-05,5.887292718398385e-05,6.40989892417565e-05,6.501248572021723e-05,5.777062688139267e-05,6.080096136429347e-05,5.080498522147536e-05,6.582978676306084e-05,6.0791924624936655e-05,6.63434257148765e-05,6.302013207459822e-05,6.211892468854785e-05,6.739083619322628e-05,6.493409455288202e-05,6.435472459997982e-05,6.49868743494153e-05,6.364910223055631e-05,6.177994509926066e-05,6.72086825943552e-05,5.518261968973093e-05,6.007327829138376e-05,6.576793384738266e-05,6.328416930045933e-05,6.798169488320127e-05,6.433475209632888e-05,6.557815504493192e-05,6.760685937479138e-05,6.63137252558954e-05,6.331274198601022e-05,6.235289765754715e-05,6.454202957684174e-05,6.482967000920326e-05,6.903731991769746e-05
200,4.9810842028819025e-05,5.4025113058742136e-05,5.091520870337263e-05,5.515590601135045e-05,5.842695463798009e-05,5.953998334007338e-05,6.043373650754802e-05,6.049073999747634e-05,5.9776593843707815e-05,6.089970702305436e-05,5.744670852436684e-05,5.2513223636196926e-05,6.101266262703575e-05,5.6731689255684614e-05,5.327764665707946e-05,5.958928159088828e-05,6.352346099447459e-05,6.37443081359379e-05,5.950396734988317e-05,5.84523550060112e-05,6.418069096980616e-05,6.50452493573539e-05,6.246544216992334e-05,6.524645141325891e-05,5.976951797492802e-05,6.21592698735185e-05,6.603682413697243e-05,6.362392014125362e-05,6.679478974547237e-05,6.671822484349832e-05,6.74427647027187e-05,6.525771459564567e-05,5.9694983065128326e-05,6.791980558773503e-05,6.159659824334085e-05,5.8848312619375065e-05,6.467560160672292e-05,5.75550839130301e-05,6.888111238367856e-05,6.889718497404829e-05,6.879739521536976e-05,6.373522046487778e-05,6.923382170498371e-05,6.929718074388802e-05,6.930260133231059e-05,6.249288708204404e-05,6.94331101840362e-05,6.975195719860494e-05,6.975689029786736e-05,6.610753916902468e-05
300,5.330892599886283e-05,5.2824561862507835e-05,5.156834231456742e-05,5.561560465139337e-05,5.3980758821126074e-05,5.957029134151526e-05,5.9890688135055825e-05,5.6743134337011725e-05,6.061078966013156e-05,5.628007056657225e-05,6.121544720372185e-05,6.163916987134144e-05,6.174122972879559e-05,6.1161867051851e-05,5.8577767049428076e-05,5.845084160682745e-05,6.240636867005378e-05,5.977895489195362e-05,6.377422687364742e-05,5.854086339240894e-05,6.462876626756042e-05,5.6540338846389204e-05,6.518302689073607e-05,6.082884647184983e-05,6.233229214558378e-05,6.600192136829719e-05,6.34740135865286e-05,6.665113323833793e-05,5.88393013458699e-05,6.360281258821487e-05,6.324201240204275e-05,6.75008341204375e-05,6.760156975360587e-05,6.714749906677753e-05,6.801251583965495e-05,6.80649172863923e-05,6.84547412674874e-05,6.868022319395095e-05,6.571938138222322e-05,6.623442459385842e-05,6.891654629725963e-05,6.91615350660868e-05,6.418763950932771e-05,6.836238753749058e-05,6.688637949991971e-05,6.944483902771026e-05,6.971384573262185e-05,6.940949242562056e-05,6.79058866808191e-05,6.979588943067938e-05
400,3.015070797118824e-05,3.5913231840822846e-05,2.4200875486712903e-05,3.567411840776913e-05,3.601617936510593e-05,3.99136588384863e-05,2.900521212723106e-05,3.194672899553552e-05,3.500348611851223e-05,3.222851955797523e-05,3.0547729693353176e-05,2.719380245252978e-05,3.806429231190123e-05,3.033973916899413e-05,3.4495325962780043e-05,2.8179354558233172e-05,3.0388406230485998e-05,2.4802295229164883e-05,3.401807407499291e-05,3.1573294108966365e-05,2.8592807211680338e-05,2.8380962248775177e-05,3.0649818654637784e-05,2.6263685867888853e-05,3.3158059522975236e-05,3.4666609280975536e-05,2.3207672711578198e-05,3.1156643672147766e-05,3.9424474380211905e-05,3.626284160418436e-05,3.993439531768672e-05,3.100575122516602e-05,2.9714063202845864e-05,4.217011883156374e-05,3.57779827027116e-05,3.641553485067561e-05,3.8017358747310936e-05,3.287691288278438e-05,4.008619725937024e-05,3.1475348805543035e-05,4.5542092266259715e-05,2.997265437443275e-05,3.809448753600009e-05,3.666817065095529e-05,3.3948654163395986e-05,2.823603426804766e-05,3.7677917134715244e-05,3.21176958095748e-05,3.3658732718322426e-05,4.269423516234383e-05
500,2.583571222203318e-05,2.0914096239721403e-05,3.1372837838716805e-05,2.636203498695977e-05,2.2830674424767494e-05,2.8640752134379e-05,3.6286513932282105e-05,2.344609674764797e-05,3.147753159282729e-05,2.5557750632287934e-05,2.1265899704303592e-05,3.197828846168704e-05,2.701115226955153e-05,2.59389362327056e-05,2.506174314476084e-05,2.3684453481109813e-05,2.581287299108226e-05,3.0387152946786955e-05,3.31937953887973e-05,2.3058817532728426e-05,3.269505759817548e-05,2.8669652238022536e-05,3.545929939718917e-05,3.0467801479971968e-05,3.0052764486754313e-05,3.713128171511926e-05,2.692080488486681e-05,2.622673855512403e-05,2.5900906621245667e-05,3.520520476740785e-05,2.8933258363394998e-05,3.3654028811724856e-05,3.528535307850689e-05,3.6386412830324844e-05,2.9409864509943873e-05,3.080877650063485e-05,2.2990281649981625e-05,3.538788951118477e-05,3.2854419259820133e-05,2.851837416528724e-05,3.550071778590791e-05,2.829696131811943e-05,2.4920600480982102e-05,3.724363341461867e-05,3.232727249269374e-05,3.430017750361003e-05,2.8597254640772007e-05,3.0079396310611628e-05,3.037083661183715e-05,3.494192424113862e-05
600,2.621631938382052e-05,2.8615628252737224e-05,2.9763525162707083e-05,3.8435875467257574e-05,2.4066923288046382e-05,3.38399077008944e-05,3.0091056032688357e-05,3.0144941774779e-05,3.601595017244108e-05,2.5404740881640464e-05,1.9788247300311923e-05,3.82441830879543e-05,2.9900946174166165e-05,2.8965810997760855e-05,2.8302767532295547e-05,2.7597641746979207e-05,2.6886651539825834e-05,2.8816926715080626e-05,3.939375892514363e-05,2.682761441974435e-05,3.504198684822768e-05,2.580454201961402e-05,2.9570750484708697e-05,3.244977051508613e-05,3.0756869819015265e-05,3.3386375434929505e-05,2.4768525690888055e-05,3.0504415917675942e-05,3.6823363188887015e-05,3.5266504710307345e-05,3.430387732805684e-05,3.300707976450212e-05,3.5577817470766604e-05,3.528389788698405e-05,2.8789992938982323e-05,3.3187632652698085e-05,3.872299930662848e-05,3.4773987863445655e-05,3.547110463841818e-05,2.8551652576425113e-05,3.194820965291001e-05,3.674074832815677e-05,3.140437547699548e-05,4.0548282413510606e-05,2.7499670977704227e-05,2.985553874168545e-05,3.477977224974893e-05,3.235138501622714e-05,3.668754652608186e-05,3.918784932466224e-05
700,2.6365982193965465e-05,3.019493306055665e-05,3.448135612416081e-05,2.545492498029489e-05,3.357024252181873e-05,3.971815385739319e-05,3.4642544051166624e-05,3.5354882129468024e-05,3.0348903237609193e-05,3.5245102480985224e-05,2.9526339858421125e-05,3.476911297184415e-05,3.354364889673889e-05,3.7346013414207846e-05,3.393386577954516e-05,4.3423140596132725e-05,3.151933924527839e-05,3.63503277185373e-05,3.343723437865265e-05,3.008287603734061e-05,3.0221790439100005e-05,2.8543341613840312e-05,3.9886919694254175e-05,3.202234802301973e-05,3.355111402925104e-05,3.468122667982243e-05,3.159009065711871e-05,3.0389821404241957e-05,3.6857050872640684e-05,3.6646073567681015e-05,3.242660386604257e-05,3.14269054797478e-05,2.8520636988105252e-05,3.228368950658478e-05,3.265890700276941e-05,3.406529503990896e-05,2.5491279302514158e-05,2.875617974495981e-05,2.930490518338047e-05,3.3389263990102336e-05,4.099820944247767e-05,3.755495708901435e-05,3.5245077015133575e-05,2.6857140255742706e-05,3.614712113630958e-05,3.419015774852596e-05,4.407486630952917e-05,3.3013118809321895e-05,3.7190053262747824e-05,3.855988325085491e-05
800,2.3981594495126046e-05,2.651771683304105e-05,2.85192254523281e-05,2.669243076525163e-05,2.6467365387361497e-05,3.076906068599783e-05,2.801984919642564e-05,2.6658408387447707e-05,2.989544373122044e-05,2.3651798983337358e-05,2.5299748813267797e-05,2.8990414648433216e-05,2.9974262361065485e-05,2.71518492809264e-05,2.83674817183055e-05,2.7171634428668767e-05,2.6041745513794012e-05,2.688430504349526e-05,3.083192859776318e-05,2.581229455245193e-05,2.7656722522806376e-05,2.6055016860482283e-05,3.835025563603267e-05,3.02794996969169e-05,3.001222648890689e-05,3.2668020139681175e-05,2.4955168555607088e-05,3.646755430963822e-05,3.511690010782331e-05,3.588722029235214e-05,2.99574439850403e-05,3.009439751622267e-05,2.9565080694737844e-05,3.5517859942046925e-05,2.7261068680672906e-05,3.562913843779825e-05,2.3245607735589147e-05,2.7408066671341658e-05,2.842753383447416e-05,2.8701917472062632e-05,3.394135637790896e-05,2.5795859983190894e-05,2.6652442102204077e-05,2.9550621547969058e-05,2.3946104192873463e-05,2.5121211365330964e-05,2.913944626925513e-05,3.04791046801256e-05,3.053196633118205e-05,3.2394211302744225e-05
900,2.3944397980812937e-05,2.4316967028426006e-05,2.61741934082238e-05,2.988292726513464e-05,2.6866999178309925e-05,2.733398105192464e-05,2.84551533695776e-05,2.667923763510771e-05,3.2953175832517445e-05,3.156902675982565e-05,2.615147786855232e-05,3.661543087218888e-05,2.9347957024583593e-05,2.6577165044727735e-05,3.147094321320765e-05,2.9815506422892213e-05,3.432420999160968e-05,2.7212909117224626e-05,2.675980795174837e-05,3.070829188800417e-05,3.585748709156178e-05,3.458125138422474e-05,3.04605855490081e-05,2.5307637770310976e-05,2.9373612051131204e-05,3.483774344203994e-05,3.715594721143134e-05,3.336009103804827e-05,2.9348326279432513e-05,3.4397602576063946e-05,3.770637704292312e-05,3.310944885015488e-05,3.2500262022949755e-05,2.6533109121373855e-05,2.638634032336995e-05,3.0785678973188624e-05,3.1744755688123405e-05,2.866271825041622e-05,3.9445039874408394e-05,3.365655356901698e-05,3.54979420080781e-05,3.6442237615119666e-05,3.115956133115105e-05,4.291344157536514e-05,4.191891275695525e-05,3.349827602505684e-05,2.886276342906058e-05,3.689934601425193e-05,3.7730616895714775e-05,3.821833888650872e-05
