step,mean,median,p90,p99,max
0,1.5929867832704353e-05,1.2086562492186204e-05,2.9293070838321e-05,7.26944155758245e-05,0.00033342622919008136
100,2.6135915658999564e-05,2.041134848695947e-05,4.156687646172941e-05,9.28797966480484e-05,0.0002783947857096791
200,2.229297038119122e-05,1.6943938135227654e-05,3.67692337022163e-05,8.705078871571325e-05,0.0002734250738285482
300,2.3865971210211357e-05,1.8088605429511517e-05,3.930867023882456e-05,9.517890866845845e-05,0.0003738442901521921
400,1.1511012952983687e-05,8.821664323477307e-06,1.9745451027119998e-05,3.9609562190889815e-05,0.0001225932064699009
500,1.091004288993653e-05,8.428428827755852e-06,1.851861634349916e-05,3.918780876119834e-05,0.0001366007054457441
600,1.3260389605156725e-05,9.942506039806176e-06,2.2891988010087516e-05,6.744620986864867e-05,0.0001413544378010556
700,1.1433880564888049e-05,8.89872717380058e-06,1.884218454506481e-05,4.4883264854433494e-05,0.00011722769704647362
800,1.1022275830591915e-05,8.468121450277977e-06,1.9437142327660695e-05,4.614345652953486e-05,0.00010204205318586901
900,1.042710693001579e-05,7.978015219123336e-06,1.7833966012403835e-05,4.3022755198762726e-05,0.0001008982872008346
1000,1.0427615457331285e-05,8.048791642067954e-06,1.8079021174344234e-05,4.41123540440457e-05,9.67329615377821e-05
1100,1.0981681049214234e-05,8.48871422931552e-06,1.793667979654856e-05,4.260864407115146e-05,9.587446402292699e-05
1200,1.1135591532810249e-05,8.868593340594089e-06,1.7739926079229917e-05,4.2645549729058914e-05,0.00011135884415125474
1300,1.044512486382741e-05,7.984695002960507e-06,1.7794588529795874e-05,4.525166968960542e-05,0.00012137037992943078
1400,1.1443538295249514e-05,8.437942142336397e-06,1.969155709957704e-05,4.854110848100385e-05,0.00015474471729248762
1500,1.1476431458236544e-05,8.76004014571663e-06,1.8997859115188476e-05,4.7249804447346824e-05,0.0001147331713582389
1600,1.1505375611469454e-05,8.783819339441834e-06,1.9131057342747226e-05,4.745699698105439e-05,9.799618419492617e-05
1700,1.078691866953006e-05,8.374706339964177e-06,1.7524845134175848e-05,4.609844709193563e-05,9.764852438820526e-05
1800,1.2123549503988735e-05,9.616886018193327e-06,2.0506774490058888e-05,4.364284995972406e-05,0.0001257885160157457
1900,1.0829950578994385e-05,8.307263669848908e-06,1.825812432798557e-05,4.027585728181288e-05,9.432741353521124e-05
2000,1.2807123782059599e-05,9.931657132256078e-06,2.1453809495142195e-05,5.137364278198218e-05,0.00010600482346490026
2100,1.3457557690190112e-05,1.0883433333219728e-05,2.2446956791100092e-05,6.0280547404545336e-05,0.00010118770296685398
2200,1.0735408481415171e-05,8.242373951361515e-06,1.8078687389788684e-05,4.073547479492839e-05,9.35810458031483e-05
2300,1.3152856459847889e-05,1.0043273505289108e-05,2.1581437067652587e-05,5.040893447585379e-05,0.00016916473396122456
2400,1.298918140589324e-05,1.0175476745644119e-05,2.195390516135376e-05,5.412881509982981e-05,0.000150592255522497
2500,1.232962387171759e-05,9.655668691266328e-06,2.09169675144949e-05,4.9512704026710624e-05,0.00011025728599634022
2600,1.1596978525168261e-05,9.036559276864864e-06,1.9541634173947386e-05,4.67802608909551e-05,0.00011353270383551717
2700,1.2589424629640331e-05,9.401388524565846e-06,2.145114922313951e-05,5.33953883859792e-05,0.00011545547749847174
2800,1.0473130106143052e-05,7.928245395305566e-06,1.7134145309682935e-05,4.6449511501123184e-05,0.00011070190521422774
2900,1.2435157621329804e-05,9.435661013412755e-06,2.1134724192961585e-05,5.557072727242474e-05,0.00012649092241190374
3000,1.207880352639888e-05,9.386269084643573e-06,1.9803385839622933e-05,4.710609300673233e-05,0.00012425059685483575
3100,1.0830877122661572e-05,8.30497174320044e-06,1.801546477508964e-05,4.888969324383651e-05,0.00011099802213720977
3200,1.2505598228581708e-05,9.67324967859895e-06,2.080641388602089e-05,4.8804202924657135e-05,0.000121539575047791
3300,1.1691175666937528e-05,9.043448699230794e-06,1.889825398393441e-05,4.560580873658175e-05,0.00010728592314990237
