step,channel_43,channel_190,channel_650,channel_480,channel_2,channel_91,channel_255,channel_314,channel_752,channel_201,channel_338,channel_463,channel_206,channel_576,channel_377,channel_519,channel_527,channel_552,channel_791,channel_194,channel_95,channel_398,channel_894,channel_22,channel_211,channel_102,channel_743,channel_322,channel_12,channel_434,channel_309,channel_605,channel_266,channel_803,channel_878,channel_224,channel_440,channel_666,channel_424,channel_299,channel_524,channel_733,channel_477,channel_619,channel_40,channel_826,channel_47,channel_319,channel_196,channel_617
0,3.923822077922523e-06,2.5081917556235567e-06,2.4031739940255648e-06,2.5050721887964755e-06,2.9253519642225e-06,1.9964988950960105e-06,1.728064717099187e-06,1.7007115502565284e-06,1.9238523236708716e-06,2.1321145595720736e-06,2.9930149594292743e-06,3.2167695280804764e-06,1.916384007927263e-06,2.9149944111850346e-06,1.2426354487615754e-06,2.1698244836443337e-06,2.567020146670984e-06,1.6955948467511917e-06,1.9560777673177654e-06,2.4092605599435046e-06,2.369073627050966e-06,2.4533674150006846e-06,1.9433018678682856e-06,2.5296608328062575e-06,2.092822796839755e-06,3.4194472391391173e-06,3.4393303849356016e-06,2.941372031273204e-06,3.5041234696109314e-06,3.607402504712809e-06,2.713789172048564e-06,2.1271866899041925e-06,1.8893458673119312e-06,3.2218629257840803e-06,3.4869347018684493e-06,2.0361792394396616e-06,3.6754549910256173e-06,6.118979399616364e-06,2.8883753202535445e-06,3.007303121194127e-06,3.1717931960884016e-06,4.617351805791259e-06,2.7238895654591033e-06,3.189601329722791e-06,2.7729381599783665e-06,2.8719509828079026e-06,3.051791736652376e-06,3.019108589796815e-06,4.311065367801348e-06,3.1363142625195906e-06
100,6.586153631360503e-06,7.033087058516685e-06,8.517660717188846e-06,8.544241609342862e-06,8.558503395761363e-06,8.206935490306932e-06,7.051338798191864e-06,7.953643944347277e-06,8.191384040401317e-06,9.055144801095594e-06,6.97339828548138e-06,9.02596912055742e-06,9.347700142825488e-06,7.923425982880872e-06,6.419708824978443e-06,9.72935049503576e-06,7.31996897229692e-06,9.839423910307232e-06,8.742804311623331e-06,8.68976076162653e-06,1.026705649564974e-05,9.173420039587654e-06,7.274555173353292e-06,1.056994642567588e-05,7.292234386113705e-06,9.196344763040543e-06,1.0654590369085781e-05,1.0908712283708155e-05,1.082277867681114e-05,9.77657600742532e-06,8.446992069366388e-06,8.427762622886803e-06,9.16060889721848e-06,1.0183041922573466e-05,1.1552480827958789e-05,8.749091648496687e-06,1.1744046787498519e-05,1.2054249054926913e-05,1.0397062396805268e-05,8.812474334263243e-06,1.0786256098072045e-05,1.1341469871695153e-05,1.2390252777549904e-05,1.2487679668993223e-05,1.2834754670620896e-05,1.3208702512201853e-05,1.3216747902333736e-05,1.2478397366066929e-05,1.1825460205727722e-05,1.343829444522271e-05
200,6.066758942324668e-06,8.365431312995497e-06,8.310774319397751e-06,7.297072897927137e-06,6.853641025372781e-06,8.651662028569262e-06,8.367857844859827e-06,8.861448804964311e-06,7.127734988898737e-06,7.826532055332791e-06,6.527579898829572e-06,9.316934665548615e-06,7.388301128230523e-06,9.67562482401263e-06,9.723872608446982e-06,7.42890779292793e-06,8.623957000963856e-06,7.247183475556085e-06,8.81037976796506e-06,1.0109272807312664e-05,1.0430378097225912e-05,9.234244316758122e-06,8.226590580306947e-06,7.759748768876307e-06,1.0601717804092914e-05,8.170474757207558e-06,9.283416147809476e-06,1.0343464964535087e-05,9.962347576220054e-06,9.557034900353756e-06,1.1088282917626202e-05,9.700259397504851e-06,9.239912287739571e-06,1.1378795534255914e-05,8.08761251391843e-06,1.1653527508315165e-05,9.815626981435344e-06,1.1260859537287615e-05,1.1358069059497211e-05,1.217779117723694e-05,9.285206942877267e-06,1.0568425750534516e-05,1.140586391557008e-05,1.0582557479210664e-05,1.1689468919939827e-05,1.1280239050392993e-05,1.2966996109753381e-05,1.3303140804055147e-05,1.3414395652944222e-05,9.088073056773283e-06
300,6.502846190414857e-06,6.577438398380764e-06,8.287533091788646e-06,6.801600193284685e-06,7.5206480687484145e-06,7.94849529484054e-06,8.817872185318265e-06,8.178082680387888e-06,9.022705853567459e-06,8.768300176598132e-06,9.097358997678384e-06,6.8499375629471615e-06,7.471016942872666e-06,7.889899279689416e-06,9.15515011001844e-06,8.37976585899014e-06,9.748128832143266e-06,8.103377695078962e-06,9.96373546513496e-06,9.43062059377553e-06,1.0353445759392343e-05,1.0507486877031624e-05,1.050956234394107e-05,9.239089195034467e-06,8.84027667780174e-06,1.062444152921671e-05,7.911551620054524e-06,9.265439075534232e-06,1.0920220120169688e-05,1.1079912837885786e-05,1.0718827979872003e-05,1.1257415280852001e-05,1.1353895388310775e-05,8.348197297891602e-06,1.0011888662120327e-05,8.695928954693954e-06,1.0671752534108236e-05,1.1057421943405643e-05,1.2066429917467758e-05,9.948776096280199e-06,1.2180714293208439e-05,1.2264713404874783e-05,8.92377647687681e-06,1.2010180398647208e-05,1.1421328053984325e-05,1.2686235095316079e-05,1.0686378118407447e-05,1.2286404853512067e-05,7.74246291257441e-06,1.0301450856786687e-05
400,3.813705234279041e-06,5.2991263146395795e-06,5.53800055058673e-06,4.1877665353240445e-06,4.084420197614236e-06,3.907034624717198e-06,4.329176590545103e-06,5.183499979466433e-06,3.766930603887886e-06,3.8766697798564564e-06,4.18629178966512e-06,4.675552190747112e-06,3.867753093800275e-06,6.493979526567273e-06,4.939985956298187e-06,4.4302005335339345e-06,5.393917490437161e-06,4.9135583140014205e-06,4.901018655800726e-06,4.961531431035837e-06,6.216339443199104e-06,4.301162334741093e-06,4.37639573647175e-06,4.716175681096502e-06,5.02858574691345e-06,5.037752089265268e-06,5.2334148676891346e-06,6.138726348581258e-06,4.070948762091575e-06,6.768870662199333e-06,7.478035968233598e-06,5.253548351902282e-06,7.170478056650609e-06,5.221590072324034e-06,5.169529231352499e-06,8.348220944753848e-06,5.750503078161273e-06,6.737459443684202e-06,6.79957156535238e-06,4.685242856794503e-06,6.25094889983302e-06,5.982241873425664e-06,7.9027158790268e-06,6.824722277087858e-06,6.702356586174574e-06,7.230227311083581e-06,5.587142368312925e-06,7.117379027477e-06,5.454048732644878e-06,5.206269179325318e-06
500,4.593316589307506e-06,4.216205979901133e-06,4.049446033604909e-06,5.2485675041680224e-06,4.44194074589177e-06,5.971597147436114e-06,4.7443054427276365e-06,4.667662324209232e-06,4.4944899855181575e-06,3.891436790581793e-06,4.197320322418818e-06,3.79755829271744e-06,4.459771389520029e-06,7.583249498566147e-06,4.303392870497191e-06,5.6274743656103965e-06,5.7058782658714335e-06,6.021793524269015e-06,4.430722128745401e-06,5.1924648687418085e-06,6.615031907131197e-06,5.305205831973581e-06,4.72936881124042e-06,4.580359473038698e-06,4.847413492825581e-06,6.960433438507607e-06,3.9604769881407265e-06,6.085439963499084e-06,5.692207196261734e-06,6.430297617043834e-06,5.711130143026821e-06,6.553222192451358e-06,6.10479810347897e-06,7.531124992965488e-06,5.243181021796772e-06,4.51127107226057e-06,5.401584985520458e-06,6.548018518515164e-06,6.101123744883807e-06,5.691620117431739e-06,5.367978701542597e-06,6.8979970819782466e-06,4.959100351697998e-06,5.397138011176139e-06,8.083762622845825e-06,8.281299415102694e-06,6.131534064479638e-06,7.0555943239014596e-06,4.404088031151332e-06,7.076470865285955e-06
600,3.6976794035581406e-06,5.955358574283309e-06,5.072443855169695e-06,3.898653631040361e-06,4.357573743618559e-06,5.2431159929255955e-06,4.0542931856180076e-06,3.5257819490652764e-06,3.6291212381911464e-06,4.460066975298105e-06,4.221018116368214e-06,3.7322133721318096e-06,3.164764393659425e-06,3.918750735465437e-06,5.277351647237083e-06,3.844571438094135e-06,3.8045070596126607e-06,4.8878728193813e-06,4.61299214293831e-06,5.085981683805585e-06,4.481079486140516e-06,3.662996277853381e-06,5.587723990174709e-06,4.092217750439886e-06,4.155393980909139e-06,3.408226348255994e-06,4.501800958678359e-06,4.2163728721789084e-06,5.016789600631455e-06,4.741864358948078e-06,7.0185451477300376e-06,5.604860689345514e-06,5.603429144684924e-06,6.40349708191934e-06,4.640336101147113e-06,4.675845048041083e-06,6.156831204862101e-06,5.365377546695527e-06,6.155074061098276e-06,6.8395179368963e-06,5.561523721553385e-06,4.859517957811477e-06,5.40305336471647e-06,7.785389243508689e-06,5.50209642824484e-06,5.2914119805791415e-06,5.510786650120281e-06,7.169253876782022e-06,5.561703346756985e-06,5.920104285905836e-06
700,3.7320942283258773e-06,3.732267032319214e-06,3.1115728233999107e-06,4.123058261029655e-06,4.753483608510578e-06,4.817817170987837e-06,3.5539189866540255e-06,3.45144121638441e-06,4.064920631208224e-06,4.08934693041374e-06,6.374904842232354e-06,3.970955731347203e-06,3.4631921153049916e-06,5.660641818394652e-06,4.309089945309097e-06,4.165886366536142e-06,3.7783495372423204e-06,3.875480615533888e-06,4.723022357211448e-06,3.826235570159042e-06,5.998540018481435e-06,3.921556071873056e-06,2.9993084353918675e-06,4.759679541166406e-06,3.837239546555793e-06,3.88860371458577e-06,4.218069534545066e-06,4.176940819888841e-06,5.021428023610497e-06,6.638758350163698e-06,5.546195097849704e-06,4.090211859875126e-06,4.7318612814706285e-06,5.956255336059257e-06,5.070930910733296e-06,4.9149484766530804e-06,5.626643087452976e-06,5.362063802749617e-06,6.041323104000185e-06,5.890927695872961e-06,4.289079242880689e-06,6.129995654191589e-06,5.85139105169219e-06,6.153500180516858e-06,6.067110462026903e-06,6.3996835706348065e-06,6.88615409671911e-06,5.499812232301338e-06,4.36140635429183e-06,5.039684765506536e-06
800,4.097922101209406e-06,3.886334980052197e-06,3.43526926371851e-06,3.581117880457896e-06,3.4840004445868544e-06,3.4093434351234464e-06,3.7907095702394145e-06,3.361477638463839e-06,3.6946153159078676e-06,4.241465376253473e-06,4.398281362227863e-06,4.785410055774264e-06,4.604629339155508e-06,3.980140263593057e-06,4.348469701653812e-06,4.349154551164247e-06,4.94557389174588e-06,4.4605931179830804e-06,3.859740445477655e-06,4.789223567058798e-06,5.251650236459682e-06,3.5911036775360117e-06,3.6048620586370816e-06,5.040275027567986e-06,4.867684310738696e-06,3.863085112243425e-06,3.6993901630921755e-06,3.1167287488642614e-06,5.869148480996955e-06,4.9934806156670675e-06,5.137229891261086e-06,3.398403805476846e-06,5.040876658313209e-06,4.563640231936006e-06,6.148964075691765e-06,5.042720204073703e-06,4.5957044676470105e-06,5.719615728594363e-06,4.517758952715667e-06,4.827863904210972e-06,5.78509752813261e-06,4.863923550146865e-06,4.172507487965049e-06,5.483016138896346e-06,6.784723609598586e-06,5.80341111344751e-06,6.214404493221082e-06,7.320803888433147e-06,3.9670294427196495e-06,4.609711595549015e-06
900,3.6167079997539986e-06,3.5895204746339004e-06,3.693097141876933e-06,5.289474302117014e-06,4.947381057718303e-06,4.805073785973946e-06,4.062013431394007e-06,4.149632786720758e-06,3.929821104975417e-06,4.925324901705608e-06,3.678426992337336e-06,5.300433713273378e-06,4.4156454350741114e-06,4.940012331644539e-06,5.344434157450451e-06,4.174524292466231e-06,3.501615765344468e-06,4.297534815123072e-06,4.068017460667761e-06,4.136546976951649e-06,6.441789537348086e-06,4.765794528793776e-06,3.991498942923499e-06,5.076924480817979e-06,3.799206524490728e-06,4.587765033647884e-06,5.123084974911762e-06,4.634277502191253e-06,4.7158200686681084e-06,5.139948825672036e-06,4.96293341711862e-06,5.064200649940176e-06,5.763493390986696e-06,5.381294158723904e-06,4.160489879723173e-06,3.814306865024264e-06,6.948831924091792e-06,5.757386134064291e-06,5.168982625036733e-06,4.916038051305804e-06,4.5923561629024334e-06,5.1281831474625506e-06,6.491183739854023e-06,6.918209237483097e-06,7.40381756259012e-06,9.610785127733834e-06,5.174106718186522e-06,7.751741577521898e-06,4.8095803322212305e-06,5.640742983814562e-06
