step,channel_570,channel_208,channel_757,channel_646,channel_591,channel_483,channel_56,channel_386,channel_173,channel_709,channel_262,channel_559,channel_578,channel_337,channel_70,channel_53,channel_351,channel_494,channel_459,channel_58,channel_821,channel_285,channel_31,channel_263,channel_712,channel_100,channel_830,channel_800,channel_276,channel_450,channel_67,channel_704,channel_773,channel_140,channel_310,channel_777,channel_648,channel_35,channel_144,channel_502,channel_108,channel_106,channel_671,channel_728,channel_363,channel_76,channel_170,channel_835,channel_42,channel_858
0,0.00012220758071634918,6.691341695841402e-05,2.513550134608522e-05,2.1163532437640242e-05,2.3920136300148442e-05,3.111154728685506e-05,3.066333374590613e-05,4.3246189306955785e-05,2.964420673379209e-05,1.3513110388885252e-05,3.2415751775261015e-05,1.8243597878608853e-05,1.0097978702106047e-05,1.6375626728404313e-05,1.6155130651895888e-05,2.7733840397559106e-05,1.063712716131704e-05,1.4925292816769797e-05,1.5664198144804686e-05,1.876358328445349e-05,1.1304045983706601e-05,1.9851757315336727e-05,1.3351432244235184e-05,1.1928146705031395e-05,8.646918104204815e-06,8.495945621689316e-06,7.346980510192225e-06,2.310365925950464e-05,8.271738806797657e-06,1.0069834388559684e-05,9.055755072040483e-06,7.126491254894063e-06,1.031198371492792e-05,5.968998266325798e-06,8.200572665373329e-06,1.2789750144293066e-05,9.368685823574197e-06,1.1270272807450965e-05,1.1762777830881532e-05,1.7638818462728523e-05,1.146652448369423e-05,9.441339898330625e-06,6.516110715892864e-06,7.864172403060365e-06,9.88467400020454e-06,1.0310929610568564e-05,6.272106929827714e-06,6.739607670169789e-06,1.1717106644937303e-05,8.315470950037707e-06
100,0.0004572954785544425,0.000306323025142774,0.00015715722111053765,0.00011928266758332029,0.0001682857982814312,0.00011933221685467288,0.0001613703789189458,0.00015883255400694907,0.00012496010458562523,0.00013166536518838257,0.00012976271682418883,0.00010147549619432539,8.523424912709743e-05,0.00012146849621785805,0.00011387875565560535,0.00010743700840976089,6.595659215236083e-05,9.725004201754928e-05,9.39655292313546e-05,9.205211244989187e-05,9.154270810540766e-05,8.588861965108663e-05,8.559698471799493e-05,8.446416904916987e-05,6.189091800479218e-05,5.068525570095517e-05,7.084971730364487e-05,6.215928442543373e-05,7.807419024175033e-05,5.5211869039339945e-05,7.645398000022396e-05,5.8960504247806966e-05,7.36869260435924e-05,5.57364292035345e-05,7.287562038982287e-05,6.884331378387287e-05,7.265713793458417e-05,5.168495772522874e-05,6.031013253959827e-05,6.691333692288026e-05,5.7863151596393436e-05,4.5350116124609485e-05,4.708124470198527e-05,6.610876152990386e-05,5.140265420777723e-05,5.7012290199054405e-05,4.867709503741935e-05,5.484173743752763e-05,6.193938315846026e-05,5.661862451233901e-05
200,0.0004642581334337592,0.0002518808760214597,0.00014758492761757225,0.00012251119187567383,0.00010975919576594606,0.00011750101839425042,0.00013151609164196998,0.00014756523887626827,0.00013644032878801227,0.00010485874372534454,0.0001164371133199893,0.00011402102973079309,8.395553595619276e-05,9.720243542687967e-05,5.8759062085300684e-05,0.00010813296103151515,9.938554285326973e-05,8.035593054955825e-05,8.28966949484311e-05,8.955386147135869e-05,7.674167864024639e-05,7.135763007681817e-05,7.820320752216503e-05,8.544690354028717e-05,7.43466371204704e-05,4.816049840883352e-05,5.989492274238728e-05,7.823762280168012e-05,6.587055395357311e-05,7.35874637030065e-05,5.668230005539954e-05,5.687214434146881e-05,4.897563485428691e-05,7.294553506653756e-05,4.899337000097148e-05,5.866853825864382e-05,5.9580139350146055e-05,6.457645213231444e-05,7.160010136431083e-05,5.8634519518818706e-05,6.341266998788342e-05,6.678442150587216e-05,4.766516576637514e-05,4.5096294343238696e-05,6.388351175701246e-05,4.94631749461405e-05,4.8576988774584606e-05,4.84117008454632e-05,4.763203833135776e-05,5.2148450777167454e-05
300,0.0005029948661103845,0.0002838587970472872,0.0001992837933357805,0.00018405380251351744,0.00013873221178073436,0.00016368256183341146,0.00016105971008073539,0.00014831019507255405,0.00014221449964679778,9.738708467921242e-05,0.00012699679064098746,0.00012897368287667632,0.00012154211435699835,8.547498873667791e-05,7.895715680206195e-05,9.628916450310498e-05,8.236910798586905e-05,8.71144948177971e-05,7.551410817541182e-05,6.643187225563452e-05,9.026608313433826e-05,8.942898421082646e-05,8.19632550701499e-05,8.295872976304963e-05,8.418057404924184e-05,8.32087462185882e-05,8.20282511995174e-05,7.473356527043507e-05,6.833577936049551e-05,7.768196519464254e-05,7.270572677953169e-05,7.625472062500194e-05,6.979065801715478e-05,4.046881076646969e-05,5.1324343075975776e-05,7.286098843906075e-05,6.253394531086087e-05,7.212644413812086e-05,4.943890598951839e-05,7.087556878104806e-05,7.022284262347966e-05,5.093352956464514e-05,6.647517147939652e-05,5.485684596351348e-05,6.194064917508513e-05,6.37202974758111e-05,6.246424891287461e-05,6.235206092242151e-05,4.916631951346062e-05,6.164540536701679e-05
400,0.00022469263058155775,0.00015012145740911365,8.242456533480436e-05,8.698540477780625e-05,5.382875679060817e-05,6.706875137751922e-05,6.474961992353201e-05,7.310279761441052e-05,8.082303975243121e-05,5.720936678699218e-05,5.579804928856902e-05,5.291291745379567e-05,5.405508272815496e-05,6.0939531977055594e-05,4.014221849502064e-05,8.145580068230629e-05,4.1295985283795744e-05,5.08284465468023e-05,5.0530808948678896e-05,4.660468766815029e-05,4.031231583212502e-05,4.813776831724681e-05,3.4180535294581205e-05,5.3551186283584684e-05,2.495713488315232e-05,3.174266021233052e-05,2.9723090847255662e-05,3.441344961174764e-05,3.5602635762188584e-05,3.519540041452274e-05,3.272634785389528e-05,3.6599052691599354e-05,4.115492993150838e-05,2.3702510588918813e-05,2.4131355530698784e-05,3.862951780320145e-05,2.8299191399128176e-05,2.107395266648382e-05,2.1235568055999465e-05,3.4968688851222396e-05,3.815563104581088e-05,1.9914450604119338e-05,3.4453332773409784e-05,3.0686966056237e-05,2.8381105948938057e-05,3.408451084396802e-05,3.030829429917503e-05,2.50502325798152e-05,3.549503890099004e-05,2.243437666038517e-05
500,0.00027317163767293096,0.0001805054780561477,8.83856337168254e-05,6.279181252466515e-05,8.202007302315906e-05,6.451860099332407e-05,6.218280032044277e-05,6.920043961144984e-05,0.00010727233893703669,5.521298953681253e-05,6.671834853477776e-05,5.4311894928105175e-05,5.803717431263067e-05,4.904933666693978e-05,4.6284076233860105e-05,5.1518247346393764e-05,4.068277121405117e-05,6.730923632858321e-05,5.778025297331624e-05,4.372476178104989e-05,4.875286322203465e-05,5.3304196626413614e-05,5.4920157708693296e-05,4.385344436741434e-05,2.7638992833090015e-05,3.293740883236751e-05,2.727813262026757e-05,4.69737897219602e-05,4.1588918975321576e-05,3.106182339251973e-05,2.8866879802080803e-05,3.444478352321312e-05,4.1308368963655084e-05,2.3752754714223556e-05,2.2649090169579722e-05,3.6826178984483704e-05,3.781546183745377e-05,3.001034383487422e-05,3.721390385180712e-05,3.1049854442244396e-05,3.1631861929781735e-05,2.9771872505079955e-05,4.5532033254858106e-05,2.567149931564927e-05,3.058953370782547e-05,3.9775990444468334e-05,3.633930828073062e-05,3.408633710932918e-05,2.6940306270262226e-05,2.6730553145171143e-05
600,0.0002362195373279974,0.00015496573178097606,8.42710433062166e-05,7.113826723070815e-05,6.317468796623871e-05,7.08248553564772e-05,7.292966620298102e-05,7.148078293539584e-05,9.438175766263157e-05,5.643224358209409e-05,6.28739726380445e-05,7.243326399475336e-05,3.819471021415666e-05,5.7633511460153386e-05,4.8244273784803227e-05,6.412800576072186e-05,4.134273694944568e-05,4.4053609599359334e-05,3.990717596025206e-05,4.325266490923241e-05,4.033934237668291e-05,4.6042288886383176e-05,4.1216826502932236e-05,4.859929686062969e-05,3.408554402994923e-05,2.291348937433213e-05,3.1038209272082895e-05,4.2409286834299564e-05,4.285210161469877e-05,3.1434345146408305e-05,3.0617280572187155e-05,3.2849489798536524e-05,3.0819639505352825e-05,2.636075805639848e-05,2.394281364104245e-05,3.9007612940622494e-05,3.800172635237686e-05,3.259260120103136e-05,2.273163954669144e-05,3.656360786408186e-05,3.1933941500028595e-05,2.3390666683553718e-05,2.018387385760434e-05,3.2181596907321364e-05,2.89782492473023e-05,3.101439506281167e-05,3.3428641472710297e-05,2.758369009825401e-05,3.0631817935500294e-05,2.3903978217276745e-05
700,0.0001568060542922467,0.00015442246512975544,7.492461008951068e-05,5.3352865506894886e-05,6.273580947890878e-05,7.481573993572965e-05,7.113443280104548e-05,7.22988261259161e-05,5.863416299689561e-05,6.82180470903404e-05,4.231501225149259e-05,4.455961970961653e-05,3.508235386107117e-05,4.77173161925748e-05,4.718953277915716e-05,0.00011021063255611807,3.36606681230478e-05,4.2801206291187555e-05,3.852174631902017e-05,3.673426544992253e-05,3.427520641707815e-05,3.7557143514277413e-05,3.408599513932131e-05,3.966437725466676e-05,3.250770896556787e-05,2.3791981220711023e-05,3.906266647391021e-05,4.6715449570911005e-05,3.556750016286969e-05,2.736635178735014e-05,2.8123500669607893e-05,2.872968434530776e-05,3.276356801507063e-05,1.987517680390738e-05,2.4358969312743284e-05,3.923582335119136e-05,2.4541435777791776e-05,2.4215019948314875e-05,2.522457180020865e-05,3.228733839932829e-05,2.6644842364476062e-05,2.0654140826081857e-05,2.534510895202402e-05,4.1800361941568553e-05,3.631734580267221e-05,2.4946139092207886e-05,2.323146691196598e-05,2.2996995539870113e-05,2.8241411200724542e-05,2.6964697099174373e-05
800,0.0002195409033447504,0.00010542334348428994,8.582841110182926e-05,8.163072197930887e-05,4.5829685404896736e-05,5.025176506023854e-05,7.975109474500641e-05,8.095826342469081e-05,6.914899131515995e-05,4.734249523608014e-05,5.378201603889465e-05,4.370828901301138e-05,3.7764843000331894e-05,5.860991223016754e-05,4.7769844968570396e-05,7.803068729117513e-05,4.2714455048553646e-05,4.549836376099847e-05,3.8695259718224406e-05,3.544169521774165e-05,3.215277683921158e-05,4.74864209536463e-05,3.2033440220402554e-05,3.801975981332362e-05,2.9445132895489223e-05,2.803472125378903e-05,2.7393249183660373e-05,3.327543527120724e-05,3.258419019402936e-05,3.53036739397794e-05,2.343624146305956e-05,2.9470182198565453e-05,2.5823166652116925e-05,1.9431663531577215e-05,2.900260005844757e-05,2.752008913375903e-05,3.2445572287542745e-05,2.7898595362785272e-05,2.574311292846687e-05,3.038072281924542e-05,2.4701355869183317e-05,1.8890361388912424e-05,2.762460644589737e-05,3.1850595405558124e-05,2.380927799094934e-05,2.9092940167174675e-05,2.8476644729380496e-05,2.0554394723149016e-05,2.928944377345033e-05,2.3161770513979718e-05
900,0.000218813176616095,0.00013498567568603903,7.275602547451854e-05,8.020769018912688e-05,5.5498487199656665e-05,6.742931145709008e-05,7.106907287379727e-05,8.437799260718748e-05,7.164724229369313e-05,5.197175778448582e-05,5.76472157263197e-05,5.582510129897855e-05,2.6325667931814678e-05,4.746096965391189e-05,4.1474286263110116e-05,5.7417808420723304e-05,2.8517883038148284e-05,4.1109786252491176e-05,4.1949992009904236e-05,3.2697367714717984e-05,3.2979631214402616e-05,4.3665379052981734e-05,4.0688570152269676e-05,4.353507756604813e-05,2.7170581233804114e-05,3.178398037562147e-05,2.5283994546043687e-05,3.4446275094524026e-05,3.258846118114889e-05,2.6512831027503125e-05,2.5933923097909428e-05,4.0433576941723004e-05,2.3349584807874635e-05,3.3376643841620535e-05,2.7169729946763255e-05,2.930616210505832e-05,2.7195839720661752e-05,2.824300463544205e-05,1.8789965906762518e-05,3.530588583089411e-05,2.60163469647523e-05,2.9590426493086852e-05,2.7374455385142937e-05,3.167617251165211e-05,2.7127838620799594e-05,2.4644596123835072e-05,2.643146763148252e-05,3.454644320299849e-05,3.0370707463589497e-05,2.8386470148689114e-05
