step,channel_91,channel_47,channel_605,channel_314,channel_878,channel_150,channel_190,channel_590,channel_463,channel_819,channel_864,channel_377,channel_691,channel_201,channel_398,channel_299,channel_322,channel_831,channel_478,channel_205,channel_416,channel_817,channel_527,channel_255,channel_842,channel_752,channel_43,channel_791,channel_27,channel_21,channel_477,channel_674,channel_102,channel_743,channel_480,channel_576,channel_194,channel_95,channel_894,channel_338,channel_211,channel_22,channel_224,channel_769,channel_215,channel_650,channel_2,channel_124,channel_813,channel_524
0,1.988932490348816e-05,2.436790964566171e-05,1.8201504644821398e-05,1.4349048797157593e-05,1.8163840650231577e-05,1.2896129192085937e-05,1.0203803867625538e-05,1.4795904462516773e-05,3.324939461890608e-05,2.3884962502052076e-05,2.473280437698122e-05,9.230910109181423e-06,1.751824311213568e-05,1.4660334272775799e-05,1.4936344996385742e-05,2.287949791934807e-05,2.2474048819276504e-05,2.1458388800965622e-05,1.8966500647366047e-05,3.108959936071187e-05,1.1012666618626099e-05,1.4164243111736141e-05,1.3230038348410744e-05,1.1001402526744641e-05,1.4004011063661892e-05,2.031416261161212e-05,2.8396771085681394e-05,1.8421247659716755e-05,2.3810731363482773e-05,1.4310448932519648e-05,2.0270483219064772e-05,1.552188587083947e-05,2.6707188226282597e-05,4.887795148533769e-05,3.00930278172018e-05,1.4394099707715213e-05,1.0778366231534164e-05,1.7246396964765154e-05,2.891752046707552e-05,5.9828806115547195e-05,2.654792660905514e-05,2.7837908419314772e-05,2.8465183277148753e-05,2.8923073841724545e-05,3.1152478186413646e-05,3.0476507163257338e-05,2.7502122975420207e-05,2.0566942112054676e-05,3.305517020635307e-05,3.4526183299021795e-05
100,3.815260424744338e-05,4.3180516513530165e-05,4.3999967601848766e-05,4.0312352211913094e-05,4.603062188834883e-05,4.611770418705419e-05,4.174392961431295e-05,4.874061414739117e-05,4.758899376611225e-05,4.6206270781112835e-05,4.417072705109604e-05,4.614896170096472e-05,5.3495896281674504e-05,5.038187009631656e-05,5.175418118597008e-05,5.103001240058802e-05,4.631022966350429e-05,5.3678963013226166e-05,5.280282493913546e-05,5.699993562302552e-05,4.736485789180733e-05,5.208032962400466e-05,5.780940409749746e-05,5.796731056761928e-05,5.839014193043113e-05,5.0352369726169854e-05,5.789667193312198e-05,5.756220343755558e-05,4.476900357985869e-05,6.203249358804896e-05,5.730208431486972e-05,6.19088823441416e-05,5.033287743572146e-05,5.446417344501242e-05,6.404946179827675e-05,5.7530836784280837e-05,5.939483889960684e-05,5.5599797633476555e-05,6.603392830584198e-05,6.640182255068794e-05,5.462788976728916e-05,6.161957571748644e-05,6.770253094146028e-05,6.941206811461598e-05,6.98791554896161e-05,7.045302481856197e-05,7.177370571298525e-05,7.00197706464678e-05,7.146518328227103e-05,6.163031503092498e-05
200,4.2609266529325396e-05,4.09500025853049e-05,4.3470889067975804e-05,4.30495165346656e-05,4.096476550330408e-05,4.238557812641375e-05,3.828412445727736e-05,4.349127993918955e-05,4.9765483709052205e-05,4.63802607555408e-05,4.188156526652165e-05,5.181132291909307e-05,5.3420051699504256e-05,5.355828398023732e-05,5.417674401542172e-05,5.339040217222646e-05,5.630351006402634e-05,5.65428999834694e-05,5.662166222464293e-05,4.782475662068464e-05,5.539541598409414e-05,5.774979217676446e-05,4.923938467982225e-05,5.764884190284647e-05,5.352514563128352e-05,5.9481870266608894e-05,5.1000650273635983e-05,5.6224147556349635e-05,6.176337046781555e-05,5.8427824114914984e-05,5.7363395171705633e-05,5.290288754622452e-05,6.352685886668041e-05,6.100161772337742e-05,6.295288767432794e-05,6.384061998687685e-05,6.457443669205531e-05,6.47602864773944e-05,5.6448083341820166e-05,6.548963574459776e-05,5.883271660422906e-05,6.799057882744819e-05,6.917022983543575e-05,6.4185842347797e-05,6.738044612575322e-05,6.163585931062698e-05,5.853111360920593e-05,7.258383993757889e-05,7.035789894871414e-05,7.360001472989097e-05
300,3.9497452235082164e-05,3.999050022684969e-05,4.482474832911976e-05,4.485241151996888e-05,3.7324385630199686e-05,4.037937833345495e-05,4.7593293857062235e-05,4.271000943845138e-05,4.718226409750059e-05,5.026437793276273e-05,5.1076665840810165e-05,4.853830250794999e-05,4.6299737732624635e-05,4.344905028119683e-05,5.341187716112472e-05,5.5790671467548236e-05,5.152733137947507e-05,5.5874646932352334e-05,4.9778329412220046e-05,4.8947331379167736e-05,5.7667992223287e-05,5.151377627043985e-05,4.7411227569682524e-05,5.6489712733309716e-05,5.5265256378334016e-05,5.4543837904930115e-05,5.638617221848108e-05,6.126481457613409e-05,5.5386517487931997e-05,5.7182598538929597e-05,6.239597132662311e-05,6.270127050811425e-05,5.9588106523733586e-05,6.366029265336692e-05,6.183849473018199e-05,6.43035673419945e-05,6.372543430188671e-05,6.41079677734524e-05,6.340756954159588e-05,5.8675777836469933e-05,6.73878748784773e-05,5.763558147009462e-05,6.023442620062269e-05,6.146455416455865e-05,6.007818956277333e-05,6.16956822341308e-05,6.0365178796928376e-05,6.721934187225997e-05,7.351952808676288e-05,6.993038550717756e-05
400,2.27619875659002e-05,2.3107771994546056e-05,2.785456854326185e-05,2.6520339815760963e-05,2.4704950192244723e-05,2.7132955437991768e-05,2.7584968847804703e-05,1.9968370907008648e-05,2.5903984351316467e-05,2.913745993282646e-05,2.4182547349482775e-05,2.441231299599167e-05,2.9463290047715418e-05,2.8512004064396024e-05,2.9975497454870492e-05,2.6785239242599346e-05,2.783829222607892e-05,2.9806509701302275e-05,2.5073595679714344e-05,2.4363936972804368e-05,2.939933074230794e-05,2.7529504222911783e-05,2.7015857995138504e-05,2.667726766958367e-05,3.158996332786046e-05,2.8335951355984434e-05,2.802622657327447e-05,3.324421777506359e-05,2.9896487831138074e-05,4.106477354071103e-05,2.6832463845494203e-05,2.8857422876171768e-05,3.650629514595494e-05,3.436875340412371e-05,3.1145260436460376e-05,3.220398866687901e-05,3.359669426572509e-05,3.512123294058256e-05,3.3566640922799706e-05,4.121165329706855e-05,2.9916658604633994e-05,2.776481596811209e-05,3.3664549846434966e-05,3.535022187861614e-05,3.7686186260543764e-05,3.4476634027669206e-05,3.173371442244388e-05,4.091555092600174e-05,3.28212627209723e-05,3.541207479429431e-05
500,2.2308944608084857e-05,2.220473652414512e-05,2.353566924284678e-05,2.3953087293193676e-05,2.468496313667856e-05,2.3779850380378775e-05,2.2725776943843812e-05,1.9464883735054173e-05,2.0554845832521096e-05,2.583890818641521e-05,2.588345523690805e-05,2.2681886548525654e-05,2.6806095775100403e-05,2.2681031623505987e-05,2.8512646167655475e-05,2.705627412069589e-05,2.5435896532144397e-05,2.4344950361410156e-05,2.2079750124248676e-05,2.3964830688782968e-05,3.126903538941406e-05,2.7663576474878937e-05,3.1025323551148176e-05,2.9245189580251463e-05,2.827895150403492e-05,2.9678632927243598e-05,3.239874786231667e-05,3.2580668630544096e-05,2.652370858413633e-05,3.1586627301294357e-05,3.0170813261065632e-05,3.1412881071446463e-05,3.2592728530289605e-05,2.5050998374354094e-05,3.282537363702431e-05,3.64238912879955e-05,2.737046088441275e-05,3.121978079434484e-05,3.367811950738542e-05,3.190801362507045e-05,3.00571700790897e-05,3.302234836155549e-05,3.6544774047797546e-05,2.7664820663630962e-05,2.8438098524929956e-05,3.698537693708204e-05,3.1295217922888696e-05,3.618251139414497e-05,3.6133867979515344e-05,3.473041215329431e-05
600,2.1363326595746912e-05,1.9833343685604632e-05,2.406591738690622e-05,2.0183282686048187e-05,2.3149415937950835e-05,2.345711982343346e-05,2.405326631560456e-05,2.2531392460223287e-05,2.6327732484787703e-05,2.9681028536288068e-05,2.2693984647048637e-05,2.5402472601854242e-05,2.8459680834203027e-05,2.4249877242255025e-05,2.9858290872653015e-05,2.866564864234533e-05,2.671444963198155e-05,2.4691607904969715e-05,2.7386069632484578e-05,2.3799677364877425e-05,2.5239394744858146e-05,2.9859056667191908e-05,2.768175909295678e-05,3.3114742109319195e-05,2.6114967113244347e-05,3.177895268891007e-05,2.8755812309100293e-05,2.6605424864101224e-05,2.6693809559219517e-05,3.6278044717619196e-05,3.292590190540068e-05,2.8190430384711362e-05,3.0529306968674064e-05,3.036688212887384e-05,3.24938228004612e-05,2.60777505900478e-05,2.9885859476053156e-05,2.7631791454041377e-05,3.902097887475975e-05,3.315043431939557e-05,3.608581027947366e-05,3.201949948561378e-05,2.6109739337698556e-05,3.826173269771971e-05,3.309070598334074e-05,3.6879868275718763e-05,3.1593772291671485e-05,3.362181450938806e-05,3.473592732916586e-05,3.726099748746492e-05
700,2.1444186131702736e-05,2.7239655537414365e-05,2.3381950086331926e-05,1.9417197108850814e-05,2.44028378801886e-05,2.565527211118024e-05,2.1094640032970347e-05,2.0394745661178604e-05,2.3530430553364567e-05,3.059915252379142e-05,2.272054916829802e-05,2.4307233616127633e-05,2.9993587304488756e-05,2.697102536330931e-05,2.9870814614696428e-05,2.5431145331822336e-05,2.5562863811501302e-05,2.1927875422989018e-05,2.9063576221233234e-05,2.681531259440817e-05,2.646858229127247e-05,2.9462215024977922e-05,3.42416315106675e-05,3.0136381610645913e-05,2.9143397114239633e-05,2.8460375688155182e-05,3.571957131498493e-05,2.871175456675701e-05,3.186594040016644e-05,3.0516919650835916e-05,3.2376196031691507e-05,2.6672762032831088e-05,3.230086440453306e-05,3.0071441869949922e-05,3.272468165960163e-05,3.209647547919303e-05,3.682220994960517e-05,4.1787287045735866e-05,3.451151860645041e-05,3.644610842457041e-05,2.6670086299418472e-05,4.049994095112197e-05,3.237221244489774e-05,3.05873436445836e-05,2.6300675017409958e-05,3.372129867784679e-05,3.542493504937738e-05,3.5633955121738836e-05,3.261017627664842e-05,4.0026396163739264e-05
800,2.226162723673042e-05,2.573496021796018e-05,2.2680911570205353e-05,2.5047746021300554e-05,2.1683265003957786e-05,1.7378477423335426e-05,2.594656325527467e-05,1.6651420082780533e-05,2.068874891847372e-05,3.188378832419403e-05,2.018345912802033e-05,2.930535629275255e-05,2.8916860173922032e-05,2.698270145629067e-05,2.7327909265295602e-05,2.535892417654395e-05,2.5537650799378753e-05,2.4757751816650853e-05,2.4313754693139344e-05,2.6057245122501627e-05,2.904962639149744e-05,2.6149511541007087e-05,2.6119014364667237e-05,3.3098891435656697e-05,2.5649387680459768e-05,2.4504935936420225e-05,3.0998970032669604e-05,2.873798985092435e-05,2.36219639191404e-05,3.519718302413821e-05,2.8864444175269455e-05,2.4352582840947434e-05,3.746405855054036e-05,2.3677173885516822e-05,3.3713171433191746e-05,3.558591561159119e-05,3.8183981814654544e-05,3.279550219303928e-05,3.566334271454252e-05,2.895527723012492e-05,3.23684471368324e-05,2.7089216018794104e-05,2.9335871658986434e-05,3.353994179633446e-05,3.03372107737232e-05,4.1391242120880634e-05,4.2009360186057165e-05,3.75735507986974e-05,3.658952846308239e-05,4.041594365844503e-05
900,2.4370598112000152e-05,2.343376399949193e-05,1.9914645235985518e-05,2.1150899556232616e-05,2.1088553694426082e-05,2.0259562006685883e-05,2.2128519049147144e-05,1.9134715330437757e-05,2.106271858792752e-05,2.8671673135249875e-05,2.078339457511902e-05,2.3357599275186658e-05,2.955968193418812e-05,2.3535614673164673e-05,2.7297750420984812e-05,2.6218733182759024e-05,2.9236342015792616e-05,2.432703331578523e-05,2.1819236280862242e-05,2.3396729375235736e-05,2.651888098625932e-05,2.6730825993581675e-05,2.3401396902045235e-05,2.657826007634867e-05,2.4576327632530592e-05,2.8671995096374303e-05,2.7055661121266894e-05,2.8968082915525883e-05,2.527553260733839e-05,2.311639764229767e-05,2.894429962907452e-05,2.952039176307153e-05,2.9201228244346566e-05,3.152561839669943e-05,3.070387901971117e-05,2.4248396584880538e-05,2.8847385692643e-05,3.4830114600481465e-05,3.129895048914477e-05,3.078528243349865e-05,3.0722618248546496e-05,3.0170051104505546e-05,2.998074342031032e-05,2.9424812964862213e-05,2.8126934921601787e-05,3.105770156253129e-05,3.057275534956716e-05,3.7931535189272836e-05,3.304329948150553e-05,3.467243368504569e-05
