step,channel_667,channel_1442,channel_3718,channel_15,channel_1050,channel_1309,channel_3340,channel_2555,channel_4380,channel_3175,channel_2388,channel_281,channel_2162,channel_1915,channel_464,channel_3909,channel_4517,channel_3799,channel_1028,channel_1074,channel_3988,channel_1390,channel_3717,channel_911,channel_926,channel_1166,channel_571,channel_4633,channel_1399,channel_3370,channel_121,channel_240,channel_2718,channel_204,channel_2196,channel_497,channel_3305,channel_3287,channel_2844,channel_2341,channel_763,channel_4449,channel_3696,channel_1382,channel_2825,channel_1872,channel_517,channel_4335,channel_728,channel_1114
0,0.0009092633845284581,1.0082259905175306e-05,1.2947492905368563e-05,0.00041187150054611266,4.27587037847843e-05,1.682755464571528e-05,0.00014803562953602523,2.162387318094261e-05,0.00012957034050486982,2.5382014428032562e-05,2.8201964596519247e-05,1.8914810425485484e-05,0.00027425953885540366,0.00028963072691112757,9.270765986002516e-06,3.522275801515207e-05,0.00026357549359090626,1.834304566727951e-05,1.544080805615522e-05,0.0001971371821127832,0.00010548050340730697,2.5750048735062592e-05,4.5235807192511857e-05,3.387156903045252e-05,5.177266211831011e-05,2.2809446818428114e-05,3.689220829983242e-05,2.083591061818879e-05,1.112155950977467e-05,2.129448148480151e-05,3.3336113119730726e-05,4.626408190233633e-05,2.666868022060953e-05,3.220446888008155e-05,2.4998495064210147e-05,2.1539159206440672e-05,1.7958973330678418e-05,5.9077654441352934e-05,2.064443651761394e-05,1.974172846530564e-05,8.315459126606584e-06,3.79582961613778e-05,1.3437266716209706e-05,3.696271960507147e-05,7.5059683695144486e-06,0.0002093798975693062,1.2131227776990272e-05,9.336099537904374e-06,2.1134674170752987e-05,1.8463335436536e-05
100,0.0004138736694585532,4.345329580246471e-05,8.42054359964095e-05,0.00010894041042774916,0.00014398059283848852,0.0001576971117174253,0.0003187748370692134,3.907267819158733e-05,0.00027365441201254725,9.789967589313164e-05,0.00030364448321051896,3.730376192834228e-05,0.0002457501832395792,9.313558985013515e-05,4.228666512062773e-05,0.00025812091189436615,8.118928235489875e-05,9.14947158889845e-05,6.187771941768005e-05,0.00025970814749598503,0.0001851382985478267,9.331627370556816e-05,4.190811887383461e-05,0.0002477343659847975,8.403926767641678e-05,0.00024002681311685592,4.392287155496888e-05,0.00011491731129353866,6.006005787639879e-05,9.188435797113925e-05,0.00014470926544163376,0.00023445449187420309,0.00019560051441658288,7.331623055506498e-05,7.133633334888145e-05,6.877150008222088e-05,9.483276517130435e-05,0.00013585085980594158,0.00018527118663769215,4.29490719398018e-05,4.92506442242302e-05,4.671210626838729e-05,0.00021487810590770096,4.985314444638789e-05,5.5088792578317225e-05,0.0001816972071537748,4.4987231376580894e-05,6.033070894773118e-05,5.538134428206831e-05,0.00011907995212823153
200,0.0004826092335861176,4.350026210886426e-05,3.7993344449205324e-05,0.00014534275396727026,0.0002257512678625062,4.9657170166028664e-05,0.0003169853880535811,5.133588274475187e-05,0.0003316746442578733,0.00025751639623194933,0.0001771863899193704,0.00029787435778416693,0.00029697775607928634,0.0001048412814270705,4.37829403381329e-05,6.587563257198781e-05,9.493714605923742e-05,0.00010101574298460037,0.00022534486197400838,0.0002345960383536294,0.00025780993746593595,8.370380237465724e-05,4.7698682465124875e-05,3.984837530879304e-05,4.275052560842596e-05,0.00014838050992693752,3.641166404122487e-05,0.00012078166764695197,7.70721526350826e-05,4.516858825809322e-05,0.0002362174418522045,0.00017236146959476173,0.0001456580066587776,3.9941882278071716e-05,8.243411866715178e-05,5.347049227566458e-05,3.901343370671384e-05,0.00013469091209117323,3.8277034036582336e-05,4.9681122618494555e-05,4.4553766201715916e-05,0.00021914942772127688,6.687558925477788e-05,3.964822826674208e-05,4.796963548869826e-05,0.00021268347336445004,0.00021209735132288188,0.00014336897584144026,5.812034214613959e-05,0.0002094408409902826
300,0.00034714475623331964,4.336943311500363e-05,6.024194590281695e-05,0.00013345573097467422,8.823015377856791e-05,6.38048441032879e-05,0.0003447194758336991,4.936489131068811e-05,0.00027656869497150183,0.000327345886034891,4.3695086787920445e-05,3.887929779011756e-05,0.00022773300588596612,0.00010775106056826189,4.216144225210883e-05,5.866055653314106e-05,8.546884055249393e-05,0.0002619085425976664,6.418991688406095e-05,0.0002154743269784376,0.0002217732253484428,0.00013464043149724603,4.4166539737489074e-05,9.474616672378033e-05,4.614884528564289e-05,9.075406705960631e-05,4.390218236949295e-05,9.365914593217894e-05,5.1436873036436737e-05,0.00023634541139472276,0.00020462270185817033,0.0001540600642329082,0.00014195028052199632,6.852960359537974e-05,4.9381458666175604e-05,5.2573883294826373e-05,0.00012623138900380582,9.413079533260316e-05,0.00012252664600964636,0.0001844589423853904,6.0791600844822824e-05,3.908696089638397e-05,6.976169970585033e-05,4.0430772060062736e-05,0.00021378419478423893,0.00017013726755976677,7.034589361865073e-05,4.0318878745893016e-05,8.32354708109051e-05,4.322253153077327e-05
400,0.00014910152822267264,2.0120418412261643e-05,2.5271647245972417e-05,5.636247806251049e-05,8.559662819607183e-05,2.4947219571913593e-05,0.00016882162890397012,2.0968649550923146e-05,0.00014299058238975704,2.5389470465597697e-05,2.0687795768026263e-05,2.00239537662128e-05,0.00014384719543159008,3.852210647892207e-05,2.125039645761717e-05,2.7230566047364846e-05,4.0220711525762454e-05,7.439471664838493e-05,7.545194966951385e-05,7.653579814359546e-05,0.00012018244160572067,4.451047061593272e-05,6.028766802046448e-05,2.3610260541317984e-05,2.095716627081856e-05,2.83179797406774e-05,2.1050187569926493e-05,4.2430288885952905e-05,2.024166315095499e-05,2.2341770090861246e-05,0.00011471030302345753,0.0001090303630917333,3.58426732418593e-05,9.058428986463696e-05,7.971370359882712e-05,0.00011444971460150555,4.6474626287817955e-05,2.6194469683105126e-05,5.247763328952715e-05,1.8472213923814707e-05,2.459322968206834e-05,1.9518825865816325e-05,2.1234696760075167e-05,2.1488765924004838e-05,1.8567743609310128e-05,8.57390696182847e-05,2.402842255833093e-05,2.1564690541708842e-05,2.100734127452597e-05,3.581364217097871e-05
500,0.00016696284001227468,2.2646006982540712e-05,4.727367195300758e-05,5.719940600101836e-05,2.1329204173525795e-05,5.092579158372246e-05,0.0001776939316187054,4.233929576002993e-05,0.00011472399637568742,2.4024115191423334e-05,2.2302934667095542e-05,1.845159385993611e-05,0.00013745804608333856,5.9127389249624684e-05,1.9831733879982494e-05,2.5158675271086395e-05,3.604255834943615e-05,3.7030513340141624e-05,2.4737710191402584e-05,0.0001475566386943683,9.029092325363308e-05,0.00014618363638874143,2.8463595299399458e-05,1.7907386791193858e-05,2.4079738068394363e-05,8.652147516841069e-05,2.326252251805272e-05,8.329396951012313e-05,2.392610076640267e-05,1.8569671738077886e-05,5.0574617489473894e-05,7.54313005018048e-05,3.032122003787663e-05,2.2032179913367145e-05,3.442135493969545e-05,2.2704003640683368e-05,4.0975643059937283e-05,2.640993807290215e-05,6.452306843129918e-05,1.870173218776472e-05,3.299019590485841e-05,3.2239538995781913e-05,0.00017642327293287963,2.29634388233535e-05,1.881541720649693e-05,9.447789489058778e-05,2.7238220354774967e-05,2.0764591681654565e-05,3.634218592196703e-05,2.08433539228281e-05
600,0.0001730487128952518,0.00014608397032134235,1.8041597286355682e-05,6.110674439696595e-05,0.00038280172157101333,2.813014725688845e-05,0.0001703441666904837,1.471955965826055e-05,0.00020725527429021895,2.209000740549527e-05,9.231327567249537e-05,0.000145837664604187,0.0001258688571397215,4.163695848546922e-05,2.1825602743774652e-05,3.238463614252396e-05,4.0957089368021116e-05,2.6102783522219397e-05,4.645070657716133e-05,9.900986333377659e-05,0.00011057963274652138,5.475134094012901e-05,2.0414634491316974e-05,3.71735732187517e-05,2.3738271920592524e-05,4.919541606795974e-05,1.9677858290378936e-05,2.2227794033824466e-05,2.1424064470920712e-05,2.0182307707727887e-05,7.43356067687273e-05,0.00010838116577360779,4.6032608224777505e-05,1.917371992021799e-05,2.2796646589995362e-05,2.2463811546913348e-05,2.7610152756096795e-05,8.664052438689396e-05,2.1400759578682482e-05,1.9780352886300534e-05,1.5743957192171365e-05,2.2744443413103e-05,1.9205252101528458e-05,1.9460912881186232e-05,1.669473567744717e-05,8.379616338061169e-05,2.7711423172149807e-05,2.137721276085358e-05,1.9754734239540994e-05,1.8691891455091536e-05
700,0.00016936173778958619,2.1027755792601965e-05,4.453037399798632e-05,7.335034024436027e-05,0.00015878192789386958,3.0190760298864916e-05,0.00018735912453848869,2.043359199888073e-05,0.0001699992426438257,2.2561482182936743e-05,2.2759641069569625e-05,9.648127888794988e-05,0.00014720909530296922,4.2925468733301386e-05,2.098574987030588e-05,0.0001767338690115139,3.924296106561087e-05,4.629800605471246e-05,4.108512803213671e-05,7.328419451368973e-05,0.0001390504330629483,4.141230238019489e-05,6.357493839459494e-05,3.466431371634826e-05,2.2497790268971585e-05,2.4142833353835158e-05,2.1173218556214124e-05,3.334284701850265e-05,2.872351251426153e-05,2.2209571397979744e-05,0.00015331851318478584,4.675168020185083e-05,2.8268204914638773e-05,2.083732033497654e-05,2.5082819774979725e-05,2.7289950594422407e-05,2.439458512526471e-05,3.497544821584597e-05,9.476073319092393e-05,5.0809223466785625e-05,1.6720845451345667e-05,1.7260814274777658e-05,2.4760327505646273e-05,2.196535569964908e-05,3.474150435067713e-05,9.546508954372257e-05,1.9025597794097848e-05,2.0268695152481087e-05,0.0002098747354466468,2.0686093193944544e-05
800,0.00014027557335793972,2.5071896743611433e-05,4.400040052132681e-05,6.175759335746989e-05,4.21088479924947e-05,8.179639553418383e-05,0.00016042185598053038,2.0687915821326897e-05,0.00014006295532453805,0.000114553673483897,1.997056278923992e-05,1.954111758095678e-05,0.00010862707858905196,4.5311149733606726e-05,5.090510967420414e-05,2.4761651729932055e-05,3.853284943033941e-05,3.254216062487103e-05,4.043597073177807e-05,7.986454147612676e-05,9.642758232075721e-05,6.84965489199385e-05,1.9838207663269714e-05,3.5980607208330184e-05,2.8505150112323463e-05,9.00360246305354e-05,2.686670995899476e-05,3.1689589377492666e-05,2.078000943583902e-05,9.730674355523661e-05,0.00011031977919628844,0.00011900287790922448,6.17897167103365e-05,2.2244563297135755e-05,2.4181435946957208e-05,2.409851731499657e-05,1.8862398064811714e-05,5.0918992201332e-05,2.2410997189581394e-05,1.8577704395283945e-05,1.6382793546654284e-05,1.9525217794580385e-05,1.9406954379519448e-05,2.1859670596313663e-05,2.2184216504683718e-05,8.295581210404634e-05,0.00011781515058828518,2.0351264538476244e-05,2.0511517504928634e-05,2.6213028831989504e-05
900,0.00014537633978761733,2.1364128770073876e-05,2.2223664927878417e-05,6.832848157500848e-05,8.946735033532605e-05,2.5936871679732576e-05,0.00016087980475276709,1.8599419490783475e-05,0.00017520030087325722,3.224165629944764e-05,2.3197313566925004e-05,1.598889139131643e-05,0.0001367858494631946,4.741510565509088e-05,1.883645927591715e-05,4.7560184611938894e-05,3.844876118819229e-05,4.349010851001367e-05,0.0001054180902428925,8.949365292210132e-05,0.00012085687922080979,3.6539946449920535e-05,2.1711884983233176e-05,3.2216259569395334e-05,2.269349897687789e-05,2.202273390139453e-05,1.919699388963636e-05,3.5510580346453935e-05,2.0590103304130025e-05,7.817100413376465e-05,0.00010284101881552488,8.823507960187271e-05,4.7320434532593936e-05,2.898379898397252e-05,2.1393942006397992e-05,2.373909046582412e-05,6.306576688075438e-05,7.287580956472084e-05,8.613129466539249e-05,2.308158582309261e-05,1.6396425053244457e-05,3.653330713859759e-05,2.2451666154665872e-05,2.2575010007130913e-05,2.5178620489896275e-05,8.861405513016507e-05,3.511193426675163e-05,1.9477647583698854e-05,2.221694194304291e-05,3.673130049719475e-05
