step,channel_2379,channel_526,channel_4825,channel_2422,channel_3674,channel_2056,channel_596,channel_4623,channel_4398,channel_2824,channel_1239,channel_3375,channel_4525,channel_3735,channel_4664,channel_3941,channel_1118,channel_3426,channel_3679,channel_3631,channel_107,channel_3644,channel_3252,channel_1695,channel_3348,channel_2574,channel_902,channel_2462,channel_1983,channel_4853,channel_2108,channel_1325,channel_1413,channel_4215,channel_3135,channel_695,channel_4740,channel_1663,channel_3027,channel_1384,channel_1276,channel_1577,channel_730,channel_1,channel_463,channel_4504,channel_1300,channel_231,channel_3436,channel_1728
0,5.579761364060687e-06,7.72806833992945e-06,1.0152400136576034e-05,6.325202775769867e-06,7.370586445176741e-06,5.876778686797479e-06,5.191165655560326e-06,8.607926247350406e-06,7.917791663203388e-06,7.420476777042495e-06,5.770790721726371e-06,1.1641272067208774e-05,6.543958079419099e-06,3.6494448067969643e-06,3.7244103623379488e-06,5.0688804549281485e-06,6.100004156905925e-06,8.484263162245043e-06,5.599571522907354e-06,2.204041084041819e-05,5.059655450168066e-06,6.843822575319791e-06,7.105006261554081e-06,1.1373331290087663e-05,8.812869054963812e-06,1.4150015886116307e-05,5.754119683842873e-06,8.878601875039749e-06,8.3808226918336e-06,6.844480594736524e-06,2.1195201043155976e-05,5.466186394187389e-06,8.891569450497627e-06,1.5573952623526566e-05,1.3842129192198627e-05,1.0523706805543043e-05,1.2071792298229411e-05,3.242866569053149e-06,1.4480015124718193e-05,1.62794858624693e-05,7.966305020090658e-06,4.316987087804591e-06,5.065035111329053e-06,7.036784154479392e-06,2.1917865524301305e-05,1.132782290369505e-05,4.796529083250789e-06,7.198086677817628e-06,5.0416565500199795e-06,7.770529009576421e-06
100,1.3025335647398606e-05,1.70700041053351e-05,1.7894017219077796e-05,1.935572799993679e-05,1.5700466974521987e-05,2.0761855921591632e-05,1.875080488389358e-05,2.0889601728413254e-05,2.0325909645180218e-05,2.1734556867158972e-05,2.047675479843747e-05,1.7894904885906726e-05,1.823654747568071e-05,2.030964424193371e-05,2.2543830709764734e-05,2.0674644474638626e-05,2.0868112187599763e-05,2.2720729248248972e-05,2.2811136659584008e-05,2.0121733541600406e-05,2.3620417778147385e-05,1.9326396795804612e-05,2.2588055799133144e-05,2.353189302084502e-05,2.0990635675843805e-05,2.3710423192824237e-05,2.401644451310858e-05,2.195677734562196e-05,2.4283821403514594e-05,2.374095311097335e-05,2.286687958985567e-05,2.2552761947736144e-05,2.4377181034651585e-05,2.3578915715916082e-05,2.51585242949659e-05,2.3438931748387404e-05,2.527457218093332e-05,2.1146988729014993e-05,2.4605091311968863e-05,2.3814394808141515e-05,2.549408054619562e-05,2.5571864171070047e-05,2.4743558242334984e-05,2.3826736651244573e-05,2.581125772849191e-05,2.5985786123783328e-05,2.48058950091945e-05,2.5594592443667352e-05,2.3962105842656456e-05,2.5107041437877342e-05
200,1.3790788216283545e-05,1.801338657969609e-05,1.911227809614502e-05,1.635340777284e-05,2.0038567527080886e-05,1.9073893781751394e-05,1.8776323486235924e-05,1.7842172383097932e-05,1.879587580333464e-05,2.0957091692253016e-05,1.878707917057909e-05,1.9315511963213794e-05,2.032799784501549e-05,2.2351392544806004e-05,1.8891290892497636e-05,2.1609597752103582e-05,2.262923044327181e-05,1.9531933503458276e-05,1.8573702618596144e-05,2.11106216738699e-05,2.0097426386200823e-05,1.8932318198494613e-05,2.3141592464526184e-05,2.3789485567249358e-05,1.9348795831319876e-05,2.38905158767011e-05,2.4153834601747803e-05,2.2120388166513294e-05,2.329754534002859e-05,2.302045322721824e-05,2.4583428967162035e-05,2.4241180653916672e-05,2.4822666091495194e-05,2.5075787561945617e-05,2.275535007356666e-05,2.2846119463793002e-05,2.012416189245414e-05,1.951905869645998e-05,2.5311997887911275e-05,2.450496504025068e-05,2.1854326405446045e-05,2.4435619707219303e-05,2.5639064915594645e-05,2.4305665647261776e-05,2.5882380214170553e-05,2.2665495635010302e-05,2.5337451006635092e-05,2.4626961021567695e-05,2.5768942577997223e-05,2.6090800020028837e-05
300,1.2499267540988512e-05,1.6708436305634677e-05,1.897558286145795e-05,1.4538205505232327e-05,1.6423249689978547e-05,2.0305125872255303e-05,1.8840741176973097e-05,1.830667315516621e-05,2.141279765055515e-05,2.1096133423270658e-05,2.11790538742207e-05,2.207454963354394e-05,2.2308131519821472e-05,2.2206526409718208e-05,2.09731915674638e-05,2.2587866624235176e-05,2.1329758965293877e-05,2.1239820853224955e-05,1.972160862351302e-05,1.9522873117239214e-05,2.179133844038006e-05,2.199453410867136e-05,2.3787761165294796e-05,2.361468978051562e-05,2.387408858339768e-05,2.078132820315659e-05,2.191554995079059e-05,2.4217468308052048e-05,2.1804864445584826e-05,2.4381250113947317e-05,2.1644877051585354e-05,2.472921732987743e-05,2.367022170801647e-05,2.508111901988741e-05,2.4578308511991054e-05,2.5167908461298794e-05,2.254697392345406e-05,2.5279146939283237e-05,2.4702056180103682e-05,2.5427758373552933e-05,2.1842579371877946e-05,2.311709977220744e-05,2.5773433662834577e-05,2.5820236260187812e-05,2.5287488824687898e-05,2.2979904315434396e-05,2.5989569621742703e-05,2.6110976250492968e-05,2.6114832508028485e-05,2.611851778056007e-05
400,7.159709639381617e-06,9.46841828408651e-06,7.512649062846322e-06,8.863950824888889e-06,7.983314390003216e-06,1.2009146303171292e-05,8.42962799652014e-06,8.927325325203128e-06,1.0159295015910175e-05,1.208590947499033e-05,1.0974279575748369e-05,9.700635928311385e-06,8.972547220764682e-06,1.0000526344811078e-05,1.3106257938488852e-05,9.936026799550746e-06,1.0956832738884259e-05,1.242263078893302e-05,1.0828507583937608e-05,1.017141948977951e-05,1.390955821989337e-05,1.1374211680958979e-05,1.1176090993103571e-05,1.1924628779524937e-05,1.0634373211360071e-05,1.3684189980267547e-05,1.5867086403886788e-05,1.3989731996844057e-05,1.2466132830013521e-05,1.4032426406629384e-05,1.3674797628482338e-05,1.1950195585086476e-05,1.604160206625238e-05,1.8869375708163716e-05,1.416188752045855e-05,1.1585987522266805e-05,1.129273368860595e-05,1.1144723430334125e-05,1.3158433830540162e-05,1.2927293028042186e-05,1.5010834431450348e-05,1.2319896086410154e-05,1.7792906874092296e-05,1.2258827155164909e-05,1.7699694581096992e-05,1.2557225090858992e-05,1.1187956260982901e-05,1.4212626410881057e-05,1.3561685591412243e-05,1.5893294403213076e-05
500,6.762802968296455e-06,9.035868970386218e-06,1.4540602023771498e-05,7.068752438499359e-06,1.077066917787306e-05,9.910356311593205e-06,8.166057341441046e-06,8.765461643633898e-06,9.565766049490776e-06,1.1880356396432035e-05,1.0001403097703587e-05,1.0034756087407004e-05,1.0035204468294978e-05,1.0994060176017229e-05,1.1228559742448851e-05,1.2437987606972456e-05,1.08830854514963e-05,1.1266518413322046e-05,9.42044334806269e-06,1.0654601283022203e-05,1.0232489330519456e-05,9.322069672634825e-06,1.070622238330543e-05,1.1985975106654223e-05,1.1618250937317498e-05,9.619384400139097e-06,1.4051998732611537e-05,1.625206095923204e-05,1.2974735000170767e-05,1.1883428669534624e-05,1.2749720553983934e-05,1.5022559637145605e-05,1.2320420864853077e-05,1.2807196981157176e-05,1.2485289516916964e-05,1.0803289114846848e-05,1.2629950106202159e-05,1.1751549209293444e-05,1.2995786164538004e-05,1.3610012501885649e-05,1.3871249393559992e-05,1.1341741810610984e-05,1.1772438483603764e-05,1.4130449017102364e-05,1.388219061482232e-05,1.1756545973184984e-05,1.246454212378012e-05,1.2966992471774574e-05,1.4200681107467972e-05,1.3721507457375992e-05
600,6.6626448642637115e-06,7.685268428758718e-06,8.113222975225653e-06,7.938682756503113e-06,8.027965122892056e-06,1.2082583452865947e-05,9.239056453225203e-06,8.278693712782115e-06,9.383516044181306e-06,8.780227290117182e-06,2.1885654859943315e-05,1.0359684893046506e-05,1.1159565474372357e-05,9.773897545528598e-06,1.238520781043917e-05,1.1142132279928774e-05,9.26619759411551e-06,1.1516975973790977e-05,8.972846444521565e-06,1.4181208825903013e-05,9.775727448868565e-06,9.305828825745266e-06,1.101022007787833e-05,1.2446629625628702e-05,1.145811711467104e-05,1.1920699762413278e-05,1.1821620319096837e-05,1.0227526217931882e-05,1.5819874533917755e-05,1.0807729267980903e-05,1.0274321539327502e-05,1.0764519174699672e-05,1.0797660252137575e-05,1.3388825209403876e-05,1.2642018191399984e-05,1.246772262675222e-05,1.131453609559685e-05,1.1669320883811451e-05,1.3561230844061356e-05,1.188116493722191e-05,1.8929606085293926e-05,1.2057877029292285e-05,1.3517949810193386e-05,1.1925162652914878e-05,1.291908756684279e-05,1.3775810657534748e-05,1.125501421483932e-05,1.3995287190482486e-05,1.5186556083790492e-05,1.1888260814885143e-05
700,6.118916644481942e-06,8.12825692264596e-06,8.713855095265899e-06,6.803235919505823e-06,1.1086974154750351e-05,9.651641448726878e-06,7.87001226854045e-06,1.0258522706863005e-05,9.660358955443371e-06,8.63876903167693e-06,1.1486029507068451e-05,1.0572190149105154e-05,1.1230591553612612e-05,1.3190611753088888e-05,9.851253707893193e-06,1.1730503501894418e-05,1.2898438399133738e-05,1.2376483027765062e-05,1.2046739357174374e-05,1.252418769581709e-05,1.1842302228615154e-05,1.268339929083595e-05,1.2601511116372421e-05,1.4311492122942582e-05,1.2393707038427237e-05,1.473708834964782e-05,1.2373608115012757e-05,1.2834394510718994e-05,1.1580833415791858e-05,1.261289889953332e-05,1.4681699212815147e-05,1.1570658898563124e-05,1.41276459544315e-05,1.3199045497458428e-05,1.4853664652036969e-05,1.4492318769043777e-05,1.1250987881794572e-05,1.1675597306748386e-05,1.4539875337504782e-05,1.1158937923028134e-05,1.1905816791113466e-05,1.2303132280067075e-05,1.284758673136821e-05,1.2161644917796366e-05,1.1566761713766027e-05,1.4327349163067993e-05,1.2363943824311718e-05,1.2943957699462771e-05,1.4167059816827532e-05,1.3216545085015241e-05
800,6.193410172272706e-06,8.435185918642674e-06,1.0492511137272231e-05,6.708655746479053e-06,7.014363291091286e-06,9.5058612714638e-06,8.279235771624371e-06,9.25209042179631e-06,9.69192751654191e-06,1.0677430509531405e-05,1.077995420928346e-05,1.083706047211308e-05,1.2099463674530853e-05,1.0862954695767257e-05,9.547161425871309e-06,1.071126462193206e-05,1.3014411706535611e-05,1.0883837603614666e-05,9.721950846142136e-06,9.594898074283265e-06,1.1973152140853927e-05,9.0898265625583e-06,1.156964572146535e-05,1.2338105989329051e-05,8.528749276592862e-06,1.0182768164668232e-05,1.4725603250553831e-05,9.25648146221647e-06,1.104323109757388e-05,1.1190173609065823e-05,1.247573072760133e-05,1.0260892850055825e-05,1.3638093150802888e-05,1.3136033885530196e-05,1.3383940313360654e-05,1.1357414223311935e-05,9.053474059328437e-06,9.201097782352008e-06,1.2014891581202392e-05,1.129370320995804e-05,1.079794492397923e-05,1.0607587682898156e-05,1.191034334624419e-05,1.3099850548314862e-05,1.1956223715969827e-05,1.205219541589031e-05,1.1097486094513442e-05,1.3040372323303018e-05,1.2156681805208791e-05,1.1674766028590966e-05
900,5.933975444349926e-06,9.007395419757813e-06,9.504181434749626e-06,8.796346264716703e-06,8.360445463040378e-06,1.1102334610768594e-05,8.82779568200931e-06,7.850680049159564e-06,9.69714528764598e-06,1.191419050883269e-05,9.30500027607195e-06,1.0684740118449554e-05,9.348478670290206e-06,1.1290863767499104e-05,1.2114333003410138e-05,1.152414915850386e-05,1.0861082955671009e-05,1.2891402548120823e-05,1.0311186997569166e-05,1.341044480795972e-05,1.2325771422183607e-05,9.769791176950093e-06,1.0542591553530656e-05,1.1523806279001292e-05,8.676957804709673e-06,1.0607151125441305e-05,1.1170915968250483e-05,1.0592967555567157e-05,1.256965333595872e-05,1.0860280781344045e-05,1.3490595847542863e-05,1.3728781596000772e-05,1.2204015547467861e-05,1.3659477190230973e-05,1.4391024706128519e-05,1.4006509445607662e-05,1.1014157280442305e-05,1.134235026256647e-05,1.3676974958798382e-05,1.2240675459906925e-05,1.164182413049275e-05,1.1316530617477838e-05,1.435306876373943e-05,1.2600479749380611e-05,1.3129106264386792e-05,1.3663356185134035e-05,1.2722284736810252e-05,1.3173366824048571e-05,1.3884128748031799e-05,1.2299432455620263e-05
