step,mean,median,p90,p99,max
0,1.0084177073026679e-05,8.207948212657357e-06,1.5574169447063464e-05,4.1107203069259404e-05,0.000170919083757326
100,4.741417192714212e-05,4.2459252654225565e-05,6.717853830195962e-05,0.00011985825236479283,0.0005340217030607164
200,4.598393340902057e-05,4.0975386582431383e-05,6.621445427299476e-05,0.00011625255065155208,0.0004928107373416424
300,4.709399069132527e-05,4.229030309943482e-05,6.701641759718767e-05,0.00012108821436413552,0.0005019312957301736
400,2.4277512461841417e-05,2.1174659195821732e-05,3.569032160157803e-05,6.791064210119655e-05,0.00025662535335868597
500,2.4797215889362322e-05,2.1645717424689792e-05,3.7108273681951685e-05,6.767387938452878e-05,0.00023834627063479275
600,2.303061243112911e-05,1.983136826311238e-05,3.3995343619608315e-05,6.604443216929211e-05,0.0002538116823416203
700,2.356107375577285e-05,2.076477903756313e-05,3.407274307392072e-05,6.266351396334352e-05,0.0002359750069444999
800,2.4347416413474465e-05,2.1138539523235522e-05,3.651000624813603e-05,6.690878784866072e-05,0.0002679964527487755
900,2.292633584806487e-05,1.984911705221748e-05,3.4217500797240064e-05,6.246788332646245e-05,0.00023688578221481293
1000,2.426570491078756e-05,2.1085722437419463e-05,3.610158892115578e-05,6.588684096641368e-05,0.0002779794158414006
1100,2.4392168489951798e-05,2.136989223799901e-05,3.5836194365401744e-05,6.513785403512879e-05,0.00024646861129440367
1200,2.318901651078345e-05,2.0076753571629524e-05,3.462303357082419e-05,6.447746964113319e-05,0.00023771529959049076
1300,2.590510638767503e-05,2.2419687411456835e-05,3.8381135527743024e-05,7.068421648000362e-05,0.0002867141447495669
1400,2.3959982999936135e-05,2.1023815861553885e-05,3.5746012508752754e-05,6.271549311350094e-05,0.00023348342801909894
1500,2.378982499276629e-05,2.0690442397608422e-05,3.563791142369155e-05,6.348893541144188e-05,0.0002507753379177302
1600,2.4019594542398625e-05,2.070009577437304e-05,3.601950593292712e-05,6.663422042038291e-05,0.0002669687382876873
1700,2.3506157608540878e-05,2.0577959730871953e-05,3.458119281276594e-05,6.446140134357845e-05,0.0002272576530231163
1800,2.508752696484569e-05,2.1992739675624762e-05,3.743690176634118e-05,6.782545802707317e-05,0.00023642760061193258
1900,2.4002410241913114e-05,2.103302085743053e-05,3.552301859599538e-05,6.378415506333111e-05,0.0002442286058794707
2000,2.5511157356524e-05,2.179282728320686e-05,3.902796233887784e-05,7.261158141773191e-05,0.00028732113423757255
2100,2.3809421726452373e-05,2.0649293219321407e-05,3.57056051143445e-05,6.592390251171308e-05,0.0002452880726195872
2200,2.453886409420055e-05,2.1258456399664283e-05,3.6590563831850885e-05,6.885917966428677e-05,0.00026856648037210107
2300,2.3809208367110484e-05,2.0617916561604943e-05,3.466924572421703e-05,6.566356074472423e-05,0.00024160734028555453
2400,2.4871164728367783e-05,2.192035572079476e-05,3.640367176558356e-05,6.650427720160223e-05,0.0002292155404575169
2500,2.393661359247433e-05,2.090246107400162e-05,3.5173873038729645e-05,6.401386628567705e-05,0.0002299789630342275
2600,2.4687467074694557e-05,2.171558571717469e-05,3.627659061749e-05,6.446481049351856e-05,0.00026235231780447066
2700,2.5378046914276436e-05,2.208882779086707e-05,3.697859683597926e-05,7.326178238145075e-05,0.0002832445316016674
2800,2.280554538552038e-05,1.98041379917413e-05,3.40233091264963e-05,6.36549066985026e-05,0.000261698936810717
2900,2.534227919070986e-05,2.2191062271303963e-05,3.7084668292663985e-05,6.872485464555207e-05,0.000254217506153509
3000,2.3942332596691896e-05,2.0876581402262673e-05,3.571061934053432e-05,6.541025446495036e-05,0.00026039654039777815
3100,2.4068182680543104e-05,2.094601859425893e-05,3.5428427145234304e-05,6.643429107498373e-05,0.0002466794685460627
3200,2.4968079936483816e-05,2.172532276745187e-05,3.698151558637619e-05,6.77314875065349e-05,0.00026557789533399045
3300,2.5967499847430537e-05,2.276497343700612e-05,3.864571517624426e-05,6.973607421969063e-05,0.0002597671118564904
3400,2.5888246538579252e-05,2.2819200239609927e-05,3.7779430931550445e-05,6.694468327623324e-05,0.0002666864893399179
