step,channel_570,channel_208,channel_53,channel_646,channel_262,channel_62,channel_801,channel_413,channel_854,channel_722,channel_100,channel_415,channel_845,channel_279,channel_35,channel_628,channel_800,channel_762,channel_196,channel_608,channel_185,channel_363,channel_852,channel_512,channel_598,channel_814,channel_276,channel_757,channel_483,channel_643,channel_3,channel_386,channel_326,channel_350,channel_450,channel_70,channel_743,channel_694,channel_479,channel_290,channel_727,channel_440,channel_486,channel_92,channel_173,channel_663,channel_420,channel_553,channel_141,channel_34
0,0.000220150439417921,0.000230727469897829,0.00023040975793264806,8.125844760797918e-05,9.836225217441097e-05,0.0001194421638501808,0.00011129991617053747,9.828965266933665e-05,9.573629358783364e-05,9.548247180646285e-05,9.251546725863591e-05,9.229491115547717e-05,9.161679190583527e-05,9.082230099011213e-05,9.049722575582564e-05,9.0448884293437e-05,8.664400229463354e-05,8.456952491542324e-05,8.454008639091626e-05,8.326812530867755e-05,8.303411595989019e-05,8.266721124527976e-05,8.145202446030453e-05,8.142946171574295e-05,7.997294596862048e-05,7.976587949087843e-05,7.863717473810539e-05,7.834618008928373e-05,7.785100024193525e-05,7.63878197176382e-05,7.456084858858958e-05,7.433972496073693e-05,7.411572732962668e-05,7.407648809021339e-05,7.328974606934935e-05,6.453567038988695e-05,7.272121001733467e-05,7.171638571890071e-05,7.112658204277977e-05,7.076348265400156e-05,7.052570435917005e-05,7.018901669653133e-05,7.017421739874408e-05,6.985590152908117e-05,6.952574040042236e-05,6.941777974134311e-05,6.797261448809877e-05,6.703512917738408e-05,6.700633093714714e-05,6.634679448325187e-05
100,0.00032740255119279027,0.00015825411537662148,0.00016150761803146452,0.0001564866106491536,0.000152378182974644,3.844595994451083e-05,5.132950172992423e-05,3.297612056485377e-05,2.862917426682543e-05,3.510489477775991e-05,5.4110361816128716e-05,2.9966886359034106e-05,3.959408786613494e-05,3.918863876606338e-05,5.142846202943474e-05,3.1912790291244164e-05,3.5833414585795254e-05,3.199566708644852e-05,2.9817922040820122e-05,3.0558778234990314e-05,3.118224412901327e-05,4.05532555305399e-05,3.009868123626802e-05,3.184104571118951e-05,3.397289037820883e-05,3.18309866997879e-05,3.468561772024259e-05,7.163350528571755e-05,4.760059528052807e-05,3.712256147991866e-05,2.80513777397573e-05,3.510867463774048e-05,3.114116407232359e-05,4.5941393182147294e-05,5.662611511070281e-05,7.291659130714834e-05,3.143402500427328e-05,2.8062753699487075e-05,2.5896979423123412e-05,3.195747558493167e-05,3.131902849418111e-05,3.2338019082089886e-05,3.530253889039159e-05,3.075109998462722e-05,3.218050915165804e-05,2.9507740691769868e-05,4.345249544712715e-05,2.8493423087638803e-05,3.3494026865810156e-05,3.239138095523231e-05
200,0.00028927490347996354,0.00015082480967976153,0.00014640176959801465,7.867161912145093e-05,0.00012238214549142867,4.320323932915926e-05,4.427769090398215e-05,2.8868062145193107e-05,2.74181948043406e-05,3.539382669259794e-05,4.6288554585771635e-05,2.6687304853112437e-05,3.156030288664624e-05,2.7145049898535945e-05,4.451450513442978e-05,2.8612772439373657e-05,3.0394880013773218e-05,2.688308450160548e-05,2.8221400498296134e-05,2.773391861410346e-05,2.9316721338545904e-05,3.595054295146838e-05,2.7597388907452114e-05,2.7231812055106275e-05,2.9411994546535425e-05,2.8327585823717527e-05,2.7992453397018835e-05,6.60505102132447e-05,4.1190432966686785e-05,2.9733007977483794e-05,2.704150028876029e-05,3.335664951009676e-05,2.8854288757429458e-05,4.357263242127374e-05,5.4955246014287695e-05,7.088974234648049e-05,2.9648987037944607e-05,2.523780131014064e-05,2.6324431019020267e-05,2.723224497458432e-05,2.7241456336923875e-05,2.8777851184713654e-05,2.9335707949940115e-05,2.49547138082562e-05,3.130822005914524e-05,2.7710379072232172e-05,3.904942059307359e-05,2.576691986178048e-05,3.007223131135106e-05,3.0453600629698485e-05
300,0.0003237237688153982,0.00016153506294358522,0.00016556811169721186,0.00011124077718704939,0.00014081686094868928,3.883086174027994e-05,4.6615565224783495e-05,3.0434728614636697e-05,2.8762256988557056e-05,3.629553611972369e-05,5.193218748900108e-05,2.8905456929351203e-05,3.056673449464142e-05,3.260812081862241e-05,4.7024710511323065e-05,3.124413706245832e-05,3.257091884734109e-05,2.8482709240051918e-05,2.8341450160951354e-05,2.8998621928622015e-05,2.978730117320083e-05,4.1646686440799385e-05,2.7867434255313128e-05,3.008036219398491e-05,2.9703533073188737e-05,2.870238313334994e-05,3.0123075703158975e-05,7.278475823113695e-05,4.424319922691211e-05,3.192161602783017e-05,2.8561056751641445e-05,3.349978578626178e-05,2.746526661212556e-05,5.252878327155486e-05,5.72648314118851e-05,7.082816591719165e-05,3.0209370379452594e-05,2.662192127900198e-05,3.203952292096801e-05,2.9675609766854905e-05,2.8280010155867785e-05,2.9003593226661906e-05,3.209360147593543e-05,2.7316998966853134e-05,3.391863720025867e-05,2.8635669877985492e-05,4.384450949146412e-05,2.88243518298259e-05,3.1225092243403196e-05,3.388792902114801e-05
400,0.00016814100672490895,9.096373833017424e-05,8.393020107178017e-05,3.65718879038468e-05,7.09669038769789e-05,1.829561369959265e-05,2.5362718588439748e-05,1.386512849421706e-05,1.3391666470852215e-05,1.671490645094309e-05,2.4276236217701808e-05,1.3381617463892326e-05,1.441242693545064e-05,1.3505076822184492e-05,2.4195722289732657e-05,1.3473260878527071e-05,1.567642539157532e-05,1.3438860150927212e-05,1.3396397662290838e-05,1.3251190466689877e-05,1.4027663382876199e-05,2.0806199245271273e-05,1.3112492524669506e-05,1.378059278067667e-05,1.3245226909930352e-05,1.4063052731216885e-05,1.3983543794893194e-05,3.550573092070408e-05,2.1299420041032135e-05,1.6500949641340412e-05,1.3210406905272976e-05,1.6993220924632624e-05,1.2455409887479618e-05,2.2682050257571973e-05,2.151471926481463e-05,3.922094401787035e-05,1.419728414475685e-05,1.144663110608235e-05,1.3324655810720287e-05,1.561348108225502e-05,1.1664598787319846e-05,1.573205918248277e-05,1.5253753190336283e-05,1.2679066458076704e-05,1.6437099475297146e-05,1.3907776519772597e-05,1.8285469195689075e-05,1.2454550414986443e-05,1.527938547951635e-05,1.5591287592542358e-05
500,0.00015658652409911156,7.717411062913015e-05,6.741335528204218e-05,3.798888792516664e-05,6.668566493317485e-05,1.6509442502865568e-05,2.4290315195685253e-05,1.3164841220714152e-05,1.2386142770992592e-05,1.4958850442781113e-05,2.3311647964874282e-05,1.2072858226019889e-05,1.3769114048045594e-05,1.2238645467732567e-05,2.579712418082636e-05,1.33531329993275e-05,1.3871787814423442e-05,1.2545247955131344e-05,1.3182187103666365e-05,1.3240202861197758e-05,1.3149347068974748e-05,1.7408641724614426e-05,1.2918208994960878e-05,1.2735486961901188e-05,1.2455060641514137e-05,1.2976795005670283e-05,1.2619299923244398e-05,3.8659072743030265e-05,1.888849146780558e-05,1.3467869393934961e-05,1.2469126886571757e-05,1.466499270463828e-05,1.1622383681242354e-05,2.422238867438864e-05,2.020366082433611e-05,3.72176909877453e-05,1.226395761477761e-05,1.0615099199640099e-05,1.1867771718243603e-05,1.3307049812283367e-05,1.1802618246292695e-05,1.3658231182489544e-05,1.4046661817701533e-05,1.174977205664618e-05,1.4689373529108707e-05,1.2557725312944967e-05,1.9502933355397545e-05,1.1656498827505857e-05,1.4161832041281741e-05,1.5322257240768522e-05
600,0.0001534377079224214,7.839201862225309e-05,0.00010502068471396342,5.060880721430294e-05,6.976741860853508e-05,2.1372463379520923e-05,2.302645953022875e-05,1.3798479812976439e-05,1.3059114280622452e-05,1.7179923816001974e-05,3.544812716427259e-05,1.360558053420391e-05,1.3888078683521599e-05,1.2207494364702143e-05,2.3371745555778034e-05,1.5487956261495128e-05,1.6810459783300757e-05,1.2060611879860517e-05,1.4823321180301718e-05,1.582937329658307e-05,1.7390117136528715e-05,1.78051177499583e-05,1.379005698254332e-05,1.4055213796382304e-05,1.3086402759654447e-05,1.3954288078821264e-05,1.4379374078998808e-05,4.111087037017569e-05,2.2758358682040125e-05,1.481251820223406e-05,1.4480729078059085e-05,2.7403981221141294e-05,1.2788945241481997e-05,2.481426599842962e-05,2.5432218535570428e-05,3.5861758078681305e-05,1.9386217900319025e-05,1.2730726666632108e-05,1.4057702173886355e-05,1.3146528544893954e-05,1.2347456504357979e-05,1.6143787433975376e-05,1.5154942047956865e-05,1.3627361113321967e-05,1.4219838703866117e-05,1.1770594028348569e-05,2.5629304218455218e-05,1.5032566807349212e-05,1.6240712284343317e-05,2.2801690647611395e-05
700,0.00015243592497427016,7.885418744990602e-05,9.84156722552143e-05,4.711599467555061e-05,6.540827598655596e-05,1.9637025616248138e-05,2.4807091904222034e-05,1.5866704416112043e-05,1.3614634553960059e-05,1.728641291265376e-05,3.027756065421272e-05,1.3529842362913769e-05,1.7241540263057686e-05,1.437002811144339e-05,2.5035316866706125e-05,1.545413033454679e-05,1.6106359908008017e-05,1.4060463399800938e-05,1.5996503861970268e-05,1.4283108612289652e-05,1.6826077626319602e-05,2.023147862928454e-05,1.4299334907263983e-05,1.681182584434282e-05,1.680076093180105e-05,1.5041191545606125e-05,1.5086095118022058e-05,3.656072658486664e-05,2.219565249106381e-05,1.5248797353706323e-05,1.4391103832167573e-05,1.9888952010660432e-05,1.4457213183050044e-05,2.2052034182706848e-05,2.6081943360622972e-05,3.674502659123391e-05,1.5011003597464878e-05,1.1898867342097219e-05,1.4389414900506381e-05,1.5561614418402314e-05,1.3846270121575799e-05,1.533866634417791e-05,1.5007242836873047e-05,1.5139947208808735e-05,1.5970630556694232e-05,1.396905463479925e-05,2.025174762820825e-05,1.2895554391434416e-05,1.828869790188037e-05,1.657259235798847e-05
800,0.00015743930998723954,7.994381303433329e-05,8.030014578253031e-05,4.896930840914138e-05,6.894117541378364e-05,1.7234147890121676e-05,2.4296035917359404e-05,1.4078430467634462e-05,1.4702424778079148e-05,1.7014986951835454e-05,2.5659963284851983e-05,1.1762460417230614e-05,1.4596601431549061e-05,1.375343981635524e-05,2.367532579228282e-05,1.5078408068802673e-05,1.4331452803162392e-05,1.454017183277756e-05,1.49422230606433e-05,1.3327070519153494e-05,1.4377745173987933e-05,1.9664177671074867e-05,1.3185438547225203e-05,1.373585473629646e-05,1.444352437829366e-05,1.3905932974012103e-05,1.5093422916834243e-05,3.717416257131845e-05,2.072054849122651e-05,1.6032812709454447e-05,1.3943413250672165e-05,1.6514795788680203e-05,1.2773563867085613e-05,2.079817932099104e-05,2.7073312594438903e-05,3.7385954783530906e-05,1.2053853424731642e-05,1.0299547284375876e-05,1.422927471139701e-05,1.5227951735141687e-05,1.293330751650501e-05,1.5458905181731097e-05,1.41316986628226e-05,1.2299126865400467e-05,1.4686498616356403e-05,1.3599144949694164e-05,2.020977444772143e-05,1.3418250091490336e-05,1.5287687347154133e-05,1.5095179151103366e-05
900,0.00014216653653420508,6.97992363711819e-05,6.843695882707834e-05,4.600426473189145e-05,6.130017573013902e-05,1.6235426301136613e-05,2.157328708563e-05,1.2597830391314346e-05,1.2791396329703275e-05,1.6147490896400996e-05,2.4101926101138815e-05,1.2679482097155415e-05,1.3490594938048162e-05,1.2706233064818662e-05,2.19237626879476e-05,1.2592824532475788e-05,1.5203499970084522e-05,1.1530677511473186e-05,1.3266794667288195e-05,1.2503871403168887e-05,1.428027098882012e-05,1.7670377928880043e-05,1.4379699678102043e-05,1.1067212653870229e-05,1.1841952073154971e-05,1.3589538866654038e-05,1.332767897110898e-05,3.220971848350018e-05,2.0130726625211537e-05,1.3677528841071762e-05,1.3677579772775061e-05,1.6580679584876634e-05,1.3043981198279653e-05,2.0889196093776263e-05,2.5141471269307658e-05,3.478173312032595e-05,1.3420143659459427e-05,1.170816904050298e-05,1.3423527889244724e-05,1.2677508493652567e-05,1.3249616131361108e-05,1.340746894129552e-05,1.4059340173844248e-05,1.2976843208889477e-05,1.4494617062155157e-05,1.2322031579969916e-05,1.9144024918205105e-05,1.2763262930093333e-05,1.3316516742634121e-05,1.4603871022700332e-05
