step,channel_825,channel_159,channel_624,channel_668,channel_838,channel_289,channel_822,channel_388,channel_693,channel_256,channel_238,channel_293,channel_517,channel_694,channel_823,channel_167,channel_629,channel_459,channel_502,channel_133,channel_580,channel_449,channel_608,channel_561,channel_468,channel_374,channel_422,channel_762,channel_572,channel_644,channel_73,channel_252,channel_60,channel_882,channel_648,channel_652,channel_615,channel_371,channel_836,channel_497,channel_582,channel_538,channel_546,channel_63,channel_321,channel_395,channel_717,channel_520,channel_286,channel_847
0,5.265444542601472e-06,2.8816284611821175e-06,2.7994931315333815e-06,4.08237019655644e-06,4.269435521564446e-06,5.012360816181172e-06,2.827628804880078e-06,4.560687102639349e-06,3.88079070035019e-06,5.732256795454305e-06,3.5073460367129883e-06,3.862224275508197e-06,3.215269316569902e-06,1.0879980436584447e-05,6.0725615185219795e-06,4.325254849391058e-06,5.739206244470552e-06,4.093463758181315e-06,4.365060704003554e-06,3.7062718547531404e-06,3.5714936075237347e-06,5.757271082984516e-06,3.74545379600022e-06,7.134758106985828e-06,4.376694050733931e-06,8.710438123671338e-06,5.872252131666755e-06,4.233685103827156e-06,4.5957040128996596e-06,1.4960071894165594e-05,4.8075057748064864e-06,8.795778740022797e-06,7.5509360613068566e-06,1.0055748134618625e-05,3.6443509543460095e-06,6.90606293574092e-06,7.196949809440412e-06,4.7145263124548364e-06,4.928656835545553e-06,3.854157512250822e-06,1.071172664524056e-05,4.241871920385165e-06,3.888265837304061e-06,6.712035428790841e-06,5.085923930892022e-06,5.6385169955319725e-06,4.306404662202112e-06,4.484778855839977e-06,9.818161743169185e-06,7.182404260674957e-06
100,9.60363195190439e-06,1.275020531465998e-05,1.2916506420879159e-05,1.3217928426456638e-05,1.4511120753013529e-05,1.4122379980108235e-05,1.4481615835393313e-05,1.412947221979266e-05,1.7397129340679385e-05,1.8283715689904056e-05,1.9036480807699263e-05,1.927805169543717e-05,1.877885551948566e-05,2.0068157027708367e-05,2.0428249627002515e-05,2.0421015506144613e-05,1.8852872017305344e-05,2.080807462334633e-05,2.0433169993339106e-05,2.1715566617785953e-05,2.2108968551037833e-05,2.2428239390137605e-05,2.275276892760303e-05,2.2738233383279294e-05,2.3751508706482127e-05,2.3350350602413528e-05,2.4063940145424567e-05,2.463408418407198e-05,2.4882456273189746e-05,2.4558990844525397e-05,2.507371573301498e-05,2.384632171015255e-05,2.5468598323641345e-05,2.398964534222614e-05,2.5828969228314236e-05,2.5938261387636885e-05,2.4717852284084074e-05,2.6208037525066175e-05,2.6231373340124264e-05,2.6311670808354393e-05,2.6531908588367514e-05,2.6237261408823542e-05,2.6593717848300003e-05,2.6623236408340745e-05,2.6725900170276873e-05,2.657540790096391e-05,2.7068692361353897e-05,2.7116830096929334e-05,2.7273414161754772e-05,2.7152216716785915e-05
200,9.771114491741173e-06,1.172843712993199e-05,1.2888212950201705e-05,1.2007002624159213e-05,1.3488637705449946e-05,1.4832657143415418e-05,1.3053748261881992e-05,1.3853710697731003e-05,1.642611277929973e-05,1.7632783055887558e-05,1.7950347682926804e-05,1.847023486334365e-05,1.879963747342117e-05,2.000906715693418e-05,1.9051794879487716e-05,1.905003227875568e-05,1.849530599429272e-05,1.979235457838513e-05,2.170493098674342e-05,2.0556275558192283e-05,1.983417314477265e-05,2.105734711221885e-05,2.133801899617538e-05,2.137577575922478e-05,2.2491271010949276e-05,2.4071649022516795e-05,2.460715768393129e-05,2.379307807132136e-05,2.4950164515757933e-05,2.4052329536061734e-05,2.529147604946047e-05,2.544034032325726e-05,2.3174619855126366e-05,2.494540785846766e-05,2.373659663135186e-05,2.4207856768043712e-05,2.6044077458209358e-05,2.488168865966145e-05,2.4548149667680264e-05,2.4113816834869795e-05,2.3206641344586387e-05,2.6570502086542547e-05,2.4897763069020584e-05,2.5955727323889732e-05,2.495590888429433e-05,2.524068440834526e-05,2.4545232008676976e-05,2.5237348381779157e-05,2.7146779757458717e-05,2.6660145522328094e-05
300,1.1090552106907126e-05,1.2927200259582605e-05,1.3258053513709456e-05,1.3488656804838683e-05,1.3519405911210924e-05,1.2850871826231014e-05,1.4932892554497812e-05,1.5132637599890586e-05,1.8409742551739328e-05,1.851305023592431e-05,1.912761217681691e-05,1.944938048836775e-05,1.9992132365587167e-05,1.993523801502306e-05,2.0457378923310898e-05,2.0892430256935768e-05,2.0925748685840517e-05,2.1063371605123393e-05,2.1229767298791558e-05,2.1045232642791234e-05,2.161145857826341e-05,2.1917248886893503e-05,2.258898166473955e-05,2.2767120753997006e-05,2.3322261768043973e-05,2.439230229356326e-05,2.436929389659781e-05,2.4509079594281502e-05,2.480099101376254e-05,2.5096207536989823e-05,2.467482045176439e-05,2.477133966749534e-05,2.5133127564913593e-05,2.5596820705686696e-05,2.542287802498322e-05,2.3791104467818514e-05,2.5584191462257877e-05,2.4817682060529478e-05,2.550225326558575e-05,2.577750274213031e-05,2.409777334833052e-05,2.6075229470734484e-05,2.5613871912355535e-05,2.6386969693703577e-05,2.5037510567926802e-05,2.6965792130795307e-05,2.624336048029363e-05,2.6394336600787938e-05,2.646323264343664e-05,2.734361078182701e-05
400,5.405369392974535e-06,6.242429662961513e-06,7.015249593678163e-06,6.4642013057891745e-06,6.9309007812989876e-06,7.015835308266105e-06,7.760349944874179e-06,8.313879334309604e-06,1.050192895490909e-05,9.053298526850995e-06,9.779617357708048e-06,1.007659375318326e-05,9.751333891472314e-06,1.1699647075147368e-05,1.0473168913449626e-05,1.1232600627408829e-05,9.822148967941757e-06,1.1479567547212355e-05,1.04699238363537e-05,1.0688330803532153e-05,1.0779274816741236e-05,1.125113067246275e-05,1.1591131624300033e-05,1.2677869563049171e-05,1.198980044136988e-05,1.2487844287534244e-05,1.4620910405938048e-05,1.4403395653062034e-05,1.3610251698992215e-05,1.2760860045091249e-05,1.2928530850331299e-05,1.353719926555641e-05,1.2310817510297056e-05,1.2077185601810925e-05,1.3032552487857174e-05,1.2461683581932448e-05,1.257091571460478e-05,1.3772792044619564e-05,1.3718501577386633e-05,1.3681635209650267e-05,1.3198277883930132e-05,1.404014528816333e-05,1.3018871868553106e-05,1.391879686707398e-05,1.551307286717929e-05,1.3642922567669302e-05,1.4440007362281904e-05,1.3255586964078248e-05,1.467241600039415e-05,1.3951846085547004e-05
500,4.797625933861127e-06,6.72672695145593e-06,7.097724846971687e-06,6.8430526880547404e-06,7.138912224036176e-06,6.976679287618026e-06,7.363924396486254e-06,7.666985766263679e-06,8.749931112106424e-06,9.420479727850761e-06,1.0860741895157844e-05,9.32543207454728e-06,9.700177542981692e-06,1.163365686807083e-05,1.0746647603809834e-05,1.144813904829789e-05,9.7881593319471e-06,1.0736759577412158e-05,1.1065613762184512e-05,1.1742981769202743e-05,1.133513796958141e-05,1.0908043805102352e-05,1.2706362213066313e-05,1.1229179108340759e-05,1.170607083622599e-05,1.287557006435236e-05,1.1944492143811658e-05,1.2027369848510716e-05,1.3694179870071821e-05,1.3483178918249905e-05,1.3665860024048015e-05,1.2431716641003732e-05,1.2545800927910022e-05,1.1862233805004507e-05,1.3511178622138686e-05,1.3835790923621971e-05,1.1948014616791625e-05,1.2157466699136421e-05,1.351437094854191e-05,1.3893879440729506e-05,1.2183876606286503e-05,1.4091980119701475e-05,1.4758682482352015e-05,1.482315292378189e-05,1.3962128832645249e-05,1.314933251705952e-05,1.425652953912504e-05,1.3179817869968247e-05,1.3130663319316227e-05,1.4061542970011942e-05
600,4.5876176955061965e-06,6.290688816079637e-06,5.959212558082072e-06,7.027604169707047e-06,6.286561983870342e-06,6.643568667641375e-06,6.838268291176064e-06,7.078117505443515e-06,9.522065738565288e-06,9.43179020396201e-06,9.229747774952557e-06,9.030445653479546e-06,9.755637620401103e-06,1.0592329090286512e-05,1.0638223102432676e-05,9.944872545020189e-06,1.0101884981850162e-05,9.433046216145158e-06,1.1574995369301178e-05,1.0825418030435685e-05,1.082026483345544e-05,1.0868956451304257e-05,1.1454791092546657e-05,1.1393713975849096e-05,1.2045092262269463e-05,1.2082487046427559e-05,1.1812396223831456e-05,1.3111235602991655e-05,1.2870489626948256e-05,1.2742478247673716e-05,1.2559346941998228e-05,1.2049637007294223e-05,1.2636098290386144e-05,1.260385488421889e-05,1.287789382331539e-05,1.1782327419496141e-05,1.3563181710196659e-05,1.168339622381609e-05,1.218843499373179e-05,1.1959305993514135e-05,1.1883143997692969e-05,1.4214419024938252e-05,1.2076626262569334e-05,1.2815554327971768e-05,1.2715368029603269e-05,1.2093320947315078e-05,1.2894728570245206e-05,1.2771521141985431e-05,1.2971690011909232e-05,1.2343160960881505e-05
700,7.574342816951685e-06,7.760561857139692e-06,7.149127668526489e-06,8.296171472466085e-06,8.337280632986221e-06,8.291473022836726e-06,7.779550287523307e-06,9.870752364804503e-06,1.011829408525955e-05,1.1595841897360515e-05,9.465713446843438e-06,9.721150490804575e-06,9.764617061591707e-06,1.1674074812617619e-05,1.0888383258134127e-05,1.1203257599845529e-05,1.0577494322205894e-05,1.1642237950582057e-05,9.770931683306117e-06,1.1449884368630592e-05,1.2627788237296045e-05,1.2487020285334438e-05,1.0453946742927656e-05,1.2455919204512611e-05,1.203691317641642e-05,1.2854112355853431e-05,1.0646383998391684e-05,1.3243990906630643e-05,1.2857838555646595e-05,1.3682427379535511e-05,1.2388149116304703e-05,1.2565014912979677e-05,1.250715649803169e-05,1.3552935342886485e-05,1.2475603398343083e-05,1.311752203037031e-05,1.256875566468807e-05,1.3631092770083342e-05,1.3261007552500814e-05,1.3889528418076225e-05,1.3383601981331594e-05,1.349960712104803e-05,1.3478388609655667e-05,1.649103796808049e-05,1.377541684632888e-05,1.319037710345583e-05,1.3285904060467146e-05,1.4345337149279658e-05,1.4426541383727454e-05,1.470987444918137e-05
800,4.55293638879084e-06,5.91628440815839e-06,6.979385943850502e-06,5.695683739759261e-06,6.608225248783128e-06,6.986113021412166e-06,7.24387746231514e-06,7.4104536906816065e-06,8.323161637235899e-06,9.330247848993167e-06,8.508299288223498e-06,1.0254158041789196e-05,9.407604011357762e-06,1.0602531801851e-05,1.097340282285586e-05,9.349777428724337e-06,9.274103831558023e-06,9.667418453318533e-06,1.0281525646860246e-05,1.4139958693704102e-05,1.0518042472540401e-05,1.0582696631900035e-05,1.0932832083199173e-05,1.0027727512351703e-05,1.1738970897567924e-05,1.0595114872558042e-05,1.1986384379270021e-05,1.1544682820385788e-05,1.227485881827306e-05,1.2478236385504715e-05,1.3701737771043554e-05,1.1066769729950465e-05,1.1652553439489566e-05,1.2879333553428296e-05,1.3216134902904741e-05,1.1902169717359357e-05,1.3250619304017164e-05,1.5022038496681489e-05,1.2516938113549259e-05,1.358287045150064e-05,1.138918105425546e-05,1.4501439181913156e-05,1.3500589375325944e-05,1.3562317690229975e-05,1.1828738934127614e-05,1.4908419871062506e-05,1.3559897524828557e-05,1.240022811543895e-05,1.2366368537186645e-05,1.3957695045974106e-05
900,5.580246124736732e-06,6.5689323491824325e-06,6.3926022448868025e-06,6.816075710958103e-06,6.78400738252094e-06,6.3475545175606385e-06,7.389073743979679e-06,7.198700131993974e-06,9.277789104089607e-06,9.050660992215853e-06,9.4848282969906e-06,9.08817401068518e-06,9.213741577696055e-06,1.0590767487883568e-05,1.0064528396469541e-05,1.0593310435069725e-05,1.0056286555482075e-05,9.40726931730751e-06,1.1405436453060247e-05,1.104690909414785e-05,1.0844797543541063e-05,1.3253014003566932e-05,1.0736999684013426e-05,1.1064465979870874e-05,1.1697226000251248e-05,1.2667179362324532e-05,1.1483760317787528e-05,1.2981427062186413e-05,1.198184418171877e-05,1.2073902325937524e-05,1.1823935892607551e-05,1.3858964848623145e-05,1.2170261470600963e-05,1.3441784176393412e-05,1.2425066415744368e-05,1.2076094208168797e-05,1.2136748409830034e-05,1.2246092410350684e-05,1.1961056770815048e-05,1.1984630873485003e-05,1.2796686860383488e-05,1.3980249605083372e-05,1.3028288776695263e-05,1.3255817975732498e-05,1.3498641237674747e-05,1.2985259672859684e-05,1.2893528037238866e-05,1.4044599083717912e-05,1.273647831112612e-05,1.2924101611133665e-05
