step,mean,median,p90,p99,max
0,1.0028970973667388e-05,8.243443062383449e-06,1.5560623069177382e-05,3.9598084185854423e-05,9.310956374974921e-05
100,4.3417915113482965e-05,3.8006201066309586e-05,5.537675315281376e-05,0.00014224071783246377,0.00035796500742435455
200,4.154378101116748e-05,3.5944292903877795e-05,5.322750257619191e-05,0.00015187039462034508,0.00036394476774148643
300,4.639637938746206e-05,4.078696838405449e-05,5.7319437473779544e-05,0.00015294166150852049,0.000358417077222839
400,2.2028477091714676e-05,1.9142727978760377e-05,2.845374729076866e-05,7.823939158697601e-05,0.00017472903709858656
500,2.2523377375046378e-05,1.95163502212381e-05,2.9623921363963746e-05,7.804850356478679e-05,0.00020034663612022996
600,2.280687447807152e-05,1.9975263057858683e-05,2.869251784431981e-05,8.5821141328779e-05,0.0001897960464702919
700,2.2416779731257046e-05,1.9808751858363394e-05,2.801053960865829e-05,7.650347906746896e-05,0.00015718743088655174
800,2.5666540266484905e-05,2.2770946998207364e-05,3.237782948417589e-05,7.750631157250571e-05,0.0001824383216444403
900,2.289522715042442e-05,1.9971079382230528e-05,2.965640669572167e-05,8.312083991768295e-05,0.00020534468058031052
1000,2.315523088816266e-05,2.0157997823844198e-05,2.9393177101155743e-05,8.46685128635726e-05,0.00019028421957045794
1100,2.3200852806310695e-05,2.0337384739832487e-05,3.0328191314765718e-05,8.599232351116366e-05,0.00018934669787995517
1200,2.3248558397557873e-05,2.0508712623268366e-05,3.0916507967049256e-05,7.395086322503579e-05,0.00018229824490845203
1300,2.4467069841858725e-05,2.160795975214569e-05,3.088850462518167e-05,8.386943627556305e-05,0.00020970997866243124
1400,2.20669217961584e-05,1.9237779270042665e-05,2.82390810752986e-05,8.179761935025444e-05,0.0001811481488402933
1500,2.2324275396933585e-05,1.9610393792390823e-05,2.8154049687145744e-05,7.607677907799357e-05,0.0001874113077064976
1600,2.1281274239440657e-05,1.8472022929927334e-05,2.7234827030042652e-05,7.345174199144809e-05,0.00018426751194056123
1700,2.3562923399167435e-05,2.096057687595021e-05,2.989133008668432e-05,7.497069782402824e-05,0.00019012119446415454
1800,2.4966368859656385e-05,2.2128243472252507e-05,3.0958675779402256e-05,8.612197525508223e-05,0.00020121235866099596
1900,2.3077234838956135e-05,2.005523674597498e-05,2.97893375318381e-05,8.036534163693373e-05,0.00019382596656214446
2000,2.2791944400103936e-05,2.001527445827378e-05,2.845652670657728e-05,8.199842122849045e-05,0.00017747792298905551
2100,2.2829223587602803e-05,1.990002692764392e-05,2.9836890462320298e-05,7.900056662037917e-05,0.0001977209176402539
2200,2.3415536773136697e-05,2.0504126950982027e-05,3.07239042740548e-05,8.598682325100518e-05,0.00020146842871326953
2300,2.3497723480156045e-05,2.0887166101601906e-05,2.9637622901645955e-05,7.814213895471743e-05,0.00015744614938739687
2400,2.3500222464532617e-05,2.0602208678610623e-05,3.0147238248900976e-05,8.233119842770971e-05,0.000197750618099235
2500,2.3415171459968092e-05,2.047585257969331e-05,2.9923187867098022e-05,8.46760925924172e-05,0.00019279391563031822
2600,2.348054944792003e-05,2.056039284070721e-05,2.985465107485652e-05,8.324949521920638e-05,0.00019607732247095555
2700,2.31994545657794e-05,2.0766475245181937e-05,2.9201700272096787e-05,7.171965116867785e-05,0.0001742378226481378
2800,2.0929295314260038e-05,1.8155011275666766e-05,2.7340755877958145e-05,7.898477451817598e-05,0.00018488902423996478
2900,2.30858208612699e-05,2.0390636564115994e-05,2.8433112674974836e-05,8.138188677548892e-05,0.00017010279407259077
3000,2.2870496046481898e-05,2.0053978005307727e-05,2.974534891109215e-05,7.969759790284988e-05,0.00019436115690041333
3100,2.4145061199298823e-05,2.144526570191374e-05,3.0669800253235735e-05,7.791018142597741e-05,0.00020199462596792728
3200,2.5231266781349554e-05,2.2528178305947222e-05,3.1266967198462225e-05,7.99938316049514e-05,0.00019936711760237813
3300,2.3548385621431833e-05,2.0710614080599044e-05,3.0300026992335916e-05,7.407858611259115e-05,0.00018928508507087827
3400,2.461046710972819e-05,2.1933705284027383e-05,3.086001561314333e-05,8.573798477300438e-05,0.00018741469830274582
3500,2.3002509194545796e-05,2.0230348127370235e-05,2.9373140023380984e-05,8.159518838510827e-05,0.00019455190340522677
3600,2.3603134232441647e-05,2.1057543563074432e-05,2.907348971348256e-05,7.424033210554614e-05,0.00015754309424664825
3700,2.3547688104340126e-05,2.0718208361358847e-05,3.065523924306035e-05,8.32541216368554e-05,0.00019091246940661222
3800,2.1690722447414196e-05,1.8934289983008057e-05,2.8253713026060723e-05,7.108734353096212e-05,0.00019206861907150596
3900,2.3223018773523207e-05,2.029431561823003e-05,2.9349352189456113e-05,7.565376654383683e-05,0.00018285489932168275
4000,2.285010519211182e-05,2.0259481971152127e-05,2.9043569156783633e-05,7.43229411455101e-05,0.0001828437380027026
4100,2.313057040332594e-05,2.0296047296142206e-05,3.0112219974398613e-05,8.22044938104222e-05,0.00018557978910394013
4200,2.3631470987637926e-05,2.065705666609574e-05,3.076356733799912e-05,8.52963792567605e-05,0.00019625548156909645
4300,2.1558084170576158e-05,1.862517456174828e-05,2.7671141651808284e-05,8.117508223222089e-05,0.00019380355661269277
4400,2.376681096600513e-05,2.095532454404747e-05,3.0460268135357182e-05,8.477140290779037e-05,0.00020554062211886048
4500,2.2501841364430675e-05,1.9768267520703375e-05,2.943621984741185e-05,7.638002280145845e-05,0.0001750676310621202
4600,2.169624577771526e-05,1.8977682884724345e-05,2.7389592105464544e-05,8.328330259246285e-05,0.00019220808462705463
4700,2.4026009070857563e-05,2.1212004867265932e-05,3.067336365347728e-05,7.887251122156107e-05,0.0001941165974130854
4800,2.326377004331042e-05,2.0319808754720725e-05,2.9871054721297696e-05,8.215335983550147e-05,0.00019055612210649997
4900,2.2748178669397744e-05,2.002855671889847e-05,2.991239307448268e-05,7.789330520608909e-05,0.00018758229271043092
5000,2.393447773212693e-05,2.1140365788596682e-05,3.0334069379023276e-05,8.492142114846492e-05,0.00016846969083417207
5100,2.5209499616707376e-05,2.2223141968424898e-05,3.237782766518649e-05,8.78678070876046e-05,0.00019692550995387137
5200,2.2515443453917173e-05,1.9750958017539233e-05,2.8916225346620195e-05,7.848118220863393e-05,0.00016924638475757092
