step,mean,median,p90,p99,max
0,4.294089517260196e-05,3.593535257095937e-05,7.392099360004067e-05,0.0001406527422659561,0.00036072320654056966
100,4.898176784460885e-05,4.549009281618055e-05,5.668961784977e-05,9.001919461297704e-05,0.0005576938856393099
200,4.1242156718999746e-05,3.8223646697588265e-05,4.530403566604946e-05,7.991925085661779e-05,0.0005436948267742991
300,4.6434701913582775e-05,4.314621037337929e-05,5.1430895837256685e-05,8.758313779253413e-05,0.0005623758770525455
400,2.181445187367435e-05,2.0109195247641765e-05,2.4743102585489396e-05,4.914761302643423e-05,0.0003121595364063978
500,2.099106934821166e-05,1.9412150322750676e-05,2.3619688363396563e-05,4.376339729787956e-05,0.0003130750556010753
600,2.3584630912589143e-05,2.1524442672671285e-05,2.892339489335427e-05,5.8126653675571996e-05,0.00028833039687015116
700,2.305104938288679e-05,2.13552666536998e-05,2.6176533538091462e-05,4.7358244773931365e-05,0.0002849453885573894
800,2.2210615987668302e-05,2.0693481019407045e-05,2.497386230970733e-05,4.458970597624942e-05,0.0002869134768843651
900,2.0527462878188502e-05,1.9067927496507764e-05,2.2850435016152915e-05,4.2567747914289915e-05,0.00026895839255303144
1000,2.2105396393785298e-05,2.0503550331341103e-05,2.4783376829873305e-05,4.345074521552242e-05,0.0002839037333615124
1100,2.2919018483344038e-05,2.1381979422585573e-05,2.634102293086471e-05,4.718812724604498e-05,0.0002840951201505959
1200,2.8122414201866724e-05,2.550152385083493e-05,3.786723391385749e-05,5.733718335250119e-05,0.00029566188459284604
1300,2.0810218627320687e-05,1.9279161278973334e-05,2.3357149984803982e-05,4.281345645722414e-05,0.00026839360361918807
1400,2.1977416461292443e-05,2.0338111426099204e-05,2.4798752747301478e-05,4.427811963978411e-05,0.00029829685809090734
1500,2.289518552302448e-05,2.1268677301122807e-05,2.5877102416416164e-05,5.385723889048669e-05,0.00027467150357551873
1600,2.35733606340216e-05,2.207666966569377e-05,2.670566664164653e-05,4.403759066917644e-05,0.0002934474032372236
1700,2.2200513445932595e-05,2.0839004719164222e-05,2.4654609660501592e-05,4.186793958069696e-05,0.000280171720078215
1800,2.3017940572253197e-05,2.154252342734253e-05,2.5666360670584254e-05,4.588972533383603e-05,0.00029038434149697423
1900,2.287132101248614e-05,2.1216900677245576e-05,2.7248557671555318e-05,3.9911751446197264e-05,0.0002593484241515398
2000,2.6497651548417233e-05,2.4739204491197597e-05,3.173129334754776e-05,4.8157736091524505e-05,0.0003110947727691382
2100,2.4015997019328455e-05,2.2345113393384963e-05,2.8450385798350908e-05,4.2079280865436175e-05,0.00029292848194018006
2200,2.298728196592492e-05,2.1473809283634182e-05,2.561750625318382e-05,4.2131800546484565e-05,0.000292239710688591
2300,2.685351988474765e-05,2.5424246814509388e-05,3.124378781649284e-05,5.246742330200474e-05,0.0002964441373478621
2400,2.578427769904325e-05,2.4105954253172968e-05,2.9301305403350852e-05,4.945301025145403e-05,0.0003260465746279806
2500,2.4308714460725372e-05,2.2644709133601282e-05,2.7173936359758954e-05,4.591344695654626e-05,0.00031068548560142517
2600,2.4889085512660607e-05,2.321594365639612e-05,2.820338795572752e-05,4.978613524144715e-05,0.00031907111406326294
