step,channel_190,channel_314,channel_47,channel_590,channel_91,channel_605,channel_878,channel_864,channel_377,channel_299,channel_150,channel_842,channel_541,channel_205,channel_831,channel_416,channel_620,channel_27,channel_463,channel_477,channel_527,channel_691,channel_743,channel_322,channel_674,channel_478,channel_398,channel_102,channel_819,channel_817,channel_547,channel_426,channel_21,channel_837,channel_43,channel_0,channel_95,channel_769,channel_201,channel_791,channel_69,channel_784,channel_555,channel_2,channel_255,channel_434,channel_894,channel_206,channel_22,channel_131
0,3.726768227352295e-06,3.917113645002246e-06,7.020005341473734e-06,3.6627866393246222e-06,4.96822212880943e-06,5.125672942085657e-06,5.242739007371711e-06,7.209720479295356e-06,3.350339511598577e-06,6.511979790957412e-06,4.464178346097469e-06,5.280533059703885e-06,5.700534075003816e-06,8.426043677900452e-06,6.148814009065973e-06,4.077066932950402e-06,3.194910277670715e-06,5.814839823869988e-06,1.2716662240563892e-05,5.325636266206857e-06,5.464929472509539e-06,4.968982921127463e-06,1.162218177341856e-05,7.777065547998063e-06,4.2004435272247065e-06,6.006408511893824e-06,5.3355188356363215e-06,6.521556770167081e-06,7.311744866456138e-06,5.837579919898417e-06,8.055740181589499e-06,6.805200428061653e-06,4.707138486992335e-06,5.693895673175575e-06,1.0813861081260256e-05,3.9777196434442885e-06,5.6274861890415195e-06,9.002454135043081e-06,5.612386758002685e-06,6.020040473231347e-06,6.733735972375143e-06,6.7002224568568636e-06,8.069413524935953e-06,8.580851499573328e-06,5.486060672410531e-06,9.419353773409966e-06,7.37817799745244e-06,7.968801583047025e-06,7.797115358698647e-06,7.0998412411427125e-06
100,1.3421036783256568e-05,1.3738085726799909e-05,1.5287951100617647e-05,1.3797622159472667e-05,1.474389046052238e-05,1.5232721125357784e-05,1.5723304386483505e-05,1.5871846699155867e-05,1.5529261872870848e-05,1.5208757758955471e-05,1.5137825357669499e-05,1.655492997088004e-05,1.6278816474368796e-05,1.5456098481081426e-05,1.6152129319380037e-05,1.5216569408948999e-05,1.658705332374666e-05,1.6234227587119676e-05,1.6986392438411713e-05,1.7347409084322862e-05,1.7517275409772992e-05,1.619673457753379e-05,1.772300311131403e-05,1.6993411918519996e-05,1.7860460502561182e-05,1.5465715478057973e-05,1.6635078281979077e-05,1.8375605577602983e-05,1.781518767529633e-05,1.6835118003655225e-05,1.8039876522379927e-05,1.690989483904559e-05,1.8792261471389793e-05,1.9073206203756854e-05,1.913847154355608e-05,1.7390233551850542e-05,1.8806127627613023e-05,1.8280667063663714e-05,1.8176515368395485e-05,1.965380215551704e-05,1.914499262056779e-05,1.98846773855621e-05,1.8797058146446943e-05,2.015967584156897e-05,2.0224924810463563e-05,1.9641072867671028e-05,1.9923774743801914e-05,2.0315232177381404e-05,2.0372570361359976e-05,1.9710098058567382e-05
200,1.3835758181812707e-05,1.4109888979874086e-05,1.5222328329400625e-05,1.5186828932201024e-05,1.5534549675066955e-05,1.5181629350990988e-05,1.492325736762723e-05,1.5465115211554803e-05,1.6209527530008927e-05,1.592174703546334e-05,1.4981287677073851e-05,1.6422762200818397e-05,1.627942947379779e-05,1.6711164789739996e-05,1.6719406630727462e-05,1.6739564671297558e-05,1.6403411791543476e-05,1.699403946986422e-05,1.7185058823088184e-05,1.709530442894902e-05,1.7306692825513892e-05,1.6903335563256405e-05,1.7515898434794508e-05,1.782264189387206e-05,1.715099460852798e-05,1.7331276467302814e-05,1.8063838069792837e-05,1.8196569726569578e-05,1.7989183106692508e-05,1.8504188119550236e-05,1.7051954273483716e-05,1.889222585305106e-05,1.8017730326391757e-05,1.8674601960810833e-05,1.9335642718942836e-05,1.9422472178121097e-05,1.951709964487236e-05,1.974925362446811e-05,1.9845165297738276e-05,1.9553790480131283e-05,1.9867376977344975e-05,1.8743945474852808e-05,2.001985558308661e-05,2.017735459958203e-05,1.9524017261574045e-05,2.022718581429217e-05,2.0267856598366052e-05,1.9575736587285064e-05,2.0374707673909143e-05,2.0508859961410053e-05
300,1.4039040252100676e-05,1.442814027541317e-05,1.5154726497712545e-05,1.541696474305354e-05,1.539342338219285e-05,1.572110159031581e-05,1.4214111615729053e-05,1.5886542314547114e-05,1.5776520740473643e-05,1.6277272152365185e-05,1.629394137125928e-05,1.6384359696530737e-05,1.6573287211940624e-05,1.6424019122496247e-05,1.6643651179037988e-05,1.5739355148980394e-05,1.6934802260948345e-05,1.5950226952554658e-05,1.6430256437161006e-05,1.722427441563923e-05,1.7356895114062354e-05,1.7531128833070397e-05,1.7492960978415795e-05,1.690107092144899e-05,1.7106345694628544e-05,1.7959268006961793e-05,1.662165959714912e-05,1.7588008631719276e-05,1.843017162173055e-05,1.6317024346790276e-05,1.861386226664763e-05,1.8470813301973976e-05,1.8928640201920643e-05,1.8824941435013898e-05,1.9369294022908434e-05,1.9014085410162807e-05,1.8990862372447737e-05,1.9052666175412014e-05,1.8323862605029717e-05,1.986135248444043e-05,1.8841905330191366e-05,1.8940449081128463e-05,2.0016061171190813e-05,1.9888095266651362e-05,1.891187821456697e-05,1.9185028577339835e-05,1.9772232917603105e-05,1.9419207092141733e-05,1.9981978766736574e-05,1.9351175069459714e-05
400,7.608141004311619e-06,7.519044174841838e-06,7.901436219981406e-06,7.668697435292415e-06,8.427314241998829e-06,8.653024451632518e-06,8.728095053811558e-06,9.045214028446935e-06,8.435299605480395e-06,8.40077245811699e-06,8.604321010352578e-06,9.377168680657633e-06,8.890456228982657e-06,8.165399776771665e-06,8.90734554559458e-06,8.755322596698534e-06,8.84570454218192e-06,8.871886166161858e-06,8.309536497108638e-06,8.988005902210716e-06,9.226110705640167e-06,8.459703167318366e-06,9.925032827595714e-06,9.189760930894408e-06,9.102218427869957e-06,8.987416549643967e-06,8.955370503826998e-06,9.966949619411025e-06,9.062526260095183e-06,8.854040061123669e-06,9.246316949429456e-06,8.851402526488528e-06,9.927864994097035e-06,1.0719654710555915e-05,1.038347454596078e-05,1.0423949788673781e-05,1.0046917850559112e-05,1.0078980267280713e-05,1.080775837181136e-05,1.0495292372070253e-05,1.0203632882621605e-05,1.046994384523714e-05,9.832604519033339e-06,1.0394975106464699e-05,1.0858064342755824e-05,1.061437615135219e-05,1.1642751815088559e-05,1.0806897989823483e-05,9.681761184765492e-06,9.886954103421886e-06
500,7.468288004019996e-06,7.127417120500468e-06,7.517561698477948e-06,7.546067990915617e-06,8.022007023100741e-06,7.801027095410973e-06,8.26250652607996e-06,7.98536348156631e-06,8.0144964158535e-06,8.104671906039584e-06,8.43839552544523e-06,8.665398127050139e-06,9.061481250682846e-06,7.924419151095208e-06,8.676336619828362e-06,9.206130016536918e-06,9.300006240664516e-06,8.705508662387729e-06,8.571842954552267e-06,8.999717465485446e-06,9.610344022803474e-06,8.868782970239408e-06,8.996207725431304e-06,8.593008715251926e-06,8.96900201041717e-06,8.628124305687379e-06,8.74193665367784e-06,9.783754649106413e-06,9.397665053256787e-06,8.683808118803427e-06,9.279985533794388e-06,8.831660124997143e-06,9.528129339742009e-06,9.883863640425261e-06,1.0378249498899095e-05,9.930272426572628e-06,1.0736756848928053e-05,9.472305464441888e-06,9.394384505867492e-06,9.917605893861037e-06,1.0439889592817053e-05,1.0342678251618054e-05,9.861304533842485e-06,1.1048293345083948e-05,9.705374395707622e-06,1.0331629709980916e-05,1.051759045367362e-05,1.0738290256995242e-05,1.1074649592046626e-05,1.0373925761086866e-05
600,7.089064183674054e-06,6.1230484789120965e-06,7.973289939400274e-06,7.725432624283712e-06,7.955637556733564e-06,8.979115591500886e-06,7.963660209497903e-06,8.002704817045014e-06,7.543300398538122e-06,8.574872481403872e-06,7.726556759735104e-06,8.26661562314257e-06,8.708292625669856e-06,8.389054528379347e-06,8.24028848001035e-06,8.104245353024453e-06,9.315488568972796e-06,8.105788765533362e-06,8.257236004283186e-06,8.699085810803808e-06,9.715799933474045e-06,8.8721644715406e-06,9.300595593231265e-06,8.9109462351189e-06,9.101523573917802e-06,8.50690048537217e-06,8.849574442137964e-06,9.066004167834762e-06,9.752285222930368e-06,9.184255759464577e-06,8.910501492209733e-06,9.316442628914956e-06,9.42776387091726e-06,1.0125650078407489e-05,1.0117440979229286e-05,1.0484992344572674e-05,9.080985364562366e-06,1.0261866918881424e-05,9.354760550195351e-06,9.895494258671533e-06,9.86224586085882e-06,9.793592653295491e-06,1.0765168553916737e-05,1.0186857252847403e-05,9.621400749892928e-06,9.526819667371456e-06,1.1260221981501672e-05,9.813170436245855e-06,1.0861810551432427e-05,9.698946996650193e-06
700,6.782446689612698e-06,6.738599040545523e-06,8.499127034156118e-06,7.616843049618183e-06,8.032073310459964e-06,8.332720426551532e-06,8.213723049266264e-06,8.086496563919354e-06,8.435387826466467e-06,8.331311619258486e-06,7.804845154169016e-06,9.471216799283866e-06,8.552056897315197e-06,8.41953260533046e-06,9.227894224750344e-06,8.390569746552501e-06,8.402657840633765e-06,9.060937372851186e-06,7.83617542765569e-06,8.621921551821288e-06,8.953285941970535e-06,9.15643795451615e-06,8.458559022983536e-06,8.42338522488717e-06,9.16887256607879e-06,8.315745617437642e-06,8.063967470661737e-06,8.725766747375019e-06,9.350161235488486e-06,8.282813723781146e-06,9.67285450315103e-06,8.729698492970783e-06,8.913515557651408e-06,9.547205991111696e-06,1.0442414350109175e-05,9.403498552273959e-06,1.1410584193072282e-05,9.532940566714387e-06,1.0440624464536086e-05,9.497459359408822e-06,1.0065899004985113e-05,9.253930329577997e-06,1.043823067448102e-05,1.0807802027557045e-05,1.0222381206403952e-05,1.023067488858942e-05,9.975891771318857e-06,1.2465869076550007e-05,1.173167947854381e-05,1.1242347682127729e-05
800,6.69548080622917e-06,6.962400675547542e-06,7.748660209472291e-06,7.097769866959425e-06,7.854415343899745e-06,8.00222005636897e-06,7.849412213545293e-06,6.7229648266220465e-06,8.69932773639448e-06,7.995041414687876e-06,7.718432243564166e-06,8.230067578551825e-06,8.106307177513372e-06,8.370573596039321e-06,7.488928986276733e-06,8.802262527751736e-06,7.983856448845472e-06,8.134466952469666e-06,7.860998266551178e-06,8.359970706806052e-06,8.73324188432889e-06,8.657066246087197e-06,7.649336112081073e-06,7.973880201461725e-06,8.441977115580812e-06,8.759559932514094e-06,7.847664164728485e-06,8.85965255292831e-06,8.882497240847442e-06,8.369785064132884e-06,8.796076144790277e-06,8.828270438243635e-06,8.913794772524852e-06,1.0027471944340505e-05,1.0760933946585283e-05,1.0426219887449406e-05,9.900984878186136e-06,9.159073670161888e-06,9.413516636413988e-06,1.0065532478620298e-05,9.535222488921136e-06,9.962002877728082e-06,1.0388949704065453e-05,1.017682188830804e-05,1.0653298886609264e-05,9.443405360798351e-06,9.902008059725631e-06,9.025945473695174e-06,9.868070264928974e-06,9.677182788436767e-06
900,7.046431619528448e-06,6.625637979595922e-06,7.599319360451773e-06,7.1700865191814955e-06,7.889951120887417e-06,8.075417099462356e-06,7.491440101148328e-06,7.7121912909206e-06,8.28188694868004e-06,7.914389243524056e-06,7.251469924085541e-06,8.558389708923642e-06,8.834505024424288e-06,8.454377166344784e-06,7.83684299676679e-06,8.275688742287457e-06,8.840629561746027e-06,8.320995220856275e-06,8.38256164570339e-06,8.92580283107236e-06,8.761299795878585e-06,8.790443644102197e-06,8.91211584530538e-06,9.06680816115113e-06,9.24413870961871e-06,9.008885172079317e-06,8.059127139858902e-06,9.080943527806085e-06,9.49037894315552e-06,8.472751687804703e-06,8.648342372907791e-06,8.62216893438017e-06,9.055701411853079e-06,9.709559890325181e-06,1.0628125892253593e-05,1.0169491361011751e-05,9.413314728590194e-06,9.856565156951547e-06,1.0078217201225925e-05,9.747765034262557e-06,9.880908692139201e-06,9.740853784023784e-06,1.0473000656929798e-05,9.972257430490572e-06,9.628813131712377e-06,1.0592786566121504e-05,1.0263107469654642e-05,9.532641342957504e-06,1.0193767593591474e-05,9.646227226767223e-06
