step,channel_570,channel_485,channel_439,channel_58,channel_601,channel_531,channel_208,channel_53,channel_35,channel_728,channel_578,channel_450,channel_690,channel_662,channel_697,channel_337,channel_263,channel_412,channel_876,channel_85,channel_646,channel_410,channel_18,channel_821,channel_76,channel_757,channel_262,channel_738,channel_170,channel_503,channel_584,channel_736,channel_800,channel_80,channel_671,channel_827,channel_549,channel_140,channel_454,channel_123,channel_877,channel_373,channel_45,channel_386,channel_766,channel_257,channel_141,channel_493,channel_427,channel_783
0,7.807002839399502e-05,9.113234409596771e-05,4.717588672065176e-05,7.238901889650151e-05,3.364405711181462e-05,9.000610589282587e-05,8.882852853275836e-05,0.0001288495259359479,3.3448519388912246e-05,3.468091745162383e-05,2.7187346859136596e-05,2.3672660972806625e-05,2.644450250954833e-05,6.560370093211532e-05,4.9542661145096645e-05,5.0134498451370746e-05,3.269639637437649e-05,3.5018336348002777e-05,3.659840513137169e-05,5.764261368312873e-05,3.9243092032847926e-05,1.4292760170064867e-05,3.4192267776234075e-05,4.632159470929764e-05,1.6280722775263712e-05,4.49576873506885e-05,2.575260805315338e-05,2.2858699594507925e-05,3.416458275751211e-05,2.348541238461621e-05,1.9513419829308987e-05,3.1423085602000356e-05,4.8967071052175015e-05,2.0590687199728563e-05,1.558412805025e-05,3.466415000730194e-05,2.241343645437155e-05,2.2708311007590964e-05,2.3263473849510774e-05,3.0146233257255517e-05,2.4147659132722765e-05,2.302102802786976e-05,1.5293459000531584e-05,5.694669744116254e-05,2.5452096451772377e-05,2.484612923581153e-05,1.8663511582417414e-05,2.6745594368549064e-05,3.422312511247583e-05,1.389503086102195e-05
100,0.0004931057337671518,0.0004245794552844018,0.0003249635046813637,0.0003237253986299038,0.00026764781796373427,0.00026410797727294266,0.00023172427609097213,0.0001995213096961379,0.00022645568242296576,0.00022137562336865813,0.00021390430629253387,0.00017918484809342772,0.0001970910670934245,0.00016010839317459613,0.00017308647511526942,0.00019976167823188007,0.00017791541176848114,0.00018130397074855864,0.00017477817891631275,0.00015242118388414383,0.00014183584426064044,0.00013041903730481863,0.0001331957901129499,0.00012749813322443515,0.00013624496932607144,0.0001343987532891333,0.00013404896890278906,0.00012548676750157028,0.00011101615382358432,0.00012979103485122323,9.903292811941355e-05,0.00010226200538454577,0.0001291578373638913,0.00012424588203430176,0.0001170010946225375,0.0001199924954562448,0.00010902521898970008,0.00010602126712910831,0.0001082091112039052,0.00011656578863039613,9.811727068154141e-05,0.00010888805263675749,0.0001008937178994529,0.00010573308099992573,0.0001122450630646199,9.997458982979879e-05,0.00010555519838817418,9.444470197195187e-05,9.176680032396689e-05,0.00010623905109241605
200,0.0005249577225185931,0.0004558395885396749,0.0003394504019524902,0.0003234249306842685,0.00025148410350084305,0.00025493951397947967,0.0002616340934764594,0.00023484125267714262,0.00022888382954988629,0.00018834549700841308,0.00017902441322803497,0.00020786312234122306,0.00019856911967508495,0.00020473907352425158,0.00019991720910184085,0.00018062240269500762,0.00017671656678430736,0.0001685206952970475,0.00016204908024519682,0.00016313033120241016,0.00012862896255683154,0.00012486347986850888,0.00011937309318454936,0.0001217472308780998,0.00012093520490452647,0.0001252324873348698,0.0001220912381540984,0.00013383544865064323,0.0001173303317045793,0.00011139498383272439,0.00013179318921174854,8.844610420055687e-05,0.00011619291035458446,0.0001282666635233909,0.00011069494212279096,0.00010995699994964525,0.00011062570411013439,0.0001008347753668204,0.00011706794612109661,0.00010000226029660553,0.00011511356569826603,0.00010348105570301414,9.133252751780674e-05,0.00011186204210389405,0.0001093235332518816,0.00011172839731443673,0.00010034347360488027,0.00010744667088147253,0.00010694553202483803,9.916549606714398e-05
300,0.00045897680683992803,0.0004025910748168826,0.000334746902808547,0.000321642350172624,0.0002641203464008868,0.0002577335690148175,0.0002559138520155102,0.0001902135118143633,0.00022851931862533092,0.0001932426093844697,0.0001938200439326465,0.00017331901472061872,0.0002055904478766024,0.00019549460557755083,0.00017849884170573205,0.00018587749218568206,0.0001822698104660958,0.00017358179320581257,0.00016072188736870885,0.0001630370388738811,0.00014278132584877312,0.00014078571985010058,0.00013918364129494876,0.00013890725676901639,0.00013081434008199722,0.0001349377998849377,0.00012032293307129294,0.00012866867473348975,0.00013370423403102905,0.00013227095769252628,0.00010708942863857374,0.00013138355279807,0.00011892750626429915,0.0001287279446842149,0.00012482612510211766,0.00012395658995956182,0.00012328539742156863,0.00011770382116083056,0.00010945586109301075,8.707195956958458e-05,0.0001074902102118358,0.00011342261132085696,0.00011259403254371136,0.00011252787953708321,0.00010769427171908319,0.0001109952136175707,0.00011116821406176314,0.00010456528252689168,9.991748083848506e-05,0.00010289494093740359
400,0.00024969884543679655,0.00022055601584725082,0.000182427596882917,0.00018875372188631445,0.00014896935317665339,0.0001281286240555346,0.0001421677297912538,0.00016335176769644022,8.194272959372029e-05,0.0001017336908262223,0.00011490945325931534,9.552490519126877e-05,9.456119732931256e-05,9.978983143810183e-05,9.705450793262571e-05,0.00011222220200579613,9.948118531610817e-05,8.819763752399012e-05,8.512935892213136e-05,8.478301606373861e-05,7.107068086043e-05,7.520779763581231e-05,6.683191168121994e-05,7.474116137018427e-05,6.615110032726079e-05,6.666362605756149e-05,6.023274181643501e-05,6.609341653529555e-05,5.5441745644202456e-05,6.489027146017179e-05,4.642670683097094e-05,5.416373096522875e-05,4.669448026106693e-05,7.317616109503433e-05,5.740408232668415e-05,6.257754284888506e-05,5.254883217276074e-05,4.774795888806693e-05,5.7231962273363024e-05,5.2541283366736025e-05,4.98229346703738e-05,5.517960016732104e-05,5.680023241438903e-05,6.562740600202233e-05,5.157267878530547e-05,5.4738426115363836e-05,5.750607306254096e-05,5.409803270595148e-05,5.113024963065982e-05,5.304804290062748e-05
500,0.00024551438400521874,0.00023252764367498457,0.00016162516840267926,0.000159825969603844,0.00013198463420849293,0.00012374759535305202,0.0001215426018461585,0.00010880679474212229,0.0001222449791384861,0.00011186116171302274,0.00010012689745053649,9.56343428697437e-05,9.583191422279924e-05,9.254376345779747e-05,9.906912600854412e-05,8.195593545679003e-05,8.556802640669048e-05,8.40147040435113e-05,9.264540130971e-05,7.900030323071405e-05,8.022650581551716e-05,6.377058161888272e-05,6.302267865976319e-05,7.274758536368608e-05,6.694697367493063e-05,6.591581768589094e-05,6.324335117824376e-05,5.9329908253857866e-05,6.159095210023224e-05,6.545161886606365e-05,6.123437924543396e-05,6.151292473077774e-05,6.610584387090057e-05,7.131139864213765e-05,7.55954097257927e-05,5.5663505918346345e-05,6.644106906605884e-05,5.844564293511212e-05,4.7551664465572685e-05,4.423450809554197e-05,5.0708502385532483e-05,5.6794069678289816e-05,4.9783986469265074e-05,5.621421223622747e-05,5.457611769088544e-05,5.814393443870358e-05,5.1943665312137455e-05,5.500915358425118e-05,4.9388050683774054e-05,4.7445901145692915e-05
600,0.00025888532400131226,0.0002201769530074671,0.00016644163406454027,0.00016032186977099627,0.00011987407197011635,0.00013132474850863218,0.00013027747627347708,0.00012088347284588963,0.0001226519962074235,0.00012485105253290385,9.13359472178854e-05,8.05102608865127e-05,9.956421126844361e-05,0.00010783876496134326,0.00010666432353900746,9.983673953684047e-05,0.00011204290058230981,8.653079567011446e-05,0.00010240466508548707,9.912325913319364e-05,6.89928638166748e-05,5.6878507166402414e-05,6.802407733630389e-05,7.20140669727698e-05,7.671517960261554e-05,7.080587965901941e-05,7.297569391084835e-05,6.577403837582096e-05,6.195364403538406e-05,7.216150697786361e-05,5.446019713417627e-05,5.466092989081517e-05,7.484155503334478e-05,7.11092070559971e-05,5.398506255005486e-05,6.429354834835976e-05,5.8446872571948916e-05,4.832374906982295e-05,6.465702608693391e-05,5.3833602578379214e-05,6.191000284161419e-05,5.29098033439368e-05,4.9709269660525024e-05,6.23230152996257e-05,5.609645086224191e-05,6.436162220779806e-05,5.044160570832901e-05,5.7406999985687435e-05,6.0317357565509155e-05,5.0505404942668974e-05
700,0.00020049576414749026,0.00020536320516839623,0.0001429945696145296,0.00014991876378189772,9.987318480852991e-05,0.00014165291213430464,0.0001284531463170424,0.00020297571609262377,8.871054888004437e-05,0.0001187385933008045,8.173267269739881e-05,5.884651545784436e-05,7.807346264598891e-05,0.00010274665692122653,8.53360616019927e-05,0.00010583070979919285,7.87156168371439e-05,9.085128840524703e-05,0.00010918510815827176,7.02149118296802e-05,7.057047332637012e-05,7.151063618948683e-05,7.953274325700477e-05,6.272704194998369e-05,5.42065899935551e-05,7.341487798839808e-05,5.9284553572069854e-05,7.270346395671368e-05,5.5707274441374466e-05,6.470306107075885e-05,5.019217132939957e-05,5.6754048273433e-05,6.61862941342406e-05,6.297625077422708e-05,5.035009598941542e-05,5.568917913478799e-05,5.555830284720287e-05,5.758977567893453e-05,5.532420254894532e-05,4.879750849795528e-05,5.506754678208381e-05,4.9171219870913774e-05,6.591661076527089e-05,5.4381496738642454e-05,4.92006802232936e-05,5.567813786910847e-05,4.3437878048280254e-05,4.5062210119795054e-05,4.915664976579137e-05,4.89999474666547e-05
800,0.00022662838455289602,0.00022667781740892678,0.0001692945370450616,0.00021446878963615745,0.00012451647489797324,0.00016404042253270745,0.00012705284461844712,0.00011315234587527812,0.00013542200031224638,0.0001121703753597103,0.00010586570715531707,0.00010329124052077532,9.220234642270952e-05,0.00010276121611241251,0.00010396746802143753,9.312644397141412e-05,9.17891229619272e-05,8.119978156173602e-05,7.60313487262465e-05,7.440700574079528e-05,7.570128218503669e-05,6.188402039697394e-05,7.16696449671872e-05,7.348856888711452e-05,8.648851508041844e-05,6.916357233421877e-05,7.491822907468304e-05,5.593036621576175e-05,6.207818660186604e-05,6.851828948128968e-05,5.611545930150896e-05,7.411067053908482e-05,5.9162364777876064e-05,6.606773240491748e-05,6.651227886322886e-05,5.5108030210249126e-05,6.21120270807296e-05,5.1669205276994035e-05,5.3311749070417136e-05,4.476515459828079e-05,6.0858546930830926e-05,5.7158595154760405e-05,6.153664435259998e-05,6.412143557099625e-05,5.964834781480022e-05,5.538738696486689e-05,5.3617346566170454e-05,4.685800013248809e-05,4.7276389523176476e-05,4.309044379624538e-05
900,0.000310426636133343,0.00024276091426145285,0.0001926720724441111,0.00016702382708899677,0.00012845177843701094,0.00012361083645373583,0.00013690243940800428,9.835296805249527e-05,0.00015406050079036504,9.976204455597326e-05,9.99394542304799e-05,0.00011393366730771959,0.00012556073488667607,0.0001008091785479337,9.318102092947811e-05,9.903119644150138e-05,8.90567316673696e-05,0.00010410181130282581,8.7867105321493e-05,9.180860797641799e-05,7.428921526297927e-05,5.741719724028371e-05,7.169449963839725e-05,6.799185939598829e-05,6.034435864421539e-05,7.748389907646924e-05,7.976466440595686e-05,6.661729275947437e-05,5.975274325464852e-05,7.697649562032893e-05,5.779635830549523e-05,6.7228997068014e-05,5.85642374062445e-05,6.956923607503995e-05,6.204161763889715e-05,6.549048703163862e-05,7.760291919112206e-05,6.240241054911166e-05,5.729447730118409e-05,6.677882629446685e-05,6.0999947891104966e-05,6.880626460770145e-05,5.006654464523308e-05,6.237362686078995e-05,5.2314193453639746e-05,6.892969395266846e-05,6.050061710993759e-05,6.761921395082027e-05,5.027366569265723e-05,5.3399977332446724e-05
1000,0.0002607420610729605,0.00023098413657862693,0.00018337793881073594,0.000175910783582367,0.00013202583068050444,0.00016129855066537857,0.00013089514686726034,0.00011519505642354488,0.00014538280083797872,9.713779581943527e-05,0.00010360263695474714,9.772095654625446e-05,0.00011060738324886188,9.917566057993099e-05,0.00010515301983105019,9.84610669547692e-05,8.895035716705024e-05,8.905435970518738e-05,9.062969184014946e-05,9.474132093600929e-05,7.096574699971825e-05,6.017275882186368e-05,6.387544999597594e-05,7.257160177687183e-05,6.743906124029309e-05,6.741582183167338e-05,7.717579137533903e-05,6.512385880341753e-05,6.287016731221229e-05,7.767960050841793e-05,5.205076377023943e-05,6.521952309412882e-05,6.786368612665683e-05,6.433834641939029e-05,6.331037729978561e-05,5.501397026819177e-05,6.171892891870812e-05,5.35473482159432e-05,5.673992927768268e-05,6.324169225990772e-05,6.212988955667242e-05,6.468393257819116e-05,4.995755443815142e-05,5.6182154366979375e-05,5.695653453585692e-05,6.358086102409288e-05,5.970755228190683e-05,5.565284664044157e-05,4.765410994878039e-05,4.772807369590737e-05
