step,channel_101,channel_107,channel_80,channel_79,channel_84,channel_82,channel_115,channel_109,channel_104,channel_60,channel_28,channel_118,channel_83,channel_57,channel_85,channel_69,channel_103,channel_116,channel_41,channel_20,channel_81,channel_111,channel_72,channel_10,channel_54,channel_108,channel_59,channel_16,channel_89,channel_73,channel_56,channel_65,channel_46,channel_23,channel_24,channel_12,channel_17,channel_22,channel_87,channel_74,channel_18,channel_29,channel_113,channel_110,channel_53,channel_102,channel_71,channel_117,channel_112,channel_68
0,3.322437123642885e-06,7.43279088055715e-06,1.694018101261463e-05,5.383941243053414e-06,8.746926141611766e-06,7.949646715132985e-06,3.6163662571198074e-06,2.0161798602202907e-05,3.468282102403464e-06,1.828233689593617e-05,2.1967758584651165e-05,2.3374974261969328e-05,2.225379466835875e-05,1.4530603948514909e-05,2.4343375116586685e-05,8.902205991034862e-06,8.401515515288338e-06,2.6133100618608296e-05,1.8497030396247283e-05,6.7187675085733645e-06,2.71206081379205e-05,8.004565643204842e-06,2.7894790036953054e-05,1.221961520059267e-05,2.2725625967723317e-05,4.7045850806171075e-06,1.5867330148466863e-05,2.5431489120819606e-05,7.19759009371046e-06,4.73909540232853e-06,2.081475940940436e-05,1.4201075828168541e-05,6.806727014918579e-06,3.150192787870765e-05,1.1214776350243483e-05,3.2176754757529125e-05,1.1158347660966683e-05,1.3310019312484656e-05,3.327387821627781e-05,1.765400156727992e-05,2.493707688699942e-05,3.377754910616204e-05,1.23070440167794e-05,3.5220145946368575e-05,1.1244899724260904e-05,2.3805328964954242e-05,5.440095264930278e-06,1.3457118257065304e-05,1.1294346222712193e-05,2.502557254047133e-05
100,1.4465283129538875e-05,1.625440563657321e-05,1.1738524335669354e-05,1.4065547475183848e-05,1.5554549463558942e-05,1.541091660328675e-05,1.8671484212973155e-05,1.4470942915068008e-05,1.730174153635744e-05,1.9529223209246993e-05,2.3338863684330136e-05,2.1024210582254454e-05,1.5680945580243133e-05,2.1527777789742686e-05,1.8648803234100342e-05,1.9967214029747993e-05,2.5399278456461616e-05,2.4636050511617213e-05,2.5285056835855357e-05,2.4547489374526776e-05,1.5053920833452139e-05,2.766444958979264e-05,2.1756310161435977e-05,2.4813580239424482e-05,2.8248583475942723e-05,1.9469393009785563e-05,2.0809909983654507e-05,2.2207186702871695e-05,2.176984526158776e-05,2.146457518392708e-05,2.332403528271243e-05,2.979672899527941e-05,2.2325331883621402e-05,2.1133871996426024e-05,1.8317081412533298e-05,2.854824560927227e-05,3.101161200902425e-05,2.3597109247930348e-05,1.1415387234592345e-05,2.2238895326154307e-05,2.9897519198129885e-05,3.088104858761653e-05,3.065036435145885e-05,2.3511684048571624e-05,2.749740451690741e-05,3.546000880305655e-05,3.1463339837500826e-05,2.8611273592105135e-05,3.6033445212524384e-05,3.613624721765518e-05
200,1.2397759746818338e-05,1.2738285477098543e-05,1.371627422486199e-05,1.1948969586228486e-05,1.6376228813896887e-05,1.2393576071190182e-05,1.16999199235579e-05,1.3545672118198127e-05,1.4724842003488448e-05,2.0110110199311748e-05,2.0247087377356365e-05,2.022654916800093e-05,1.4547552382282447e-05,2.4103204850689508e-05,2.0702349502244033e-05,1.811726178857498e-05,2.2984027964412235e-05,2.0539713659672998e-05,2.622437386889942e-05,2.584298636065796e-05,9.555347787681967e-06,2.11349888559198e-05,2.393106115050614e-05,2.516327367629856e-05,2.1845342416781932e-05,2.8850588932982646e-05,2.8928459869348444e-05,2.4259374185930938e-05,2.949918052763678e-05,2.521434726077132e-05,2.0975425286451355e-05,2.0316334484959953e-05,3.0165756470523775e-05,2.795568980218377e-05,2.1398247554316185e-05,3.0451306884060614e-05,3.223494059056975e-05,3.171547723468393e-05,1.2068270734744146e-05,1.998830703087151e-05,3.3416457881685346e-05,2.485897857695818e-05,3.016291702806484e-05,2.4225873858085833e-05,3.513204865157604e-05,3.286722130724229e-05,2.4678014597157016e-05,2.75271540886024e-05,2.4529945221729577e-05,2.425865204713773e-05
300,1.6161429812200367e-05,1.5603725842083804e-05,1.3171307728043757e-05,1.7793470760807395e-05,1.8131684555555694e-05,1.8559943782747723e-05,1.5151023944781628e-05,1.4216107956599444e-05,2.0263523765606806e-05,2.054799369943794e-05,2.2041398551664315e-05,1.897098081826698e-05,2.4030927306739613e-05,2.125326864188537e-05,2.061403756670188e-05,2.504882104403805e-05,2.2891388653079048e-05,2.5452252884861082e-05,2.6158128093811683e-05,2.702906567719765e-05,1.3249672520032618e-05,2.6833269657799974e-05,2.6763225832837634e-05,2.814532672346104e-05,2.7144988052896224e-05,2.4723089154576883e-05,2.1154757632757537e-05,2.9291841201484203e-05,2.5292863938375376e-05,1.7674072296358645e-05,2.9661810913239606e-05,2.7453661459730938e-05,2.5170351364067756e-05,2.6139234250877053e-05,3.1659332307754084e-05,2.9660579457413405e-05,2.6023129976238124e-05,3.227218257961795e-05,1.3692889297090005e-05,3.3345208066748455e-05,2.936328928626608e-05,2.5534436645102687e-05,3.422579902689904e-05,2.8714144718833268e-05,3.53348114003893e-05,3.491091410978697e-05,3.566740269889124e-05,3.5923476389143616e-05,3.534726783982478e-05,2.771222534647677e-05
400,6.065388788556447e-06,9.293597031501122e-06,6.49671756036696e-06,7.202346296253381e-06,8.100999366433825e-06,6.021973604219966e-06,8.905640243028756e-06,9.757791303854901e-06,7.818618541932665e-06,1.305893874814501e-05,1.3988572391099297e-05,7.82444840297103e-06,9.726015377964359e-06,1.1275094038865063e-05,9.39938490773784e-06,1.0084630957862828e-05,1.7218222637893632e-05,1.4276898582465947e-05,1.450697618565755e-05,1.8483056919649243e-05,8.367355803784449e-06,1.175366560346447e-05,9.82994788500946e-06,1.575899477757048e-05,1.712419543764554e-05,1.395033632434206e-05,1.4887980796629563e-05,1.5069497749209404e-05,1.1213175639568362e-05,1.1177899978065398e-05,1.569139931234531e-05,1.4876212844683323e-05,2.0066765500814654e-05,1.0376536010880955e-05,1.1641130186035298e-05,2.0400320863700472e-05,2.0342609786894172e-05,1.605683246452827e-05,6.429412223951658e-06,1.2731356946460437e-05,2.0453628167160787e-05,1.6046727978391573e-05,1.4802220903220586e-05,1.4979336810938548e-05,1.705592148937285e-05,1.594231798662804e-05,1.6815311028040014e-05,1.6105808754218742e-05,1.4266561265685596e-05,1.625436379981693e-05
500,5.815345048176823e-06,6.139477136457572e-06,6.837671662651701e-06,6.370130904542748e-06,5.70956490264507e-06,5.2832733672403265e-06,7.2753023232507985e-06,8.0000299931271e-06,7.4146391852991655e-06,1.4436436686082743e-05,1.1284235370112583e-05,5.435078037407948e-06,8.921342669054866e-06,1.0889375516853761e-05,8.512909516866785e-06,8.203832294384483e-06,1.1965362318733241e-05,7.5361203926149756e-06,1.1450731108197942e-05,1.1591182556003332e-05,5.562148999160854e-06,1.7866701455204748e-05,9.612313988327514e-06,9.765681170392781e-06,1.0787709470605478e-05,1.0010527148551773e-05,8.028470801946241e-06,1.1735148291336372e-05,8.403759238717612e-06,7.861551239329856e-06,1.2105872883694246e-05,1.5017426449048799e-05,1.0329648830520455e-05,9.66269726632163e-06,1.3029060028202366e-05,1.2949603842571378e-05,1.2412449905241374e-05,1.1228843504795805e-05,5.065754976385506e-06,9.41949383559404e-06,1.2188370419607963e-05,1.1987367543042637e-05,1.4179010577208828e-05,1.1011321475962177e-05,1.8040071154246107e-05,1.8874059605877846e-05,1.3596267308457755e-05,1.3278249753057025e-05,1.2918244465254247e-05,1.4537008610204794e-05
600,1.0062562068924308e-05,7.617750725330552e-06,7.034269856376341e-06,5.245814918453107e-06,6.725333150825463e-06,5.812056770082563e-06,6.024190042808186e-06,8.447836989944335e-06,8.253199666796718e-06,1.1608041859290097e-05,1.3761097761744168e-05,6.849001238151686e-06,1.3023012797930278e-05,9.089987543120515e-06,7.90177728049457e-06,8.799911483947653e-06,1.0960769941448234e-05,8.117769539239816e-06,1.23105837701587e-05,1.1206756425963249e-05,5.098973815620411e-06,1.2324836461630184e-05,1.320912178925937e-05,1.3852273696102202e-05,1.1726233424269594e-05,1.0784841833810788e-05,9.467146810493432e-06,1.1938636816921644e-05,1.3465183656080626e-05,9.811880772758741e-06,1.1696240107994527e-05,1.2339179193077143e-05,1.1390403415134642e-05,9.317597687186208e-06,1.15785978778149e-05,1.10493974716519e-05,1.2116291145503055e-05,1.0575567102932837e-05,5.068987320555607e-06,8.749393600737676e-06,1.2868018529843539e-05,1.386163967254106e-05,1.1735414773283992e-05,1.6102603694889694e-05,1.263145350094419e-05,1.3804038644593675e-05,1.3733875675825402e-05,1.1271771654719487e-05,1.1756604180845898e-05,1.631198392715305e-05
700,8.528380021743942e-06,6.5487415668030735e-06,7.560235189885134e-06,6.406178272300167e-06,7.626191745657707e-06,6.292659691098379e-06,6.658566690020962e-06,5.111049631523201e-06,1.0374655175837688e-05,9.99795702227857e-06,1.5423676813952625e-05,8.397902092838194e-06,8.407373570662457e-06,9.254165888705757e-06,9.338654308521654e-06,1.0939564162981696e-05,9.757764019013848e-06,1.099114706448745e-05,1.719520332699176e-05,1.2180625162727665e-05,6.671382379863644e-06,1.2779506505466998e-05,1.1170243851665873e-05,1.1400086805224419e-05,1.1545788765943144e-05,1.1157264452776872e-05,1.6922362192417495e-05,1.6394100384786725e-05,1.2753186638292391e-05,1.1156402251799591e-05,1.4806223589403089e-05,1.6051602869993076e-05,1.6838539522723295e-05,9.104506716539618e-06,1.3831550859322306e-05,1.3532846423913725e-05,1.534949660708662e-05,1.4759929399588145e-05,7.111041213647695e-06,1.2313088518567383e-05,2.5435245333937928e-05,1.7737273083184846e-05,1.5897885532467626e-05,1.1106421879958361e-05,1.7668677173787728e-05,1.750566480041016e-05,1.2176076779724099e-05,1.4273585293267388e-05,1.5930301742628217e-05,1.2198246622574516e-05
800,7.034979716991074e-06,7.305749932129402e-06,6.696093805658165e-06,5.981878985039657e-06,7.756579179840628e-06,7.68850622989703e-06,7.185378308349755e-06,5.011248958908254e-06,9.141856935457326e-06,1.2268573300389107e-05,1.266175604541786e-05,6.8123836172162555e-06,1.1265590728726238e-05,9.31858903641114e-06,1.0687458598113153e-05,1.0889235454669688e-05,1.169132247014204e-05,1.2515865819295868e-05,1.4037606888450682e-05,1.2407731446728576e-05,7.068277227517683e-06,1.6561991287744604e-05,1.057807730830973e-05,1.2671350305026863e-05,1.2921834240842145e-05,1.2055314982717391e-05,1.1801404070865829e-05,1.309584786213236e-05,1.2095924830646254e-05,9.096667781705037e-06,1.0964075045194477e-05,1.1525120498845354e-05,1.3388998013397213e-05,1.4176807781041134e-05,1.044994223775575e-05,1.4966505659685936e-05,1.4288784768723417e-05,1.3876946468371898e-05,6.826265234849416e-06,1.142847122537205e-05,1.6328305719071068e-05,2.0053161279065534e-05,1.361172689939849e-05,1.2324046110734344e-05,1.5392144632642157e-05,1.5185035408649128e-05,1.4804060811002273e-05,1.8780765458359383e-05,1.4763064427825157e-05,1.2692778000200633e-05
900,7.506458587158704e-06,5.822305411129491e-06,5.592389243247453e-06,5.139583208801923e-06,7.862598977226298e-06,5.192243861529278e-06,5.8960522437701e-06,6.169525477162097e-06,7.754792932246346e-06,1.0171664143854287e-05,1.1792205441452097e-05,8.475409231323283e-06,1.082245580619201e-05,9.601439160178415e-06,8.116272510960698e-06,1.019483261188725e-05,8.538257134205196e-06,9.653947927290574e-06,1.0278766239935067e-05,9.121095899899956e-06,8.262879418907687e-06,1.28922119984054e-05,1.1468095181044191e-05,1.0006066077039577e-05,1.1573486517590936e-05,1.3128047612553928e-05,1.0098661732627079e-05,8.141020771290641e-06,1.1503191672090907e-05,9.181978384731337e-06,1.2351220902928617e-05,1.304355373576982e-05,1.2396808415360283e-05,8.8748829512042e-06,9.702789611765184e-06,1.2120006431359798e-05,1.2939292901137378e-05,9.621667231840547e-06,6.9323509706009645e-06,1.3061171557637863e-05,1.222509399667615e-05,1.1964577424805611e-05,1.3400529496720992e-05,1.3504490198101848e-05,1.461833653593203e-05,1.7401100194547325e-05,1.345615237369202e-05,1.9651675756904297e-05,1.3608009794552345e-05,1.17631716420874e-05
