step,channel_92,channel_94,channel_27,channel_85,channel_96,channel_124,channel_127,channel_64,channel_76,channel_67,channel_97,channel_113,channel_65,channel_105,channel_71,channel_111,channel_53,channel_77,channel_109,channel_99,channel_47,channel_103,channel_108,channel_79,channel_87,channel_80,channel_101,channel_51,channel_74,channel_66,channel_20,channel_18,channel_115,channel_69,channel_83,channel_119,channel_112,channel_73,channel_98,channel_42,channel_102,channel_106,channel_62,channel_63,channel_91,channel_116,channel_30,channel_59,channel_107,channel_6
0,0.000981634366326034,0.0001405197399435565,0.00036615406861528754,0.00021631753770634532,0.000484281568787992,0.0002092650393024087,0.00012914836406707764,0.00044037896441295743,0.00018318986985832453,0.0003654821775853634,0.0003401641733944416,0.00012300712114665657,0.0002990146749652922,0.00021730654407292604,0.00024906228645704687,5.627387872664258e-05,0.00010078697232529521,0.00012185549712739885,8.38018604554236e-05,5.835099727846682e-05,6.945245695533231e-05,0.00014549269690178335,0.00019973503367509693,3.5071814636467025e-05,0.00012697551574092358,1.8067516066366807e-05,0.00019115881877951324,3.060930612264201e-05,0.00010857455345103517,3.354718137416057e-05,2.5290499252150767e-05,1.5075906958372798e-05,0.00011061001714551821,0.00013870385009795427,4.8900223191594705e-05,7.811207615304738e-05,5.634760236716829e-05,7.289864879567176e-05,0.0001071461447281763,4.854855433222838e-05,3.0437271561822854e-05,8.252543193520978e-05,3.76848183805123e-05,9.618727926863357e-05,4.581933171721175e-05,3.9462865970563143e-05,1.640448135731276e-05,5.656704161083326e-05,3.557071613613516e-05,2.2190904928720556e-05
100,0.0012656041653826833,0.00020875643531326205,0.0005198494764044881,0.00031587446574121714,0.0003282589023001492,0.00027170736575499177,0.000222406568354927,0.00029202643781900406,0.0001825368672143668,0.000286678783595562,0.0002193356049247086,0.00032306340290233493,0.000129986263345927,0.00025538011686876416,0.00018680095672607422,0.00021192770509514958,0.00024307677813339978,0.00016531908477190882,0.0001285625039599836,0.0001042629373841919,0.0001693093654466793,7.509331771871075e-05,0.00010596717038424686,0.0001988288277061656,0.00010973535245284438,0.00012976315338164568,0.00016312295338138938,0.00018403581634629518,9.245089313481003e-05,0.00017373333685100079,0.00017344107618555427,0.00017176437540911138,0.00010977515194099396,7.613956404384226e-05,0.0001303881435887888,4.632087075151503e-05,0.00011215910490136594,5.3414700232679024e-05,0.00014744886721018702,0.00010728890629252419,0.0001432945573469624,9.458432759856805e-05,0.00014242867473512888,0.00014190719230100513,0.00013466778909787536,0.00010976990597555414,0.00013280978600960225,0.00011434619227657095,0.00012303215044084936,7.965951226651669e-05
200,0.0009834261145442724,0.00019806671480182558,0.0004603175329975784,0.00016330966900568455,0.0002897504309657961,0.0002045746223302558,0.0001983597903745249,8.747563697397709e-05,0.0001687277399469167,0.0001511756854597479,0.00019733744557015598,0.00018985717906616628,0.00012115316349081695,0.00025538410409353673,0.00014582400035578758,0.00013345139450393617,0.0001447711983928457,0.00013068776752334088,8.557330147596076e-05,0.00020733285055030137,0.00020610493083950132,7.37030350137502e-05,0.00010429558460600674,7.587746222270653e-05,7.210936018964276e-05,9.929774387273937e-05,0.00011987851758021861,9.312733891420066e-05,8.802882803138345e-05,5.3995590860722587e-05,5.87629183428362e-05,7.905620441306382e-05,0.00010414837015559897,0.00010274087981088087,0.00012048485950799659,9.98428076854907e-05,0.00015326276479754597,6.98760777595453e-05,9.109215170610696e-05,0.00010457428288646042,6.056534039089456e-05,5.977445835014805e-05,8.107312896754593e-05,0.00011023192928405479,8.859978697728366e-05,9.085689089260995e-05,9.279256482841447e-05,0.00010664779983926564,0.00010763234604382887,8.205612539313734e-05
300,0.002953628310933709,0.000791360973380506,0.000542193534784019,0.0006169097614474595,0.0006054584519006312,0.0005040152464061975,0.0004929060814902186,5.284389408188872e-05,0.0003879475989378989,0.00033760155201889575,0.00032128600287251174,0.0002553313970565796,0.00012442610750440508,0.0002859331725630909,0.00019350217189639807,0.0002464205608703196,0.00023299426538869739,0.00022152526071295142,0.000210455124033615,0.0001201090999529697,0.00013748406490776688,0.00018213472503703088,0.0001443999062757939,0.00014367813128046691,0.00019221306138206273,0.00019123479432892054,0.00016882627096492797,6.991115515120327e-05,0.00012103074550395831,9.639940253691748e-05,8.505901496391743e-05,6.47685446892865e-05,0.00017081219993997365,0.0001288053026655689,0.00014009613369125873,0.00015404223813675344,0.0001532053283881396,0.00014994048979133368,0.0001265087485080585,0.00014666584320366383,8.002868707990274e-05,0.00014297952293418348,7.385465141851455e-05,8.065037400228903e-05,8.660353341838345e-05,0.0001085881594917737,6.893436511745676e-05,9.535052959108725e-05,0.00012872532533947378,0.0001286009792238474
400,0.00046206670231185853,0.0001526450942037627,0.00034731661435216665,8.079844701569527e-05,0.00017623387975618243,0.00011656312562990934,0.0001354799314867705,6.074618431739509e-05,6.97254654369317e-05,0.00011306923988740891,0.0001587776787346229,9.696710185380653e-05,7.079773786244914e-05,7.675623783143237e-05,8.699308091308922e-05,7.047115650493652e-05,0.00010340118024032563,6.226861296454445e-05,5.4771728173363954e-05,8.452736801700667e-05,5.604544639936648e-05,3.7844096368644387e-05,8.571483340347186e-05,3.885381738655269e-05,4.632712807506323e-05,3.736556027433835e-05,0.00010755693801911548,3.544195351423696e-05,4.920362334814854e-05,6.143061182228848e-05,2.6631489163264632e-05,2.666763248271309e-05,6.535462307510898e-05,5.0012837164103985e-05,6.959644088055938e-05,3.376146560185589e-05,9.14471602300182e-05,5.6930457503767684e-05,7.565750274807215e-05,5.4522595746675506e-05,4.7934929170878604e-05,5.2193419833201915e-05,3.932942490791902e-05,5.0495465984568e-05,3.4628668799996376e-05,4.28421153628733e-05,2.4422091883025132e-05,4.72752217319794e-05,3.855989780277014e-05,4.785876808455214e-05
500,0.0009537909645587206,0.000167410951689817,0.0003595990710891783,0.00020003078680019826,0.00023511644394602627,0.00015540984168183059,0.0001745406334521249,2.4037406546995044e-05,0.00018430290219839662,0.00024355195637326688,0.00019047516980208457,9.566236258251593e-05,0.00012862648873124272,0.00012398618855513632,8.827856072457507e-05,9.964748460333794e-05,7.996612839633599e-05,6.471121741924435e-05,5.893250636290759e-05,0.00011068792082369328,0.00010645472502801567,4.0251874452224e-05,5.006305218557827e-05,5.3441468480741605e-05,0.00012873196101281792,0.0001249374181497842,0.00010333693353459239,3.1861400202615187e-05,5.3106090490473434e-05,7.114735490176827e-05,2.2882821212988347e-05,3.0322982638608664e-05,0.00013395171845331788,9.272761235479265e-05,7.149380689952523e-05,2.4986678909044713e-05,5.153520396561362e-05,6.401784776244313e-05,7.687296601943672e-05,6.628553092014045e-05,3.673317769425921e-05,4.015293961856514e-05,6.942718027858064e-05,5.411682286649011e-05,9.019042772706598e-05,5.819783837068826e-05,4.76340064778924e-05,6.138216849649325e-05,3.939499947591685e-05,4.1125134885078296e-05
600,0.0006945793866179883,0.0002253464044770226,0.0003161835193168372,0.00010853129788301885,0.0001538177311886102,0.00013034220319241285,0.00011733799328794703,3.894102337653749e-05,8.904444985091686e-05,8.587753836764023e-05,0.00011053227353841066,0.00010999303049175069,3.106794611085206e-05,9.151914127869532e-05,9.154595318250358e-05,6.402786675607786e-05,9.221466461895034e-05,7.684830052312464e-05,5.3581632528221235e-05,0.00015952723333612084,6.030408258084208e-05,3.4755736123770475e-05,8.446089486824349e-05,5.320969285094179e-05,4.354009797680192e-05,4.7499288484686986e-05,9.76818409981206e-05,5.677567605744116e-05,4.961561717209406e-05,4.251784412190318e-05,3.0491417419398203e-05,3.466394264250994e-05,8.379219798371196e-05,3.269525041105226e-05,8.707251981832087e-05,3.1568204576615244e-05,9.496451093582436e-05,3.7686746509280056e-05,6.035074693500064e-05,5.492987475008704e-05,3.4496850275900215e-05,4.9782222049543634e-05,5.8071942476090044e-05,7.099072536220774e-05,5.2829276683041826e-05,3.708396616275422e-05,2.7825599318020977e-05,5.634885383187793e-05,3.8844606024213135e-05,3.8412432331824675e-05
700,0.0007712420774623752,0.0001428618998033926,0.00028053170535713434,0.00014942862617317587,0.0002203616895712912,0.00016006470832508057,0.00011814107710961252,0.00010306899639545009,0.0001031296415021643,0.00010793832188937813,0.0001257461408386007,0.00012122796761104837,3.3189207897521555e-05,0.00012875962420366704,7.657857349840924e-05,6.043602843419649e-05,8.459064702037722e-05,8.714263822184876e-05,4.9478676373837516e-05,3.371063939994201e-05,9.169676923193038e-05,8.844276453601196e-05,3.6507746699498966e-05,5.7872461184160784e-05,5.205897832638584e-05,5.3937052143737674e-05,0.00010936249600490555,3.2202686270466074e-05,7.508556154789403e-05,3.539013414410874e-05,2.9519300369429402e-05,2.963940096378792e-05,5.0125818233937025e-05,3.173729783156887e-05,5.456884900922887e-05,4.2378102079965174e-05,5.12003134645056e-05,0.00010308176570106298,9.642058284953237e-05,5.405764750321396e-05,2.949901499960106e-05,3.2966592698358e-05,5.7943208958022296e-05,4.3788742914330214e-05,3.014970207004808e-05,7.665717566851526e-05,2.8953549190191552e-05,5.0936312618432567e-05,5.485047586262226e-05,5.414111728896387e-05
800,0.0004793620901182294,0.00019710339256562293,0.0002584145113360137,8.637900464236736e-05,0.0001361819013254717,0.00010611059406073764,0.00020869441505055875,0.0002191330277128145,7.282941078301519e-05,8.77427082741633e-05,0.00014852546155452728,0.00011054909555241466,6.480765296146274e-05,9.275104821426794e-05,7.314831600524485e-05,7.646733138244599e-05,0.0001385859795846045,6.896181002957746e-05,4.429601176525466e-05,4.0506904042558745e-05,6.236179615370929e-05,5.972025610390119e-05,5.524879816221073e-05,5.3271458455128595e-05,5.209192750044167e-05,6.622094224439934e-05,6.109851528890431e-05,4.821782204089686e-05,6.544022471643984e-05,4.799676389666274e-05,3.686273703351617e-05,3.7612819141941145e-05,8.264496136689559e-05,7.967499550431967e-05,7.070812716847286e-05,6.538094748975709e-05,5.3577205108013004e-05,4.219844413455576e-05,4.9272366595687345e-05,6.986755761317909e-05,4.2534113163128495e-05,4.243206785758957e-05,3.215903780073859e-05,5.223640619078651e-05,6.945731001906097e-05,6.567758100572973e-05,1.9531462385202758e-05,3.789347465499304e-05,5.128211705596186e-05,3.345291406731121e-05
900,0.0005027637234888971,0.00012049053475493565,0.0003486816422082484,0.0001572544133523479,0.0001782581239240244,9.951585525413975e-05,0.00012572594278026372,4.009943950222805e-05,8.432174945482984e-05,0.00011231788812438026,0.0001282774901483208,0.00010167016444029287,4.0665690903551877e-05,8.734547736821696e-05,8.68335337145254e-05,6.89841981511563e-05,7.892107532825321e-05,5.669188249157742e-05,3.9518752600997686e-05,5.704248178517446e-05,5.861296449438669e-05,3.7143767258385196e-05,7.406259828712791e-05,3.716220089700073e-05,6.199982453836128e-05,3.841365469270386e-05,7.008279499132186e-05,3.0666229577036574e-05,4.3170974095119163e-05,6.59504730720073e-05,3.596516035031527e-05,3.0354856789927e-05,5.481989501276985e-05,0.00013154868793208152,4.941102088196203e-05,4.317238199291751e-05,5.431804311228916e-05,4.914134478894994e-05,4.717479532700963e-05,5.176960621611215e-05,5.044764111516997e-05,3.405201277928427e-05,4.525495751295239e-05,8.799697388894856e-05,3.498146907077171e-05,3.790939081227407e-05,3.220938015147112e-05,6.036027116351761e-05,3.45644039043691e-05,4.285713657736778e-05
