step,mean,median,p90,p99,max
0,1.4616380949572516e-05,7.775297035550466e-06,3.579411713872105e-05,8.323168294737106e-05,0.00022067791724111885
100,3.721496886071358e-05,3.0068365958868526e-05,6.919335646671243e-05,0.00014831418375251776,0.000336827797582373
200,3.2562982453957344e-05,2.768507783912355e-05,5.39800039405236e-05,0.0001380624555167741,0.00031908205710351467
300,3.450850365714432e-05,2.794004922179738e-05,5.914810208196286e-05,0.00015749761951155947,0.0004149556625634432
400,1.891595583953481e-05,1.5540771528321784e-05,3.339136856084224e-05,8.173863061529118e-05,0.00021816026128362864
500,1.6017501686148095e-05,1.3025668522459455e-05,2.8852411560365e-05,7.600708195241165e-05,0.0001571789471199736
600,1.8375680381765847e-05,1.3675651644007303e-05,3.3817934308899567e-05,8.927751550800157e-05,0.000234956358326599
700,1.731348878080447e-05,1.3514040801965166e-05,3.1486788429901935e-05,8.227308098867069e-05,0.00019315487588755786
800,1.602742491625873e-05,1.2839512692153221e-05,2.7605416107689962e-05,7.17856357368873e-05,0.00019250245532020926
900,1.6351915629669073e-05,1.2506496204878204e-05,2.928088269982254e-05,7.919537711131852e-05,0.0002174271212425083
1000,1.7426598286058542e-05,1.3598113127955003e-05,3.192118674633093e-05,8.155890609486943e-05,0.0002073738578474149
1100,1.595627085488565e-05,1.2787341802322771e-05,2.6991600861947518e-05,7.426155971188554e-05,0.00022179412189871073
1200,1.6097306408280332e-05,1.2711765975836897e-05,2.8981155082874466e-05,7.664662516617658e-05,0.00016384910850320011
1300,1.7147277935780636e-05,1.2845352557633305e-05,3.105359792243689e-05,7.60263745178234e-05,0.00017927568114828318
1400,1.699696517373387e-05,1.3997030691825785e-05,2.9088543669786304e-05,7.186539260146668e-05,0.00016488510300405324
1500,1.9604479110313378e-05,1.4680434560432332e-05,3.6115385228185914e-05,9.394276239618128e-05,0.00021790807659272105
1600,1.5766168175699947e-05,1.2914617400383577e-05,2.763991324172821e-05,6.609157389902966e-05,0.00016369015793316066
1700,1.6481952685205264e-05,1.2923520444019232e-05,2.942566334240837e-05,7.378522532235362e-05,0.00019580552179832011
1800,1.745930767922082e-05,1.4092973742663162e-05,3.099284731433727e-05,6.988819732214313e-05,0.00016303815937135369
1900,1.535613945615109e-05,1.234112687598099e-05,2.6470370357856154e-05,6.51649308565538e-05,0.00017037832003552467
2000,1.8483834085155797e-05,1.3945883893029531e-05,3.4190548831247725e-05,8.74382716574473e-05,0.00023573085491079837
2100,1.6699437842136534e-05,1.2782764770236099e-05,3.05702624245896e-05,8.37405335914807e-05,0.0001763291220413521
2200,1.637379491586139e-05,1.2943452475155937e-05,2.802895596687449e-05,7.475371021428134e-05,0.00020859272626694292
2300,1.709319177388226e-05,1.3849942661181558e-05,2.9184508093749173e-05,8.058610364969346e-05,0.00017283146735280752
