step,channel_700,channel_443,channel_636,channel_668,channel_693,channel_659,channel_764,channel_687,channel_685,channel_652,channel_405,channel_629,channel_828,channel_656,channel_411,channel_623,channel_604,channel_315,channel_401,channel_621,channel_123,channel_251,channel_689,channel_595,channel_572,channel_588,channel_649,channel_187,channel_666,channel_696,channel_703,channel_426,channel_613,channel_681,channel_684,channel_617,channel_583,channel_757,channel_429,channel_592,channel_607,channel_639,channel_626,channel_609,channel_635,channel_660,channel_379,channel_606,channel_679,channel_393
0,7.865756924729794e-05,8.75102196005173e-05,0.0003030394727829844,3.1394665711559355e-05,4.476396497921087e-05,1.5153291315073147e-05,2.8728994948323816e-05,2.941614729934372e-05,1.7829806893132627e-05,2.9705315682804212e-05,3.1164348911261186e-05,0.00017750426195561886,6.210953142726794e-05,1.3053627299086656e-05,3.9604139601578936e-05,0.00013903291255701333,0.00013956788461655378,4.1770224925130606e-05,2.0495066564762965e-05,3.137464227620512e-05,6.367988680722192e-05,3.35213408106938e-05,1.6764772226451896e-05,3.314016430522315e-05,3.2540690881432965e-05,0.00012733905168715864,1.1334261216688901e-05,1.574664747749921e-05,1.1475354767753743e-05,1.4288685633800924e-05,3.2606825698167086e-05,1.942973176483065e-05,0.00011684702622005716,1.528998836874962e-05,1.4340272173285484e-05,5.3731178923044354e-05,6.969735841266811e-05,1.6063369912444614e-05,1.956368942046538e-05,2.6466739655006677e-05,0.00011706339864758775,8.819352660793811e-05,0.00011583483137656003,7.621004624525085e-05,6.952531111892313e-05,2.005783790082205e-05,2.155668698833324e-05,0.00010946764814434573,1.0773883332149126e-05,1.611596962902695e-05
100,0.00029465134139172733,0.0004714493697974831,0.0002952446520794183,0.00010276230750605464,0.0001413966965628788,7.770557567710057e-05,0.00023931218311190605,0.00010812853724928573,9.349877655040473e-05,9.673029853729531e-05,0.00021068729984108359,0.00012449438509065658,0.0002030260511673987,8.188941137632355e-05,0.00018067705968860537,0.00010972223390126601,0.00011461689427960664,0.00016469688853248954,0.00016457535093650222,9.45986103033647e-05,0.000160896175657399,0.00013270371709950268,8.730284025659785e-05,9.774470527190715e-05,9.929843508871272e-05,0.00010842584015335888,5.455482823890634e-05,0.00014171266229823232,6.270371522987261e-05,8.999379497254267e-05,0.0001305342884734273,0.00012932191020809114,8.357722981600091e-05,6.0623904573731124e-05,4.386970977066085e-05,8.916770457290113e-05,9.044293983606622e-05,0.0001204829677590169,0.00011925939179491252,9.929507359629497e-05,5.633982800645754e-05,9.856685937847942e-05,3.543286948115565e-05,7.079965143930167e-05,0.00011278913007117808,5.046799924457446e-05,9.475994011154398e-05,5.2467854402493685e-05,5.643822078127414e-05,0.00010817483416758478
200,0.0002665501378942281,0.00033938876003958285,0.00024240664788521826,9.47547669056803e-05,0.000130285436171107,6.089809539844282e-05,0.00013244034198578447,0.00010740560537669808,6.447854684665799e-05,9.680814400780946e-05,0.00013031464186497033,0.0001162536718766205,0.00014521497359964997,6.954422860872e-05,0.0001283141173189506,9.091937681660056e-05,9.343537385575473e-05,0.00011993351654382423,9.532265539746732e-05,8.0170611909125e-05,0.00014436985657084733,0.00015722792886663228,7.376985013252124e-05,8.024139242479578e-05,9.286806744057685e-05,8.575719402870163e-05,4.341838211985305e-05,7.485163223464042e-05,5.336091999197379e-05,5.5631284340051934e-05,8.595416875323281e-05,8.528479520464316e-05,6.480721640400589e-05,6.236248009372503e-05,3.954031126340851e-05,7.021558121778071e-05,6.968029629206285e-05,6.91695895511657e-05,8.453899499727413e-05,7.686286699026823e-05,4.3249878217466176e-05,7.140005618566647e-05,4.7278103011194617e-05,5.9988771681673825e-05,5.060477997176349e-05,7.294044917216524e-05,0.00011163743329234421,4.231376078678295e-05,4.1524861444486305e-05,8.071753836702555e-05
300,0.0006705752457492054,0.0003394980449229479,0.00041822338243946433,0.00028175467741675675,0.0002535439853090793,0.00024613659479655325,0.00016826919454615563,0.0002372886665398255,0.00022995307517703623,0.00021673933952115476,9.564992069499567e-05,0.0002063548454316333,0.00018346741853747517,0.00019039366452489048,0.00012821097334381193,0.00016783906903583556,0.00016576293273828924,0.00012670924479607493,0.00011682710464810953,0.00016402204346377403,0.00015604306827299297,0.00015871613868512213,0.0001554388873046264,0.00014484385610558093,0.00014505747822113335,0.0001431814453098923,0.00014212336100172251,7.345464109675959e-05,0.0001382202171953395,0.00013783889880869538,0.0001358906301902607,8.281566988443956e-05,0.0001283270539715886,0.00012463291932363063,0.00012405237066559494,0.00012371093907859176,0.0001226006861543283,7.313169771805406e-05,8.007511496543884e-05,0.0001179159662569873,4.6603032387793064e-05,0.00011608418571995571,5.0645492592593655e-05,0.0001132860779762268,0.00010015042062150314,0.0001123727488447912,8.668583905091509e-05,6.135414150776342e-05,0.00010876134183490649,8.773189620114863e-05
400,0.00013119626964908093,0.00011302396160317585,0.00015107281797099859,5.276331285131164e-05,7.594976341351867e-05,3.79028933821246e-05,6.933999247848988e-05,5.568935375777073e-05,3.291565735707991e-05,4.517359411693178e-05,4.4696909753838554e-05,7.355098205152899e-05,9.693516039988026e-05,2.9524166166083887e-05,4.5010710891801864e-05,5.694618448615074e-05,6.093024057918228e-05,6.319165549939498e-05,3.4935779694933444e-05,4.399419412948191e-05,6.196009053383023e-05,7.078865019138902e-05,3.637258487287909e-05,4.841813642997295e-05,5.0369282689644024e-05,5.775366662419401e-05,2.4359214876312762e-05,4.4278905988903716e-05,2.82841210719198e-05,2.349586065975018e-05,3.940792885259725e-05,2.90810003207298e-05,4.37941234849859e-05,3.0402716220123693e-05,2.4785547793726437e-05,4.373044794192538e-05,3.981487316195853e-05,3.531518086674623e-05,3.844207094516605e-05,4.019587504444644e-05,2.6102059564436786e-05,3.6808265576837584e-05,2.3671753297094256e-05,3.9988401113078e-05,4.064285894855857e-05,2.5102748622884974e-05,4.665305823436938e-05,2.1890211428399198e-05,2.273349127790425e-05,2.6245717890560627e-05
500,0.00020379404304549098,0.00012361837434582412,0.000164976401720196,8.028640877455473e-05,0.00010815040150191635,4.867851748713292e-05,6.973715062486008e-05,6.959523307159543e-05,5.469088864629157e-05,6.522356125060469e-05,4.680169513449073e-05,9.234702883986756e-05,7.179038220783696e-05,7.884384831413627e-05,5.4599990107817575e-05,6.42767918179743e-05,6.686316919513047e-05,7.717123662587255e-05,4.439679833012633e-05,5.818089994136244e-05,6.848522752989084e-05,5.6736880651442334e-05,5.19976565556135e-05,5.423590846476145e-05,4.364904452813789e-05,5.9181016695220023e-05,4.025226007797755e-05,3.2241165172308683e-05,3.4114113077521324e-05,3.967743759858422e-05,7.674795051570982e-05,3.431639197515324e-05,5.320132549968548e-05,3.671384183689952e-05,3.165544694638811e-05,5.1879629609175026e-05,5.053997665527277e-05,5.111048085382208e-05,4.3146264943061396e-05,5.498427708516829e-05,3.212914089090191e-05,4.554021870717406e-05,2.48448814090807e-05,4.4493513996712863e-05,4.4901706132804975e-05,4.9427002522861585e-05,5.548202170757577e-05,2.780439899652265e-05,2.502255119907204e-05,2.9803310098941438e-05
600,0.00019895733566954732,0.00013197757652960718,0.0001332222018390894,6.60908262943849e-05,8.082987915258855e-05,5.720872286474332e-05,0.00011959289986407384,6.609519914491102e-05,5.430778765003197e-05,6.692497117910534e-05,5.134848106536083e-05,6.053784454707056e-05,7.975065818754956e-05,4.75212509627454e-05,5.5013413657434285e-05,4.993503534933552e-05,5.630187661154196e-05,6.600619235541672e-05,4.538639768725261e-05,4.711071596830152e-05,6.50165238766931e-05,8.354536112165079e-05,4.8598907596897334e-05,4.874142541666515e-05,5.295447044773027e-05,4.854827784583904e-05,3.4263845009263605e-05,5.447265357361175e-05,2.934014264610596e-05,4.471477586776018e-05,4.293404708732851e-05,4.1089737351285294e-05,3.7277590308804065e-05,3.110855323029682e-05,4.315139085520059e-05,3.9498765545431525e-05,4.16605944337789e-05,5.0608716264832765e-05,3.7624828109983355e-05,3.693476173793897e-05,2.6195935788564384e-05,3.7013189285062253e-05,2.231248618045356e-05,3.5131943150190637e-05,4.489658385864459e-05,3.769487011595629e-05,4.878955223830417e-05,3.0374092602869496e-05,2.296573802595958e-05,3.491632378427312e-05
700,0.000200315160327591,0.00012064727343386039,0.00018244684906676412,7.022208592388779e-05,8.113640797091648e-05,5.3067287808516994e-05,8.562688890378922e-05,8.437404903816059e-05,6.68778084218502e-05,6.8338391429279e-05,4.396736767375842e-05,8.600327419117093e-05,8.313009311677888e-05,4.540144800557755e-05,4.9136742745758966e-05,7.237570389406756e-05,8.138213161146268e-05,6.19035999989137e-05,4.50507941422984e-05,6.702604878228158e-05,9.45857900660485e-05,0.00010331478551961482,4.454964437172748e-05,7.826941146049649e-05,6.088246300350875e-05,7.46678706491366e-05,3.78908371203579e-05,5.8893634559353814e-05,4.912714575766586e-05,4.3721916881622747e-05,5.725578739657067e-05,3.481182284303941e-05,5.9012319979956374e-05,5.336734830052592e-05,3.982565976912156e-05,7.101363007677719e-05,6.76022536936216e-05,3.8083719118731096e-05,3.612583168433048e-05,6.74506081850268e-05,2.578680323495064e-05,4.56162124464754e-05,2.216757093265187e-05,4.971958333044313e-05,3.835972529486753e-05,3.917088906746358e-05,6.502376345451921e-05,3.1733674404677004e-05,3.7176454497966915e-05,2.947936263808515e-05
800,0.00024388938618358225,0.00016203678387682885,0.00013383090845309198,9.893858805298805e-05,0.00011854014155687764,5.707950913347304e-05,9.804058936424553e-05,8.545903256163001e-05,8.412859460804611e-05,8.226402860600501e-05,6.434474926209077e-05,6.702206883346662e-05,0.00010543088137637824,7.866707164794207e-05,5.883246922167018e-05,5.25747163919732e-05,6.282252434175462e-05,5.7798606576398015e-05,4.526279735728167e-05,5.258850069367327e-05,5.2249823056627065e-05,5.074997170595452e-05,7.147087308112532e-05,5.0923415983561426e-05,6.281091918935999e-05,5.173745012143627e-05,4.5345401304075494e-05,8.632573735667393e-05,3.650070357252844e-05,4.805884600500576e-05,9.294594201492146e-05,4.6924902562750503e-05,4.432662535691634e-05,6.253438914427534e-05,3.804390871664509e-05,4.813685154658742e-05,4.7981837269617245e-05,4.8438927478855476e-05,3.7944708310533315e-05,5.039513052906841e-05,3.294825728517026e-05,4.076971526956186e-05,2.6019046345027164e-05,3.649989594123326e-05,3.4253436751896515e-05,3.781231862376444e-05,4.201944830128923e-05,2.7132697141496465e-05,3.645075048552826e-05,3.8440888602053747e-05
900,0.00015116558643057942,0.00013338758435565978,0.0001505536347394809,5.097912435303442e-05,7.518394704675302e-05,3.9007521991152316e-05,6.889559153933078e-05,4.8448873712914065e-05,4.7349607484648004e-05,5.3578944061882794e-05,4.870869088335894e-05,6.588495307369158e-05,9.492753451922908e-05,4.952571543981321e-05,4.864091533818282e-05,5.883743870072067e-05,5.764816523878835e-05,6.997095624683425e-05,4.248903860570863e-05,5.3594605560647324e-05,6.195054447744042e-05,7.182710396591574e-05,3.469184957793914e-05,5.362663432606496e-05,5.15491992700845e-05,5.385855911299586e-05,2.3648268324905075e-05,3.248226494179107e-05,3.78006006940268e-05,4.116597483516671e-05,5.033406341681257e-05,3.649068821687251e-05,4.775740308105014e-05,3.1966854294296354e-05,2.3164830054156482e-05,4.742849705507979e-05,4.8090838390635327e-05,3.301551259937696e-05,3.0025290470803156e-05,5.137251355336048e-05,2.8017675504088402e-05,4.70639715786092e-05,2.220754322479479e-05,3.865730468533002e-05,3.6856185033684596e-05,2.5320974600617774e-05,5.105951277073473e-05,3.672735329018906e-05,3.740953980013728e-05,2.74542580882553e-05
