step,channel_594,channel_1197,channel_3545,channel_1052,channel_1946,channel_883,channel_4692,channel_1697,channel_2052,channel_1337,channel_1503,channel_289,channel_3003,channel_1045,channel_3212,channel_2951,channel_294,channel_1627,channel_2417,channel_4455,channel_1526,channel_996,channel_3708,channel_2211,channel_3511,channel_1619,channel_3261,channel_1746,channel_3735,channel_3137,channel_3658,channel_2397,channel_2873,channel_4003,channel_3437,channel_3595,channel_3792,channel_1396,channel_734,channel_4411,channel_733,channel_3878,channel_1037,channel_1109,channel_2998,channel_4328,channel_4021,channel_899,channel_699,channel_1533
0,7.079963779688114e-06,5.054131179349497e-06,2.867831881303573e-06,6.207227215782041e-06,1.0545946679485496e-05,4.252805410942528e-06,4.494703262025723e-06,1.137361232395051e-05,2.5919325707945973e-06,4.346383775555296e-06,1.0675782505131792e-05,1.4779467164771631e-05,1.5947733800203423e-06,4.022600478492677e-06,2.2815434022049885e-06,6.7843066062778234e-06,1.2719959158857819e-05,1.4965879017836414e-05,4.009030362794874e-06,7.456239472958259e-06,3.6440319490793627e-06,5.334683010005392e-06,1.2503071502578678e-06,5.8587456805980764e-06,2.2880881260789465e-06,5.352341304387664e-06,5.176721515454119e-06,1.548382215332822e-06,2.032298652920872e-06,5.9943736232526135e-06,6.982692411838798e-06,9.681697520136368e-06,3.175409574396326e-06,8.326587703777477e-06,1.2291327038838062e-05,1.5910836737020873e-05,6.0003972066624556e-06,3.601643811634858e-06,5.1212459766247775e-06,1.2352996236586478e-05,3.0369676551345037e-06,3.550389919837471e-06,1.890011617433629e-06,7.066419584589312e-06,7.75154785515042e-06,2.707034582272172e-06,1.9223127310397103e-05,6.53467850497691e-06,4.135026756557636e-06,2.2218412141228328e-06
100,7.0520777626370545e-06,8.972511750471313e-06,1.1585676475078799e-05,1.0279789421474561e-05,1.1740425179596059e-05,1.159056591859553e-05,1.2223461453686468e-05,7.398115940304706e-06,1.3213899364927784e-05,1.1682605872920249e-05,1.416095437889453e-05,1.4475467651209328e-05,1.055674238159554e-05,1.5130990504985675e-05,1.3227149793237913e-05,1.4122283573669847e-05,1.224852712766733e-05,1.4788998669246212e-05,1.512811468273867e-05,1.1279897080385126e-05,1.5968314983183518e-05,1.549599073769059e-05,1.1246613212279044e-05,1.591536056366749e-05,1.6261852579191327e-05,1.1335971976222936e-05,1.7014912373269908e-05,1.3833716366207227e-05,1.2129330571042374e-05,1.1686747711792123e-05,1.7801088688429445e-05,1.695627906883601e-05,1.432476256013615e-05,1.632420753594488e-05,1.5648498447262682e-05,1.697934203548357e-05,1.3372041394177359e-05,1.3920507626608014e-05,1.5701185475336388e-05,9.144077012024354e-06,1.8845510567189194e-05,1.8858172552427277e-05,1.477186378906481e-05,1.797390177671332e-05,1.7104865037254058e-05,1.6953012163867243e-05,1.0958794518955983e-05,1.4035467756912112e-05,1.735693876980804e-05,1.2453529052436352e-05
200,8.948180948209483e-06,1.054720542015275e-05,8.514295586792286e-06,1.0462792488397099e-05,8.579768291383516e-06,7.990031008375809e-06,1.241736754309386e-05,1.3201804904383607e-05,9.789171599550173e-06,1.1081528100476135e-05,7.51071956983651e-06,1.3078060874249786e-05,7.107935289241141e-06,1.5224060916807503e-05,1.0913761798292398e-05,1.2516149581642821e-05,1.1054858077841345e-05,1.4475426723947749e-05,1.6399650121456943e-05,1.1396175978006795e-05,1.4324082258099224e-05,1.120420256484067e-05,1.0211364497081377e-05,1.5231522411340848e-05,1.2694955330516677e-05,7.968466888996772e-06,1.005462218017783e-05,8.438316399406176e-06,1.7531430785311386e-05,1.0074178135255352e-05,1.2626779607671779e-05,1.3320161087904125e-05,1.1854640433739405e-05,1.8182103303843178e-05,1.3291935829329304e-05,8.638641702418681e-06,1.7200247384607792e-05,1.859365147538483e-05,9.376615707878955e-06,7.277804343175376e-06,1.0317107808077708e-05,1.1453754268586636e-05,6.516859684779774e-06,1.1785544302256312e-05,1.3817259969073348e-05,1.7803806258598343e-05,6.158881660667248e-06,1.0756658411992248e-05,1.61217922141077e-05,1.265182982024271e-05
300,1.0255271263304166e-05,9.322973710368387e-06,7.134145562304184e-06,9.407996003574226e-06,1.2002750736428425e-05,1.2089614756405354e-05,1.2380349289742298e-05,7.530918537668185e-06,1.0596762876957655e-05,1.0442979146318976e-05,1.306592548644403e-05,9.936210517480504e-06,1.1385341167624574e-05,1.2756418982462492e-05,1.0919894521066453e-05,1.5505187548114918e-05,1.00571205621236e-05,1.3204185961512849e-05,9.970516657631379e-06,1.653463186812587e-05,1.681747926340904e-05,1.6863730706973e-05,8.934603101806715e-06,1.685363895376213e-05,1.665272611717228e-05,1.3025350199313834e-05,1.599389906914439e-05,7.928650120447855e-06,1.0718167686718516e-05,1.2062350833730306e-05,1.437741047993768e-05,1.8100854504154995e-05,1.8141032342100516e-05,1.5710631487309e-05,1.7264577763853595e-05,1.1562630788830575e-05,1.8368902601650916e-05,1.569407140777912e-05,1.8732329408521764e-05,1.1143280062242411e-05,1.4406146874534898e-05,9.976856745197438e-06,1.8882979929912835e-05,1.5818150131963193e-05,1.9100283680018038e-05,1.91531016753288e-05,8.060990694502834e-06,1.6362089809263125e-05,1.9252860511187464e-05,1.5216545762086753e-05
400,4.967483164364239e-06,5.4669890232617036e-06,3.6637875382439233e-06,8.732868082006462e-06,4.892637207376538e-06,4.435725259099854e-06,7.838285455363803e-06,4.572007583192317e-06,4.282562258595135e-06,7.423462648148416e-06,5.0379712774883956e-06,3.835026745946379e-06,3.8431971915997565e-06,3.7127565519767813e-06,4.785350029123947e-06,5.403938303061295e-06,6.914513051015092e-06,5.905350917601027e-06,5.075419267086545e-06,5.123922619532095e-06,6.2874505601939745e-06,4.304428784962511e-06,4.127557986066677e-06,8.699848876858596e-06,6.5975104917015415e-06,5.255851192487171e-06,5.949451406195294e-06,3.7578295177809196e-06,7.419270332320593e-06,1.0614234270178713e-05,6.413568826246774e-06,7.648482096556108e-06,6.7984774432261474e-06,5.638057700707577e-06,9.670764484326355e-06,1.4136538084130734e-05,6.459129963332089e-06,1.0989293514285237e-05,5.2717341532115825e-06,5.8045334299094975e-06,6.987098004174186e-06,3.7620261537085753e-06,3.663312782009598e-06,6.190619387780316e-06,6.8416384237934835e-06,6.963489340705564e-06,4.701783382188296e-06,8.017300388019066e-06,9.329087333753705e-06,1.1106540114269592e-05
500,3.0551896088582e-06,5.1763513511104975e-06,3.2411837764811935e-06,5.934924502071226e-06,7.454791557393037e-06,4.433373305801069e-06,8.580041139794048e-06,3.583931629691506e-06,4.385535703477217e-06,7.051861302898033e-06,4.1332500586577225e-06,5.281543963064905e-06,4.442265890247654e-06,7.234237727971049e-06,4.14157466366305e-06,8.22049241833156e-06,4.0291679397341795e-06,6.100454811530653e-06,4.872773843089817e-06,7.67390156397596e-06,8.73805856826948e-06,4.332215212343726e-06,3.1539775591227226e-06,1.6906105884118006e-05,6.644647783105029e-06,6.14431883150246e-06,3.873209607263561e-06,4.126806288695661e-06,6.278685759752989e-06,5.43553051102208e-06,8.837208042677958e-06,7.159042525017867e-06,7.904571248218417e-06,7.156267201935407e-06,9.624719496059697e-06,5.975318799755769e-06,6.458779807871906e-06,7.485563401132822e-06,3.6621886465582065e-06,4.5757055886497255e-06,3.660499032775988e-06,4.838561835640576e-06,2.3410973426507553e-06,8.653988516016398e-06,6.768389994249446e-06,9.075150046555791e-06,6.503500571852783e-06,7.0466785473399796e-06,1.2127951777074486e-05,1.0546652447374072e-05
600,4.137966698181117e-06,6.003497219353449e-06,4.3644849938573316e-06,7.045338861644268e-06,4.85789360027411e-06,3.5914590625907294e-06,4.901217380393064e-06,3.3841565709735733e-06,8.554548912798055e-06,5.250127742328914e-06,4.76993636766565e-06,4.994643404643284e-06,4.306881237425841e-06,1.0116190424014349e-05,4.080720827914774e-06,1.0349502190365456e-05,2.8552883577503962e-06,9.699824659037404e-06,5.330062776920386e-06,8.650948984723072e-06,7.741689842077903e-06,3.915757133654552e-06,4.511707629717421e-06,7.861483936721925e-06,6.623179160669679e-06,1.7003552784444764e-05,5.431528279586928e-06,3.78359982278198e-06,4.373275714897318e-06,5.921134288655594e-06,7.093213753250893e-06,9.929755833582021e-06,7.933944289106876e-06,6.633405064349063e-06,1.2458286619221326e-05,5.021911420044489e-06,7.826432010915596e-06,1.0087713235407136e-05,7.38885364626185e-06,3.736618054972496e-06,3.7145084661460714e-06,5.2973960009694565e-06,8.73491899255896e-06,9.877981938188896e-06,6.7869459599023685e-06,1.0204381396761164e-05,5.697113465430448e-06,6.83154621583526e-06,1.10914625111036e-05,6.10233064435306e-06
700,4.3512477532203775e-06,3.559652441254002e-06,3.85421299142763e-06,8.687758054293226e-06,7.149417342589004e-06,4.729024567495799e-06,6.482736353063956e-06,6.280141860770527e-06,6.19802904111566e-06,5.323600817064289e-06,8.833882930048276e-06,5.325763595465105e-06,5.500899078469956e-06,5.149088337930152e-06,8.229302693507634e-06,1.2519759366114158e-05,8.355965292139445e-06,1.6091127690742724e-05,7.112685580068501e-06,6.682165803795215e-06,9.142981070908718e-06,5.102914656163193e-06,5.960007001704071e-06,1.0935605132544879e-05,8.06535445008194e-06,4.114002877031453e-06,7.857437594793737e-06,1.1893629562109709e-05,1.2544907804112881e-05,1.0565172487986274e-05,1.2151688679296058e-05,6.842362836323446e-06,9.113070518651512e-06,6.663514341198606e-06,7.862678103265353e-06,8.624037945992313e-06,6.714949449815322e-06,9.948968909156974e-06,5.253076324152062e-06,5.228990175965009e-06,3.707230007421458e-06,5.770618827227736e-06,7.663779797439929e-06,7.701795766479336e-06,6.5806602833617944e-06,1.5800940673216246e-05,3.843747435894329e-06,6.767822014808189e-06,9.298814802605193e-06,9.286422027798835e-06
800,5.817731562274275e-06,5.946259534539422e-06,4.153613645030418e-06,5.472268640005495e-06,6.126334028522251e-06,3.814986939687515e-06,7.36512265575584e-06,3.853774614981376e-06,4.694997642218368e-06,6.601402219530428e-06,3.4140707612095866e-06,4.62405705548008e-06,3.5295734051032923e-06,5.3821368055650964e-06,4.6516588554368354e-06,6.989484973018989e-06,4.829210865864297e-06,6.479781404777896e-06,4.701694706454873e-06,5.626089205179596e-06,8.389831236854661e-06,6.047530860087136e-06,6.853672857687343e-06,9.138947461906355e-06,6.399613994290121e-06,4.431695288076298e-06,8.07980995887192e-06,4.176405127509497e-06,8.670034731039777e-06,1.2740023521473631e-05,8.368605449504685e-06,1.7905666027218103e-05,1.3854751159669831e-05,1.0121947525476571e-05,6.120810212451033e-06,7.578137228847481e-06,8.87441092345398e-06,7.668403668503743e-06,6.492027296189917e-06,3.2840878247952787e-06,6.698477591271512e-06,6.751034561602864e-06,4.041618012706749e-06,1.3120918993081432e-05,1.1346162864356302e-05,1.0749004104582127e-05,3.928043497580802e-06,6.341201242321404e-06,1.2952856195624918e-05,7.031349014141597e-06
900,3.652386567409849e-06,4.771774456457933e-06,4.669768259191187e-06,6.8341323640197515e-06,3.212333467672579e-06,3.256171112298034e-06,5.5511968639621045e-06,3.2510490655113244e-06,5.9844765019079205e-06,4.587878720485605e-06,5.18727938469965e-06,3.7916879591648467e-06,3.6432816159504e-06,6.353224307531491e-06,3.9995966290007345e-06,6.983725143072661e-06,4.798715508513851e-06,9.062753633770626e-06,9.721443348098546e-06,5.054299435869325e-06,7.90448575571645e-06,5.247531589702703e-06,3.6952610571461264e-06,1.2001077266177163e-05,6.675772510789102e-06,5.951076673227362e-06,5.598408733931137e-06,2.45530168285768e-06,5.9122526181454305e-06,5.24486267750035e-06,6.562023827427765e-06,8.431253263552207e-06,6.51780146654346e-06,6.303298505372368e-06,1.2241792319400702e-05,4.618093498720555e-06,7.710933459748048e-06,6.898916126374388e-06,5.5284590416704305e-06,8.010675628611352e-06,4.129440185351996e-06,6.369468792399857e-06,3.458290166236111e-06,6.523944193759235e-06,8.12234702607384e-06,8.966017048805952e-06,4.810141945199575e-06,5.602305918728234e-06,7.824649401300121e-06,7.765517693769652e-06
