step,mean,median,p90,p99,max
0,1.4079639100313781e-05,9.04429816728225e-06,2.9371926211751993e-05,8.252174498920778e-05,0.00022898065799381584
100,4.02507198275708e-05,3.712375291797798e-05,6.225796023500151e-05,0.00010497857692826071,0.00022101055947132409
200,3.840640367588764e-05,3.517103505146224e-05,6.058058315829839e-05,0.00010593108054308682,0.00032153091160580516
300,4.0512049541088924e-05,3.719581764016766e-05,6.385305532603524e-05,0.00010799759904330121,0.0002639618469402194
400,1.930668618815564e-05,1.713837536954088e-05,3.20701248710975e-05,5.856687930645416e-05,0.0001262288715224713
500,2.0020017599311607e-05,1.7920605387189426e-05,3.3103476744145156e-05,5.82428821508074e-05,0.00021662288054358214
600,1.9810035909778296e-05,1.7817513253248762e-05,3.228030982427299e-05,5.593732737906975e-05,0.0001371215475955978
700,2.072722930955781e-05,1.872755728982156e-05,3.334963112138212e-05,5.7379349746042776e-05,0.00012096494174329564
800,1.9136014451996624e-05,1.728820916468976e-05,3.1362465961137787e-05,5.59001492729294e-05,0.0001072363302228041
900,1.8958128167954525e-05,1.6989112737064715e-05,3.13946176902391e-05,5.365985976823139e-05,0.0001606655423529446
1000,2.0024225542171263e-05,1.791265094652772e-05,3.303367375337984e-05,5.807427991385337e-05,0.00012464882456697524
1100,2.0747444133150633e-05,1.8790994545270223e-05,3.408449665585067e-05,5.842604496137936e-05,0.00010043899965239689
1200,1.933699902456036e-05,1.7306398149230517e-05,3.1956618840922595e-05,5.7103749495581706e-05,0.00032689032377675176
1300,2.008593715745115e-05,1.808386696211528e-05,3.295475944469217e-05,5.93331568597932e-05,0.00012319382221903652
1400,2.074768152781596e-05,1.8606966477818787e-05,3.4137939292122606e-05,6.14187897008377e-05,0.00014005792036186904
1500,2.0009890016702808e-05,1.7812657461035997e-05,3.312709595775232e-05,5.857547967025308e-05,0.00012260783114470541
1600,1.8958194750436742e-05,1.6896652596187778e-05,3.1893022242002186e-05,5.8626983518479384e-05,0.00010688634938560426
1700,2.0593793354547297e-05,1.8843277757696342e-05,3.355333537911064e-05,5.911678515985841e-05,0.00014652052777819335
1800,2.1845988923022287e-05,1.9817494830931537e-05,3.539697499945759e-05,5.969016488961639e-05,0.00012307276483625174
1900,2.0207046309725218e-05,1.8241501493321266e-05,3.3394943966413844e-05,5.618671271804484e-05,0.00010755372932180762
2000,2.071289383686585e-05,1.773843905539252e-05,3.518396588333416e-05,6.713707531162071e-05,0.00017186604964081198
2100,2.0476376093463655e-05,1.8775483113131486e-05,3.3660391636658446e-05,5.684486255631781e-05,0.00011737050954252481
2200,2.140715532048999e-05,1.942551989486674e-05,3.484122862573713e-05,6.035006943420736e-05,0.0001436843886040151
2300,2.0485308174970834e-05,1.83589936568751e-05,3.3699689447530544e-05,6.010063647408967e-05,0.0002678091113921255
2400,2.1277129106460274e-05,1.9291521311970428e-05,3.414616949157789e-05,5.843325998284853e-05,0.00012760539539158344
2500,2.134097974337834e-05,1.9299204723211005e-05,3.440575201238971e-05,5.8287823521823074e-05,0.0001504108658991754
2600,2.2532192920552885e-05,2.063190913759172e-05,3.6312254087533796e-05,6.13969082769472e-05,0.00021877394465263933
2700,2.172587400776842e-05,1.9171240637660958e-05,3.5221755751990706e-05,6.439907236199353e-05,0.0004944412503391504
2800,2.048278749834434e-05,1.8277116396347992e-05,3.4407267594360744e-05,5.944674023339754e-05,0.00013219098036643118
2900,2.1841958614444185e-05,2.0053603293490596e-05,3.486867062747478e-05,5.862046058609834e-05,0.00011096005619037896
3000,2.1792800589799144e-05,1.9515398889780045e-05,3.682139358716085e-05,6.332318080239927e-05,0.00012969855742994696
3100,2.080920566690923e-05,1.881531807157444e-05,3.4302077983738856e-05,5.898667848668992e-05,0.00011037784861400723
3200,2.0876907852100595e-05,1.9022471860807855e-05,3.436118240642827e-05,5.8880603937723194e-05,0.0001105112605728209
3300,2.10408960508402e-05,1.9068312212766614e-05,3.4745665834634566e-05,5.690814730769488e-05,0.00011970340710831806
3400,2.1769690242058386e-05,1.99439273274038e-05,3.478527505649253e-05,5.7344246852153395e-05,0.00010393113916506991
3500,2.1791531647234085e-05,1.99415162569494e-05,3.519344754749909e-05,6.148284708615393e-05,0.00013878810568712652
3600,2.1790990627607325e-05,1.9780702132266015e-05,3.563496575225144e-05,6.113767605711468e-05,0.00010136046330444515
3700,2.125424191027523e-05,1.9354525647941045e-05,3.457772654655855e-05,5.683647901605582e-05,0.00015797390369698405
3800,2.140504535317801e-05,1.9288132534711622e-05,3.518658668326679e-05,6.207456041011027e-05,0.00011078318493673578
3900,2.079051629064042e-05,1.8674506463867147e-05,3.420641478442121e-05,6.202244265296026e-05,0.00014181075675878674
4000,2.2110785450370573e-05,2.0055789718753658e-05,3.613796616264153e-05,6.161397090181708e-05,0.0001281025615753606
4100,2.1793019765587773e-05,1.9818089640466496e-05,3.519910824252292e-05,6.082549582060888e-05,0.00012833169603254646
4200,2.2853975879428017e-05,2.0875208065262996e-05,3.70658472093055e-05,6.241224087716545e-05,0.00012275055632926524
4300,2.054200074177565e-05,1.8458918020769488e-05,3.400848654564469e-05,6.044513309461761e-05,0.00017753004794940352
4400,2.141446729602966e-05,1.961753332579974e-05,3.492581672617231e-05,5.941514820733571e-05,0.00012557712034322321
4500,2.2263433911399938e-05,2.0364947886264417e-05,3.5723209657589904e-05,6.2135612606653e-05,0.00012045279436279088
4600,2.311246463235655e-05,2.0869571017101407e-05,3.726024660863913e-05,6.916007776453622e-05,0.00021400257537607104
4700,2.2799322294799284e-05,2.1036538782936987e-05,3.6752135565620846e-05,6.120042176917194e-05,0.0001540026132715866
4800,2.2604116187333777e-05,2.0787970242963638e-05,3.6060878483112904e-05,5.920970852457685e-05,9.237032645614818e-05
4900,2.2780579871139433e-05,2.067031618935289e-05,3.672857601486612e-05,6.492013169918207e-05,9.734282502904534e-05
5000,2.237486594954643e-05,2.0465645320655312e-05,3.53976745827822e-05,5.7351678224222206e-05,0.00013395138375926763
5100,2.365159611305538e-05,2.1971030037093442e-05,3.7683027039747684e-05,6.152028210635758e-05,0.00012126145884394646
5200,2.1250418269315818e-05,1.94469439520617e-05,3.422411391511559e-05,5.491320804139832e-05,0.00014767353422939777
