step,mean,median,p90,p99,max
0,4.026224748088225e-05,3.3152646210510284e-05,7.034090012894011e-05,0.00012533582390460667,0.00021704770915675908
100,6.291897024368609e-05,4.8777470510685816e-05,0.00012161600971012376,0.00018140403582947329,0.00021970923990011215
200,5.0753904048406184e-05,4.260097921360284e-05,8.857903812895528e-05,0.00012521091353846715,0.00015795427316334099
300,5.863355316648722e-05,4.719228127214592e-05,0.00011353193403920158,0.00016928329394431797,0.00019356758275534958
400,2.950120381939314e-05,2.1938850295555312e-05,5.6534101895522325e-05,8.978073179605424e-05,0.0001214392323163338
500,2.7341184846818578e-05,2.129113272530958e-05,5.308643194439355e-05,7.38481192092877e-05,0.00011463843839010224
600,3.5238488649724786e-05,2.6731323487183545e-05,6.937106154509818e-05,0.00010791241038532465,0.00015083971084095538
700,2.8445262572063257e-05,2.1233659026620444e-05,5.6177288570324884e-05,7.265447937243153e-05,0.00011038500815629959
800,2.714027421291121e-05,2.049932663794607e-05,5.5254529797821306e-05,8.084575398243038e-05,0.00010097237100126222
900,2.707113660704863e-05,1.9621094907051884e-05,4.963520805176813e-05,8.316492880112498e-05,9.002686419989914e-05
1000,2.5975465312910728e-05,1.8854169866244774e-05,5.05784191773273e-05,7.228975860925858e-05,0.00011162640294060111
1100,2.5693262664105987e-05,1.89743768714834e-05,5.134807652211748e-05,7.49125966103748e-05,8.621041342848912e-05
1200,2.6909016192178115e-05,2.0461195163079537e-05,4.9174582090927285e-05,8.06216234923341e-05,9.111003600992262e-05
1300,2.6456617064241073e-05,1.9481232811813243e-05,4.978035176463891e-05,8.430111112829768e-05,0.0001117847568821162
1400,2.96111681734601e-05,2.313418826815905e-05,5.7907529117073865e-05,7.786091788148042e-05,8.947536844061688e-05
1500,2.9057070214832947e-05,2.2788026399211958e-05,5.4022332187741994e-05,8.423484840022867e-05,9.188293188344687e-05
1600,3.1289159210246e-05,2.465135094098514e-05,6.0177845443831754e-05,8.276903980004138e-05,0.00011749676923500374
1700,2.465974009879801e-05,1.8900400391430594e-05,4.6102589476504366e-05,6.936814155778853e-05,8.55359248816967e-05
1800,2.5823988060835745e-05,2.0261646568542346e-05,4.919017519569024e-05,6.422192782338244e-05,8.868387521943077e-05
1900,2.7489407749214934e-05,2.0643914467655122e-05,5.2513178889057596e-05,8.37127136765048e-05,9.565097570884973e-05
2000,2.9314486525322536e-05,2.4395935724896844e-05,5.57499544811435e-05,7.45244940480916e-05,9.03912223293446e-05
2100,3.0404217433499525e-05,2.494582258805167e-05,5.783529450127388e-05,7.739530563412702e-05,0.00010037492029368877
2200,2.6626524210371372e-05,1.9436685761320405e-05,4.8487287858733905e-05,9.172174148261557e-05,0.00010711688810260966
2300,2.917587303130631e-05,2.1833842765772715e-05,5.5482789684901944e-05,7.982710470969326e-05,9.271175804315135e-05
2400,3.064565927957119e-05,2.5246555196645204e-05,5.4660100067849266e-05,7.838402387278621e-05,9.58833479671739e-05
2500,2.9665034496417775e-05,2.342457719350932e-05,5.356462424970232e-05,8.69583634630545e-05,0.00011236203863518313
2600,2.7512255179829026e-05,2.0721495275211055e-05,5.432045072666369e-05,7.831629249267282e-05,8.391488518100232e-05
2700,3.0918532360146855e-05,2.464351837261347e-05,5.6735703037702474e-05,0.00010012868719059043,0.00010570228914730251
2800,2.872271701903628e-05,2.176997804781422e-05,5.814201686007436e-05,9.062347591680015e-05,9.671155567048118e-05
2900,3.121510960113483e-05,2.3548820536234416e-05,6.105003085394855e-05,9.418682006071325e-05,0.000136898597702384
3000,3.0169468459462223e-05,2.3790688828739803e-05,5.771615251433104e-05,9.31732159369858e-05,9.49557070271112e-05
3100,2.8242434197522925e-05,2.146980204997817e-05,5.138050837558694e-05,7.261133134306876e-05,0.00011792443547165021
3200,3.190693498567043e-05,2.479092563589802e-05,6.0290020701359023e-05,0.00011503067027661024,0.00012984465865883976
3300,2.838263623061721e-05,2.089609915856272e-05,5.212693104112986e-05,9.477708590566187e-05,0.00011565399472601712
3400,2.896870029189813e-05,2.2687985619995743e-05,5.492823111126199e-05,9.184017035295261e-05,9.600463090464473e-05
3500,2.8430935145706826e-05,2.1656511307810433e-05,5.6299127390957433e-05,8.340467065863779e-05,0.00010370495147071779
3600,3.613232428989477e-05,2.7407935704104602e-05,6.906446433276869e-05,0.00011044503582525076,0.00012532206892501563
3700,3.107860569429022e-05,2.2959820853429846e-05,5.8031392109114675e-05,0.00011416649707825863,0.00012797510134987533
3800,3.166239685015171e-05,2.480024613760179e-05,5.708971220883541e-05,0.00010490572356502537,0.00011685994832077995
3900,3.552361115310987e-05,2.888937797251856e-05,6.37768353044521e-05,9.379926472320224e-05,0.00010411296534584835
4000,3.237086187368732e-05,2.5974415621021762e-05,5.850937741342931e-05,8.194725203793496e-05,0.00015007826732471585
4100,3.2226570745308436e-05,2.4869210392353125e-05,6.55752548482269e-05,8.75847633869853e-05,0.00013721684808842838
4200,2.7732414146441897e-05,2.0874085748801008e-05,5.3552310782833955e-05,7.134833875170444e-05,9.590480476617813e-05
4300,2.767680479109913e-05,2.1886643480684143e-05,5.4697121231583876e-05,7.249229456647302e-05,8.880870882421732e-05
4400,2.8104144789153906e-05,2.11306796700228e-05,5.394409854488913e-05,8.6722408013884e-05,9.02138272067532e-05
