step,channel_19,channel_83,channel_109,channel_99,channel_72,channel_8,channel_24,channel_75,channel_79,channel_70,channel_2,channel_93,channel_42,channel_65,channel_45,channel_35,channel_122,channel_37,channel_13,channel_88,channel_38,channel_4,channel_64,channel_33,channel_92,channel_28,channel_32,channel_85,channel_0,channel_6,channel_74,channel_34,channel_66,channel_127,channel_22,channel_12,channel_76,channel_1,channel_7,channel_40,channel_3,channel_9,channel_123,channel_41,channel_125,channel_52,channel_97,channel_95,channel_56,channel_68
0,0.00021704770915675908,6.533678970299661e-05,9.685359691502526e-05,4.6525714424205944e-05,3.619959170464426e-05,0.00013489500270225108,9.871331712929532e-05,5.570992288994603e-05,6.811813364038244e-05,6.058188955648802e-05,7.807277870597318e-05,4.480408824747428e-05,7.613783236593008e-05,5.4686803196091205e-05,9.949063678504899e-05,8.077931852312759e-05,3.921713141608052e-05,6.850330100860447e-05,6.612199649680406e-05,4.074713433510624e-05,4.38622482761275e-05,2.3326665541389957e-05,4.9664296966511756e-05,6.463464524131268e-05,5.528495603357442e-05,9.09798254724592e-05,6.764507270418108e-05,2.7981233870377764e-05,7.268986519193277e-05,8.125238673528656e-05,7.657479727640748e-05,5.225289351074025e-05,3.541570549714379e-05,4.098578210687265e-05,5.607299681287259e-05,3.818039476755075e-05,7.329087384277955e-05,4.536957567324862e-05,2.7529609724297188e-05,2.732922075665556e-05,4.4026877731084824e-05,6.933420081622899e-05,2.2824402549304068e-05,6.698817742289975e-05,2.208753357990645e-05,3.841486250166781e-05,5.2990668336860836e-05,2.2419524611905217e-05,2.0750941985170357e-05,2.311280695721507e-05
100,0.00021970923990011215,0.0001817236770875752,0.00018053982057608664,0.00017027519061230123,0.0001670153724262491,0.00015432022337336093,0.00015082609024830163,0.00011517214443301782,0.00012817440438084304,0.0001398836902808398,0.00012955913553014398,0.00012084673653589562,0.00013093510642647743,0.0001292978267883882,0.00012341098044998944,0.00011153265950269997,0.0001095412444556132,0.00010518101771594957,0.00010722255683504045,9.794708603294566e-05,8.111254282994196e-05,8.682339830556884e-05,9.919557487592101e-05,9.463105379836634e-05,8.022605470614508e-05,5.965066156932153e-05,8.459256059722975e-05,8.232014806708321e-05,8.151942893164232e-05,7.65935837989673e-05,4.648363756132312e-05,7.911655120551586e-05,7.286283653229475e-05,7.577812357340008e-05,5.6685581512283534e-05,7.487700349884108e-05,4.747842831420712e-05,5.721284105675295e-05,6.810152262914926e-05,4.289786011213437e-05,7.066534453770146e-05,4.234467996866442e-05,3.8925540138734505e-05,3.4920882171718404e-05,6.686800043098629e-05,3.174373341607861e-05,6.583978392882273e-05,6.543981726281345e-05,6.529889651574194e-05,6.401288555935025e-05
200,0.00015795427316334099,0.0001261185243492946,0.00012106226495234296,8.719998004380614e-05,0.00010144100087927654,9.547046647639945e-05,0.0001227570028277114,8.837315544951707e-05,9.887765918392688e-05,9.306470747105777e-05,0.00011391601583454758,0.00010539708455326036,9.115226566791534e-05,7.9008583270479e-05,8.905943104764447e-05,9.134191350312904e-05,8.8318127382081e-05,8.43953966978006e-05,8.553887164453045e-05,6.916029815329239e-05,7.129876757971942e-05,7.306555198738351e-05,7.963053940329701e-05,7.126614218577743e-05,6.762068369425833e-05,6.097245932323858e-05,7.854202704038471e-05,3.1305800803238526e-05,7.091496809152886e-05,5.844155020895414e-05,3.603840013965964e-05,5.6650878832442686e-05,6.661866063950583e-05,2.7269841666566208e-05,4.8740719648776576e-05,4.693373921327293e-05,3.8755555578973144e-05,6.359929102472961e-05,5.4548567277379334e-05,7.089090649969876e-05,5.257859447738156e-05,4.843323040404357e-05,6.703509279759601e-05,2.945734013337642e-05,5.0978531362488866e-05,6.612403376493603e-05,4.909291965304874e-05,3.533661219989881e-05,4.049316339660436e-05,3.993756035924889e-05
300,0.00019356758275534958,0.0001767358771758154,0.00013947159459348768,0.00011104583245469257,0.0001267945481231436,0.00011524283036123961,0.0001491337170591578,0.00014580844435840845,0.00014432048192247748,0.00011555320088518783,0.00013301175204105675,0.000132308472529985,0.00011825532419607043,9.115500142797828e-05,9.396996756549925e-05,0.00011465296120150015,0.00011305149382678792,0.00011066021397709846,8.215317939175293e-05,0.0001057606132235378,0.0001045071185217239,0.000103860191302374,8.926753071136773e-05,8.984381565824151e-05,9.417943510925397e-05,7.724172610323876e-05,8.90461597009562e-05,2.8474381906562485e-05,7.376147550530732e-05,6.620513158850372e-05,7.937982445582747e-05,6.318187661236152e-05,7.725383329670876e-05,3.406795804039575e-05,7.520149665651843e-05,6.164206570247188e-05,4.383395207696594e-05,7.274009112734348e-05,7.162629481172189e-05,4.775623165187426e-05,5.232557305134833e-05,5.073804277344607e-05,3.771300180233084e-05,2.7431095077190548e-05,6.0247108194744214e-05,2.691988629521802e-05,5.112910002935678e-05,3.8969585148151964e-05,4.779224036610685e-05,3.7434001569636166e-05
400,0.0001214392323163338,7.634353823959827e-05,5.904703721171245e-05,5.4314135923050344e-05,6.7129687522538e-05,7.736822590231895e-05,9.437165863346308e-05,5.105522723169997e-05,5.7330194977112114e-05,5.827574204886332e-05,7.392305269604549e-05,5.367494668462314e-05,7.540032675024122e-05,3.542325794114731e-05,5.442276960820891e-05,6.67290878482163e-05,5.448215961223468e-05,7.074352470226586e-05,4.541001908364706e-05,3.77282194676809e-05,5.021787001169287e-05,4.604876085068099e-05,3.932362960767932e-05,5.619291914626956e-05,2.8942562494194135e-05,3.653935345937498e-05,5.9131729358341545e-05,1.5072063433763105e-05,4.539101428235881e-05,3.580288830562495e-05,2.4529292204533704e-05,2.9100045139784925e-05,3.395468229427934e-05,2.0802941435249522e-05,2.8304799343459308e-05,3.0299319405457936e-05,1.9136365153826773e-05,3.3160864404635504e-05,5.001966201234609e-05,2.065525040961802e-05,3.5127915907651186e-05,1.5174772670434322e-05,1.5624324078089558e-05,1.7187499906867743e-05,2.176384259655606e-05,2.127230618498288e-05,2.9718874429818243e-05,1.7939451936399564e-05,3.079752059420571e-05,1.5281635569408536e-05
500,0.00011463843839010224,6.756006769137457e-05,5.34042228537146e-05,4.6827932237647474e-05,5.497098027262837e-05,5.969504127278924e-05,7.53286003600806e-05,4.806327342521399e-05,5.295023584039882e-05,5.386419070418924e-05,6.984533683862537e-05,4.8731690185377374e-05,5.9534821048146114e-05,3.499809463392012e-05,6.430999201256782e-05,5.633304681396112e-05,4.235002052155323e-05,5.4873275075806305e-05,4.051285213790834e-05,3.255838237237185e-05,3.8734877307433635e-05,3.66298045264557e-05,3.8870701246196404e-05,4.6656594349769875e-05,2.8086495149182156e-05,5.0669910706346855e-05,6.047458009561524e-05,1.161741056421306e-05,4.59469374618493e-05,2.7696498364093713e-05,2.367231900279876e-05,3.8267251511570066e-05,3.2564934372203425e-05,1.3382868019107264e-05,3.165319867548533e-05,2.201159077230841e-05,2.879040221159812e-05,3.383794683031738e-05,4.098746649106033e-05,1.946297379618045e-05,3.747446680790745e-05,2.020375177380629e-05,1.49999341374496e-05,1.5771089238114655e-05,1.7109387044911273e-05,1.2797676390619017e-05,2.4744047550484538e-05,2.0191915609757416e-05,2.690624023671262e-05,1.7467989891883917e-05
600,8.399352373089641e-05,0.00015083971084095538,9.001457510748878e-05,8.269432873930782e-05,9.9404867796693e-05,5.0755450502038e-05,8.041035471251234e-05,0.00011016133066732436,8.571820944780484e-05,9.419210255146027e-05,5.678465822711587e-05,8.232317486545071e-05,4.802641342394054e-05,8.217463619075716e-05,4.248895857017487e-05,5.398560460889712e-05,0.00010183199628954753,4.840547262574546e-05,6.834334635641426e-05,6.576858140761033e-05,4.252745566191152e-05,4.01248580601532e-05,7.17690636520274e-05,4.131293098907918e-05,5.737274113926105e-05,3.199076309101656e-05,3.823714723694138e-05,1.3506675713870209e-05,4.801969407708384e-05,4.312611054047011e-05,2.5945513698388822e-05,3.2302534236805514e-05,5.236114884610288e-05,1.548555701447185e-05,3.2173378713196144e-05,3.724571070051752e-05,2.460914765833877e-05,4.550499943434261e-05,3.645435572252609e-05,2.558352025516797e-05,4.180490941507742e-05,2.0043302356498316e-05,3.2632782676955685e-05,1.6910717022255994e-05,2.983821468660608e-05,1.0632374142005574e-05,3.5456741898087785e-05,2.7791664251708426e-05,2.661660073499661e-05,6.507617217721418e-05
700,0.00011038500815629959,6.638004560954869e-05,7.02718534739688e-05,5.9332309319870546e-05,7.311526860576123e-05,7.140864181565121e-05,7.052830915199593e-05,5.571766450884752e-05,7.024454680504277e-05,5.22689770150464e-05,5.724974471377209e-05,6.172868597786874e-05,6.147250678623095e-05,3.723582631209865e-05,4.7090532461879775e-05,4.703640297520906e-05,6.114491407060996e-05,5.847991269547492e-05,4.4377466110745445e-05,4.7328227083198726e-05,4.045571040478535e-05,4.036090467707254e-05,5.174245961825363e-05,4.4872635044157505e-05,3.646219920483418e-05,3.119865505141206e-05,4.294031168683432e-05,1.7615710021345876e-05,5.230799797573127e-05,4.406808511703275e-05,2.359394602535758e-05,2.315660640306305e-05,3.78104014089331e-05,1.5538038496742956e-05,2.5381432351423427e-05,2.5505476514808834e-05,1.7489626770839095e-05,3.6353838368086144e-05,3.935648419428617e-05,2.7606147341430187e-05,2.9421567887766287e-05,1.872083703347016e-05,1.6042406059568748e-05,2.0501236576819792e-05,2.2715281374985352e-05,1.587648512213491e-05,4.3257408833596855e-05,2.863050758605823e-05,2.7522955861059017e-05,1.7018548533087596e-05
800,0.00010097237100126222,8.474497735733166e-05,7.030340930214152e-05,5.521830098587088e-05,6.62545207887888e-05,5.879429591004737e-05,6.90767919877544e-05,6.22403240413405e-05,6.323390698526055e-05,5.456572398543358e-05,6.498965376522392e-05,5.8058169088326395e-05,5.533906369237229e-05,4.1719365981407464e-05,4.879224070464261e-05,5.767644688603468e-05,5.012297333450988e-05,5.6872588174883276e-05,3.388056575204246e-05,4.132546382606961e-05,4.073959280503914e-05,4.1726583731360734e-05,4.223179348628037e-05,4.35369584010914e-05,3.1980314815882593e-05,3.0210787372197956e-05,4.707759580924176e-05,1.8286486010765657e-05,4.0994229493662715e-05,3.182017826475203e-05,3.042345997528173e-05,3.686896889121272e-05,4.181299664196558e-05,1.6674812286510132e-05,2.6761927074403502e-05,2.772295738395769e-05,1.9559251086320728e-05,3.326922160340473e-05,3.601696516852826e-05,2.466044679749757e-05,2.627592402859591e-05,1.9934343072236516e-05,1.4271764484874438e-05,2.0936186047038063e-05,2.30490059038857e-05,1.0604370800137985e-05,2.4383707568631507e-05,2.3821214199415408e-05,2.6132714992854744e-05,2.2571450244868174e-05
900,8.696858276380226e-05,6.134108843980357e-05,5.008658263250254e-05,4.8285954107996076e-05,5.5526143114548177e-05,5.457760926219635e-05,9.002686419989914e-05,4.563844049698673e-05,4.9441761802881956e-05,4.517808702075854e-05,7.288097549462691e-05,4.694130620919168e-05,4.821629045181908e-05,3.1240855605574325e-05,3.916234345524572e-05,5.596582195721567e-05,4.5693475840380415e-05,6.176741590024903e-05,3.991570702055469e-05,3.7247918953653425e-05,7.082837691996247e-05,6.748413579771295e-05,3.4753422369249165e-05,4.14362657465972e-05,3.695220948429778e-05,2.928951107605826e-05,4.322640961618163e-05,1.2191716450615786e-05,4.690749847213738e-05,3.466851558187045e-05,2.166844205930829e-05,2.7728503482649103e-05,3.8958238292252645e-05,1.8439930499880575e-05,2.6560899641481228e-05,2.7380949177313596e-05,1.6020116163417697e-05,2.60189117398113e-05,5.44845788681414e-05,2.4450226192129776e-05,2.91832911898382e-05,1.888685073936358e-05,1.472474559705006e-05,1.7171731087728404e-05,2.1340951207093894e-05,1.526828964415472e-05,2.3013684767647646e-05,1.4974179975979496e-05,2.9874017855036072e-05,1.9841729226754978e-05
