step,channel_0,channel_65,channel_34,channel_98,channel_97,channel_36,channel_37,channel_33,channel_5,channel_100,channel_68,channel_99,channel_66,channel_1,channel_39,channel_52,channel_3,channel_7,channel_102,channel_54,channel_74,channel_18,channel_72,channel_28,channel_24,channel_67,channel_56,channel_49,channel_13,channel_70,channel_96,channel_111,channel_4,channel_76,channel_112,channel_84,channel_101,channel_59,channel_32,channel_53,channel_50,channel_90,channel_2,channel_64,channel_123,channel_16,channel_12,channel_38,channel_77,channel_82
0,1.0244764780509286e-05,5.39019265488605e-06,7.988357538124546e-06,7.994215593498666e-06,5.352808784664376e-06,7.989817277120892e-06,7.65542881708825e-06,8.459840501018334e-06,1.5795259969308972e-05,5.9747035265900195e-06,1.1967816135438625e-05,6.093842785048764e-06,1.0636974366207141e-05,6.1441805883077905e-06,2.0541219782899134e-05,1.0133196155948099e-05,5.99345366936177e-06,2.567622323113028e-05,9.637958100938704e-06,1.6024374417611398e-05,9.293229595641606e-06,1.6306656107190065e-05,1.2663229426834732e-05,1.8283464669366367e-05,1.1758384971471969e-05,1.3193658560339827e-05,2.320388739462942e-05,9.778300409379881e-06,2.235819738416467e-05,1.0351312084821984e-05,1.1268600246694405e-05,1.5563035049126484e-05,1.2155631338828243e-05,1.831490226322785e-05,9.15025157155469e-06,9.648447303334251e-06,1.885865094664041e-05,2.574886821093969e-05,9.101688192458823e-06,1.1635558621492237e-05,1.1453667866589967e-05,1.2862833500548732e-05,9.491113814874552e-06,8.113351213978603e-06,2.3073898773873225e-05,2.7056970793637447e-05,2.0678029613918625e-05,2.1996429495629855e-05,1.0554625987424515e-05,1.2946892638865393e-05
100,4.053989687236026e-05,4.0124403312802315e-05,4.3371655920054764e-05,3.703966285684146e-05,4.95145759487059e-05,4.068700582138263e-05,4.642076601157896e-05,6.266517448239028e-05,5.370409780880436e-05,6.613718142034486e-05,6.017911800881848e-05,4.46819030912593e-05,6.369166658259928e-05,4.6388377086259425e-05,6.030099029885605e-05,7.328474021051079e-05,4.824858115171082e-05,7.625379657838494e-05,7.051237480482087e-05,6.550303805852309e-05,8.024395356187597e-05,8.108902693493292e-05,5.535793388844468e-05,8.136150427162647e-05,8.134693052852526e-05,7.41160474717617e-05,6.649974966421723e-05,8.588183845859021e-05,7.891893619671464e-05,8.288690150948241e-05,8.930365584092215e-05,5.908986713620834e-05,7.385615026578307e-05,8.706447260919958e-05,9.184179361909628e-05,8.94656332093291e-05,9.214488818543032e-05,8.685570355737582e-05,9.47344524320215e-05,6.064310946385376e-05,9.561348269926384e-05,8.590738434577361e-05,6.343871064018458e-05,4.384490239317529e-05,9.790646436158568e-05,9.933645924320444e-05,5.709770994144492e-05,8.034257916733623e-05,8.80437291925773e-05,7.55760702304542e-05
200,4.659261685446836e-05,4.939703649142757e-05,5.032027547713369e-05,4.9179463530890644e-05,4.402118793223053e-05,4.491858271649107e-05,6.034334728610702e-05,4.749787331093103e-05,5.792608135379851e-05,5.519238766282797e-05,5.941157724009827e-05,4.413260830915533e-05,5.9436624724185094e-05,4.621845073415898e-05,7.268110493896529e-05,6.462877354351804e-05,5.837394201080315e-05,6.861932342872024e-05,6.60304503981024e-05,6.700125231873244e-05,7.373039261437953e-05,5.727350799134001e-05,5.045998113928363e-05,7.558240758953616e-05,6.879193097120151e-05,8.353112934855744e-05,6.308081356110051e-05,5.0274273235118017e-05,5.936066008871421e-05,6.900541484355927e-05,5.4678836022503674e-05,8.964749576989561e-05,6.51251248200424e-05,7.563496910734102e-05,7.175502105383202e-05,7.190322503447533e-05,7.715759420534596e-05,7.609104068251327e-05,6.579460750799626e-05,7.705293683102354e-05,6.02305299253203e-05,9.603920625522733e-05,6.225167453521863e-05,6.543885683640838e-05,9.389529441250488e-05,6.404652958735824e-05,5.5402604630216956e-05,5.360548311728053e-05,0.00010074122110381722,0.00010176938667427748
300,4.792420077137649e-05,3.514411218930036e-05,5.022975892643444e-05,4.672469731303863e-05,5.08825178258121e-05,3.605849269661121e-05,4.6669927542097867e-05,6.217996269697323e-05,6.388718611560762e-05,5.181547021493316e-05,6.797408423153684e-05,4.809581150766462e-05,6.563074566656724e-05,7.210474723251536e-05,7.101146911736578e-05,6.573484279215336e-05,7.357736467383802e-05,6.87135907355696e-05,7.11536849848926e-05,7.682163413846865e-05,6.449141073971987e-05,7.126370473997667e-05,8.12784637673758e-05,7.990517769940197e-05,6.828828190919012e-05,7.767730130581185e-05,8.545040327589959e-05,7.797600846970454e-05,8.602456364315003e-05,8.768439874984324e-05,6.244026735657826e-05,8.174518006853759e-05,9.065696212928742e-05,6.74870316288434e-05,7.232614007079974e-05,8.408807480009273e-05,9.301764657720923e-05,9.363800927530974e-05,8.839793008519337e-05,9.554102143738419e-05,8.855626947479323e-05,9.224179666489363e-05,9.639270865591243e-05,4.937105404678732e-05,9.894993854686618e-05,5.9653517382685095e-05,0.00010008605022449046,0.00010059292253572494,8.628498471807688e-05,9.70495748333633e-05
400,2.1649535483447835e-05,2.4640499759698287e-05,1.921361035783775e-05,2.672265145520214e-05,1.943740608112421e-05,3.090320751653053e-05,2.0687319192802534e-05,1.7941432815860026e-05,2.694301656447351e-05,2.394809780525975e-05,3.555734292604029e-05,2.7283018425805494e-05,5.364506796468049e-05,2.019485691562295e-05,3.791112976614386e-05,2.603011489554774e-05,2.7345156922820024e-05,4.4737611460732296e-05,3.9334296161541715e-05,2.5572408048901707e-05,3.5480708902468905e-05,2.8754973754985258e-05,2.920305632869713e-05,3.706988354679197e-05,4.5070453779771924e-05,4.595905920723453e-05,4.478835398913361e-05,2.6985237127519213e-05,2.428471270832233e-05,5.142672307556495e-05,4.0532220737077296e-05,4.391030961414799e-05,3.2818752515595406e-05,3.977805681643076e-05,4.4279120629653335e-05,3.844863749691285e-05,4.812202314496972e-05,4.312404053052887e-05,3.704158734763041e-05,2.791762017295696e-05,3.6289078707341105e-05,6.85162958689034e-05,2.336604484298732e-05,2.9056845960440114e-05,4.912972872261889e-05,2.768370723060798e-05,3.995090810349211e-05,5.770717325503938e-05,8.284823707072064e-05,3.738411396625452e-05
500,2.372279777773656e-05,2.453320485074073e-05,1.825223444029689e-05,2.921066334238276e-05,2.5140765501419082e-05,2.5622792236390524e-05,2.5375789846293628e-05,2.6959369279211387e-05,3.492490213830024e-05,3.651591032394208e-05,3.6186418583383784e-05,4.125463601667434e-05,5.61644192202948e-05,2.543832488299813e-05,4.799849557457492e-05,3.884636316797696e-05,3.150011252728291e-05,3.522854240145534e-05,5.36667212145403e-05,4.1789189708651975e-05,3.851746805594303e-05,5.379823051043786e-05,3.319389361422509e-05,4.517697016126476e-05,6.333152850857005e-05,5.2530624088831246e-05,3.633151573012583e-05,3.445322727202438e-05,3.5808396205538884e-05,4.944359170622192e-05,3.699275112012401e-05,3.624642704380676e-05,3.782350177061744e-05,4.492606967687607e-05,4.396411532070488e-05,3.829811612376943e-05,5.985920870443806e-05,4.5955588575452566e-05,4.7601373807992786e-05,3.5372180718695745e-05,3.5560355172492564e-05,4.937671837978996e-05,4.202043783152476e-05,3.486880814307369e-05,4.823457493330352e-05,3.8560290704481304e-05,3.2954489142866805e-05,5.000949386158027e-05,5.366231198422611e-05,3.976795414928347e-05
600,3.3309082937194034e-05,2.101070094795432e-05,3.184593515470624e-05,2.043272070295643e-05,1.9128134226775728e-05,1.690527642494999e-05,2.038958336925134e-05,2.199592381657567e-05,2.5688341338536702e-05,2.808121280395426e-05,4.745483602164313e-05,1.9210707250749692e-05,3.515534626785666e-05,2.7849755497300066e-05,2.5544044547132216e-05,4.365128552308306e-05,4.699180135503411e-05,2.819320980051998e-05,4.150216045673005e-05,2.735246016527526e-05,4.7562371037201956e-05,2.65047638094984e-05,3.214193930034526e-05,4.8375481128459796e-05,3.423724047024734e-05,3.690615631057881e-05,2.689870416361373e-05,3.5419427149463445e-05,2.6799911211128347e-05,4.6627261326648295e-05,3.91483299608808e-05,3.330094477860257e-05,3.280145756434649e-05,4.5558117562904954e-05,5.716537998523563e-05,3.771251067519188e-05,4.816495857085101e-05,4.351093593868427e-05,3.267633655923419e-05,3.128713433397934e-05,3.977675805799663e-05,4.286765761207789e-05,2.8330399800324813e-05,2.3269372832146473e-05,4.504760363488458e-05,3.118150925729424e-05,2.597302955109626e-05,3.2803356589283794e-05,5.3113482863409445e-05,4.222749703330919e-05
700,1.952949423866812e-05,2.3840255380491726e-05,2.0555549781420268e-05,3.359990660101175e-05,2.6610114218783565e-05,2.4998000299092382e-05,2.316479367436841e-05,1.817633346945513e-05,2.5489154722890817e-05,2.4250215574284084e-05,4.499769056565128e-05,2.5290719349868596e-05,3.6269189877202734e-05,1.9910517949028872e-05,3.75974050257355e-05,4.118733340874314e-05,2.4161041437764652e-05,3.684128023451194e-05,3.58607285306789e-05,3.129589094896801e-05,5.628397047985345e-05,4.205671211821027e-05,4.154461930738762e-05,5.3404415666591376e-05,5.3183146519586444e-05,4.492908556130715e-05,3.8824291550554335e-05,2.9831286155967973e-05,3.814608498942107e-05,5.0418977480148897e-05,3.759614264708944e-05,5.59154104848858e-05,4.486041871132329e-05,6.362683780025691e-05,5.80867963435594e-05,5.033550041844137e-05,5.261210026219487e-05,4.566875577438623e-05,2.73340647254372e-05,3.845426545012742e-05,4.8807967687025666e-05,4.128454747842625e-05,2.592682358226739e-05,2.7320309527567588e-05,7.805998029652983e-05,3.3197400625795126e-05,4.2969750211341307e-05,2.9516040740418248e-05,6.379901606123894e-05,4.109429210075177e-05
800,2.6180525310337543e-05,1.6183985280804336e-05,2.5364046450704336e-05,2.9423414162010886e-05,2.66424503934104e-05,2.8360009309835732e-05,3.0729923309991136e-05,3.805949745583348e-05,4.097497367183678e-05,3.3543750760145485e-05,3.054398257518187e-05,2.9981341867824085e-05,4.0808547055348754e-05,3.2575568184256554e-05,3.841202487819828e-05,3.948402445530519e-05,3.2555541110923514e-05,3.894845212926157e-05,5.441303437692113e-05,3.16460536851082e-05,3.651066799648106e-05,3.693128383019939e-05,3.5443557862890884e-05,5.016531940782443e-05,5.03789160575252e-05,4.442454519448802e-05,3.340921102790162e-05,4.535082553047687e-05,4.2874908103840426e-05,3.5123564884997904e-05,4.1516006604069844e-05,3.076575740124099e-05,6.041319284122437e-05,3.338724854984321e-05,3.78522090613842e-05,5.3205036238068715e-05,5.33700585947372e-05,4.470238127396442e-05,4.2588915675878525e-05,4.613330020220019e-05,4.375070784590207e-05,3.408340853638947e-05,4.576300489134155e-05,4.069898932357319e-05,6.029971336829476e-05,3.917683716281317e-05,4.1200928535545245e-05,7.099037611624226e-05,4.00974640797358e-05,4.905175228486769e-05
900,3.1699823011877015e-05,3.180958447046578e-05,1.7296291844104417e-05,2.6109169994015247e-05,2.4272798327729106e-05,2.7536214474821463e-05,2.6461066227057017e-05,3.307825681986287e-05,2.9996930607012473e-05,2.9344577342271805e-05,3.4653639886528254e-05,3.6962752346880734e-05,3.0096627597231418e-05,2.9472677852027118e-05,4.06849394494202e-05,3.0680937925353646e-05,2.6629850253812037e-05,2.9541553885792382e-05,3.344434662722051e-05,4.057435580762103e-05,4.296435508877039e-05,4.562251706374809e-05,3.919638038496487e-05,5.697701271856204e-05,8.193844405468553e-05,3.809688496403396e-05,4.601041291607544e-05,3.9695394661976025e-05,3.337882299092598e-05,5.7523782743373886e-05,3.952216502511874e-05,3.806770109804347e-05,4.2421968828421086e-05,4.9312420742353424e-05,4.603924389812164e-05,6.057426435290836e-05,4.152977271587588e-05,3.86017891287338e-05,2.805457370413933e-05,3.6754376196768135e-05,3.512808325467631e-05,3.8747384678572416e-05,3.452736200415529e-05,2.5309473130619153e-05,7.874314178479835e-05,3.661835580714978e-05,3.640145587269217e-05,2.5511393687338568e-05,7.225636363727972e-05,4.664075095206499e-05
