step,channel_332,channel_88,channel_344,channel_876,channel_887,channel_895,channel_858,channel_329,channel_358,channel_864,channel_361,channel_853,channel_661,channel_703,channel_684,channel_336,channel_839,channel_882,channel_666,channel_107,channel_348,channel_672,channel_883,channel_844,channel_67,channel_363,channel_359,channel_695,channel_69,channel_320,channel_647,channel_836,channel_325,channel_834,channel_871,channel_873,channel_642,channel_856,channel_866,channel_104,channel_102,channel_677,channel_840,channel_878,channel_880,channel_888,channel_679,channel_122,channel_852,channel_678
0,1.1836647900054231e-05,1.5026941582618747e-05,3.062674659304321e-05,1.7107748135458678e-05,2.798523746605497e-05,2.6328980311518535e-05,1.2775245522789191e-05,3.3428579627070576e-05,2.9978349630255252e-05,1.78657537617255e-05,1.383357903250726e-05,6.282048161665443e-06,5.627335667668376e-06,1.1400789844628889e-05,9.001168109534774e-06,1.1630269000306726e-05,1.3031264643359464e-05,3.561525227269158e-05,7.4559902714099735e-06,1.8079299479722977e-05,2.9197097319411114e-05,3.0977538699517027e-05,3.640980503405444e-05,3.357404420967214e-05,3.021174961759243e-05,3.729770105564967e-05,3.3625346986809745e-05,2.4492523152730428e-05,3.537106385920197e-05,3.752237171283923e-05,2.8903181373607367e-05,3.3276995964115486e-05,2.3809356207493693e-05,3.16998157359194e-05,2.180391311412677e-05,3.221119914087467e-05,3.907804421032779e-05,2.9035201805527322e-05,2.5464263671892695e-05,3.939770977012813e-05,1.7922919141710736e-05,3.0282801162684336e-05,4.014766091131605e-05,3.445735273999162e-05,1.3359685908653773e-05,4.071923831361346e-05,1.4789688975724857e-05,3.503514381009154e-05,1.4006166566105094e-05,6.6286515902902465e-06
100,2.758677328529302e-05,3.0018794859643094e-05,3.0056493415031582e-05,2.4519202270312235e-05,2.7343299734639004e-05,3.1285926525015384e-05,3.1854135158937424e-05,3.0059367418289185e-05,3.348469908814877e-05,3.219375867047347e-05,2.956682328658644e-05,3.219975405954756e-05,3.4523731301305816e-05,3.482996180537157e-05,3.528956221998669e-05,3.5560940887080505e-05,3.1964638765202835e-05,2.6329817046644166e-05,3.595427187974565e-05,3.61069141945336e-05,3.5458029742585495e-05,3.477940117591061e-05,2.9996070225024596e-05,3.655073305708356e-05,3.67389184248168e-05,3.201675644959323e-05,3.7432702811202034e-05,3.535980431479402e-05,3.745713547687046e-05,3.387901233509183e-05,3.754061253857799e-05,3.764062057598494e-05,3.682578244479373e-05,3.165233647450805e-05,3.874253889080137e-05,3.887072307406925e-05,3.7455654819495976e-05,3.721730536199175e-05,3.650019061751664e-05,3.382096838322468e-05,3.9432467019651085e-05,3.9852857298683375e-05,2.605799090815708e-05,4.0332004573429e-05,3.387346805538982e-05,2.8718228350044228e-05,4.079742939211428e-05,3.854050737572834e-05,3.368558100191876e-05,3.9103742892621085e-05
200,2.5707016902742907e-05,2.8499627660494298e-05,2.6220877771265805e-05,2.1449337509693578e-05,3.127026866422966e-05,2.3238275389303453e-05,2.2419129891204648e-05,2.3723863705527037e-05,3.004253812832758e-05,2.8163627575850114e-05,2.566813418525271e-05,2.334328746655956e-05,2.997614865307696e-05,3.1438608857570216e-05,3.431953155086376e-05,3.155104423058219e-05,2.6966463337885216e-05,2.385202969890088e-05,2.6337645977037027e-05,2.8965056117158383e-05,3.358875619596802e-05,3.0884384614182636e-05,3.109762474196032e-05,2.7264592063147575e-05,3.597972681745887e-05,2.8753052902175114e-05,3.350047700223513e-05,3.744005516637117e-05,3.533852577675134e-05,3.172734068357386e-05,3.526246655383147e-05,3.092975020990707e-05,3.5237069823779166e-05,2.8086356905987486e-05,2.4180284526664764e-05,2.5939672923414037e-05,3.850906796287745e-05,3.096072396147065e-05,3.4198408684460446e-05,3.1459017918678e-05,3.0803363188169897e-05,3.2429285056423396e-05,2.4516508347005583e-05,2.9189606721047312e-05,3.494645352475345e-05,2.9432898372760974e-05,2.868137016776018e-05,3.837126132566482e-05,2.8393555112415925e-05,3.6696259485324845e-05
300,2.8389435101416893e-05,2.721406963246409e-05,2.7799225790658966e-05,3.0710649298271164e-05,2.847009091055952e-05,2.92919412459014e-05,2.6489968149689957e-05,2.7911499273614027e-05,3.368933903402649e-05,3.38498066412285e-05,3.395198655198328e-05,3.4477863664506e-05,3.3749372960301116e-05,3.510727401589975e-05,3.4460525057511404e-05,3.035615009139292e-05,3.56125456164591e-05,2.5786564947338775e-05,3.21941843139939e-05,3.3437048841733485e-05,3.63485305570066e-05,3.6385961720952764e-05,3.631227809819393e-05,3.4175343898823485e-05,3.6956986150471494e-05,3.210459544789046e-05,3.669504803838208e-05,3.2920914236456156e-05,3.56856471626088e-05,3.4335647796979174e-05,3.587808532756753e-05,3.834284143522382e-05,3.848146297968924e-05,3.859165371977724e-05,3.0190696634235792e-05,3.507030487526208e-05,3.5794382711173967e-05,3.925675991922617e-05,3.93796872231178e-05,3.5511595342541113e-05,3.7730806070612743e-05,3.9461323467548937e-05,3.5348577512195334e-05,3.549520988599397e-05,3.226480839657597e-05,3.0033308576093987e-05,3.341939373058267e-05,4.0962204366223887e-05,4.0986673411680385e-05,4.105920743313618e-05
400,1.5224703020066954e-05,1.532195892650634e-05,1.3170714737498201e-05,1.1941954653593712e-05,1.4703816304972861e-05,1.215585507452488e-05,1.5609641195624135e-05,1.4683480003441218e-05,1.6801446690806188e-05,1.9067560060648248e-05,1.3603123079519719e-05,1.1533840734045953e-05,1.4831123735348228e-05,2.1214636944932863e-05,2.0682460672105663e-05,1.9439296011114493e-05,1.3444216165225953e-05,1.7134592781076208e-05,1.8750919480226003e-05,1.8618995454744436e-05,1.787165820132941e-05,2.0542476704576984e-05,2.0472678443184122e-05,1.55735597218154e-05,2.6183046429650858e-05,1.70815455931006e-05,2.110708737745881e-05,1.954453910002485e-05,1.3390279491432011e-05,1.7456293790019117e-05,2.184652112191543e-05,1.6422500266344287e-05,1.552171124785673e-05,1.3333143215277232e-05,1.529102519270964e-05,1.6799220247776248e-05,2.0246678104740568e-05,1.1894472663698252e-05,1.9412278561503626e-05,1.591377986187581e-05,1.580618481966667e-05,2.3543039787909947e-05,1.4666130482510198e-05,1.8401293345959857e-05,1.937108754646033e-05,1.6558738934691064e-05,2.2143847672850825e-05,2.0995883460273035e-05,1.4675394595542457e-05,1.7943688362720422e-05
500,1.2637601685128175e-05,1.508987134002382e-05,1.2813327884941828e-05,1.6088235497591086e-05,1.9871671611326747e-05,1.534510010969825e-05,1.2911827070638537e-05,1.1594554962357506e-05,1.855710615927819e-05,2.983077138196677e-05,1.5691144653828815e-05,1.9837076251860708e-05,1.666663411015179e-05,1.7396730982000008e-05,1.7859620129456744e-05,1.5923840692266822e-05,1.558708754600957e-05,1.6712790966266766e-05,1.6104320820886642e-05,1.6708185285096988e-05,1.6654463252052665e-05,1.9257560779806226e-05,1.3340056284505408e-05,1.445554426027229e-05,1.5311901734094135e-05,1.6255366062978283e-05,1.7783204384613782e-05,1.72515501617454e-05,1.2952225006301887e-05,1.6317100744345225e-05,1.5982877812348306e-05,1.670678648224566e-05,1.3627749467559624e-05,1.6455356671940535e-05,1.3103878700349014e-05,1.6033838619478047e-05,1.7043670595739968e-05,2.545182178437244e-05,1.4918080523784738e-05,1.579422314534895e-05,1.7922056940733455e-05,1.9337649064254947e-05,1.4069191820453852e-05,2.358117671974469e-05,1.800419886421878e-05,1.6301069990731776e-05,1.965867522812914e-05,1.762851024977863e-05,1.3785682313027792e-05,2.048088572337292e-05
600,1.2144503671152052e-05,1.6668807802489027e-05,1.3755047802987974e-05,1.1549205737537704e-05,1.694811180641409e-05,1.3375922208069824e-05,1.41567325044889e-05,1.1888145309058018e-05,1.4968557479733136e-05,1.4740608094143681e-05,1.4501731129712425e-05,1.3771176782029215e-05,1.5401223208755255e-05,1.524194249213906e-05,1.531082671135664e-05,1.3785942428512499e-05,1.1625648767221719e-05,1.4595600077882409e-05,1.6951345969573595e-05,1.850398075475823e-05,1.551619789097458e-05,1.6019303075154312e-05,1.5877612895565107e-05,1.3599900739791337e-05,2.0433100871741772e-05,1.6941590729402378e-05,1.909356979012955e-05,1.9562090528779663e-05,1.4903400369803421e-05,1.8317719877813943e-05,1.3491372556018177e-05,2.1468060367624275e-05,1.480979426560225e-05,1.396925017616013e-05,1.163781780633144e-05,2.649087764439173e-05,1.878148759715259e-05,1.5001042811491061e-05,1.376779891870683e-05,1.883604818431195e-05,1.6657699234201573e-05,1.887023427116219e-05,1.5208582226478029e-05,1.6398140360252e-05,1.4292207197286189e-05,1.2974383025721181e-05,1.589564635651186e-05,1.7362477592541836e-05,1.301253359997645e-05,1.4798119991610292e-05
700,1.2346587936917786e-05,1.5562116459477693e-05,1.2485417755669914e-05,1.659156259847805e-05,1.709038406261243e-05,1.5661546058254316e-05,1.566099854244385e-05,1.1640800039458554e-05,1.687637995928526e-05,1.785147651389707e-05,1.3031027265242301e-05,1.7553935322212055e-05,1.7599177226657048e-05,1.720167165331077e-05,2.332424082851503e-05,1.721013722999487e-05,1.5232480109261815e-05,1.665474337642081e-05,1.7376392861478962e-05,1.8995726350112818e-05,1.8733710021479055e-05,1.9487713871058077e-05,1.7363407096127048e-05,1.468675873184111e-05,2.4279928766191006e-05,1.928322308231145e-05,1.5476367480005138e-05,2.0808594854315743e-05,1.689085729594808e-05,1.5006306966824923e-05,2.359380596317351e-05,2.0623681848519482e-05,1.607858393981587e-05,1.6052563296398148e-05,1.5023145351733547e-05,2.020732790697366e-05,2.042704727500677e-05,1.7653639588388614e-05,1.908226840896532e-05,1.960346162377391e-05,2.2993275706539862e-05,2.2027590603102e-05,1.643359792069532e-05,1.8864835510612465e-05,2.1829782781424e-05,1.5490581063204445e-05,2.08337096410105e-05,2.0135003069299273e-05,1.5231165889417753e-05,2.3047045033308677e-05
800,1.2071195669705048e-05,1.5657324183848687e-05,1.3361785022425465e-05,1.827511550800409e-05,1.637542482058052e-05,1.8503193132346496e-05,2.0759682229254395e-05,1.2522838915174361e-05,1.617136695131194e-05,1.5092929970705882e-05,1.3047172615188174e-05,1.4653508515038993e-05,1.5385572623927146e-05,1.949393845279701e-05,1.6426802176283672e-05,1.618135502212681e-05,2.3043980036163703e-05,1.6258141840808094e-05,1.7855958503787406e-05,1.56044425239088e-05,1.9743347365874797e-05,1.5544630514341407e-05,1.8783115592668764e-05,1.777030229277443e-05,1.8583952623885125e-05,1.41285690915538e-05,1.988639087358024e-05,1.8204596926807426e-05,1.645153679419309e-05,1.3934552043792792e-05,1.850293301686179e-05,1.9343771782587282e-05,1.7535981896799058e-05,2.2320029529510066e-05,1.3001546903979033e-05,3.131808989564888e-05,1.697837251413148e-05,1.833712485677097e-05,1.8733724573394284e-05,1.5357141819549724e-05,1.9410481399972923e-05,2.0755043806275353e-05,2.14169285754906e-05,2.1734644178650342e-05,2.0103640054003336e-05,1.661076930759009e-05,1.7622263840166852e-05,1.8471013390808366e-05,2.4384313292102888e-05,1.8236351024825126e-05
900,1.2959103514731396e-05,1.432306908100145e-05,1.3060725905233994e-05,1.2199461707496084e-05,1.3921398931415752e-05,1.4727508641954046e-05,1.2663429515669122e-05,1.1929215361305978e-05,1.7938402379513718e-05,1.5720155715825967e-05,1.2774843526131008e-05,1.461321699025575e-05,1.6206931832130067e-05,1.8845024897018448e-05,2.0227020286256447e-05,1.400984274368966e-05,1.2399849765643012e-05,1.1157877452205867e-05,1.4542804819939192e-05,1.534306829853449e-05,1.806251020752825e-05,1.849390537245199e-05,1.517415603302652e-05,1.3956739167042542e-05,1.579058516654186e-05,1.382395021209959e-05,1.661019450693857e-05,1.9573833924368955e-05,1.3811863027513027e-05,1.4534948604705278e-05,1.4959930012992118e-05,1.6431898984592408e-05,1.5063400496728718e-05,1.3229116120783146e-05,1.4248014849727042e-05,1.8663549781194888e-05,1.6475269148941152e-05,1.3956968359707389e-05,1.7162181393359788e-05,1.5497938875341788e-05,1.672699727350846e-05,1.9879764295183122e-05,1.4411318261409178e-05,1.773984513420146e-05,1.486283781559905e-05,1.2751632311847061e-05,1.6616928405710496e-05,1.706101647869218e-05,1.2340719877101947e-05,1.604175122338347e-05
