step,mean,median,p90,p99,max
0,2.3914282852263318e-05,1.484292852182989e-05,4.700987301475834e-05,0.00016930175843299345,0.00024696337641216815
100,5.631092562247935e-05,5.018628326070029e-05,8.750738561502658e-05,0.00021352577678044186,0.0006979587487876415
200,5.414510544860767e-05,4.726216502604075e-05,8.578456618124619e-05,0.00020728542149299698,0.0006966025102883577
300,5.698886568237883e-05,4.9607902838033624e-05,8.583431917941198e-05,0.00020980252884328265,0.0007855360745452344
400,3.0573404755175814e-05,2.682449485291727e-05,4.743703902931884e-05,0.00013381566750467753,0.0004075109609402716
500,2.8313936948671475e-05,2.4437758838757873e-05,4.4278740460867994e-05,0.0001103875172702817,0.0003950434329453856
600,2.6581029324544503e-05,2.3155812414188404e-05,4.055108183820266e-05,0.00010155908494198145,0.00036549445940181613
700,2.8354911225087725e-05,2.4025428501772694e-05,4.35434758401243e-05,0.00010620287794154098,0.0004011319251731038
800,2.683227653450209e-05,2.3219871764013078e-05,4.14926435041707e-05,0.0001125290269555989,0.00037353200605139136
900,2.5301749738661427e-05,2.1198647118580993e-05,4.029579213238321e-05,9.857780496531602e-05,0.0003216868790332228
1000,2.8296983954234634e-05,2.5044177164090797e-05,4.3517571612028405e-05,0.00011535907651705192,0.00037673889892175794
1100,2.8007282138681993e-05,2.469189803377958e-05,4.455152702576015e-05,0.00010565001466602521,0.00036607569199986756
1200,3.0722602854638126e-05,2.3760116164339706e-05,5.59151030756766e-05,0.00015778460510773552,0.0003722111287061125
1300,2.7811360623733856e-05,2.4183045752579346e-05,4.38651186414063e-05,0.00010616421059239604,0.00033947592601180077
1400,2.9420313019556943e-05,2.606936322990805e-05,4.674305091612041e-05,0.0001057066358043812,0.0003934561391361058
1500,2.9401872376005095e-05,2.6083169359480962e-05,4.5516104364651255e-05,0.00010801482276292487,0.00037944247014820576
1600,2.816548657693017e-05,2.5049351279449183e-05,4.507240555540193e-05,0.00011213460711587685,0.0003697372740134597
1700,2.6869953443459898e-05,2.331337509531295e-05,4.274163984518964e-05,0.0001019919571263017,0.00035898928763344884
1800,2.806118785032246e-05,2.432077599223703e-05,4.338158214522991e-05,0.00010389995477453281,0.00037512913695536554
1900,2.621973979139674e-05,2.2927777536096983e-05,4.15056729252683e-05,0.00010334674552723265,0.0003254335606470704
2000,3.102562505955372e-05,2.8282417588343378e-05,5.049202445661649e-05,0.0001118141928600377,0.00035503163235262036
2100,2.7639698128975203e-05,2.417641007923521e-05,4.430255648912862e-05,0.00010484224876563493,0.0003594017762225121
2200,2.882629446229349e-05,2.4928830498538446e-05,4.5221719119581394e-05,0.00011233121585973951,0.000400603748857975
2300,2.8804119125171367e-05,2.583634886832442e-05,4.3582731450442225e-05,0.00011529350522323492,0.0003887682396452874
2400,3.0237002365802418e-05,2.6678162612370215e-05,4.657544195652008e-05,0.00012431697250576667,0.00038671866059303284
2500,2.9049157770038342e-05,2.5881484361889306e-05,4.356619683676399e-05,0.00010925252245215155,0.00038494268665090203
2600,3.072499551239259e-05,2.7359978957974818e-05,4.78160163766006e-05,0.00011703342570399387,0.00039668308454565704
2700,3.073572817565865e-05,2.7171186047780793e-05,4.7523069952148944e-05,0.00012655943646677748,0.00042489293264225125
2800,2.9138984919185873e-05,2.5284925868618302e-05,4.574596096063033e-05,0.0001116287865443151,0.00035578873939812183
