step,channel_768,channel_800,channel_704,channel_736,channel_832,channel_864,channel_576,channel_608,channel_769,channel_705,channel_833,channel_640,channel_672,channel_577,channel_801,channel_544,channel_865,channel_512,channel_0,channel_737,channel_829,channel_765,channel_609,channel_192,channel_1,channel_32,channel_799,channel_893,channel_802,channel_637,channel_735,channel_33,channel_673,channel_641,channel_803,channel_764,channel_770,channel_738,channel_545,channel_480,channel_734,channel_607,channel_863,channel_707,channel_827,channel_193,channel_828,channel_767,channel_866,channel_766
0,0.00023002501984592527,0.00019342737505212426,0.00016990784206427634,0.00016230091569013894,0.00015302730025723577,0.0001364823110634461,0.0001359509042231366,0.0001100899899029173,6.839322304585949e-05,5.300576231093146e-05,4.691250069299713e-05,4.587635339703411e-05,4.274822276784107e-05,3.908970029442571e-05,2.0415331164258532e-05,2.2258778699324466e-05,1.61478528752923e-05,2.4495300749549642e-05,1.3493016922438983e-05,2.042588675976731e-05,2.3313499696087092e-05,2.0173109078314155e-05,1.1505750990181696e-05,1.853054709499702e-05,7.738103704468813e-06,4.513135536399204e-06,1.7584372471901588e-05,1.5967745639500208e-05,1.5855410310905427e-05,1.5531810277025215e-05,1.538658034405671e-05,3.1204526749206707e-06,7.0903365667618345e-06,1.4205161278368905e-05,1.2736003554891795e-05,9.521412721369416e-06,3.6012279451824725e-06,1.2800460353901144e-05,3.027107140951557e-06,3.2969985568342963e-06,2.0164384295640048e-06,1.2068424439348746e-05,1.1482749869173858e-05,3.6546091450873064e-06,1.1181249647052027e-05,1.1166972399223596e-05,1.1117115718661807e-05,3.594246891225339e-06,1.1048297892557457e-05,6.028912594047142e-06
100,6.673875031992793e-05,5.536776006920263e-05,9.09528971533291e-05,0.0001010379710351117,4.4957658246858045e-05,6.990848487475887e-05,4.546619311440736e-05,6.310828757705167e-05,1.796365722839255e-05,2.592543387436308e-05,1.891157080535777e-05,4.01032593799755e-05,3.948553421651013e-05,1.3628293345391285e-05,2.314345692866482e-05,1.7327543901046738e-05,1.6331699953298084e-05,1.8456516045262106e-05,1.2079740372428205e-05,2.368255445617251e-05,2.6860329853661824e-06,1.1837894817290362e-05,1.523231367173139e-05,9.021820915222634e-06,9.098100235860329e-06,1.2804011021216866e-05,2.3410266294376925e-06,5.818166300741723e-06,8.679327038407791e-06,3.5259404285170604e-06,8.892939149518497e-06,1.0913072401308455e-05,1.1496212209749501e-05,1.2439311831258237e-05,5.987467829982052e-06,1.3780220797343645e-05,1.1221822205698118e-05,7.570551588287344e-06,8.489439096592832e-06,1.2113101547583938e-05,1.1981898751400877e-05,2.1254077182675246e-06,3.675578909678734e-06,1.0642982488207053e-05,1.6831567108965828e-06,6.200836651260033e-06,1.6311086028508726e-06,7.300234756257851e-06,6.081456376705319e-06,8.529297701898031e-06
200,4.993243783246726e-05,5.9486534155439585e-05,0.00010697805555537343,0.00011567344336071983,6.985304207773879e-05,8.577133121434599e-05,3.084878335357644e-05,5.3933646995574236e-05,1.6377134670619853e-05,3.8428868720075116e-05,2.6949312086799182e-05,3.429492426221259e-05,2.7645141017274e-05,1.051278377417475e-05,1.5962716133799404e-05,2.2532469301950186e-05,1.6825642887852155e-05,2.330516690562945e-05,1.686656105448492e-05,2.1987430955050513e-05,4.901172360405326e-06,1.1176464795426e-05,1.2508676263678353e-05,5.735396371164825e-06,9.44914972933475e-06,1.5558071027044207e-05,2.9197635740274563e-06,8.932483979151584e-06,5.054670964454999e-06,4.239250301907305e-06,5.84255258218036e-06,1.3783903341391124e-05,1.453474487789208e-05,8.181494195014238e-06,4.77077219329658e-06,8.20346667751437e-06,5.943114501860691e-06,8.386610716115683e-06,7.652287422388326e-06,4.4613725549425e-06,9.37160166358808e-06,2.714974698392325e-06,5.252291430224432e-06,7.69580128689995e-06,2.564010401329142e-06,8.22201127448352e-06,2.934590384029434e-06,9.18463683774462e-06,7.363013537542429e-06,6.422324076993391e-06
300,9.988367673940957e-05,9.418655827175826e-05,0.00014573684893548489,0.0001156091020675376,7.569746958324686e-05,0.00010815321729751304,3.9810802263673395e-05,6.279646186158061e-05,1.722080196486786e-05,3.922898758901283e-05,2.4718841814319603e-05,3.354267028043978e-05,2.7700736609403975e-05,1.1800168067566119e-05,3.2663454476278275e-05,3.7213882023934275e-05,3.186293179169297e-05,3.0388469895115122e-05,2.6858877390623093e-05,2.1210129489190876e-05,4.330091996962437e-06,1.4750453374290373e-05,1.931047700054478e-05,7.09211417415645e-06,1.850053740781732e-05,1.782085200829897e-05,2.535919520596508e-06,8.90436967893038e-06,7.914208254078403e-06,3.491443749226164e-06,1.0471173482073937e-05,1.326293386227917e-05,9.887867236102466e-06,7.945316610857844e-06,8.45195336296456e-06,5.38952053830144e-06,1.3349014807317872e-05,1.242721646121936e-05,1.2201437129988335e-05,5.225404038355919e-06,1.0530247891438194e-05,2.198187985413824e-06,4.227970748615917e-06,8.256938599515706e-06,1.6134817997226492e-06,5.136977506481344e-06,3.585617378121242e-06,1.1097534297732636e-05,9.43182658375008e-06,1.0594800187391229e-05
400,2.62512439803686e-05,3.2048184948507696e-05,3.833535811281763e-05,5.710558616556227e-05,3.175219535478391e-05,3.5522600228432566e-05,2.9036455089226365e-05,4.718171476270072e-05,1.3355033843254205e-05,2.060689075733535e-05,1.0490142813068815e-05,1.5190041267487686e-05,1.1169215213158168e-05,1.2733817129628733e-05,1.2159945072198752e-05,1.3854136341251433e-05,5.570781468122732e-06,8.529518709110562e-06,8.89087823452428e-06,1.0962259693769738e-05,2.8326010124146705e-06,5.609630079561612e-06,1.120552042266354e-05,5.134584625920979e-06,8.197736860893201e-06,8.215401976485737e-06,1.409344235980825e-06,3.6096148505748715e-06,3.0894777864887146e-06,1.8436887785355793e-06,3.77916489924246e-06,9.258660611521918e-06,3.5616260447568493e-06,6.757034952897811e-06,3.0553371743735624e-06,2.554681714173057e-06,3.7580530261038803e-06,4.352246378402924e-06,3.1816775845072698e-06,5.823961146234069e-06,4.443356829142431e-06,1.0923073432422825e-06,2.428524567221757e-06,4.669100690080086e-06,1.037549736793153e-06,3.6229416764399502e-06,1.9629421785793966e-06,4.078115580341546e-06,3.0370792956091464e-06,3.717308572959155e-06
500,2.3986020096344873e-05,3.2423540687887e-05,7.221801206469536e-05,5.837911521666683e-05,2.7309059078106657e-05,1.9182274627382867e-05,3.4077736927429214e-05,3.3474687370471656e-05,6.908406248840038e-06,1.7217875210917555e-05,6.209375442267628e-06,1.8817436284734868e-05,1.8912707673734985e-05,6.143869086372433e-06,8.422187420364935e-06,1.5482128219446167e-05,5.5597724895051215e-06,1.3706908248423133e-05,8.356775651918724e-06,1.033190892485436e-05,1.6958573496594909e-06,7.1469762588094454e-06,1.0592228136374615e-05,3.6007656945002964e-06,6.273643975873711e-06,6.0615707297984045e-06,8.426584940934845e-07,2.7361249976820545e-06,3.88812168239383e-06,1.8359369278186932e-06,3.2508439744560746e-06,1.0197629308095202e-05,5.459237854665844e-06,4.861780325882137e-06,4.135108156333445e-06,4.2296501305827405e-06,3.0810574571660254e-06,6.528937774419319e-06,9.25690164876869e-06,3.8236830732785165e-06,8.245344361057505e-06,9.437401899958786e-07,1.8603088847157778e-06,4.05482796850265e-06,8.57631164308259e-07,2.1895159534324193e-06,8.221117582252191e-07,6.5684876062732656e-06,1.682713104855793e-06,5.513259566214401e-06
600,2.7557191060623154e-05,5.342649092199281e-05,5.253538256511092e-05,5.633443288388662e-05,4.091501250513829e-05,9.083537588594481e-05,2.2238811652641743e-05,3.4390461223665625e-05,9.83803238341352e-06,1.634434374864213e-05,8.51467666507233e-06,2.2395783162210137e-05,1.936950138770044e-05,6.838713943579933e-06,8.69178711582208e-06,1.3495491657522507e-05,2.4546869099140167e-05,9.013580893224571e-06,4.957820237905253e-06,8.607308700447902e-06,1.6405365386162885e-06,6.110382855695207e-06,7.437039585056482e-06,5.648086698784027e-06,4.8943807087198365e-06,7.462429493898526e-06,1.153617404270335e-06,7.446951258316403e-06,2.116743416991085e-06,2.3221512037707726e-06,3.0578041787521215e-06,1.0246340934827458e-05,4.423908649187069e-06,3.6441078918869607e-06,3.0898229397280375e-06,3.6479464142757934e-06,3.608906581575866e-06,4.695626103057293e-06,5.629823590425076e-06,3.717087110999273e-06,5.414413863036316e-06,1.4904791214576107e-06,5.7427432693657465e-06,3.946780452679377e-06,6.014917630636774e-07,2.7158014290762367e-06,1.2555525472635054e-06,3.293263262094115e-06,5.569295808527386e-06,4.312441888032481e-06
700,2.8608532375073992e-05,2.6973963031196035e-05,4.537677887128666e-05,4.7145746066235006e-05,2.043787571892608e-05,2.404953193035908e-05,2.788808342302218e-05,3.419532367843203e-05,1.013874771160772e-05,1.3004671018279623e-05,6.095674507378135e-06,1.233038983627921e-05,1.4597959307138808e-05,7.93704475654522e-06,8.238296686613467e-06,9.20098045753548e-06,5.844648512720596e-06,1.3138861504558008e-05,9.853102710621897e-06,1.0173412192671094e-05,2.999024445671239e-06,6.079950253479183e-06,9.496072379988618e-06,3.5784908050118247e-06,6.48482136966777e-06,8.82970925886184e-06,1.951448894033092e-06,2.3631453132111346e-06,2.56005409937643e-06,1.8525360019339132e-06,3.666556949610822e-06,1.1831385563709773e-05,4.766725396621041e-06,4.301546141505241e-06,2.394926241322537e-06,2.3883878839114914e-06,4.1642952055553906e-06,3.9954275052878074e-06,4.885692760581151e-06,2.3413278995576547e-06,3.948454832425341e-06,1.097719859899371e-06,1.623849811949185e-06,5.782218977401499e-06,1.252997890333063e-06,2.117029225701117e-06,1.4733467423866387e-06,5.108554432808887e-06,2.0610812043742044e-06,4.974500825483119e-06
800,3.7196030461927876e-05,2.674444294825662e-05,5.0984563131351024e-05,4.326483758632094e-05,2.6869241992244497e-05,2.6959589376929216e-05,3.0463248549494892e-05,2.717046118050348e-05,9.11894858290907e-06,1.0371136340836529e-05,6.61383319311426e-06,1.3749810023000464e-05,1.1958406503254082e-05,7.112929324648576e-06,8.174917638825718e-06,1.1478111446194816e-05,6.340058916975977e-06,9.865490937954746e-06,6.676558768958785e-06,1.013344262901228e-05,2.1409928194771055e-06,4.963978881278308e-06,1.1572721632546745e-05,5.885127393412404e-06,5.260482339508599e-06,5.415189662016928e-06,9.54106781136943e-07,4.548276137938956e-06,2.8004797059111297e-06,3.546096650097752e-06,3.078194140471169e-06,5.002566467737779e-06,4.20953028879012e-06,4.179129064141307e-06,2.4900605239963625e-06,2.4705746000108775e-06,3.779973894779687e-06,3.4787490221788175e-06,3.7533347949647577e-06,3.9990000004763715e-06,4.432725290826056e-06,2.069270976789994e-06,1.901551627270237e-06,5.613337179966038e-06,6.564774821526953e-07,4.5419005800795276e-06,9.897529480440426e-07,3.097050694123027e-06,2.1408695829450153e-06,4.1080506889557e-06
900,3.300232856418006e-05,5.096709355711937e-05,4.169977910351008e-05,5.127460462972522e-05,1.8823715436155908e-05,3.5519322409527376e-05,2.137635601684451e-05,3.329007813590579e-05,1.0669614312064368e-05,1.7844735339167528e-05,6.559414487128379e-06,1.377562693960499e-05,1.9656778022181243e-05,8.048867130128201e-06,1.891200190584641e-05,1.2945887647219934e-05,8.962392712419387e-06,1.1095955414930359e-05,5.113264251122018e-06,7.563042800029507e-06,2.8658403152803658e-06,4.468377483135555e-06,8.593106031185016e-06,7.10803260517423e-06,7.887097126513254e-06,7.941276635392569e-06,1.4398223129319376e-06,4.999403699912364e-06,7.710789759585168e-06,1.7004706478473963e-06,2.874852725653909e-06,9.009161658468656e-06,3.607878625189187e-06,3.2866669243958313e-06,3.866029146593064e-06,2.6751336008601356e-06,3.5457505873637274e-06,4.3532581912586465e-06,3.911384283128427e-06,4.441708369995467e-06,3.213320951545029e-06,1.130724399445171e-06,2.73219325208629e-06,3.5224609291617526e-06,1.2248598295627744e-06,5.261538717604708e-06,2.422001443846966e-06,3.463296025074669e-06,2.603531129352632e-06,3.0918852189643076e-06
