step,channel_68,channel_65,channel_100,channel_116,channel_114,channel_78,channel_97,channel_81,channel_387,channel_86,channel_179,channel_145,channel_115,channel_138,channel_132,channel_90,channel_243,channel_64,channel_50,channel_66,channel_178,channel_401,channel_384,channel_52,channel_653,channel_98,channel_118,channel_273,channel_266,channel_385,channel_85,channel_306,channel_96,channel_108,channel_307,channel_181,channel_832,channel_88,channel_546,channel_74,channel_202,channel_142,channel_149,channel_672,channel_691,channel_308,channel_127,channel_36,channel_643,channel_182
0,2.197107505708118e-06,3.27808902511606e-06,4.526193606579909e-06,4.280346274754265e-06,3.4665501971176127e-06,5.7617044149083085e-06,4.6156146709108725e-06,3.4264855912624625e-06,2.4222151751018828e-06,3.0955156944401097e-06,3.728490810317453e-06,3.4125152978958795e-06,6.695614956697682e-06,3.0312994567793794e-06,1.81455129677488e-06,2.689285111046047e-06,1.034595970850205e-05,2.749181930994382e-06,7.788826223986689e-06,3.5725861380342394e-06,2.4153455342457164e-06,1.0982212188537233e-05,1.2532032087619882e-05,9.997421329899225e-06,2.9613338483613916e-06,6.041398592060432e-06,4.817750323127257e-06,3.5629825561045436e-06,5.667136974807363e-06,8.541975148546044e-06,2.6239904400426894e-06,3.5778243727691006e-06,8.757625437283423e-06,5.859798420715379e-06,3.977589130954584e-06,5.913086624786956e-06,4.192880169284763e-06,2.870726575565641e-06,7.660302799195051e-06,4.103720584680559e-06,3.657031356851803e-06,3.3631390579103027e-06,2.579182591944118e-06,4.790054845216218e-06,6.24898439127719e-06,4.156839622737607e-06,2.8210540676809615e-06,8.327227078552824e-06,4.053926204505842e-06,4.153602731093997e-06
100,8.1108355516335e-06,9.12639734451659e-06,9.52851951296907e-06,9.639104064262938e-06,7.442129572154954e-06,9.536667676002253e-06,1.2241766853549052e-05,1.2390440133458469e-05,7.040409400360659e-06,1.3595395103038754e-05,9.876939657260664e-06,1.1690736755554099e-05,1.2898378372483421e-05,1.2689984032476787e-05,1.4086020200920757e-05,1.5187122698989697e-05,1.4061710317037068e-05,9.96345352177741e-06,1.0728401321102865e-05,1.2307067663641647e-05,1.557744326419197e-05,1.371269354422111e-05,1.1573907613637857e-05,1.582338154548779e-05,1.5172142411756795e-05,1.668447657721117e-05,1.1964924851781689e-05,1.4509568245557602e-05,1.2629736374947242e-05,1.2463976418075617e-05,1.4891787031956483e-05,1.3653077985509299e-05,1.725213587633334e-05,1.73613298102282e-05,1.7811835277825594e-05,1.7104128346545622e-05,1.552967296447605e-05,1.1731242011592258e-05,1.8151537005905993e-05,1.8343438568990678e-05,1.674761006142944e-05,1.5387966413982213e-05,1.4144837223284412e-05,1.6264761143247597e-05,1.809024251997471e-05,1.8195243683294393e-05,1.877862996479962e-05,1.898350274132099e-05,1.862416320363991e-05,1.7982865756493993e-05
200,6.50573565508239e-06,8.400351362070069e-06,5.76553702558158e-06,9.886980478768237e-06,7.679474038013723e-06,9.11390088731423e-06,9.329098247690126e-06,6.480837328126654e-06,9.775504622666631e-06,1.29089348774869e-05,1.054755466611823e-05,1.3804155969410203e-05,9.81362427410204e-06,1.3039222721999977e-05,1.2350501492619514e-05,9.653989764046855e-06,1.4176674085319974e-05,1.5258780877047684e-05,1.5469815480173565e-05,1.3285019122122321e-05,1.0330441000405699e-05,1.3272170690470375e-05,1.2403664186422247e-05,1.6084864910226315e-05,1.559678821649868e-05,1.1420383088989183e-05,7.988558536453638e-06,1.3904188563174102e-05,1.2205786333652213e-05,1.2078759937139694e-05,9.752981895871926e-06,1.230531506735133e-05,1.0576747627055738e-05,1.0798738003359176e-05,9.571296686772257e-06,1.44775567605393e-05,1.812141817936208e-05,1.831133158702869e-05,1.5450081264134496e-05,1.7373751688865013e-05,1.8367798475082964e-05,1.1963288670813199e-05,1.701817018329166e-05,1.8797829397954047e-05,1.8819862816599198e-05,1.486047767684795e-05,1.4304552678368054e-05,1.2261769370525144e-05,1.5251510376401711e-05,1.520521254860796e-05
300,6.226279765542131e-06,8.68020833877381e-06,7.1740078055881895e-06,6.996086540311808e-06,1.0186831786995754e-05,1.1120847375423182e-05,1.2021376278426033e-05,9.943727491190657e-06,1.2544252058432903e-05,1.2324587260081898e-05,1.389722638123203e-05,1.2963195331394672e-05,1.4512623238260858e-05,1.4565171113645192e-05,1.463656280975556e-05,1.324818094872171e-05,1.523445280326996e-05,9.648545528762043e-06,1.2944484296895098e-05,1.4160117643768899e-05,1.243212591361953e-05,1.5429124687216245e-05,1.2145506843808107e-05,1.3158091860532295e-05,1.1312154128972907e-05,1.1792444638558663e-05,1.106486342905555e-05,1.6731433788663708e-05,1.7054786439985037e-05,1.4832589840807486e-05,1.2351892110018525e-05,1.4662239664176013e-05,1.647453973419033e-05,1.4587420992029365e-05,1.5193370018096175e-05,1.799031269911211e-05,1.7039330487023108e-05,1.2451938346202951e-05,1.8338563677389175e-05,1.6734540622564964e-05,1.727041308186017e-05,1.525554216641467e-05,1.724890898913145e-05,1.60023682838073e-05,1.5297482605092227e-05,1.6547033737879246e-05,1.7871865566121414e-05,1.3296790712047368e-05,1.837884155975189e-05,1.4358700354932807e-05
400,3.091359076279332e-06,5.817949841002701e-06,3.0578466976294294e-06,4.104259005544009e-06,5.445826900540851e-06,5.529593636310892e-06,5.825313564855605e-06,4.038095084979432e-06,5.312288976710988e-06,7.738999556750059e-06,7.284353159775492e-06,7.280029876710614e-06,6.3382262851519044e-06,8.319600055983756e-06,9.488315299677197e-06,5.139698259881698e-06,9.215485079039354e-06,8.54622612678213e-06,5.7486631703795865e-06,6.980469152040314e-06,6.683705578325316e-06,6.7458995545166545e-06,7.292223926924635e-06,5.299885287968209e-06,1.1459936104074586e-05,5.304214028001297e-06,8.534513654012699e-06,6.729590495524462e-06,7.271911727002589e-06,6.108094112278195e-06,4.072971933055669e-06,5.258641976979561e-06,6.159802978800144e-06,5.769916242570616e-06,6.000659595883917e-06,1.2197306205052882e-05,1.1255438039370347e-05,6.6719212554744445e-06,1.2772897207469214e-05,6.839190064056311e-06,7.414238098135684e-06,7.229893526528031e-06,9.367289749206975e-06,9.673939530330244e-06,1.109234472096432e-05,5.813608368043788e-06,1.865312151494436e-05,5.88880357099697e-06,1.1757175343518611e-05,1.359031921310816e-05
500,6.5548620113986544e-06,3.5233813377999468e-06,3.2193056540563703e-06,4.461709977476858e-06,4.3265831664029974e-06,4.3748668758780695e-06,4.706329946202459e-06,3.1614040381100494e-06,3.6648932564276038e-06,1.0973617463605478e-05,8.908185918699019e-06,6.9007733145554084e-06,6.026937626302242e-06,6.054806817701319e-06,8.764309313846752e-06,8.041635737754405e-06,9.211489668814465e-06,7.00548571330728e-06,4.6607183321611956e-06,5.745926046074601e-06,6.747665338480147e-06,8.676674951857422e-06,6.422202204703353e-06,9.93987669062335e-06,5.911752396059455e-06,5.8129926401306875e-06,7.549232122983085e-06,1.278758190892404e-05,6.281484274950344e-06,9.11149527382804e-06,7.245937467814656e-06,6.254548225115286e-06,6.655875495198416e-06,6.779661362088518e-06,7.619141797476914e-06,8.762172910792287e-06,1.024462380883051e-05,9.7570728030405e-06,1.1922186786250677e-05,6.046344424248673e-06,8.240474016929511e-06,6.72862506689853e-06,8.335405254911166e-06,1.2645085917029064e-05,1.1590530448302161e-05,1.2517545656010043e-05,9.5254063126049e-06,5.27257952853688e-06,9.537720870866906e-06,9.47293210629141e-06
600,2.8386157282511704e-06,5.0788776206900366e-06,2.9575314783869544e-06,4.954850282956613e-06,4.0916593206929974e-06,5.531796432478586e-06,6.481667242042022e-06,3.6153178371023387e-06,3.9095893953344785e-06,7.417086180794286e-06,7.4740182753885165e-06,6.118276360211894e-06,6.4199102780548856e-06,9.046672857948579e-06,5.831222097185673e-06,7.5315347203286365e-06,8.131281902024057e-06,5.6718754422036e-06,6.194866728037596e-06,7.229974926303839e-06,7.046532118692994e-06,8.368903763766866e-06,5.745945145463338e-06,8.324774171342142e-06,6.123030289018061e-06,5.05215757584665e-06,7.57372981752269e-06,1.0080908396048471e-05,8.546778190066107e-06,8.149524546752218e-06,5.848463388247183e-06,6.920973191881785e-06,6.503588338091504e-06,5.855497420270694e-06,7.167857802414801e-06,1.1946641279791947e-05,1.1344303857185878e-05,7.379225280601531e-06,1.2783784768544137e-05,8.943939064920414e-06,8.58256134961266e-06,1.491863531555282e-05,1.0027617463492788e-05,1.0269608537782915e-05,1.5166949197009671e-05,9.143704119196627e-06,1.042722215061076e-05,1.2267041711311322e-05,1.1537021237018052e-05,8.284399882541038e-06
700,4.870006250712322e-06,3.65720416084514e-06,5.511963081517024e-06,5.399417204898782e-06,4.338974576967303e-06,6.856593699922087e-06,5.788569524156628e-06,4.753585471917177e-06,5.001055797038134e-06,8.664153028803412e-06,6.5534200075489935e-06,6.732618658134015e-06,7.2251477831741795e-06,7.624762929481221e-06,8.297706699522678e-06,9.484775546297897e-06,9.260007573175244e-06,5.4064366850070655e-06,8.015720595722087e-06,7.660627488803584e-06,8.83162829268258e-06,1.0471030691405758e-05,5.86606256547384e-06,9.341884833702352e-06,9.459834473091178e-06,5.070497991255252e-06,7.339680450968444e-06,7.252286195580382e-06,5.829032943438506e-06,5.302836598275462e-06,4.726603492599679e-06,8.190721018763725e-06,7.373871994786896e-06,7.4772747211682145e-06,7.90644025983056e-06,1.2257580237928778e-05,9.195364327752031e-06,6.225252491276478e-06,7.122250735847047e-06,1.1407437341404147e-05,8.154671377269551e-06,1.1712100786098745e-05,8.524605618731584e-06,9.940355084836483e-06,1.4566851859854069e-05,6.2289973357110284e-06,9.874131137621589e-06,7.773429388180375e-06,1.6693569705239497e-05,1.3173941624700092e-05
800,2.9555651508417213e-06,6.570529421878746e-06,4.1084254007728305e-06,5.490995590662351e-06,2.4672715426277136e-06,6.670954917353811e-06,4.600464308168739e-06,3.5987475257570622e-06,4.655779321183218e-06,8.462748155579902e-06,4.730250566353789e-06,8.212848115363158e-06,3.973344064434059e-06,4.387465651234379e-06,5.386725661082892e-06,6.225081506272545e-06,8.32836394693004e-06,5.469730240292847e-06,5.528851033886895e-06,9.828088877839036e-06,6.524046057165833e-06,6.314291567832697e-06,7.410272701235954e-06,8.996167707664426e-06,9.595828487363178e-06,5.922704531258205e-06,1.1511428056110162e-05,4.909268227493158e-06,4.0290997276315466e-06,7.75511307438137e-06,5.062026957602939e-06,4.633641310647363e-06,1.0610506251396146e-05,4.723642632598057e-06,4.7498569983872585e-06,8.131784852594137e-06,7.761766028124839e-06,8.759003321756609e-06,1.761459861882031e-05,6.518017471535131e-06,1.1367719707777724e-05,9.467331437917892e-06,8.554078704037238e-06,8.677604455442633e-06,9.831827810558025e-06,7.3206224442401435e-06,7.979344445629977e-06,9.188644071400631e-06,8.323922884301282e-06,8.97259724297328e-06
900,4.653958058042917e-06,4.492173502512742e-06,3.848445430776337e-06,3.3064222861867165e-06,4.948063633491984e-06,6.271527581702685e-06,8.066820555541199e-06,4.330501269578235e-06,6.189208761497866e-06,5.904541012569098e-06,5.64865740670939e-06,5.3433891480381135e-06,5.090127160656266e-06,6.6168281591671985e-06,4.558196451398544e-06,6.33400713923038e-06,8.112233444990125e-06,8.186962077161297e-06,1.0296367690898478e-05,7.5562516030913685e-06,7.784237823216245e-06,7.76961041992763e-06,6.460164968302706e-06,8.784501005720813e-06,7.0860069172340445e-06,7.067693331919145e-06,1.0432830094941892e-05,6.502429187094094e-06,7.925800673547201e-06,1.4164965250529349e-05,4.987181000615237e-06,6.805109023844125e-06,1.4138314327283297e-05,6.167294486658648e-06,5.901464646740351e-06,6.790805855416693e-06,8.65179936226923e-06,5.906765636609634e-06,7.866571650083642e-06,7.73094598116586e-06,6.886426490382291e-06,6.9906323005852755e-06,5.8497175814409275e-06,6.1280152294784784e-06,1.1077591807406861e-05,8.208014151023235e-06,8.416819582635071e-06,9.32469356484944e-06,1.7466800272813998e-05,8.081639862211887e-06
