step,mean,median,p90,p99,max
0,5.8950598721883655e-06,4.114760713491705e-06,1.2436683391570114e-05,3.0483252612611953e-05,4.9889073125086725e-05
100,3.325187634979037e-05,2.6853704184759408e-05,6.13617739873007e-05,0.00012993165582884093,0.00021643270156346262
200,3.4342667179641596e-05,2.712768218771089e-05,6.282871981966309e-05,0.00015639494449715106,0.0002285982482135296
300,3.7083041855520295e-05,2.963727183669107e-05,6.70750487188343e-05,0.0001740535422868561,0.00023442543169949204
400,1.7761625525279457e-05,1.3342556030693231e-05,3.255724368500523e-05,7.993298895598852e-05,0.00014229831867851317
500,1.791125534670154e-05,1.3862581909052096e-05,3.31364426529035e-05,7.432801903632911e-05,0.00016909551050048321
600,1.702708895808972e-05,1.2832663287554169e-05,3.258956530771684e-05,7.609306958329395e-05,0.00011649318184936419
700,1.9106253759306113e-05,1.5307662579289172e-05,3.506417488097213e-05,8.105857341433873e-05,0.0001253480149898678
800,1.656404999041326e-05,1.3447509900288424e-05,2.9527326660172548e-05,7.148678269004419e-05,0.0001193935313494876
900,1.912639651457937e-05,1.4489951354335062e-05,3.5894636312150396e-05,9.491674209129996e-05,0.00016361840243916959
1000,1.9947067447694572e-05,1.6443244021502323e-05,3.5597291571320966e-05,7.698604749748464e-05,0.00010663249850040302
1100,1.7625722000908744e-05,1.2789200354745844e-05,3.5329310776432976e-05,8.61945078213463e-05,0.00012535284622572362
1200,1.894711044896675e-05,1.4294961601990508e-05,3.650175676739309e-05,7.742604138911689e-05,0.00012967950897291303
1300,1.7469136100852927e-05,1.3907199445384322e-05,3.31216706399573e-05,7.233174546854563e-05,0.00010800001473398879
1400,1.6682880116342907e-05,1.2979719485883834e-05,3.166558781231288e-05,7.126200835045887e-05,0.00011265878129051998
1500,1.6654739722454792e-05,1.3134509572410025e-05,3.0900861020199955e-05,7.412245104205792e-05,0.00012850621715188026
1600,1.5454768440622706e-05,1.2070029242750024e-05,2.915145523729734e-05,6.303039263002559e-05,0.00010211210610577837
1700,1.76347189269066e-05,1.3830237548972946e-05,3.3556543712620623e-05,7.337207498494515e-05,0.0001221843995153904
1800,1.9559058977135025e-05,1.5719570001238026e-05,3.6087991247768514e-05,8.169951470335907e-05,0.00013099369243718684
1900,1.7803536194627156e-05,1.4160526006889995e-05,3.3526806873851456e-05,6.9470264861593e-05,0.00012989762763027102
2000,1.661936552072823e-05,1.2892486211057985e-05,3.171057869622018e-05,7.719746681686952e-05,0.00012358633102849126
2100,1.7058510831700702e-05,1.3194719940656796e-05,3.129741526208818e-05,7.637962517037514e-05,0.0001226738968398422
2200,1.861717222974489e-05,1.4498236851068214e-05,3.510203350742813e-05,7.612379595229865e-05,0.00014874750922899693
2300,1.958927796368621e-05,1.5023731066321488e-05,3.790945265791379e-05,8.786435464571694e-05,0.00014240725431591272
2400,1.8364286957403158e-05,1.4342895610752748e-05,3.395394014660269e-05,7.895739545347168e-05,0.00013643043348565698
2500,2.001663282883267e-05,1.4938942058506655e-05,3.791199924307875e-05,0.00010141589882550758,0.00013580355152953416
2600,1.8685712267390337e-05,1.4583359188691247e-05,3.4555700040073134e-05,8.11669069662457e-05,0.00014742104394827038
2700,1.990288583339098e-05,1.605323723197216e-05,3.718682091857772e-05,7.947075100673823e-05,0.00013735456741414964
2800,1.6219811242049582e-05,1.2776060884789331e-05,3.1015812055557035e-05,7.380290917353687e-05,0.00011899841774720699
2900,1.8407399443682542e-05,1.4325025404104963e-05,3.4462633266230114e-05,7.21977798093573e-05,0.00012831736239604652
3000,1.7872275466679355e-05,1.3546569334721426e-05,3.4003051041509025e-05,8.489934552926566e-05,0.00012763631821144372
3100,2.023324169415324e-05,1.4789286524319323e-05,4.006158087577205e-05,0.00010750534493126903,0.00016520531789865345
3200,1.8308950657924023e-05,1.4185466625349363e-05,3.499927515804302e-05,8.18043419712921e-05,0.00013858922466170043
3300,1.8181959306521174e-05,1.4025158179720165e-05,3.423561793169938e-05,7.720538997091352e-05,0.0001519806683063507
3400,1.9018554098439366e-05,1.500856251368532e-05,3.479850056464784e-05,8.607027193647804e-05,0.00012140496983192861
