step,channel_3708,channel_3367,channel_3361,channel_2672,channel_1870,channel_4213,channel_837,channel_975,channel_1127,channel_867,channel_4346,channel_3456,channel_186,channel_1288,channel_1094,channel_3393,channel_3115,channel_893,channel_2966,channel_1407,channel_1334,channel_661,channel_2658,channel_2251,channel_2800,channel_949,channel_2762,channel_3219,channel_1163,channel_3479,channel_3882,channel_319,channel_210,channel_2586,channel_2398,channel_1304,channel_565,channel_1621,channel_2063,channel_3835,channel_284,channel_629,channel_1762,channel_1726,channel_1482,channel_3700,channel_2066,channel_4856,channel_4716,channel_992
0,0.00010337056301068515,0.0002850008604582399,1.0914154700003564e-05,0.0001538719079690054,0.00022935205197427422,0.00012281605449970812,3.0457740649580956e-05,5.890269312658347e-05,2.707819476199802e-05,3.714137710630894e-05,7.859013567212969e-05,1.1455398635007441e-05,4.973282557330094e-05,2.371572372794617e-05,2.9533521228586324e-05,7.12565379217267e-05,1.86434972420102e-05,2.9235039619379677e-05,2.3384769519907422e-05,1.0615856808726676e-05,1.2933340258314274e-05,8.717638593225274e-06,7.77091336203739e-05,4.5687898818869144e-05,7.305053441086784e-05,1.7374162780470215e-05,1.1357458788552321e-05,2.9608920158352703e-05,5.236005745246075e-05,1.6680052794981748e-05,4.001284105470404e-05,7.866979285608977e-05,1.7706785001792014e-05,3.0664741643704474e-05,2.8009808374918066e-05,2.468137608957477e-05,3.467050555627793e-05,0.00017707174993120134,2.235330430266913e-05,2.8263944841455668e-05,6.339083483908325e-05,3.255521005485207e-05,6.254915206227452e-05,4.9993584980256855e-05,8.814397006062791e-05,1.6394140402553603e-05,1.0191974070039578e-05,2.5410347006982192e-05,2.4384995413129218e-05,9.935478738043457e-05
100,0.0003115362487733364,0.00022817937133368105,3.8877118640812114e-05,0.00014019300579093397,0.0002204760239692405,0.00017107762687373906,0.00014832378656137735,0.00013194415078032762,0.00023968379537109286,0.00013956095790490508,0.00013529036368709058,0.00021876097889617085,0.00015818787505850196,0.0001827912055887282,0.0002089183690259233,0.00020052109903190285,0.00019760234863497317,0.00019721676653716713,9.851476352196187e-05,7.414333231281489e-05,0.00010206064325757325,1.2924311704409774e-05,0.00012750017049256712,0.00019162612443324178,0.00012520590098574758,0.00010705828753998503,9.723676339490339e-05,0.00013705586025025696,0.0001878844341263175,0.00013810319069307297,0.00011072109191445634,7.167305739130825e-05,0.00018129321688320488,0.00012584537034854293,0.00010596882202662528,0.00018005449965130538,0.00017725621000863612,0.00011480024113552645,0.0001761009480105713,7.117803033906966e-05,0.00015608660760335624,0.00015317848010454327,0.00015901036385912448,9.842879080679268e-05,8.927901944844052e-05,0.00017027909052558243,7.144953269744292e-05,0.0001694850216154009,0.00014446077693719417,0.00016927688557188958
200,9.793388744583353e-05,0.00030032912036404014,2.6575273295748048e-05,0.0002845431736204773,0.0002494646469131112,0.00018800712132360786,0.00026183557929471135,0.00011665033525787294,0.00010141037637367845,0.00017044985725078732,0.00022469011310022324,5.411015445133671e-05,0.00014351030404213816,0.00020912388572469354,0.00011292839189991355,0.00012891841470263898,8.790221181698143e-05,5.108272671350278e-05,0.00012306524149607867,6.495197885669768e-05,5.7519693655194715e-05,1.7106942323152907e-05,0.00019164412515237927,9.666431287769228e-05,0.0001909884886117652,0.00019018382590729743,0.00018835558148566633,0.0001879575283965096,0.00012047802738379687,9.594986477168277e-05,9.459966531721875e-05,0.00018420378910377622,6.471652159234509e-05,0.00014456218923442066,0.0001192015697597526,0.0001592029439052567,0.00015693207387812436,9.209849667968228e-05,5.664044510922395e-05,7.051834836602211e-05,0.00017582692089490592,0.00017429719446226954,0.0001487214904045686,0.0001720331347314641,8.555758540751413e-05,9.621978097129613e-05,0.00016965396935120225,0.00010695082892198116,5.165858965483494e-05,9.494522964814678e-05
300,0.0001840708137024194,0.0002234241837868467,8.98670987226069e-05,0.00016835395945236087,0.00028210837626829743,0.00022555924078915268,8.525524754077196e-05,0.0002048296737484634,9.649815183365718e-05,0.00013722667063120753,0.00014374467718880624,9.328367741545662e-05,0.0002140210708603263,0.00018105286289937794,0.00012113402772229165,0.00013025292719248682,0.00012777483789250255,7.782432658132166e-05,0.0001018028924590908,0.00019625785353127867,5.8271136367693543e-05,1.770747076079715e-05,9.088932711165398e-05,0.00014148250920698047,0.0001465801033191383,0.0001255987153854221,8.284506475320086e-05,0.00018008338520303369,8.470893953926861e-05,0.00018635096785146743,8.332762081408873e-05,7.921607175376266e-05,9.052918903762475e-05,0.00015514691767748445,0.00018027207988779992,0.0001265574828721583,9.632530418457463e-05,4.968359280610457e-05,4.373175761429593e-05,0.00013187281729187816,0.0001058786510839127,0.00013145679258741438,0.00013425035285763443,9.301397949457169e-05,0.00017088289314415306,8.378669735975564e-05,0.000109246582724154,8.711308328201994e-05,0.00016934370796661824,8.381220686715096e-05
400,4.1098981455434114e-05,0.00014777037722524256,0.00028495292644947767,0.0001238179684150964,7.926971011329442e-05,0.0001082597445929423,4.1827981476671994e-05,7.412269042106345e-05,6.108728848630562e-05,6.596546154469252e-05,6.281668902374804e-05,4.2449300963198766e-05,6.042542008799501e-05,4.3029809603467584e-05,6.433386442949995e-05,5.983386654406786e-05,3.797835961449891e-05,3.053472755709663e-05,5.1804789109155536e-05,3.16657533403486e-05,2.6256504497723654e-05,6.385503183992114e-06,6.947275687707588e-05,6.500494782812893e-05,4.8213802074315026e-05,4.051706491736695e-05,6.154248694656417e-05,6.0602487792493775e-05,4.721339064417407e-05,6.842754373792559e-05,6.217356713023037e-05,5.720770059269853e-05,5.052571214037016e-05,0.00010139544610865414,4.741442171507515e-05,4.0961043850984424e-05,4.5567747292807326e-05,3.8605910958722234e-05,3.9099490095395595e-05,3.1784209568286315e-05,4.591551987687126e-05,7.99224799266085e-05,4.117350545129739e-05,4.9392903747502714e-05,5.929846520302817e-05,7.014020229689777e-05,3.80442725145258e-05,9.002661681734025e-05,2.0513256458798423e-05,6.83102261973545e-05
500,9.172297723125666e-05,0.0002243159688077867,2.6344267098465934e-05,0.00018842713325284421,0.00011997836554655805,9.111651161219925e-05,8.646291826153174e-05,8.552895451430231e-05,5.126240284880623e-05,0.00010853780258912593,0.00010207499144598842,3.914497938239947e-05,0.00015744338452350348,4.02809600927867e-05,3.195695171598345e-05,2.85313308268087e-05,6.678442150587216e-05,4.010550765087828e-05,4.434462607605383e-05,6.065719935577363e-05,5.0638511311262846e-05,5.854245046066353e-06,2.5369139621034265e-05,5.638933726004325e-05,5.482587584992871e-05,7.29661260265857e-05,3.163167639286257e-05,7.624748104717582e-05,5.371276711230166e-05,6.085287895984948e-05,9.909069194691256e-05,6.120938633102924e-05,4.630149123840965e-05,6.072045653127134e-05,4.670637645176612e-05,5.541773862205446e-05,8.290132973343134e-05,6.588001997442916e-05,2.6324731152271852e-05,0.00017607558402232826,9.687140845926479e-05,6.303199916146696e-05,5.5752447224222124e-05,7.781720341881737e-05,4.8052701458800584e-05,5.902050907025114e-05,3.146916060359217e-05,6.221204239409417e-05,1.9748906197492033e-05,7.53781569073908e-05
600,0.00010142285464098677,0.00011750088742701337,1.3680563824891578e-05,0.00010853075218619779,0.00015082814206834882,0.00016414157289545983,6.523976480821148e-05,8.442386024398729e-05,5.4742318752687424e-05,7.109497528290376e-05,0.00020713912090286613,3.686533818836324e-05,4.426330633577891e-05,2.983675767609384e-05,4.680944039137103e-05,3.033860593859572e-05,3.73443981516175e-05,2.612440766824875e-05,5.643206532113254e-05,5.4422511311713606e-05,0.00019223745039198548,5.667111508955713e-06,4.928074486088008e-05,7.701128924963996e-05,4.0189410356106237e-05,6.77201896905899e-05,5.4953256039880216e-05,5.936320303590037e-05,4.8061479901662096e-05,6.460360600613058e-05,5.734499791287817e-05,6.591215787921101e-05,3.3751501177903265e-05,8.66372138261795e-05,5.7152192312059924e-05,7.029298285488039e-05,0.0001021014541038312,3.573312278604135e-05,2.819242035911884e-05,3.858088530250825e-05,7.418385939672589e-05,9.305971616413444e-05,9.818609396461397e-05,0.00010443953942740336,8.892740879673511e-05,7.261795690283179e-05,1.9968309061368927e-05,4.507287303567864e-05,2.9366774469963275e-05,5.10909958393313e-05
700,7.89006517152302e-05,9.863044397206977e-05,1.4506428669847082e-05,6.244010728551075e-05,0.0001022544747684151,0.00014861472300253808,4.813867053599097e-05,9.094365668715909e-05,6.33950112387538e-05,5.486805457621813e-05,0.0001286878832615912,5.081521885585971e-05,4.180616815574467e-05,3.49390902556479e-05,3.389691119082272e-05,6.434674287447706e-05,5.861273530172184e-05,3.717845174833201e-05,9.61223995545879e-05,3.631841536844149e-05,1.9311464711790904e-05,9.136316293734126e-06,0.00010887367534451187,5.4935659136390314e-05,6.401371501851827e-05,6.615473830606788e-05,3.916451532859355e-05,5.9556085034273565e-05,4.5232780394144356e-05,8.661030733492225e-05,7.402380288112909e-05,3.844110688078217e-05,4.6337954699993134e-05,9.073741966858506e-05,5.259238969301805e-05,0.00010333913087379187,5.5313190387096256e-05,2.477394991728943e-05,3.0307117413030937e-05,2.8561738872667775e-05,5.473216515383683e-05,8.099167462205514e-05,5.996611434966326e-05,6.343607674352825e-05,5.0864175136666745e-05,0.0001137305298470892,2.1333880795282312e-05,6.471543019870296e-05,3.849200584227219e-05,5.6611090258229524e-05
800,8.793536835582927e-05,0.00013763880997430533,1.7924356143339537e-05,6.678430509055033e-05,0.0001049685015459545,0.0002149710344383493,5.628581493510865e-05,0.0001088054123101756,4.233237268636003e-05,8.109509508358315e-05,8.792250446276739e-05,4.381849794299342e-05,6.277823558775708e-05,4.393995550344698e-05,3.4893862903118134e-05,5.446995055535808e-05,3.938768713851459e-05,4.513925887295045e-05,0.00010639768152032048,4.0013772377278656e-05,1.366016294923611e-05,4.527957116806647e-06,2.370355105085764e-05,6.249503348954022e-05,4.8313977458747104e-05,4.45016376033891e-05,3.5796998417936265e-05,6.095546268625185e-05,3.937470683013089e-05,4.148397783865221e-05,5.359622082323767e-05,2.6615589376888238e-05,2.6326122679165564e-05,8.954923396231607e-05,3.9599774027010426e-05,5.958852852927521e-05,4.010142947663553e-05,2.8498230676632375e-05,2.5965178792830557e-05,2.3826562028261833e-05,5.407661592471413e-05,6.263559771468863e-05,4.976243508281186e-05,4.394618736114353e-05,6.207815749803558e-05,5.782677908428013e-05,2.1067291527288035e-05,5.5235937907127663e-05,2.1527357603190467e-05,5.184378460398875e-05
900,6.354087236104533e-05,0.0001870702108135447,1.2337529369688127e-05,6.628742266912013e-05,8.806953701423481e-05,9.226193651556969e-05,4.164334313827567e-05,8.904404967324808e-05,6.02106265432667e-05,9.668122947914526e-05,6.654222670476884e-05,4.271891157259233e-05,7.561696111224592e-05,4.3866461055586115e-05,8.683688793098554e-05,4.279073255020194e-05,4.673612420447171e-05,2.860580207197927e-05,5.909916581003927e-05,3.3548352803336456e-05,4.016364619019441e-05,4.56932639281149e-06,2.8596981792361476e-05,0.00010265569289913401,4.2615632992237806e-05,6.672834570053965e-05,3.464721157797612e-05,7.641786214662716e-05,8.44728565425612e-05,5.255264841252938e-05,7.002516213105991e-05,6.996824959060177e-05,3.9976031985133886e-05,0.00010287418263033032,6.724206468788907e-05,6.918745930306613e-05,5.2616062021115795e-05,3.3259435440413654e-05,2.502301686035935e-05,7.968672434799373e-05,5.3474406740861014e-05,5.555855022976175e-05,6.842199945822358e-05,4.6313161874422804e-05,4.1294682887382805e-05,5.364759635995142e-05,2.3749995307298377e-05,5.3006791858933866e-05,1.733027420414146e-05,5.842406608280726e-05
1000,7.710969657637179e-05,0.00012563815107569098,3.728630690602586e-05,6.228502024896443e-05,0.00011557152174646035,0.0001495313481427729,9.396568202646449e-05,0.00011523361899890006,6.758786184946075e-05,9.078687435248867e-05,7.620415271958336e-05,4.935551623930223e-05,4.9278471124125645e-05,4.8661826440365985e-05,5.668116864399053e-05,3.396573811187409e-05,4.241934948367998e-05,3.751536860363558e-05,4.7943321987986565e-05,4.7913894377416e-05,1.0819831004482694e-05,1.739873187034391e-05,7.394909334834665e-05,5.578190030064434e-05,4.0874954720493406e-05,7.661349809495732e-05,5.201242311159149e-05,6.617572216782719e-05,4.597389852278866e-05,7.647626625839621e-05,6.12315780017525e-05,6.862288137199357e-05,4.299437568988651e-05,0.00010208733147010207,4.2831939936149865e-05,7.13066547177732e-05,6.242009840207174e-05,2.583580499049276e-05,4.6140135964378715e-05,0.00011860785161843523,9.767826122697443e-05,5.5466527555836365e-05,5.760454587289132e-05,6.541074981214479e-05,8.05495074018836e-05,5.199271981837228e-05,4.542798706097528e-05,5.2180497732479125e-05,1.7270554963033646e-05,6.469085201388225e-05
