step,channel_1017,channel_1449,channel_3710,channel_1639,channel_3360,channel_3203,channel_4742,channel_2473,channel_2652,channel_2579,channel_4627,channel_3393,channel_3037,channel_4785,channel_4050,channel_1770,channel_165,channel_2706,channel_1882,channel_4082,channel_4689,channel_2620,channel_1741,channel_663,channel_4404,channel_1883,channel_4720,channel_2552,channel_4640,channel_1926,channel_1311,channel_3596,channel_2448,channel_3652,channel_2132,channel_1829,channel_2021,channel_898,channel_1985,channel_3004,channel_3214,channel_4527,channel_3965,channel_1435,channel_1504,channel_249,channel_4262,channel_4727,channel_1369,channel_3937
0,2.7419305297371466e-06,2.336127408852917e-06,4.754373549076263e-06,1.631456370887463e-06,3.911038220394403e-06,1.712641733320197e-06,1.8006571735895704e-06,2.3437526124325814e-06,4.2826964090636466e-06,2.751855618043919e-06,2.7089358809462283e-06,4.3802183427033015e-06,1.2911959856864996e-06,1.5973992049111985e-06,4.507612175075337e-06,4.783892563864356e-06,3.49841570823628e-06,1.4513782389258267e-06,2.5499500679870835e-06,4.296487986721331e-06,2.6583848011796363e-06,2.087802613459644e-06,2.4030098302318947e-06,2.310880972800078e-06,5.542601229535649e-06,2.5798055958148325e-06,1.877134536698577e-06,2.3533527837571455e-06,4.8404131121060345e-06,2.598697165012709e-06,1.1911555475307978e-06,1.956311507456121e-06,2.5317040126537904e-06,2.2464739686256507e-06,3.795264774453244e-06,8.479063581035007e-06,4.041379270347534e-06,5.986265023238957e-06,2.5820077098615e-06,5.305444119585445e-06,1.5301276334866998e-06,2.3437430627382128e-06,2.527262267904007e-06,4.377916866360465e-06,3.8081057027739007e-06,1.4519713431582204e-06,1.0932177247013897e-05,3.652154873634572e-06,4.1380449147254694e-06,2.8076510716346093e-06
100,8.0642566899769e-06,7.381908744719112e-06,9.242298801837023e-06,6.814461357862456e-06,9.921795935952105e-06,8.212593456846662e-06,1.054598942573648e-05,1.1888682820426766e-05,1.0107161870109849e-05,1.1931297194678336e-05,5.816787961521186e-06,9.428960765944794e-06,1.2452418559405487e-05,1.0438930075906683e-05,1.047014393407153e-05,1.265405080630444e-05,8.185967089957558e-06,7.486445610993542e-06,1.0260407179885078e-05,1.159635212388821e-05,8.859375157044269e-06,1.2398298167681787e-05,1.3304859749041498e-05,1.3448460776999127e-05,1.0498003575776238e-05,1.1936454029637389e-05,1.3728960766457021e-05,8.462636287731584e-06,9.041356861416716e-06,8.223039003496524e-06,9.052458153746556e-06,1.3362256140680984e-05,1.177599096990889e-05,1.4407173694053199e-05,9.852540642896201e-06,1.0554509572102688e-05,9.429830242879689e-06,1.5082457139214966e-05,1.2834893823310267e-05,1.4624213690694887e-05,8.87136957317125e-06,1.0032421414507553e-05,8.957757927419152e-06,1.5405747035401873e-05,1.2970984244020656e-05,7.862995516916271e-06,1.2558261005324312e-05,1.546199018775951e-05,1.0649195246514864e-05,1.5942721802275628e-05
200,6.565995590790408e-06,1.0154391020478215e-05,9.690505066828337e-06,9.333746675110888e-06,8.455135684926063e-06,8.987190994957928e-06,7.259684025484603e-06,8.291802259918768e-06,8.806144251138903e-06,8.301279194711242e-06,8.871998943504877e-06,1.0226690392300952e-05,1.0388293958385475e-05,1.2574951142596547e-05,9.717155080579687e-06,1.1119274859083816e-05,8.918904313759413e-06,8.921914741222281e-06,1.0949931493087206e-05,9.883087841444649e-06,1.3125977602612693e-05,1.0125765584234614e-05,1.1742695278371684e-05,8.505138794134837e-06,1.0448179637023713e-05,1.1671512766042724e-05,1.1388623534003273e-05,6.811591902078362e-06,9.105104254558682e-06,1.1627140338532627e-05,7.848875611671247e-06,1.0145736268896144e-05,9.244650755135808e-06,1.4013618965691421e-05,9.524288543616422e-06,1.2056474588462152e-05,1.2344549759291112e-05,9.120124559558462e-06,1.1435171472840011e-05,9.288231012760662e-06,7.986650416569319e-06,8.208638064388651e-06,5.713194695999846e-06,9.956695976143237e-06,8.526571946276817e-06,1.1505649126775097e-05,1.2749152119795326e-05,1.4722056221216917e-05,1.2281374438316561e-05,1.0190984539804049e-05
300,9.158629836747423e-06,7.0747519202996045e-06,7.80624759499915e-06,7.904782250989228e-06,1.0906630450335797e-05,9.452770427742507e-06,1.1691041436279193e-05,9.976533874578308e-06,9.858149496722035e-06,1.2105894711567089e-05,1.221011916641146e-05,9.682258678367361e-06,1.1781382454501e-05,1.228945347975241e-05,1.2638970474654343e-05,8.724236067791935e-06,1.2660188076552004e-05,8.273649655166082e-06,9.20923503144877e-06,1.1961266864091158e-05,1.3071487046545371e-05,8.996332326205447e-06,1.2332665392023046e-05,1.2342867194092833e-05,9.286092790716793e-06,1.368192442896543e-05,1.3572080206358805e-05,1.3737500012211967e-05,9.242915439244825e-06,1.3990258594276384e-05,1.3969579413242172e-05,1.4306490811577532e-05,1.1578446901694406e-05,9.82165238383459e-06,9.931292879628018e-06,1.4940208529878873e-05,1.2272526873857714e-05,1.2022253940813243e-05,1.2953815712535288e-05,9.149822290055454e-06,1.5285173503798433e-05,1.2962351320311427e-05,1.5376721421489492e-05,1.3937255971541163e-05,1.5423785953316838e-05,1.5437548427144065e-05,1.5437872207257897e-05,1.503732073615538e-05,1.560255441290792e-05,1.3517995284928475e-05
400,6.12310668657301e-06,3.614605930124526e-06,5.984662493574433e-06,9.748769116413314e-06,6.27781446382869e-06,5.593719379248796e-06,6.126599600975169e-06,6.066696641937597e-06,5.424344180937624e-06,5.414228780864505e-06,3.4924021292681573e-06,6.019439751980826e-06,4.968080702383304e-06,4.923931555822492e-06,6.057435712136794e-06,4.0959125726658385e-06,1.1701829862431623e-05,1.2803488971258048e-05,5.173058525542729e-06,6.700794074276928e-06,5.593506557488581e-06,1.0869229299714789e-05,9.508710718364455e-06,9.63987986324355e-06,6.588878022739664e-06,8.710838301340118e-06,6.509476406790782e-06,4.900521616946207e-06,1.1793820704042446e-05,6.539166861330159e-06,1.4090316653891932e-05,6.687576842523413e-06,5.224473170528654e-06,8.77304410096258e-06,8.751162567932624e-06,7.489312793040881e-06,6.491750355053227e-06,8.923452696762979e-06,5.065739060228225e-06,6.110426511440892e-06,1.1037033800676e-05,5.659188900608569e-06,2.9680411444132915e-06,7.814429409336299e-06,7.449233635270502e-06,7.669496881135274e-06,1.4129637747828383e-05,8.163819074979983e-06,8.684340173203964e-06,8.161804544215556e-06
500,2.8498870960902423e-06,4.347677986515919e-06,7.0031105678936e-06,3.7574206999124726e-06,3.940093392884592e-06,4.541060206975089e-06,5.6926287470560055e-06,4.242723207426025e-06,6.056631264073076e-06,5.921158845012542e-06,7.652364729437977e-06,5.24129700352205e-06,3.951153303205501e-06,6.611905064346502e-06,4.901527063339017e-06,4.772287866217084e-06,4.342521606304217e-06,5.368433903640835e-06,1.1657078175630886e-05,5.001457338948967e-06,5.397082531999331e-06,8.809041901258752e-06,3.1664776543038897e-06,5.099974259792361e-06,9.82916299108183e-06,6.774980647605844e-06,5.594180493062595e-06,5.422701633506222e-06,7.788050425006077e-06,7.920164534880314e-06,6.358500286296476e-06,5.04844365423196e-06,4.603133675118443e-06,6.115961696195882e-06,5.1130914471286815e-06,6.354757260851329e-06,6.45992577119614e-06,4.770366103912238e-06,3.837999429379124e-06,4.038839051645482e-06,5.326741302269511e-06,6.729925189574715e-06,4.272028490959201e-06,6.1508530961873475e-06,7.565941814391408e-06,4.874768364970805e-06,1.0263724107062444e-05,1.089212491933722e-05,3.728031742866733e-06,7.050312888168264e-06
600,3.50396385329077e-06,3.599912361096358e-06,5.357852842280408e-06,7.438729880959727e-06,4.3163090595044196e-06,3.70046723219275e-06,9.163523827737663e-06,6.076853424019646e-06,4.844058821618091e-06,4.347744834376499e-06,4.162462118983967e-06,7.609068688907428e-06,7.733943675702903e-06,7.648119208170101e-06,4.075252036273014e-06,6.644599125138484e-06,4.561969490168849e-06,7.238837497425266e-06,7.017268671916099e-06,5.64229640076519e-06,8.859453373588622e-06,8.241128853114787e-06,5.495151071954751e-06,5.063265689386753e-06,4.036543032270856e-06,4.596662620315328e-06,5.2680693443107884e-06,3.922689302271465e-06,5.009883352613542e-06,3.873534751619445e-06,5.8659588830778375e-06,5.675899501511594e-06,3.7552374578808667e-06,5.75799094804097e-06,5.402745046012569e-06,8.105766937660519e-06,1.5004912711447105e-05,5.169293217477389e-06,4.3864502003998496e-06,5.8986743169953115e-06,5.372418854676653e-06,8.823709322314244e-06,3.3326073207717855e-06,7.65718323236797e-06,4.885834187007276e-06,4.871712462772848e-06,7.752687452011742e-06,8.894636266632006e-06,5.091187176731182e-06,7.704971721977927e-06
700,4.4589069148059934e-06,4.53996790383826e-06,4.158116098551545e-06,6.528946414618986e-06,5.547908131120494e-06,1.0891953024838585e-05,4.869197255175095e-06,5.5077957767935e-06,6.528878202516353e-06,6.238861260499107e-06,3.379419013072038e-06,6.8782032940362114e-06,3.2726659355830634e-06,5.792783667857293e-06,6.088823283789679e-06,4.416176125232596e-06,5.305216291162651e-06,5.804562988487305e-06,6.274815859796945e-06,5.174270427232841e-06,8.649773917568382e-06,1.3166668395570014e-05,6.912102890055394e-06,5.290306035021786e-06,1.279918615182396e-05,6.618884981435258e-06,4.637830443243729e-06,7.122566330508562e-06,4.156704562774394e-06,8.763478035689332e-06,1.022213928081328e-05,9.722321010485757e-06,6.7283162934472784e-06,8.515705303580035e-06,6.357427992043085e-06,7.373691460088594e-06,8.199837793654297e-06,5.6663861869310495e-06,1.4050894606043585e-05,1.2825099474866875e-05,3.826756710623158e-06,5.113678525958676e-06,3.925088094547391e-06,1.2071079254383221e-05,5.402012448030291e-06,8.032814548641909e-06,1.278192939935252e-05,9.096301255340222e-06,1.5869592971284874e-05,5.925307505094679e-06
800,2.999440994244651e-06,5.596280061581638e-06,5.947850695520174e-06,3.5609170936368173e-06,4.199561317363987e-06,5.755344773206161e-06,5.337515631254064e-06,5.0129024202760775e-06,3.677731911011506e-06,4.859281489189016e-06,7.245371307362802e-06,8.327480827574618e-06,3.885278147208737e-06,4.0246782191388775e-06,8.575031642976683e-06,6.332739303616108e-06,4.7008038563944865e-06,5.010180757381022e-06,8.313924809044693e-06,8.16077044873964e-06,3.107549673586618e-06,5.746334863943048e-06,4.7195567276503425e-06,5.173601493879687e-06,5.243526629783446e-06,4.483776137931272e-06,4.524250471149571e-06,5.7547072174202185e-06,4.020527740067337e-06,5.088641046313569e-06,4.747851107822498e-06,1.0162025319004897e-05,7.129242931114277e-06,1.4138702681520954e-05,8.123615771182813e-06,1.049246930051595e-05,5.18764363732771e-06,9.320758181274869e-06,5.2700556807394605e-06,7.198435014288407e-06,4.934155640512472e-06,6.9000598159618676e-06,9.60739180300152e-06,6.720400506310398e-06,3.603575578381424e-06,5.377938578021713e-06,6.512916115752887e-06,7.618453309987672e-06,5.179409072297858e-06,8.360285391972866e-06
900,4.60812361779972e-06,3.619034714574809e-06,7.311246463359566e-06,6.206722900969908e-06,4.2095798562513664e-06,6.734633643645793e-06,5.976770808047149e-06,4.990687557437923e-06,4.827747943636496e-06,3.318536300866981e-06,7.052538876450853e-06,7.633589120814577e-06,4.290662673156476e-06,4.703895228885813e-06,5.699377197743161e-06,4.275023002264788e-06,4.604565219779033e-06,4.71677003588411e-06,1.2969454473932274e-05,3.7873824112466536e-06,3.4596380373841384e-06,1.2668970157392323e-05,9.033326023200061e-06,5.670708560501225e-06,1.0821401701832656e-05,4.425368842930766e-06,4.1789107854128815e-06,4.762475782627007e-06,5.9491612773854285e-06,6.399027370207477e-06,4.529389570961939e-06,1.2057962521794252e-05,5.295578830555314e-06,5.083345058665145e-06,4.382026872917777e-06,9.094241249840707e-06,7.216849098767852e-06,1.0229555300611537e-05,4.843544047616888e-06,6.149072305561276e-06,6.011670848238282e-06,5.0871967687271535e-06,4.864491074840771e-06,5.446577233669814e-06,5.354702807380818e-06,3.4363026770733995e-06,8.161698133335449e-06,9.69871962297475e-06,6.019284683134174e-06,5.226788289292017e-06
