step,channel_27,channel_94,channel_21,channel_109,channel_13,channel_105,channel_82,channel_85,channel_75,channel_0,channel_42,channel_32,channel_83,channel_126,channel_115,channel_71,channel_16,channel_101,channel_117,channel_39,channel_30,channel_88,channel_125,channel_104,channel_73,channel_36,channel_48,channel_59,channel_102,channel_108,channel_78,channel_127,channel_34,channel_81,channel_106,channel_10,channel_92,channel_111,channel_91,channel_123,channel_7,channel_4,channel_76,channel_110,channel_1,channel_114,channel_90,channel_8,channel_93,channel_40
0,0.00016829310334287584,0.0001507556444266811,7.816626020940021e-05,2.209080230386462e-05,4.9397705879528075e-05,1.768529909895733e-05,3.16116820613388e-05,1.7530077457195148e-05,3.2907591958064586e-05,8.491614426020533e-05,3.8790352846262977e-05,5.031990076531656e-05,2.199713526351843e-05,1.8723943867371418e-05,2.1281255612848327e-05,7.2087018452293705e-06,2.9297290893737227e-05,1.1424773219914641e-05,1.5074917428137269e-05,2.5580855435691774e-05,2.6212825105176307e-05,1.438209892512532e-05,1.994188642129302e-05,9.040546501637436e-06,1.3902497812523507e-05,4.014534715679474e-05,3.227225533919409e-05,2.2374435502570122e-05,1.6112027878989466e-05,8.46338298288174e-06,9.001100806926843e-06,1.459931445424445e-05,3.097062653978355e-05,1.674601844570134e-05,8.524803888576571e-06,2.5109586204052903e-05,9.497775863565039e-06,1.774459633452352e-05,1.3697396752831992e-05,1.532394890091382e-05,2.1032568838563748e-05,2.921649138443172e-05,1.6600495655438863e-05,1.2515208254626486e-05,2.6801941203302704e-05,1.752590833348222e-05,1.0624023161653895e-05,1.6817690266179852e-05,2.9623211958096363e-05,2.1063398889964446e-05
100,0.0008886205614544451,0.0008999870042316616,0.00038188332109712064,0.00015767347940709442,0.00023596764367539436,0.00021254127204883844,0.0002402348764007911,0.00017346312233712524,0.00028193186153657734,0.00031251294421963394,0.00027620073524303734,0.0001329660735791549,0.00019940051424782723,0.00016209838213399053,0.00015632000577170402,6.844701420050114e-05,0.00015110897948034108,0.0002358347555855289,0.00013223539281170815,0.00022804824402555823,0.00013558875070884824,0.00011795942555181682,0.00015803874703124166,0.00012164900545030832,0.00010935430327663198,0.00018196753808297217,0.00014102706336416304,0.0001630214974284172,9.455605322727934e-05,7.720654684817418e-05,0.0001169748356915079,9.21365717658773e-05,0.00015677498595323414,9.699333168100566e-05,7.346551865339279e-05,7.409211684716865e-05,0.00011461787653388456,0.00012050573423039168,0.0001062066585291177,0.00010338802530895919,7.448402175214142e-05,0.000143928817124106,9.57338634179905e-05,9.804419096326455e-05,0.0001416390878148377,0.0001189826216432266,8.652384713059291e-05,0.0001293238456128165,0.0001385936775477603,6.698416109429672e-05
200,0.0010208355961367488,0.0011120614362880588,0.0004035246674902737,0.000206261029234156,0.00028499774634838104,0.00021970806119497865,0.000283779576420784,0.00016130847507156432,0.0002068373723886907,0.00029492570320144296,0.00031977627077139914,0.000168434766237624,0.000253638019785285,0.00020513728668447584,0.0002611965755932033,0.00012452034570742399,0.00014334061415866017,9.999627945944667e-05,0.00023071550822351128,0.00020699443120975047,8.404057007282972e-05,0.0001166314395959489,0.00013172301987651736,7.426718366332352e-05,9.393868094775826e-05,0.00019694713409990072,0.0001615886576473713,0.00012849293125327677,0.00012723036343231797,8.153841190505773e-05,0.00010706829925766215,0.00015881088620517403,0.00013520920765586197,0.00015551125397905707,0.00015525436901953071,0.0001224975858349353,8.837437781039625e-05,0.00015323077968787402,6.945413042558357e-05,0.00014952453784644604,0.00014594593085348606,7.674912922084332e-05,0.00011068210733355954,0.00012323235569056123,0.00013488209515344352,9.86213271971792e-05,0.00014119062689132988,0.0001386161457048729,8.908803283702582e-05,0.00013704253069590777
300,0.0009909470099955797,0.0011479358654469252,0.00034187774872407317,0.0003622787771746516,0.00023707047512289137,0.00034507710370235145,0.0003431494114920497,0.00033096427796408534,0.0003274045593570918,0.00028980887145735323,0.00023761391639709473,0.0002929114561993629,0.0002858133229892701,0.0002813937608152628,0.0002285330992890522,0.00024139659944921732,0.00015983144112396985,8.494409121340141e-05,0.00020758241589646786,0.00017378429765813053,0.00011922896374017,0.00021027021284680814,9.652799781179056e-05,0.000203666219022125,0.0001990212476812303,0.00016321116709150374,0.00014107237802818418,0.00013156665954738855,0.0001744336332194507,0.0001659713452681899,0.00016417964070569724,0.00011272764822933823,0.00013695404049940407,0.00012919654545839876,5.9200618125032634e-05,5.341385622159578e-05,0.00010834944987436756,8.756647730479017e-05,0.00015030649956315756,7.938670023577288e-05,5.7305976952193305e-05,9.746854630066082e-05,0.0001455435558455065,0.00014410253788810223,0.00010862891940632835,0.00014131766511127353,0.00013691995991393924,0.00010574394400464371,6.35763062746264e-05,5.877500370843336e-05
400,0.00045434231287799776,0.0005643575568683445,0.00016883210628293455,0.00011732076382031664,0.00012972395052202046,7.323860336327925e-05,7.101196388248354e-05,0.00010185583960264921,0.0001007991231745109,0.00024262475199066103,0.00014003213436808437,5.7157656556228176e-05,8.320366032421589e-05,0.0001093256360036321,5.383543611969799e-05,4.297304622014053e-05,7.940757495816797e-05,5.26767507835757e-05,0.00011337586329318583,9.491798118688166e-05,5.1772854931186885e-05,5.0123555411119014e-05,7.598510273965076e-05,4.689230627263896e-05,6.668778951279819e-05,0.00010549425496719778,7.347679638769478e-05,7.622503471793607e-05,4.002858622698113e-05,3.734943675226532e-05,6.900051812408492e-05,5.0091817684005946e-05,6.953330739634112e-05,7.392968109343201e-05,3.710444798343815e-05,2.8141277653048746e-05,5.3857918828725815e-05,7.209968316601589e-05,3.11986223096028e-05,6.396618846338242e-05,6.453860987676308e-05,7.672440551687032e-05,4.737919880426489e-05,4.811176404473372e-05,9.400063572684303e-05,6.830169877503067e-05,4.073485979461111e-05,5.6637458328623325e-05,6.207429396454245e-05,3.62750215572305e-05
500,0.0007304655737243593,0.0008028396405279636,0.0002931332855951041,0.00013497937470674515,0.00019144329417031258,9.06665445654653e-05,8.247487858170643e-05,8.580600115237758e-05,0.00013816147111356258,0.0001965932169696316,0.00019930991402361542,6.116776057751849e-05,0.00012386792514007539,0.00013039264013059437,9.571941336616874e-05,4.743029421661049e-05,8.219783921958879e-05,6.635254248976707e-05,6.791495252400637e-05,0.00015900415019132197,4.577242725645192e-05,9.326126019004732e-05,8.953209180617705e-05,4.5265642256708816e-05,6.073221084079705e-05,9.663322271080688e-05,0.00015791085024829954,6.389596819644794e-05,7.526031549787149e-05,5.9920374042121693e-05,7.663377618882805e-05,5.009529195376672e-05,9.422979201190174e-05,4.780994277098216e-05,6.045864938641898e-05,5.954281004960649e-05,7.17794755473733e-05,7.509287388529629e-05,8.450833411188796e-05,4.6105949877528474e-05,3.645940523711033e-05,0.00012804979633074254,9.716186468722299e-05,6.401006976375356e-05,6.409512570826337e-05,5.681496986653656e-05,7.306387124117464e-05,7.763981557218358e-05,5.398459325078875e-05,3.543259299476631e-05
600,0.0007037750910967588,0.0008132626535370946,0.0002505636075511575,0.00019819752196781337,0.0001740995649015531,0.00011597273987717927,0.00012920940935146064,0.00015968304069247097,0.00016442875494249165,0.00017509378085378557,0.00014980611740611494,0.0002901437401305884,0.0001841298653744161,0.00012490457447711378,9.44547718972899e-05,5.533787407330237e-05,0.0001044080636347644,5.494880679179914e-05,0.00010706923058023676,0.0001068987839971669,7.187284791143611e-05,8.869891462381929e-05,0.00010895534069277346,3.125502189504914e-05,8.704340871190652e-05,0.0001124096816056408,9.74467839114368e-05,9.456287807552144e-05,3.8288944779196754e-05,3.265182749601081e-05,6.635374302277341e-05,8.420088852290064e-05,8.480731776216999e-05,8.642504690214992e-05,4.549257573671639e-05,5.9523950767470524e-05,5.75624690100085e-05,5.833092291140929e-05,4.356127101345919e-05,0.0001012776920106262,4.348595393821597e-05,4.972064925823361e-05,6.661080260528252e-05,4.7872432332951576e-05,8.314316073665395e-05,4.556759449769743e-05,6.396688695531338e-05,6.81884412188083e-05,6.554486026288942e-05,3.5379547625780106e-05
700,0.0006871809018775821,0.0004091139999218285,0.0002666882355697453,9.670993313193321e-05,0.00017465316341258585,7.411686237901449e-05,7.760150037938729e-05,8.235422137659043e-05,8.26763134682551e-05,0.0001783242478268221,0.00019764543685596436,0.00013122972450219095,8.794050518190488e-05,9.407689503859729e-05,5.8795561926672235e-05,4.9247522838413715e-05,8.551229984732345e-05,4.67256541014649e-05,6.41189981251955e-05,0.00011555988021427765,6.219983333721757e-05,5.1194714615121484e-05,6.586146628251299e-05,4.0721119148656726e-05,7.630056643392891e-05,9.415073873242363e-05,0.00010370215750299394,7.775429548928514e-05,4.122069003642537e-05,3.5724260669667274e-05,4.608692688634619e-05,5.094508742331527e-05,8.085341687547043e-05,5.177888670004904e-05,4.283109592506662e-05,5.3140964155318215e-05,4.212710337014869e-05,4.569465818349272e-05,7.30069077690132e-05,4.686368629336357e-05,7.849376561352983e-05,5.3319567086873576e-05,3.694106271723285e-05,5.6700104323681444e-05,5.265040454105474e-05,7.656781235709786e-05,5.671140752383508e-05,8.40320935822092e-05,4.691059803008102e-05,4.2830553866224363e-05
800,0.00046506227226927876,0.00043934962013736367,0.00017825934628490359,0.00013510575809050351,0.00012193415022920817,8.244930359069258e-05,6.59175420878455e-05,9.208880510414019e-05,9.920768206939101e-05,0.00019004862406291068,0.00012508867075666785,0.00016677712847013026,0.00012910521763842553,6.32364462944679e-05,7.15356509317644e-05,3.305575955891982e-05,6.287696305662394e-05,3.9555354305775836e-05,5.7894376368494704e-05,9.029174543684348e-05,3.942023613490164e-05,4.5157652493799105e-05,6.217651389306411e-05,2.9405033274088055e-05,4.989015724277124e-05,9.735091589391232e-05,6.534780550282449e-05,4.8725396482041106e-05,5.150622018845752e-05,4.171578984824009e-05,5.261325350147672e-05,6.384303560480475e-05,5.90581439610105e-05,4.574908234644681e-05,3.354085856699385e-05,2.6168481781496666e-05,4.336754500400275e-05,5.0694026867859066e-05,3.639062197180465e-05,2.966179272334557e-05,3.1045350624481216e-05,7.138498040148988e-05,7.355351408477873e-05,4.42011805716902e-05,7.921586075099185e-05,8.285403600893915e-05,3.550301698851399e-05,5.9751011576736346e-05,6.614335143240169e-05,2.351688453927636e-05
900,0.0011032767361029983,0.0007058351184241474,0.0005727953393943608,0.0001022495052893646,0.00034058160963468254,0.00011533166252775118,0.00011256072320975363,7.676729728700593e-05,0.00013208456221036613,0.00023562830756418407,0.0002164572651963681,0.00017661570745985955,0.00010831713007064536,0.0001167097725556232,0.00010678690887289122,3.6096604162594303e-05,0.000172013693372719,5.357092231861316e-05,0.00010717416444094852,0.00012331720790825784,6.587078678421676e-05,6.444565951824188e-05,7.291487418115139e-05,6.646334804827347e-05,4.071060902788304e-05,0.00012118573067709804,0.0001814933930290863,0.00013032973220106214,5.2551629778463393e-05,3.880185977322981e-05,7.435020961565897e-05,4.1172996134264395e-05,0.0001097393105737865,9.891262743622065e-05,3.250117879360914e-05,0.00015451718354597688,5.0121889216825366e-05,7.283267768798396e-05,4.255516978446394e-05,6.654904427705333e-05,0.00013015409058425575,4.72469546366483e-05,4.614539648173377e-05,6.259698420763016e-05,9.007518383441493e-05,7.543016545241699e-05,3.2511321478523314e-05,8.603529568063095e-05,4.9552843847777694e-05,8.584444731241092e-05
