step,channel_116,channel_119,channel_88,channel_90,channel_15,channel_85,channel_72,channel_16,channel_77,channel_101,channel_51,channel_89,channel_67,channel_126,channel_106,channel_3,channel_4,channel_117,channel_122,channel_115,channel_87,channel_41,channel_95,channel_54,channel_81,channel_102,channel_53,channel_36,channel_120,channel_23,channel_52,channel_21,channel_38,channel_124,channel_75,channel_42,channel_49,channel_74,channel_99,channel_112,channel_11,channel_104,channel_14,channel_78,channel_71,channel_92,channel_57,channel_55,channel_109,channel_83
0,6.727118943672394e-06,7.733549864497036e-06,1.2404151675582398e-05,5.329842224455206e-06,1.0048897820524871e-05,6.542107257700991e-06,3.4154840250266716e-05,6.592922090931097e-06,6.69830205879407e-06,1.1631811503320932e-05,1.5064277249621227e-05,7.582843409181805e-06,1.635033913771622e-05,7.465022918040631e-06,9.108163794735447e-06,1.681876710790675e-05,1.0129670954484027e-05,5.645075816573808e-06,8.325144335685764e-06,1.1556773642951157e-05,9.683203643362503e-06,8.237531801569276e-06,1.788330882845912e-05,2.7053434678236954e-05,8.435448762611486e-06,2.056135781458579e-05,2.204384327342268e-05,1.5691883163526654e-05,1.707355841062963e-05,1.1720171642082278e-05,1.513546067144489e-05,1.4050103345653042e-05,1.1978419024671894e-05,1.9753328160732053e-05,1.4137727703200653e-05,1.4817669580224901e-05,1.0063175977848005e-05,1.9321607396705076e-05,1.0898242180701345e-05,1.1439667105150875e-05,9.052986570168287e-06,1.735915975586977e-05,1.4366255527420435e-05,1.6121173757710494e-05,3.385664240340702e-05,7.687979632464703e-06,1.9624141714302823e-05,1.0733392628026195e-05,1.0282208677381277e-05,8.36897743283771e-06
100,5.2048304496565834e-05,4.6860503061907366e-05,4.7094898036448285e-05,5.017977673560381e-05,6.219653732841834e-05,4.523800089373253e-05,6.072734322515316e-05,6.837079126853496e-05,4.990402885596268e-05,6.400416168617085e-05,7.025486411293969e-05,6.412560469470918e-05,7.433759310515597e-05,5.625469930237159e-05,7.575548806926236e-05,5.4859690862940624e-05,7.792851829435676e-05,6.442661833716556e-05,7.454534352291375e-05,8.01162314019166e-05,5.640980089083314e-05,8.26834948384203e-05,4.745928890770301e-05,7.627368904650211e-05,8.509293547831476e-05,8.08710465207696e-05,8.48479539854452e-05,8.889223681762815e-05,5.869858432561159e-05,6.661255611106753e-05,6.926279456820339e-05,5.341656651580706e-05,9.291712922276929e-05,9.321766992798075e-05,7.831471157260239e-05,5.661680188495666e-05,9.425531607121229e-05,8.991656795842573e-05,5.954509470029734e-05,9.576750744599849e-05,5.958562542218715e-05,9.625661914469674e-05,7.917553739389405e-05,9.676806803327054e-05,6.625680543947965e-05,4.795079803443514e-05,9.989691170630977e-05,7.010150875430554e-05,0.00010177124931942672,7.581042882520705e-05
200,4.301158696762286e-05,3.8479029171867296e-05,6.07521906204056e-05,4.66326491732616e-05,5.913786662858911e-05,4.9451482482254505e-05,5.965094896964729e-05,5.0130773161072284e-05,5.553083246923052e-05,6.754147761967033e-05,7.333585381275043e-05,6.834422674728557e-05,7.220822590170428e-05,6.884385948069394e-05,4.177794835413806e-05,7.71545892348513e-05,7.121169619495049e-05,4.518658897723071e-05,5.9712947404477745e-05,4.523648749454878e-05,5.91419666307047e-05,5.789592978544533e-05,6.219310307642445e-05,8.452758629573509e-05,8.720233017811552e-05,7.375432323897257e-05,5.8607161918189377e-05,6.0918504459550604e-05,4.9525024223839864e-05,7.144633855205029e-05,9.214464080287144e-05,8.480135147692636e-05,8.511600026395172e-05,5.651806350215338e-05,6.511763785965741e-05,5.4937507229624316e-05,7.151059253374115e-05,9.480398148298264e-05,9.566104563418776e-05,5.7659544836496934e-05,9.577011223882437e-05,9.147907258011401e-05,9.670091094449162e-05,6.840711284894496e-05,9.84667640295811e-05,9.989384125219658e-05,6.49410139885731e-05,6.704010593239218e-05,6.959249003557488e-05,6.622506771236658e-05
300,4.627722591976635e-05,3.685221599880606e-05,5.6602271797601134e-05,5.729080658056773e-05,6.4839594415389e-05,6.616347673116252e-05,6.773631321266294e-05,6.32237279205583e-05,6.059466613805853e-05,7.216224184958264e-05,7.285672472789884e-05,5.335677997209132e-05,6.632779695792124e-05,7.47514350223355e-05,6.657183985225856e-05,6.351029151119292e-05,7.241519779199734e-05,4.1823088395176455e-05,7.989045116119087e-05,5.2728166338056326e-05,4.1693419916555285e-05,6.195082096382976e-05,8.287265518447384e-05,6.292881153058261e-05,4.634933065972291e-05,8.759545744396746e-05,8.84097462403588e-05,7.107749115675688e-05,9.042480814969167e-05,6.611254502786323e-05,6.680069054709747e-05,8.07260294095613e-05,7.038521289359778e-05,4.7292927774833515e-05,9.334385686088353e-05,6.764627323718742e-05,6.21377257630229e-05,9.07966386876069e-05,8.23161899461411e-05,7.065355748636648e-05,6.18312114966102e-05,5.757244798587635e-05,8.253253326984122e-05,8.892447658581659e-05,7.646848825970665e-05,6.423867307603359e-05,6.304842827375978e-05,0.0001015757952700369,6.956529250601307e-05,0.00010205170110566542
400,2.661676080606412e-05,2.0498411686276086e-05,2.7340574888512492e-05,2.3171614884631708e-05,4.278078631614335e-05,4.8202957259491086e-05,3.782808926189318e-05,4.167228325968608e-05,4.095478288945742e-05,3.0868224712321535e-05,3.971746627939865e-05,2.3136452000471763e-05,3.469813600531779e-05,3.381295391591266e-05,4.429809996508993e-05,4.350094241090119e-05,3.124375143670477e-05,3.746877337107435e-05,3.562355414032936e-05,5.7858436775859445e-05,4.752527456730604e-05,4.688921762863174e-05,2.90204170596553e-05,5.160886576049961e-05,4.618628736352548e-05,5.970681013423018e-05,4.246757089276798e-05,4.024624286103062e-05,3.315564026706852e-05,4.6738965465920046e-05,6.211298750713468e-05,3.6412668123375624e-05,5.571901783696376e-05,3.41078412020579e-05,3.5836266761180013e-05,3.298710362287238e-05,4.324155452195555e-05,3.532925620675087e-05,3.275756898801774e-05,2.8773742087651044e-05,3.313888737466186e-05,3.391462450963445e-05,6.134132854640484e-05,6.502852193079889e-05,5.366217010305263e-05,2.6635660105966963e-05,4.089019421371631e-05,5.008160223951563e-05,4.088793502887711e-05,2.7913969461224042e-05
500,2.4100878363242373e-05,3.480085069895722e-05,2.8856735298177227e-05,2.23542629100848e-05,2.935896918643266e-05,2.817673157551326e-05,3.3484946470707655e-05,3.79274642909877e-05,2.5452085537835956e-05,4.439500116859563e-05,2.841026071109809e-05,3.2195832318393514e-05,3.4634285839274526e-05,5.405010233516805e-05,3.887660932377912e-05,4.743926183436997e-05,4.3484360503498465e-05,2.5817329515120946e-05,3.108181044808589e-05,2.465973921061959e-05,4.10903558076825e-05,3.0835552024655044e-05,7.17835282557644e-05,3.577910320018418e-05,2.5481140255578794e-05,5.3233783546602353e-05,3.831064168480225e-05,4.3873729737242684e-05,2.4858976757968776e-05,3.542418562574312e-05,3.861548248096369e-05,6.044606925570406e-05,6.894031685078517e-05,3.9523856685264036e-05,5.541555947274901e-05,4.021597123937681e-05,3.807439134106971e-05,5.143650196259841e-05,4.1226059693144634e-05,4.1011902794707566e-05,3.2700507290428504e-05,4.627106318366714e-05,5.17073531227652e-05,7.824384374544024e-05,4.8764137318357825e-05,3.2151699997484684e-05,3.8600006519118324e-05,3.685590854729526e-05,3.678246139315888e-05,3.331688276375644e-05
600,2.3387603505398147e-05,1.53528708324302e-05,2.1228535842965357e-05,2.280206717841793e-05,4.2315004975534976e-05,2.9903510949225165e-05,3.107184966211207e-05,3.253806789871305e-05,4.365100903669372e-05,4.2642866901587695e-05,2.7089632567367516e-05,3.9664035284658894e-05,4.342678585089743e-05,2.7456726456875913e-05,3.0192750273272395e-05,5.6959801440825686e-05,2.9817078029736876e-05,2.7972379029961303e-05,2.355667129450012e-05,3.0315077310660854e-05,2.6326393708586693e-05,3.6425000871531665e-05,3.143177309539169e-05,3.6655241274274886e-05,3.8255268009379506e-05,4.123309190617874e-05,3.313156048534438e-05,3.655814361991361e-05,4.966048072674312e-05,5.375339605961926e-05,3.936702341889031e-05,5.0353970436844975e-05,5.306142338667996e-05,4.977264688932337e-05,4.516677654464729e-05,3.993443897343241e-05,3.510428359732032e-05,5.392202365328558e-05,5.646470162901096e-05,4.5786629925714806e-05,3.694607949000783e-05,2.7053192752646282e-05,4.7202876885421574e-05,5.2828578191110864e-05,3.84160885005258e-05,1.9892293494194746e-05,3.4782955481205136e-05,4.242637078277767e-05,6.507568468805403e-05,3.107456723228097e-05
700,2.6622768928064033e-05,3.118363383691758e-05,3.0863669962855056e-05,2.1944193576928228e-05,4.841101326746866e-05,3.081877002841793e-05,3.727181683643721e-05,2.626187779242173e-05,3.2616870157653466e-05,3.1074061553226784e-05,3.162036955473013e-05,3.1625546398572624e-05,3.885702244588174e-05,3.325735087855719e-05,3.848142296192236e-05,2.6712337785284035e-05,4.022405846626498e-05,2.5031116820173338e-05,2.6846393666346557e-05,3.061987808905542e-05,3.184225715813227e-05,3.5528053558664396e-05,4.342498868936673e-05,5.044086719863117e-05,3.972004196839407e-05,4.039276245748624e-05,5.353971209842712e-05,5.138836058904417e-05,3.584275327739306e-05,6.603801011806354e-05,3.103187191300094e-05,3.1906834919936955e-05,4.717902629636228e-05,3.4027765650535e-05,5.249608148005791e-05,3.1282408599508926e-05,3.3346135751344264e-05,4.0439255826640874e-05,3.0241750209825113e-05,2.8754540835507214e-05,4.581563189276494e-05,3.414885941310786e-05,3.598080365918577e-05,3.675283369375393e-05,5.144030001247302e-05,3.8188747566891834e-05,5.685155338142067e-05,4.128101863898337e-05,3.1867330108070746e-05,2.8292297429288737e-05
800,1.8789229216054082e-05,1.9009705283679068e-05,1.9884850189555436e-05,2.2696394808008336e-05,2.4252787625300698e-05,5.0116086640628055e-05,3.224704778403975e-05,3.1883781048236415e-05,3.170470517943613e-05,2.943854997283779e-05,2.2608421204495244e-05,2.4781566025922075e-05,3.6902420106343925e-05,2.979327655339148e-05,2.218889130745083e-05,3.3133030228782445e-05,3.298899537185207e-05,2.9690538212889805e-05,2.0612171283573844e-05,2.0465935449465178e-05,2.619494443933945e-05,4.7015790187288076e-05,4.0014438127400354e-05,4.44630604761187e-05,1.999592495849356e-05,5.523332947632298e-05,3.9137354178819805e-05,3.440684304223396e-05,2.0165101886959746e-05,3.253084287280217e-05,2.3411241272697225e-05,5.85576199227944e-05,4.032960350741632e-05,2.8167440177639946e-05,5.242223778623156e-05,4.209383041597903e-05,3.185524110449478e-05,3.2791445846669376e-05,3.510775059112348e-05,3.240011210436933e-05,3.56492746504955e-05,2.7485197279020213e-05,5.4734286095481366e-05,3.242192178731784e-05,4.1265386244049296e-05,2.8082298740628175e-05,5.4515166993951425e-05,3.0163922929205e-05,2.9778269890812226e-05,5.0233582442160696e-05
900,3.196927718818188e-05,2.9198739866842516e-05,3.3216801966773346e-05,5.4168278438737616e-05,3.595925954869017e-05,3.002183439093642e-05,3.581304190447554e-05,4.2317820771131665e-05,2.25495077756932e-05,3.562245183275081e-05,5.891931868973188e-05,2.9568778700195253e-05,3.62817409040872e-05,2.2033502318663523e-05,3.568103784346022e-05,3.2355259463656694e-05,3.083828414673917e-05,2.1478528651641682e-05,3.1575484172208235e-05,5.272151975077577e-05,2.934249278041534e-05,3.066281715291552e-05,2.3006239644018933e-05,4.429368345881812e-05,2.506141026969999e-05,3.388733966858126e-05,3.818307595793158e-05,4.781052120961249e-05,2.231136204500217e-05,9.05261913430877e-05,4.264294693712145e-05,4.049930794280954e-05,3.8095393392723054e-05,3.2849264243850484e-05,4.986376370652579e-05,5.434659033198841e-05,5.126615724293515e-05,3.608138285926543e-05,2.8202457542647608e-05,4.030369746033102e-05,4.091261507710442e-05,2.713591675274074e-05,4.317282582633197e-05,3.764310895348899e-05,3.762076812563464e-05,3.087028380832635e-05,5.628386861644685e-05,4.300992441130802e-05,5.1995739340782166e-05,3.0432793209911324e-05
