step,mean,median,p90,p99,max
0,2.1526871655908053e-05,1.743164011713816e-05,3.593499059206806e-05,0.00011935638933209724,0.0001451635325793177
100,0.00012575063760777994,9.581986523699015e-05,0.00020042908436153082,0.0008131273119943227,0.0009866729378700256
200,0.0001272043661515454,9.42825063248165e-05,0.00019852909172186626,0.0009052850527223205,0.0010630706092342734
300,0.00015166891401463545,0.00010218018724117428,0.00022695328952977432,0.0009487616125261426,0.0018252526642754674
400,6.412084759688241e-05,4.838650238525588e-05,9.688010904937982e-05,0.00039399673521984396,0.0005483044660650194
500,7.087744316436329e-05,5.0301121518714353e-05,0.00011598940400290302,0.0004179797804681585,0.0006282439571805298
600,5.7820759010951406e-05,4.668254223361146e-05,8.894765051081777e-05,0.00031585237476974755,0.00036235590232536197
700,7.025569296104095e-05,5.261464320938103e-05,0.00010937075057881883,0.0004514110129093759,0.0005705792573280632
800,6.779351068075812e-05,4.9222904635826126e-05,0.00010596469437587072,0.00042140098492382094,0.000611364608630538
900,6.398731709111871e-05,4.787835314346012e-05,0.00010700661587179638,0.0003425826583406892,0.00038264563772827387
1000,6.957341348368118e-05,5.341694850358181e-05,9.757360676303503e-05,0.00039180305146146614,0.0006533978157676756
1100,6.815468151444293e-05,4.8846139179659076e-05,0.0001019583171000704,0.0004540839686524127,0.0005367508856579661
1200,6.609776828270242e-05,5.0420423576724716e-05,0.00010209918400505555,0.00036166529142065004,0.0005001681274734437
1300,6.626579460089488e-05,5.311124550644308e-05,0.00010607420481392179,0.00042786850419361186,0.0004683222796302289
1400,6.987793592827529e-05,5.1000497478526086e-05,0.00010483222213224508,0.0003795158251887188,0.000671705580316484
1500,5.765651783917747e-05,4.464175071916543e-05,8.48135503474623e-05,0.0003317255410365764,0.00039359720540232956
1600,5.7337216560426896e-05,4.1505161789245903e-05,9.111069521168245e-05,0.00031605169933754954,0.0004888527328148484
1700,6.973615788297138e-05,4.891454955213703e-05,0.00011202655368833802,0.0004386408510617917,0.0006798565154895186
1800,6.873042988786437e-05,5.287157364364248e-05,0.00010150887246709316,0.000362552584265359,0.0005164436879567802
1900,6.452094649489482e-05,4.625083784048911e-05,0.00010261314455419778,0.00035493241652147846,0.0005283158970996737
2000,5.8184835637575816e-05,4.7905175961204804e-05,9.139078974840231e-05,0.0003312266274588187,0.0003844580496661365
2100,6.0962540885611816e-05,4.438649739313405e-05,9.437468979740515e-05,0.00033407347684260473,0.0005029781605117023
2200,6.819037368188674e-05,4.991391324438155e-05,0.00011599687277339398,0.0004225907602813097,0.000550692027900368
2300,8.224669876710777e-05,5.452567529573571e-05,0.00013584429107140746,0.00048486536776181326,0.0008424033294431865
2400,6.468319924124444e-05,5.217272155277897e-05,9.211822543875314e-05,0.00039550533838337323,0.0004914991441182792
2500,8.595431395974629e-05,5.984663584968075e-05,0.00014388640702236443,0.0004755041163298304,0.0007798101869411767
2600,6.870636516964623e-05,5.336599861038849e-05,0.000104381020355504,0.00042175087524810823,0.0005485957954078913
2700,7.141429261992016e-05,5.835952651978005e-05,0.00010652867640601472,0.00043441214715130705,0.0004904379020445049
2800,5.937053663274128e-05,4.667036046157591e-05,9.701171438791786e-05,0.00035605908924480934,0.0004140720411669463
2900,7.191224599978341e-05,5.027129918744322e-05,0.00011877729775733312,0.0004544318193802611,0.0007005238439887762
3000,6.388707723203879e-05,4.750101470563095e-05,0.00010017550957854834,0.00034749773854855483,0.00043577267206273973
3100,6.95106609072127e-05,5.2101486289757304e-05,0.00010243174401693977,0.00045913215290056624,0.000517910928465426
3200,6.335221753772657e-05,4.870024531555828e-05,9.530150782666168e-05,0.0003693292604293679,0.00047841420746408403
3300,7.1215586785911e-05,5.350284664018545e-05,0.00011271316470811144,0.00035380027402425184,0.0005152443773113191
3400,7.241896715015628e-05,5.636466448777355e-05,0.00010673846627469174,0.00046142389532178647,0.0006336278165690601
3500,5.942620660448483e-05,4.660282502300106e-05,9.227619375451467e-05,0.0003129020190681335,0.0004179396200925112
3600,5.8880100624492115e-05,4.447980609256774e-05,9.308737426181323e-05,0.00030006907734787103,0.000408386520575732
3700,6.47748728397346e-05,5.026392136642244e-05,9.922594545059837e-05,0.0003743339297943753,0.00044140161480754614
3800,6.263544902651574e-05,4.794269989361055e-05,0.00010194494607276283,0.00038119807024486376,0.0004677734978031367
3900,6.069375137940369e-05,4.622827691491693e-05,9.577221862855367e-05,0.00032398779148934414,0.0004149035084992647
4000,7.115488331521647e-05,4.7317109419964254e-05,0.00011762586145778183,0.0004454369429731747,0.0007531199371442199
4100,6.528760067681105e-05,4.996163988835178e-05,0.00010627194278640672,0.00036855541111435785,0.0004488423001021147
4200,7.10430769430559e-05,5.344250712369103e-05,0.00011467118165455758,0.00041086173994699506,0.0006646874826401472
4300,5.9390062105535435e-05,4.6544157157768495e-05,8.680783212184906e-05,0.00032423099110019443,0.0004796050488948822
4400,7.496228667491778e-05,5.225299537414685e-05,0.00012466590560507028,0.0004495970229618258,0.0005956891109235585
4500,7.924168350825767e-05,6.170791675685905e-05,0.00013007560337428004,0.0004534675754257482,0.0006869859644211829
4600,6.422088779345358e-05,4.794411870534532e-05,9.597249081707558e-05,0.0003401724659488537,0.0005043920245952904
4700,6.742851174124098e-05,5.292358764563687e-05,0.00010939042767859063,0.0003368468777625827,0.0005475956131704152
4800,6.411645161108481e-05,4.730982982437126e-05,9.656804031692446e-05,0.00039925146353198264,0.00044811697443947196
4900,5.9979228879569746e-05,4.753050779982004e-05,9.306274732807651e-05,0.00033696750586386813,0.0003769892791751772
5000,6.621845170684537e-05,5.230209899309557e-05,0.00010192421759711576,0.0003411452105501671,0.0005819801008328795
5100,7.540866097599519e-05,5.824629442940932e-05,0.00011712843988789245,0.0004638695809990175,0.0005808289279229939
5200,6.71960617211198e-05,5.123106893734075e-05,0.00010478162075742147,0.0004508169335895225,0.0005012384499423206
