step,channel_191,channel_423,channel_171,channel_137,channel_167,channel_404,channel_447,channel_420,channel_393,channel_164,channel_177,channel_402,channel_172,channel_427,channel_148,channel_435,channel_441,channel_186,channel_179,channel_182,channel_433,channel_385,channel_189,channel_396,channel_438,channel_138,channel_146,channel_416,channel_168,channel_444,channel_443,channel_474,channel_135,channel_166,channel_188,channel_490,channel_173,channel_403,channel_428,channel_874,channel_129,channel_429,channel_160,channel_151,channel_392,channel_445,channel_140,channel_185,channel_424,channel_136
0,3.768174110518885e-06,3.257701337133767e-06,2.8827821552113164e-06,3.881839347741334e-06,3.149658368784003e-06,3.7067127323098248e-06,3.995204224338522e-06,3.6276562696002657e-06,6.943518656044034e-06,3.1682300232205307e-06,3.4418656014167937e-06,4.102118509763386e-06,3.4825939110305626e-06,3.6713499866891652e-06,3.436997985772905e-06,5.355434495868394e-06,4.719273874798091e-06,3.6178519167151535e-06,3.485117986201658e-06,4.277941116015427e-06,5.748213879996911e-06,6.002080681355437e-06,3.0022856662981212e-06,3.954608473577537e-06,6.268227025429951e-06,3.435297003306914e-06,4.563639777188655e-06,6.710815796395764e-06,3.942351668229094e-06,5.665065145876724e-06,3.934731012122938e-06,3.930059847334633e-06,4.962993443768937e-06,3.787969035329297e-06,4.133492893743096e-06,4.611323674907908e-06,4.513229214353487e-06,4.579540927807102e-06,3.68172004527878e-06,6.990635483816732e-06,4.162101049587363e-06,4.770477971760556e-06,5.426572442956967e-06,4.535525022220099e-06,5.856796633452177e-06,3.659464937300072e-06,4.254199211572995e-06,3.898271188518265e-06,4.942063242197037e-06,6.520374881802127e-06
100,2.3420876459567808e-05,2.358816345804371e-05,2.4701492293388583e-05,2.3720273020444438e-05,2.495500120858196e-05,2.2678403183817863e-05,2.5388211724930443e-05,2.5543346055201255e-05,2.6055771741084754e-05,2.4705239411559887e-05,2.6316458388464525e-05,2.5941068088286556e-05,2.6509793315199204e-05,2.6592795620672405e-05,2.5830026061157696e-05,2.666633008630015e-05,2.724151454458479e-05,2.7785790734924376e-05,2.4951285013230518e-05,2.842707181116566e-05,2.8470956749515608e-05,2.8606154955923557e-05,2.6705329219112173e-05,2.8971058782190084e-05,2.9157570679672062e-05,2.9216413167887367e-05,2.7123624022351578e-05,2.524761475797277e-05,2.9363192879827693e-05,2.9663971872651018e-05,3.004368772963062e-05,2.7035706807509996e-05,2.4970680897240527e-05,2.770482205960434e-05,3.02997104881797e-05,2.6633528250386007e-05,3.059557275264524e-05,3.066774661419913e-05,3.0717026675119996e-05,3.0586485081585124e-05,3.083720730501227e-05,3.085923526668921e-05,2.783017225738149e-05,2.9704342523473315e-05,3.1362269510282204e-05,3.1430139642907307e-05,3.143806679872796e-05,3.167109753121622e-05,2.777093686745502e-05,3.172394281136803e-05
200,2.122316072927788e-05,2.4129540179274045e-05,2.4095463231788017e-05,2.470995968906209e-05,2.3850503566791303e-05,2.4853314243955538e-05,2.1442421711981297e-05,2.4225262677646242e-05,2.4023278456297703e-05,2.3975155272637494e-05,2.4272660084534436e-05,2.6506624635658227e-05,2.6487237846595235e-05,2.1783631382277235e-05,2.531834070396144e-05,2.4895271053537726e-05,2.6472145691514015e-05,2.2483456632471643e-05,2.7901547582587227e-05,2.7262100047664717e-05,2.261306144646369e-05,2.70816726697376e-05,2.884679997805506e-05,2.847952418960631e-05,2.7111609597341157e-05,2.8587131964741275e-05,2.9241180527606048e-05,2.9421873477986082e-05,2.7600919565884396e-05,2.4915867470554076e-05,2.9353455829550512e-05,3.012940396729391e-05,3.0148808946250938e-05,3.026416561624501e-05,2.7249088816461153e-05,2.7236676032771356e-05,2.4676248358446173e-05,2.6660838557290845e-05,2.7045063689001836e-05,2.901120387832634e-05,2.9752829505014233e-05,2.346456858504098e-05,3.108199962298386e-05,2.8220627427799627e-05,2.9855029424652457e-05,2.8420578018995002e-05,2.7262401999905705e-05,2.7329348085913807e-05,2.565718205005396e-05,3.0797888030065224e-05
300,2.31549893214833e-05,2.383650826232042e-05,2.4524308173567988e-05,2.1882207875023596e-05,2.3312111807172187e-05,2.511216553102713e-05,2.479319846315775e-05,2.4137203581631184e-05,2.564513124525547e-05,2.626533023430966e-05,2.2067211830290034e-05,2.550162207626272e-05,2.5592322344891727e-05,2.6539808459347114e-05,2.666025648068171e-05,2.1900474166614003e-05,2.564945134508889e-05,2.6617584808263928e-05,2.204730481025763e-05,2.7995411073789e-05,2.2693588107358664e-05,2.7342521207174286e-05,2.56001058005495e-05,2.5898310923366807e-05,2.825500450853724e-05,2.8106018362450413e-05,2.5373567041242495e-05,2.7266996767139062e-05,2.9573377105407417e-05,2.1365996872191317e-05,3.0029656045371667e-05,3.0075025279074907e-05,2.8487289455370046e-05,3.0152572435326874e-05,2.4148986994987354e-05,3.0416327717830427e-05,2.6614115995471366e-05,2.985433820867911e-05,2.8426227800082415e-05,3.075830318266526e-05,2.7395964934839867e-05,2.543501614127308e-05,2.846157440217212e-05,3.123918577330187e-05,2.8667845981544815e-05,2.607370879559312e-05,2.748684710240923e-05,2.606439738883637e-05,3.169611227349378e-05,2.9295566491782665e-05
400,1.3274316188471857e-05,1.4574744454876054e-05,1.2896232874481939e-05,1.3856390069122426e-05,1.2781253644789103e-05,1.549546141177416e-05,1.4451523384195752e-05,1.1873627045133617e-05,1.3637510164699052e-05,1.4105085028859321e-05,1.4873254258418456e-05,1.8648030163603835e-05,1.2069761396560352e-05,2.0848296117037535e-05,1.3409410712483805e-05,2.030054383794777e-05,1.5050266483740415e-05,1.758551661623642e-05,1.781036553438753e-05,1.4215457667887677e-05,1.6259034964605235e-05,1.1996187822660431e-05,1.7422225937480107e-05,2.5859106244752184e-05,1.6264792066067457e-05,1.967903517652303e-05,1.6440530089312233e-05,1.3299081729201134e-05,1.4210182598617394e-05,1.2694344150077086e-05,1.821362275222782e-05,1.5949583030305803e-05,1.3369955013331492e-05,1.2010696991637815e-05,1.114452606998384e-05,1.537413481855765e-05,1.528525353933219e-05,1.6463698557345197e-05,1.5708328646724112e-05,1.7880385712487623e-05,1.4163041669235099e-05,2.0390622012200765e-05,1.265896025870461e-05,1.3319242498255335e-05,1.781801984179765e-05,1.903858719742857e-05,2.017019323830027e-05,1.7627544366405345e-05,1.5153346794249956e-05,1.7058622688637115e-05
500,1.3396273061516695e-05,1.4844586985418573e-05,1.1705601536959875e-05,1.30129183162353e-05,1.4402195120055694e-05,1.3031974958721548e-05,1.2733673429465853e-05,1.3720096831093542e-05,1.3996996131027117e-05,1.4142703548714053e-05,1.2727204193652142e-05,1.4586579709430225e-05,1.3269072951516137e-05,1.3064103768556379e-05,1.3578550351667218e-05,1.1457728760433383e-05,1.5937483112793416e-05,1.1868896763189696e-05,1.1952120075875428e-05,1.747839996824041e-05,1.4011832718097139e-05,1.3510593817045446e-05,1.4485392966889776e-05,1.7630940419621766e-05,1.831361987569835e-05,1.2917746062157676e-05,1.620286093384493e-05,1.4346888747240882e-05,1.5824307411094196e-05,1.3869133908883668e-05,1.4418429600482341e-05,1.2809441614081152e-05,1.317365877184784e-05,1.4495824871119112e-05,1.4184488463797607e-05,1.482871903135674e-05,1.2648246411117725e-05,1.3122343261784408e-05,1.4332122191262897e-05,1.740667357807979e-05,1.492427327320911e-05,1.3964916433906183e-05,1.6632102415314876e-05,1.4103741705184802e-05,1.512653034296818e-05,1.6874337234185077e-05,1.6714000594220124e-05,1.6240634067798965e-05,1.548204818391241e-05,1.3516090803022962e-05
600,1.3303810192155652e-05,1.447243175789481e-05,1.3257271348265931e-05,1.0797765753522981e-05,1.1601598998822737e-05,1.5220200111798476e-05,1.3910706002207007e-05,1.4642921087215655e-05,1.0983736501657404e-05,1.2361966582830064e-05,1.3308151210367214e-05,1.6492485883645713e-05,1.5741274182801135e-05,1.5469924619537778e-05,1.4435163393500261e-05,1.3937498806626536e-05,1.5121075193746947e-05,1.3438267160381656e-05,1.3907470929552801e-05,1.1542007996467873e-05,1.3486528587236535e-05,1.3454630789055955e-05,1.3979471987113357e-05,1.6396295904996805e-05,1.144729321822524e-05,1.1739559340639971e-05,1.6807965948828496e-05,1.3888750800106209e-05,1.8208878827863373e-05,1.283977871935349e-05,1.6821471945149824e-05,1.4711128642375115e-05,1.2931504898006096e-05,1.4705023204442114e-05,1.3058544027444441e-05,1.2936650819028728e-05,1.1565199201868381e-05,1.7846568880486302e-05,2.0402419977472164e-05,1.4311674021882936e-05,1.2623981092474423e-05,1.1746020391001366e-05,1.2509499356383458e-05,1.77513575181365e-05,1.4773434486414772e-05,1.8731305317487568e-05,1.6767700799391605e-05,1.638075991650112e-05,1.7084958017221652e-05,1.6015368601074442e-05
700,1.3428202692011837e-05,1.2370719559839927e-05,1.2891126971226186e-05,1.3284953638503794e-05,1.1650553460640367e-05,1.407333547831513e-05,1.4796454706811346e-05,1.3677100469067227e-05,1.4877195098961238e-05,1.3725007192988414e-05,1.216062628373038e-05,1.4356858628161717e-05,1.4013293366588186e-05,1.22014189400943e-05,1.1186687515873928e-05,1.3309433597896714e-05,1.3094897440169007e-05,1.3153127838450018e-05,1.1589929272304289e-05,1.6377032807213254e-05,1.2406134374032263e-05,1.2127304216846824e-05,1.570085260027554e-05,1.4533183275489137e-05,1.5604004147462547e-05,1.2825270459870808e-05,1.3458471585181542e-05,1.6176218196051195e-05,1.631850318517536e-05,1.8441833162796684e-05,1.7552898498252034e-05,1.717282248137053e-05,1.584937854204327e-05,1.4910157915437594e-05,1.489600799686741e-05,1.5866604371694848e-05,1.5698133211117238e-05,1.2951279131812043e-05,1.6235622751992196e-05,2.071740345854778e-05,1.261542820429895e-05,1.744433757266961e-05,1.7625148757360876e-05,1.4882510185998399e-05,1.3886127817386296e-05,1.7997199392993934e-05,1.567685467307456e-05,1.4756803466298152e-05,1.6841499018482864e-05,1.4534582078340463e-05
800,1.1080775038863067e-05,1.3131118066667113e-05,1.1965568774030544e-05,1.43731631396804e-05,1.356923075945815e-05,1.0695670425775461e-05,1.1366556464054156e-05,1.1621279554674402e-05,1.231811438628938e-05,1.2975411664228886e-05,1.104182047129143e-05,1.123661331803305e-05,1.1157877452205867e-05,1.1731087397492956e-05,1.0151774404221214e-05,8.836888810037635e-06,1.2284471267776098e-05,1.1541003004822414e-05,9.461678928346373e-06,1.5142204574658535e-05,1.1177025953656994e-05,1.515067651780555e-05,1.2933721336594317e-05,1.5235696992021985e-05,1.5221538887999486e-05,1.382944992656121e-05,1.1862353858305141e-05,1.0451854905113578e-05,1.5698340575909242e-05,1.6126976333907805e-05,1.613604399608448e-05,1.2798171155736782e-05,1.3055827366770245e-05,1.3818283150612842e-05,1.4711559742863756e-05,1.564623562444467e-05,1.5127759070310276e-05,1.1229141819057986e-05,1.0495657988940366e-05,1.6419231542386115e-05,1.4999206541688181e-05,1.3494685845216736e-05,1.3118026799929794e-05,1.327856989519205e-05,1.256857649423182e-05,1.2646126378967892e-05,1.4064828974369448e-05,1.5040846847114153e-05,1.411628272762755e-05,1.4500870747724548e-05
900,1.2314480954955798e-05,1.2541027899715118e-05,1.1253219781792723e-05,1.1760234883695375e-05,1.1714982065313961e-05,1.5397205061162822e-05,1.4240167729440145e-05,1.402187263011001e-05,1.2526923455880024e-05,1.2791852896043565e-05,1.2231287655595224e-05,1.5038903256936464e-05,1.4537671631842386e-05,1.3559973922383506e-05,1.432179760740837e-05,1.2576821973198093e-05,1.4022386494616512e-05,1.71689589478774e-05,1.3156413842807524e-05,1.5075314877321944e-05,1.1871269634866621e-05,1.5248137970047537e-05,1.4005681805429049e-05,1.592829721630551e-05,1.6453053831355646e-05,1.5571469702990726e-05,1.555425114929676e-05,1.4976727470639162e-05,1.79431117430795e-05,1.1970094419666566e-05,1.730971416691318e-05,1.2398646504152566e-05,1.2596436135936528e-05,1.3315068827068899e-05,1.22683131849044e-05,1.4766437743674032e-05,1.137919298344059e-05,1.7265967471757904e-05,1.870267624326516e-05,1.661282112763729e-05,1.3916533134761266e-05,1.4076855222810991e-05,1.6059830159065314e-05,1.5161426745180506e-05,1.5042736777104437e-05,1.5229802556859795e-05,1.907191108330153e-05,1.6633384802844375e-05,1.785038512025494e-05,1.550886190671008e-05
