step,channel_666,channel_538,channel_285,channel_730,channel_474,channel_317,channel_794,channel_602,channel_640,channel_253,channel_221,channel_651,channel_93,channel_159,channel_29,channel_187,channel_61,channel_680,channel_643,channel_646,channel_544,channel_690,channel_125,channel_858,channel_698,channel_445,channel_673,channel_135,channel_156,channel_545,channel_413,channel_687,channel_762,channel_153,channel_552,channel_155,channel_151,channel_308,channel_518,channel_715,channel_297,channel_302,channel_274,channel_800,channel_189,channel_570,channel_669,channel_283,channel_286,channel_278
0,0.00022067791724111885,0.00015889220230747014,0.00012204600352561101,2.6115027139894664e-05,8.313430589623749e-05,0.000134403831907548,4.524569521890953e-05,0.0001135851998697035,0.00010111240408150479,5.80307787458878e-05,5.499914550455287e-05,7.882757199695334e-05,9.864852472674102e-05,8.736458767089061e-06,4.568909207591787e-05,3.840767021756619e-06,4.963045284966938e-05,7.355107663897797e-05,6.03805819991976e-05,8.508184691891074e-05,5.7735174777917564e-05,6.644021777901798e-05,0.00013019164907746017,2.403562393737957e-05,6.358437531162053e-05,4.908737537334673e-05,5.59573745704256e-05,4.432337846083101e-06,7.174911388574401e-06,3.919100345228799e-05,5.078639151179232e-05,7.370364619418979e-05,1.0964330613205675e-05,1.098535540222656e-05,5.360467912396416e-05,5.963934654573677e-06,1.0311221558367833e-05,6.702555401716381e-05,5.883478297619149e-05,1.0791583008540329e-05,4.999664088245481e-05,4.0127128158928826e-05,7.191095210146159e-05,1.0521704098209739e-05,1.2799850082956254e-05,4.481302676140331e-05,6.266256241360679e-05,2.3310183678404428e-05,3.1614225008524954e-05,2.4937613488873467e-05
100,0.000336827797582373,0.00025519676273688674,0.00023184152087196708,0.00019555231847334653,0.00024411868071183562,0.0002320801286259666,0.00018650019774213433,0.00014271096733864397,0.0001163160486612469,0.00012085928756278008,0.0001253062509931624,0.00011386686674086377,0.00015722907846793532,0.00015629554400220513,9.613123256713152e-05,0.00014789411216042936,9.447475895285606e-05,0.00012401698040775955,0.00011331532732583582,0.00011044312122976407,0.00013567482528742403,0.00012058986612828448,0.00012956548016518354,0.00012103591143386438,0.00011944855941692367,0.00012283289106562734,9.804328146856278e-05,0.00011695196735672653,0.00011573811207199469,0.00011490034376038238,0.00011364422243786976,8.711515692993999e-05,8.009952580323443e-05,0.00010874884901568294,0.00010614179336698726,0.00010582311369944364,0.00010563016257947311,9.18551959330216e-05,0.00010016410669777542,6.529187521664426e-05,9.833915100898594e-05,8.605085895396769e-05,8.212443208321929e-05,9.747070726007223e-05,7.873973663663492e-05,9.59870230872184e-05,7.111211743904278e-05,5.0274051318410784e-05,4.8284840886481106e-05,3.476242272881791e-05
200,0.00031908205710351467,0.00018339819507673383,0.00013785167539026588,0.0002451459877192974,0.00014030799502506852,0.0001414008584106341,0.00017338259203825146,0.00017045479035004973,0.00011982494470430538,0.00014857568021398038,0.00015426528989337385,0.00011800634092651308,0.00013794426922686398,6.66364430799149e-05,0.00013095460599288344,5.613959365291521e-05,0.00011942921992158517,0.00010727411427069455,0.00011585740867303684,0.00010597746586427093,8.742097998037934e-05,0.00010895881860051304,0.0001267687330255285,0.00012899450666736811,0.00010749248758656904,0.00010482416109880432,9.759140812093392e-05,6.339379615383223e-05,2.72002253041137e-05,5.415649138740264e-05,8.248441736213863e-05,7.745157199678943e-05,0.00011047231237171218,3.1805222533876076e-05,7.584422564832494e-05,5.2949551900383085e-05,6.755222420906648e-05,5.850876550539397e-05,6.466482591349632e-05,9.962910553440452e-05,5.065740333520807e-05,4.4384647480910644e-05,6.370292976498604e-05,5.229723683441989e-05,9.720704110804945e-05,6.981786282267421e-05,9.559246245771646e-05,3.472563184914179e-05,4.099128273082897e-05,2.332454823772423e-05
300,0.0004149556625634432,0.00019042698841076344,0.0002494585351087153,0.00017688261868897825,0.00016313621017616242,0.0002204666379839182,0.00013084994861856103,0.00014130439376458526,0.00016402748588006943,0.0001611922198208049,0.0001604369463166222,0.00015734291810076684,0.00010493965237401426,4.201895717415027e-05,0.00015211888239718974,6.494102126453072e-05,0.0001454573794035241,0.00013995934568811208,0.00013933728041592985,0.00013876799494028091,7.474416634067893e-05,0.0001328719372395426,0.00011534541408764198,0.000112915389763657,0.00012580957263708115,0.00011410882143536583,0.00011695529246935621,5.353970846044831e-05,7.755735714454204e-05,4.8062731366371736e-05,8.772251749178395e-05,0.00011183512833667919,6.788241444155574e-05,6.172972643980756e-05,8.632438402855769e-05,6.26602050033398e-05,3.050181840080768e-05,0.0001052578300004825,6.967189256101847e-05,6.424673483707011e-05,9.485375630902126e-05,7.087719131959602e-05,9.817229874897748e-05,6.317952647805214e-05,5.8731227909447625e-05,9.259019134333357e-05,7.965938857523724e-05,3.8782054616604e-05,5.266586958896369e-05,4.0020964661380276e-05
400,0.00021816026128362864,9.8468764917925e-05,7.244760490721092e-05,0.00011021851241821423,0.00015843390428926796,7.381664181593806e-05,7.287669723154977e-05,9.201341890729964e-05,8.209361840272322e-05,8.187298226403072e-05,8.22414003778249e-05,8.156144031090662e-05,6.765645230188966e-05,1.2869518286606763e-05,8.173155947588384e-05,1.8847111277864315e-05,8.025307761272416e-05,8.188723586499691e-05,6.258633220568299e-05,7.16295326128602e-05,3.279027441749349e-05,7.751984230708331e-05,5.6095581385307014e-05,5.9019861510023475e-05,7.75806256569922e-05,5.66963899473194e-05,5.754700396209955e-05,1.3785538612864912e-05,2.907482848968357e-05,2.7439866244094446e-05,4.4815533328801394e-05,5.195376797928475e-05,3.79946650355123e-05,1.1936735972994938e-05,4.0019112930167466e-05,1.5940027878968976e-05,1.5159364920691587e-05,3.335858855280094e-05,3.640041177277453e-05,4.0693037590244785e-05,2.814854815369472e-05,2.659365964063909e-05,3.414553793845698e-05,5.1142538723070174e-05,4.685315798269585e-05,4.044290108140558e-05,3.963863491662778e-05,1.9000013708136976e-05,2.1315829144441523e-05,1.7234449842362665e-05
500,0.0001571789471199736,8.25483730295673e-05,7.660371193196625e-05,7.730481593171135e-05,0.00010176291107200086,8.372027514269575e-05,7.589894812554121e-05,7.719983841525391e-05,5.5398304539266974e-05,8.901894034352154e-05,9.059907461050898e-05,5.2696494094561785e-05,5.5760399845894426e-05,1.7534528524265625e-05,7.597568037454039e-05,2.293415309395641e-05,7.434150029439479e-05,5.162654633750208e-05,5.040412361267954e-05,5.356764086172916e-05,4.2523817683104426e-05,4.913438533549197e-05,6.054288678569719e-05,6.061108797439374e-05,5.8353907661512494e-05,4.309030555305071e-05,4.1874849557643756e-05,2.2314159650704823e-05,4.4067932321922854e-05,2.56432995229261e-05,3.746928268810734e-05,4.1987608710769564e-05,2.7127627618028782e-05,5.298888572724536e-05,3.3915894164238125e-05,3.40709593729116e-05,1.981014611374121e-05,3.0800263630226254e-05,3.0851024348521605e-05,2.9761931727989577e-05,3.188262417097576e-05,2.9622531656059437e-05,3.3910291676875204e-05,4.4519492803374305e-05,3.64260449714493e-05,3.367791941855103e-05,3.207054760423489e-05,2.7209967811359093e-05,1.4612138329539448e-05,9.58320470090257e-06
600,0.000234956358326599,9.13867334020324e-05,0.00010367682261858135,0.0001850464177550748,9.399558621225879e-05,9.879071149043739e-05,6.615676829824224e-05,8.916650403989479e-05,0.00010095359903061762,7.045018719509244e-05,7.070725405355915e-05,8.460693788947538e-05,7.180376269388944e-05,3.3137632271973416e-05,0.00010790508531499654,2.0367562683532014e-05,0.00010715721873566508,6.97872310411185e-05,7.93670114944689e-05,7.02390680089593e-05,3.309382373117842e-05,8.11860736575909e-05,7.909505802672356e-05,5.376665649237111e-05,7.924931560410187e-05,7.175896462285891e-05,7.131391612347215e-05,1.4105837180977687e-05,1.4532113709719852e-05,3.380205453140661e-05,5.63168796361424e-05,5.701370173483156e-05,5.1148192142136395e-05,3.12814190692734e-05,3.4210319427074865e-05,2.2084899683250114e-05,1.5758463632664643e-05,4.40995063399896e-05,3.392690632608719e-05,6.541520269820467e-05,3.3940210414584726e-05,3.560359982657246e-05,4.3998818000545725e-05,2.609984585433267e-05,2.7183872589375824e-05,4.0147457184502855e-05,4.4710988731822e-05,1.8022432413999923e-05,2.237357693957165e-05,1.4721391380589921e-05
700,0.00019315487588755786,0.0001099321962101385,0.0001015959496726282,9.353411587653682e-05,8.226667705457658e-05,0.00010286294855177402,7.76864544604905e-05,0.00010898442269535735,7.353564433287829e-05,9.93387948255986e-05,9.089951345231384e-05,6.772891356376931e-05,8.239475573645905e-05,1.1567170986381825e-05,7.036334864096716e-05,1.779531521606259e-05,7.51243278500624e-05,6.478928844444454e-05,6.527315417770296e-05,6.564742216141894e-05,3.258562719565816e-05,6.634703458985314e-05,7.793285476509482e-05,4.702439400716685e-05,5.9841917391167954e-05,4.9079990276368335e-05,5.695143772754818e-05,1.137725394073641e-05,1.0402583939139731e-05,4.166878352407366e-05,4.3953561544185504e-05,5.313883229973726e-05,3.412424121052027e-05,1.0618522537697572e-05,4.197139060124755e-05,7.77642799221212e-06,2.2445408831117675e-05,4.192071355646476e-05,4.405456274980679e-05,3.414390084799379e-05,4.040611020172946e-05,3.3714062737999484e-05,3.949129313696176e-05,2.6614978196448646e-05,2.7971826057182625e-05,4.8676873120712116e-05,4.751794767798856e-05,3.3506072213640437e-05,2.1700445358874276e-05,1.750142291712109e-05
800,0.00019250245532020926,8.8709028204903e-05,7.121788803488016e-05,0.00011532684584381059,0.00013106329424772412,7.048319821478799e-05,6.681316153844818e-05,7.669103797525167e-05,6.926032801857218e-05,7.173875201260671e-05,7.267642649821937e-05,6.596880120923743e-05,4.8287107347277924e-05,1.133746172854444e-05,8.047762821661308e-05,9.09220671019284e-06,8.426693239016458e-05,6.786896119592711e-05,6.295603088801727e-05,6.852833030279726e-05,3.078182999161072e-05,7.025442755548283e-05,5.3753181418869644e-05,8.110574708553031e-05,6.322602712316439e-05,4.261314097675495e-05,5.3910393035039306e-05,9.101557225221768e-06,9.580108780937735e-06,2.965406747534871e-05,4.070853174198419e-05,4.827870725421235e-05,4.527575947577134e-05,1.1592618648137432e-05,3.66209824278485e-05,1.2858517948188819e-05,2.4480958018102683e-05,3.2826595997903496e-05,3.2578169339103624e-05,4.024085501441732e-05,2.8250113246031106e-05,2.4825612854328938e-05,3.4277105442015454e-05,2.711039451241959e-05,3.593635847209953e-05,3.7274799979059026e-05,3.970804391428828e-05,1.9966844774899073e-05,1.7866443158709444e-05,1.0819061571964994e-05
900,0.0002174271212425083,8.572785009164363e-05,0.000133522305986844,0.0001214659059769474,7.924566307337955e-05,0.00012887167395092547,5.657380825141445e-05,0.0001155670324806124,7.308484782697633e-05,8.759346383158118e-05,8.508265455020592e-05,7.329518848564476e-05,5.652644540532492e-05,1.4473969713435508e-05,5.560649879043922e-05,1.1725926015060395e-05,5.5984386563068256e-05,7.385430944850668e-05,7.184359128586948e-05,7.051474676700309e-05,3.071557148359716e-05,7.919273048173636e-05,6.513439439004287e-05,4.5551059884019196e-05,6.511977699119598e-05,5.609440995613113e-05,6.164459773572162e-05,6.882266461616382e-06,1.164193690783577e-05,2.6217276172246784e-05,4.1310046071885154e-05,6.175469025038183e-05,5.220453749643639e-05,1.0277753062837292e-05,3.520905374898575e-05,8.90203591552563e-06,8.209431143768597e-06,5.5716333008604124e-05,2.99364637612598e-05,3.935564018320292e-05,4.459284173208289e-05,4.600272950483486e-05,5.23614689882379e-05,2.7953510652878322e-05,2.5703700885060243e-05,3.5291508538648486e-05,4.652421921491623e-05,2.4722299713175744e-05,2.1296475097187795e-05,1.410385357303312e-05
