step,channel_768,channel_801,channel_800,channel_769,channel_14,channel_270,channel_277,channel_704,channel_16,channel_802,channel_51,channel_47,channel_49,channel_305,channel_130,channel_307,channel_770,channel_512,channel_21,channel_803,channel_44,channel_736,channel_300,channel_50,channel_40,channel_308,channel_9,channel_303,channel_37,channel_297,channel_276,channel_52,channel_168,channel_80,channel_771,channel_545,channel_832,channel_296,channel_805,channel_41,channel_293,channel_833,channel_299,channel_111,channel_737,channel_576,channel_272,channel_261,channel_43,channel_55
0,6.766007345504477e-07,7.675031383769237e-07,1.0158015584238456e-06,8.950474352786841e-07,3.2882599043659866e-06,1.8127162775272154e-06,1.9332790088810725e-06,1.884833750409598e-06,3.4449526538082864e-06,9.514574799140973e-07,5.43439182365546e-06,3.922761152352905e-06,4.81005736219231e-06,3.349225380588905e-06,2.999057869601529e-06,1.8118994375981856e-06,9.260530760002439e-07,4.059906132169999e-06,1.9731526208488503e-06,1.9593610431911657e-06,2.5513172658975236e-06,1.3072377669232083e-06,1.1937661383853992e-06,5.961030637990916e-06,3.645442347988137e-06,3.6447038382902974e-06,1.3317000593815465e-05,1.5675523172831163e-06,6.1179257500043605e-06,2.610498540889239e-06,4.685417025029892e-06,8.02843896963168e-06,3.3103970054071397e-06,5.055359906691592e-06,1.0394956007075962e-06,1.2448599591152743e-06,1.024016796691285e-06,2.3997117750695907e-06,2.634940983625711e-06,7.037890100036748e-06,3.236515794924344e-06,1.597956043042359e-06,2.1047285372333135e-06,3.5623950225271983e-06,1.7876453739518183e-06,2.3961340502864914e-06,1.8641098904481623e-06,2.142488483514171e-06,3.004078962476342e-06,5.736642378906254e-06
100,8.142450496961828e-06,8.913830242818221e-06,9.397133908350952e-06,9.405424862052314e-06,9.122756637225393e-06,9.397641406394541e-06,1.1133057341794483e-05,1.0642651432135608e-05,1.1059617463615723e-05,1.0787814971990883e-05,1.057633289747173e-05,1.185906967293704e-05,1.154514575318899e-05,1.1021315003745258e-05,1.0841326002264395e-05,1.0457076314196456e-05,1.146812519436935e-05,1.1227372851863038e-05,1.2907588825328276e-05,1.2876377695647534e-05,1.2287069694139063e-05,1.2467207852751017e-05,1.1019212251994759e-05,1.3550588846555911e-05,1.332185092906002e-05,1.1908897249668371e-05,1.2258600690984167e-05,1.0240461051580496e-05,1.4124642802926246e-05,1.4150918104860466e-05,1.2296918612264562e-05,1.4443556210608222e-05,1.2848378901253454e-05,1.2340318789938465e-05,1.4742462553840596e-05,1.492566843808163e-05,1.389756471326109e-05,1.4874052794766612e-05,1.5198160326690413e-05,1.5203461771307047e-05,1.5268573406501673e-05,1.4087261661188677e-05,1.2969377166882623e-05,1.2697200872935355e-05,1.548833643028047e-05,1.5560484825982712e-05,1.2756001524394378e-05,1.578058800077997e-05,1.5784073184477165e-05,1.5939447621349245e-05
200,6.29104943072889e-06,6.107075478212209e-06,6.463005775003694e-06,7.780992746120319e-06,1.0331977136956993e-05,9.627615327190142e-06,8.96457459020894e-06,9.931347449310124e-06,1.0443600331200287e-05,7.936252586659975e-06,7.893187103036325e-06,9.926075108523946e-06,9.236511687049642e-06,1.0253043910779525e-05,9.777754712558817e-06,8.477656592731364e-06,8.1652642620611e-06,1.2790438631782308e-05,1.0317033229512163e-05,1.071552287612576e-05,9.843278348853346e-06,1.1132567124150228e-05,1.2878072084276937e-05,1.1521392480062786e-05,1.047287332767155e-05,9.615309863875154e-06,1.268314736080356e-05,9.615579983801581e-06,1.305854857491795e-05,1.3198572560213506e-05,1.4351506251841784e-05,1.1029071174561977e-05,1.4592453226214275e-05,1.2102636901545338e-05,1.2601280104718171e-05,1.096871437766822e-05,1.5042701306811068e-05,1.5120785064937081e-05,1.118261570809409e-05,1.0242726602882612e-05,1.4497328265861142e-05,1.5253872334142216e-05,1.0472531357663684e-05,1.542919926578179e-05,1.4565182937076315e-05,1.5146628356887959e-05,1.5583394997520372e-05,1.4353976439451799e-05,1.48452672874555e-05,9.683717507869005e-06
300,6.629435574723175e-06,7.174622624006588e-06,8.378146048926283e-06,6.845014468126465e-06,9.566997505316976e-06,1.036902904161252e-05,8.069719115155749e-06,8.974539923656266e-06,1.1382573575247079e-05,1.1465707757452037e-05,1.1512844139360823e-05,1.1763441762013827e-05,1.2008799785689916e-05,1.2167677596153226e-05,1.2379426152619999e-05,1.2503978723543696e-05,1.2534716006484814e-05,9.943162694980856e-06,1.2650566532101948e-05,9.899130418489221e-06,1.3144610420567915e-05,1.3246582057035994e-05,1.345222244708566e-05,1.190399780170992e-05,1.3660323020303622e-05,1.1426202945585828e-05,1.3708865481021348e-05,1.404462364007486e-05,1.3560233128373511e-05,1.2857904039265122e-05,1.2282038369448856e-05,1.2577887900988571e-05,1.4342709619086236e-05,1.4608224773837719e-05,1.0020609806815628e-05,1.4621961781813297e-05,1.4909359379089437e-05,1.3063169717497658e-05,1.3474805200530682e-05,1.188437090604566e-05,1.3783995200356003e-05,1.5329465895774774e-05,1.5341176549554802e-05,1.1889827874256298e-05,1.2191717360110488e-05,1.5116149370442145e-05,1.2457028788048774e-05,1.4588807061954867e-05,1.2788023923349101e-05,1.578940100444015e-05
400,5.734417754865717e-06,4.854414783039829e-06,2.5342551452922635e-06,5.009776941733435e-06,5.714729013561737e-06,6.627869879594073e-06,3.881933025695616e-06,8.413549039687496e-06,5.871781013411237e-06,3.5258851767139276e-06,5.448947376862634e-06,5.4241245379671454e-06,8.05028230388416e-06,1.0632355042616837e-05,6.198143182700733e-06,5.39345001016045e-06,5.054341727372957e-06,5.826761935168179e-06,4.4019548113283236e-06,1.2910826626466587e-05,7.618655672558816e-06,6.020945875206962e-06,6.414496965589933e-06,6.886944447614951e-06,7.554334388260031e-06,6.106505225034198e-06,7.123345767467981e-06,5.133033482707106e-06,6.554995252372464e-06,6.698566267004935e-06,7.455195373040624e-06,8.312915269925725e-06,7.985048796399496e-06,7.203474524430931e-06,5.4351908147509675e-06,7.243140316859353e-06,7.621470558660803e-06,7.248823749250732e-06,9.333272828371264e-06,8.015098501346074e-06,8.874725608620793e-06,8.292383427033201e-06,6.541220500366762e-06,7.734828614047728e-06,8.02241174824303e-06,8.974750926427078e-06,7.827205081412103e-06,7.497255410271464e-06,5.768872142652981e-06,6.429969289456494e-06
500,2.6972475097863935e-06,3.7224326661089435e-06,3.699017497638124e-06,4.0842492126103025e-06,5.594554295385024e-06,4.987716238247231e-06,6.349163868435426e-06,5.672596216754755e-06,6.898877927596914e-06,4.4560374590219e-06,9.7308584372513e-06,6.619241503358353e-06,7.778012331982609e-06,5.5336254263238516e-06,6.46896478428971e-06,5.313897418091074e-06,8.405831977142952e-06,7.711140824540053e-06,5.161823082744377e-06,5.2744899221579544e-06,8.109102964226622e-06,6.177542672958225e-06,7.126118816813687e-06,6.554868832608918e-06,6.923360160726588e-06,8.22806941869203e-06,6.452286015701247e-06,4.777935828315094e-06,9.516440513834823e-06,8.126937245833687e-06,7.437022304657148e-06,7.615092727064621e-06,7.97110715211602e-06,8.254357453552075e-06,6.926740297785727e-06,1.0217171620752197e-05,9.083337317861151e-06,7.4730728556460235e-06,6.946443136257585e-06,1.1930043001484592e-05,9.022404810821172e-06,7.798462320351973e-06,6.032169949321542e-06,6.642128482781118e-06,7.2201974035124294e-06,7.052252385619795e-06,4.757745500683086e-06,8.314543265441898e-06,9.454709470446687e-06,7.304314749490004e-06
600,4.3516402001841925e-06,5.0742396524583455e-06,4.834954324905993e-06,3.547040478224517e-06,4.4442349462769926e-06,5.651980245602317e-06,5.29601265952806e-06,5.708516710001277e-06,7.318035841308301e-06,5.379402409744216e-06,6.9463017098314594e-06,5.421089099399978e-06,4.5462788875738624e-06,8.926396731112618e-06,6.212309926922899e-06,5.243362011242425e-06,5.336373305908637e-06,9.69485699897632e-06,5.2351610975165386e-06,6.3260099523176905e-06,7.958497008075938e-06,4.761033778777346e-06,6.562140697496943e-06,6.55006851957296e-06,6.106581622589147e-06,6.495514298876515e-06,7.067989827191923e-06,5.087704266770743e-06,7.651678060938139e-06,9.930556188919581e-06,7.175063728936948e-06,6.310570825007744e-06,7.957059096952435e-06,9.823200343817007e-06,5.977130967949051e-06,8.210754458559677e-06,6.1378800637612585e-06,8.421632628596853e-06,9.032151865540072e-06,4.872261797572719e-06,9.369936378789134e-06,6.056013262423221e-06,7.897658178990241e-06,7.338272098422749e-06,6.706447493343148e-06,8.680561222718097e-06,7.541450031567365e-06,8.506389349349774e-06,8.554190571885556e-06,6.3970283008529805e-06
700,3.8094290175649803e-06,3.944157924706815e-06,3.8598391256527975e-06,4.528804765868699e-06,4.692712536780164e-06,5.676502951246221e-06,6.048367140465416e-06,4.732042725663632e-06,6.037460480001755e-06,6.398513505700976e-06,9.622577636037022e-06,9.38834546104772e-06,8.435268682660535e-06,6.208007562236162e-06,5.936153684160672e-06,4.525712938630022e-06,4.829632416658569e-06,5.022720870329067e-06,5.596208211500198e-06,5.805848559248261e-06,8.100569175439887e-06,3.7226111544441665e-06,7.0068217610241845e-06,8.123917723423801e-06,1.1564914530026726e-05,6.766400929336669e-06,6.718787062709453e-06,6.029900305293268e-06,7.727137017354835e-06,8.258179150288925e-06,9.278957804781385e-06,1.213460200233385e-05,8.779355994192883e-06,7.263920451805461e-06,5.370718554331688e-06,5.8180676205665804e-06,5.489690011017956e-06,8.417528988502454e-06,9.430531463294756e-06,6.4377541093563195e-06,7.294484476005891e-06,9.153750397672411e-06,6.792257408960722e-06,5.530702765099704e-06,6.216439032868948e-06,7.3017131398955826e-06,7.769092917442322e-06,6.678718818875495e-06,8.677840924065094e-06,7.458263098669704e-06
800,2.387923359492561e-06,3.0716503260919126e-06,2.089536565108574e-06,4.120344783586916e-06,4.987219654140063e-06,6.837343335064361e-06,4.301384706195677e-06,5.614591373159783e-06,5.282842266751686e-06,3.8020609736122424e-06,5.539962785405805e-06,3.877364633808611e-06,4.187547347100917e-06,5.946704277448589e-06,5.022976438340265e-06,4.2962410589098e-06,5.779583261755761e-06,7.297586762433639e-06,3.4933937058667652e-06,5.146987405169057e-06,6.348857368720928e-06,3.58227680408163e-06,6.616821337956935e-06,4.233565050526522e-06,5.7604229368735105e-06,6.875614417367615e-06,5.963913736195536e-06,4.420044660946587e-06,6.1377440943033434e-06,7.061531505314633e-06,4.415113835420925e-06,5.0006019591819495e-06,6.3954621509765275e-06,7.0127657636476215e-06,3.908003691321937e-06,6.252001185202971e-06,7.284929779416416e-06,6.995184776315e-06,8.082709427981172e-06,6.454507456510328e-06,9.788735951588023e-06,8.120249731291551e-06,5.841767233505379e-06,6.31676039120066e-06,5.30957095179474e-06,7.787438335071784e-06,5.489393515745178e-06,6.3843631323834416e-06,6.336414571705973e-06,5.964995125395944e-06
900,2.6664008601073874e-06,4.426070063345833e-06,2.191259000028367e-06,4.189001174381701e-06,4.01602028432535e-06,7.296749572560657e-06,4.110241661692271e-06,6.874219252495095e-06,5.964509000477847e-06,5.197770406084601e-06,4.996561074221972e-06,4.089986759936437e-06,7.702477887505665e-06,5.108399363962235e-06,6.661056886514416e-06,6.861620022391435e-06,4.86518320030882e-06,6.377601948770462e-06,5.342866643331945e-06,9.971095096261706e-06,5.169544238015078e-06,7.165573151723947e-06,5.605634214589372e-06,8.427883585682139e-06,9.715965461509768e-06,7.2789553087204695e-06,6.123960702097975e-06,6.739103810105007e-06,7.822713087080047e-06,9.041737939696759e-06,8.754998816584703e-06,6.156403287604917e-06,9.14653173822444e-06,8.633828656456899e-06,4.999543307349086e-06,5.925991899857763e-06,5.064761353423819e-06,8.919600077206269e-06,5.8323985285824165e-06,7.199871106422506e-06,9.857455552264582e-06,7.724939678155351e-06,6.760646556358552e-06,6.668123660347192e-06,5.84964709560154e-06,9.113123269344214e-06,6.037127150193555e-06,6.909651347086765e-06,7.342373010033043e-06,7.134978204703657e-06
