step,channel_224,channel_173,channel_757,channel_519,channel_53,channel_570,channel_262,channel_646,channel_421,channel_697,channel_351,channel_86,channel_655,channel_70,channel_450,channel_647,channel_876,channel_373,channel_3,channel_773,channel_851,channel_176,channel_208,channel_194,channel_18,channel_738,channel_147,channel_125,channel_891,channel_716,channel_728,channel_76,channel_142,channel_290,channel_451,channel_798,channel_312,channel_344,channel_300,channel_611,channel_386,channel_346,channel_766,channel_406,channel_407,channel_643,channel_672,channel_170,channel_584,channel_123
0,1.507814977230737e-05,3.567151725292206e-05,4.2092444346053526e-05,1.1750174962799065e-05,5.917801536270417e-05,3.4258879168191925e-05,1.85075041372329e-05,3.479380393400788e-05,2.457732080074493e-05,2.1653917428920977e-05,3.1226256396621466e-05,2.2980933863436803e-05,2.201156530645676e-05,2.4884708182071336e-05,2.8949983970960602e-05,2.9606255338876508e-05,2.1910631403443404e-05,2.6747713491204195e-05,2.2802521925768815e-05,1.552847243146971e-05,1.7245698472834192e-05,3.1480416510021314e-05,2.7628240786725655e-05,1.972401878447272e-05,2.9963126507936977e-05,1.9308734408696182e-05,1.3104282515996601e-05,1.8546366845839657e-05,1.994347076106351e-05,2.3793454602127895e-05,2.8526783353299834e-05,3.959036257583648e-05,2.0602723452611826e-05,1.9684614017023705e-05,2.8478531021391973e-05,6.330702308332548e-05,4.392335904412903e-05,1.2472220987547189e-05,1.6577760106883943e-05,2.4197777747758664e-05,1.7498005036031827e-05,1.1220507985854056e-05,2.5907280360115692e-05,2.598820901766885e-05,2.310495256097056e-05,2.4126835342030972e-05,1.53932433022419e-05,2.5303970687673427e-05,2.4630684492876753e-05,2.2014388378011063e-05
100,5.6531269365223125e-05,0.00010384287452325225,9.0529014414642e-05,6.48728891974315e-05,0.00010348584328312427,9.927157225320116e-05,9.02028041309677e-05,9.151567064691335e-05,8.13152437331155e-05,6.644270615652204e-05,8.31336437840946e-05,5.858320582774468e-05,8.483449346385896e-05,7.711484067840502e-05,8.471829642076045e-05,6.39525824226439e-05,7.197875675046816e-05,6.643494998570532e-05,8.085782610578462e-05,6.18776903138496e-05,6.839858542662114e-05,5.951166167506017e-05,7.587920117657632e-05,5.491535193868913e-05,7.995974010555074e-05,7.88690012996085e-05,7.108942372724414e-05,6.920183659531176e-05,6.31252842140384e-05,5.826065898872912e-05,7.731429650448263e-05,7.649515464436263e-05,6.500080780824646e-05,7.567543798359111e-05,7.559928053524345e-05,7.523471867898479e-05,6.20044520474039e-05,6.522716284962371e-05,7.488625851692632e-05,7.462989015039057e-05,7.244971493491903e-05,6.037032653694041e-05,7.097927300492302e-05,5.4771640861872584e-05,7.35175417503342e-05,6.437981210183352e-05,6.359203689498827e-05,7.311741501325741e-05,7.035656017251313e-05,6.826291064498946e-05
200,5.136586696607992e-05,0.00011510328477015719,9.219924686476588e-05,5.2323452109703794e-05,9.289341687690467e-05,9.177669562632218e-05,9.712520841276273e-05,9.692576713860035e-05,9.531735850032419e-05,9.506563219474629e-05,6.378044781740755e-05,8.608961070422083e-05,7.237077807076275e-05,7.424836803693324e-05,7.460149208782241e-05,8.281229384010658e-05,6.549892714247108e-05,6.287374708335847e-05,6.656523328274488e-05,6.0468755691545084e-05,8.06648240541108e-05,8.051709301071241e-05,7.112915045581758e-05,4.678991899709217e-05,6.0996397223789245e-05,6.978031888138503e-05,6.255311018321663e-05,6.0139667766634375e-05,6.209830462466925e-05,5.749593037762679e-05,6.858683627797291e-05,5.7648525398690253e-05,6.51759619358927e-05,5.729457552661188e-05,5.482429696712643e-05,6.463370664278045e-05,6.707831198582426e-05,6.143432256067172e-05,5.673552004736848e-05,6.883384776301682e-05,6.823003786848858e-05,7.019940676400438e-05,7.384961645584553e-05,5.3512805607169867e-05,5.6921926443465054e-05,5.95239398535341e-05,7.26258076610975e-05,6.73964386805892e-05,6.242193921934813e-05,6.0520604165503755e-05
300,5.210111339692958e-05,9.375013905810192e-05,0.00010803605255205184,5.6574463087599725e-05,9.99318654066883e-05,9.771495388122275e-05,9.06401255633682e-05,9.155118459602818e-05,8.513100328855217e-05,6.633956945734099e-05,9.397869143867865e-05,6.327998562483117e-05,7.11739412508905e-05,8.477408846374601e-05,7.486167305614799e-05,6.192880391608924e-05,8.162063750205562e-05,8.118780533550307e-05,6.608143303310499e-05,8.079087274381891e-05,6.755421782145277e-05,6.322764966171235e-05,8.012633043108508e-05,5.6138847867259756e-05,5.8679113863036036e-05,7.626694423379377e-05,7.872125570429489e-05,7.792932592565194e-05,7.764788460917771e-05,7.742501475149766e-05,6.473452958744019e-05,6.45056352368556e-05,7.575959898531437e-05,6.043489702278748e-05,5.892849003430456e-05,6.52054077363573e-05,7.520624785684049e-05,7.507498230552301e-05,5.548332410398871e-05,6.376666715368629e-05,7.451888086507097e-05,7.416148582706228e-05,7.174939673859626e-05,7.364604971371591e-05,5.518882971955463e-05,7.337096030823886e-05,7.320632721530274e-05,6.661357474513352e-05,7.309177453862503e-05,7.295325485756621e-05
400,2.9614169761771336e-05,5.553667506319471e-05,6.66732739773579e-05,2.874721758416854e-05,5.8949961385224015e-05,5.7146087783621624e-05,4.737568451673724e-05,5.4713033023290336e-05,4.081911174580455e-05,2.678157943591941e-05,3.568001193343662e-05,3.122582711512223e-05,3.305293284938671e-05,5.442181645776145e-05,3.78848853870295e-05,3.637293411884457e-05,3.048421785933897e-05,3.301734250271693e-05,3.350617043906823e-05,3.251292582717724e-05,3.5291595850139856e-05,3.563350401236676e-05,4.163347330177203e-05,2.9364056899794377e-05,2.9053358957753517e-05,3.9343060052488e-05,3.153326906613074e-05,3.183146327501163e-05,4.8456946387887e-05,3.0999082810012624e-05,3.111504338448867e-05,3.979728353442624e-05,3.812509385170415e-05,3.2305586501024663e-05,3.248359644203447e-05,3.8345882785506546e-05,3.409880446270108e-05,4.1137744119623676e-05,2.9248998544062488e-05,3.5768629459198564e-05,3.7864087062189355e-05,2.9735901989624836e-05,3.214825119357556e-05,3.394378290977329e-05,3.028018181794323e-05,3.880699659930542e-05,2.9417729820124805e-05,3.955331339966506e-05,3.0183404305716977e-05,2.770073842839338e-05
500,2.9046495910733938e-05,4.907077891402878e-05,5.17875851073768e-05,2.7219230105401948e-05,5.4847507271915674e-05,4.468910628929734e-05,4.634786819224246e-05,4.9382208089809865e-05,4.104667095816694e-05,3.6467532481765375e-05,4.446873936103657e-05,2.9811768399667926e-05,3.56683085556142e-05,3.9975784602575004e-05,3.755763827939518e-05,3.464096153038554e-05,3.277870564488694e-05,3.150820339214988e-05,3.13405180349946e-05,3.767288217204623e-05,3.132779966108501e-05,2.9530105166486464e-05,3.8842066715005785e-05,2.381407466600649e-05,2.751410283963196e-05,3.23193016811274e-05,3.407795520615764e-05,3.109285535174422e-05,2.8832444513682276e-05,2.8815155019401573e-05,4.181223994237371e-05,3.1762130674906075e-05,3.7671623431378976e-05,3.198383274138905e-05,3.0565395718440413e-05,3.85696766898036e-05,3.240390287828632e-05,3.1558745831716806e-05,2.8504869987955317e-05,2.960741039714776e-05,3.31175651808735e-05,3.0142107789288275e-05,3.5465811379253864e-05,3.040290357603226e-05,3.282515172031708e-05,3.3919772249646485e-05,3.087680306634866e-05,3.330902836751193e-05,3.6643108614953235e-05,3.113588900305331e-05
600,2.3573555154143833e-05,5.836259515490383e-05,4.8260135372402146e-05,2.6634541427483782e-05,5.0377300794934854e-05,4.8006528231780976e-05,4.6427903725998476e-05,4.7548313887091354e-05,4.5921577111585066e-05,3.103066410403699e-05,3.9096874388633296e-05,2.6797895770869218e-05,3.232790550100617e-05,4.4127147702965885e-05,4.3638883653329685e-05,3.048730104637798e-05,3.9334485336439684e-05,2.8395959816407412e-05,3.3922886359505355e-05,3.282685793237761e-05,3.1268911698134616e-05,2.956118987640366e-05,3.808570181718096e-05,2.4205550289480016e-05,3.0740284273633733e-05,3.474218465271406e-05,3.4316381061216816e-05,3.3655342122074217e-05,2.7041882276535034e-05,3.0137576686684042e-05,3.200471110176295e-05,2.811679405567702e-05,3.3520260330988094e-05,3.545359140844084e-05,2.5973897209041752e-05,3.287002618890256e-05,3.2801228371681646e-05,3.580461998353712e-05,2.642363506311085e-05,3.088217999902554e-05,3.496265344438143e-05,3.407566327950917e-05,3.74941409972962e-05,3.187130278092809e-05,3.296429349575192e-05,3.107507654931396e-05,2.8533815566333942e-05,2.8207405193825252e-05,3.2508054573554546e-05,3.100236062891781e-05
700,2.6374194931122474e-05,5.782574226032011e-05,4.524035830399953e-05,2.7993755793431774e-05,6.468265928560868e-05,6.585344090126455e-05,6.115069845691323e-05,7.125425327103585e-05,5.186874477658421e-05,3.4702334232861176e-05,3.23361273331102e-05,2.792939994833432e-05,3.941190880141221e-05,3.9539769204566255e-05,4.3097970774397254e-05,4.819369496544823e-05,3.237449345760979e-05,3.0868861358612776e-05,3.0137012799968943e-05,3.4079475881299004e-05,3.811082206084393e-05,3.203742016921751e-05,3.885836849804036e-05,3.0154029445839114e-05,2.7189449610887095e-05,3.556938099791296e-05,3.39135222020559e-05,3.521335020195693e-05,2.6459998480277136e-05,3.389117409824394e-05,4.216649540467188e-05,3.472343450994231e-05,3.151435521431267e-05,3.528118759277277e-05,3.0810693715466186e-05,4.543053000816144e-05,3.659809226519428e-05,3.514182026265189e-05,2.8744003429892473e-05,3.327910235384479e-05,4.388560773804784e-05,3.384702358744107e-05,3.0539824365405366e-05,3.370026752236299e-05,3.235915210098028e-05,3.6384535633260384e-05,3.0621173209510744e-05,4.379187157610431e-05,4.182213160675019e-05,3.438553540036082e-05
800,2.7307441996526904e-05,5.120475543662906e-05,4.531214653979987e-05,3.212969022570178e-05,5.047835657023825e-05,4.936026016366668e-05,4.7846566303633153e-05,4.7765694034751505e-05,3.845344326691702e-05,3.378063775016926e-05,4.5265704102348536e-05,3.605426172725856e-05,3.146673407172784e-05,4.278536289348267e-05,3.827489126706496e-05,3.2051026209956035e-05,3.877553535858169e-05,3.1008075893623754e-05,3.4810524084605277e-05,3.2556839869357646e-05,3.395503881620243e-05,2.909404065576382e-05,3.851590008707717e-05,2.6709105441113934e-05,3.27202542393934e-05,3.7505615182453766e-05,3.176864265697077e-05,3.2505766284884885e-05,3.39309626724571e-05,3.160342021146789e-05,3.722185283550061e-05,3.943007322959602e-05,3.48153080267366e-05,3.2446459954371676e-05,2.9280212402227335e-05,3.389818812138401e-05,3.621615542215295e-05,3.246927008149214e-05,2.816084452206269e-05,3.56887248926796e-05,3.631876825238578e-05,2.9542810807470232e-05,3.866551924147643e-05,2.875648897315841e-05,2.6204999812762253e-05,3.8905975088709965e-05,2.743732329690829e-05,3.464025940047577e-05,3.3928929042303935e-05,3.43390966008883e-05
900,2.2911497580935247e-05,4.849278411711566e-05,4.7001118218759075e-05,2.5018644009833224e-05,5.5068052461137995e-05,4.6754652430536225e-05,4.460075797396712e-05,6.005302202538587e-05,4.744253237731755e-05,2.9234879548312165e-05,3.69681729353033e-05,2.6714198611443862e-05,3.378072869963944e-05,3.7590227293549106e-05,4.4203014113008976e-05,3.603625373216346e-05,2.9916565836174414e-05,3.924015982192941e-05,2.8829090297222137e-05,2.9345048460527323e-05,3.3745847758837044e-05,3.262728569097817e-05,3.960193134844303e-05,2.5583502065273933e-05,3.1347870390163735e-05,3.425217073527165e-05,3.0838400562061e-05,3.1852370739215985e-05,3.2998446840792894e-05,2.9272541723912582e-05,3.397389082238078e-05,3.4419430448906496e-05,3.625349927460775e-05,2.9465392799465917e-05,2.8022039259667508e-05,3.112027843599208e-05,3.091619873885065e-05,3.1783260055817664e-05,3.0084182071732357e-05,2.7365060304873623e-05,3.680677036754787e-05,3.016291157109663e-05,3.193374504917301e-05,2.9771494155284017e-05,2.6880548830376938e-05,3.484146509435959e-05,3.248677239753306e-05,3.3342319511575624e-05,3.447035851422697e-05,3.06472102238331e-05
