step,channel_624,channel_606,channel_502,channel_842,channel_831,channel_620,channel_590,channel_291,channel_802,channel_478,channel_190,channel_819,channel_354,channel_322,channel_674,channel_459,channel_314,channel_769,channel_490,channel_691,channel_205,channel_836,channel_605,channel_463,channel_547,channel_91,channel_745,channel_47,channel_579,channel_878,channel_837,channel_555,channel_781,channel_215,channel_416,channel_131,channel_864,channel_791,channel_718,channel_398,channel_227,channel_396,channel_203,channel_150,channel_480,channel_471,channel_669,channel_609,channel_784,channel_699
0,5.233516276348382e-06,8.355032150575425e-06,8.897490261006169e-06,7.0489018071384635e-06,6.9903881012578495e-06,6.1202808865346014e-06,6.82810377838905e-06,1.0201345503446646e-05,1.1447286851762328e-05,5.968465302430559e-06,1.56684109242633e-05,8.740898010728415e-06,1.1406837074900977e-05,1.0569862752163317e-05,8.62896649778122e-06,6.04766137257684e-06,5.716390660381876e-06,8.625587724964134e-06,9.960369425243698e-06,5.989665623928886e-06,1.035690183925908e-05,1.0357668543292675e-05,1.3133282664057333e-05,1.1696002729877364e-05,1.0237905371468514e-05,8.794616405793931e-06,1.2612200407602359e-05,1.0980526894854847e-05,8.314701517520007e-06,1.105017145164311e-05,8.22268339106813e-06,7.4677300290204585e-06,8.368456292373594e-06,6.791841315134661e-06,1.5329143934650347e-05,1.3616651813208591e-05,6.747130100848153e-06,1.6867677913978696e-05,1.3732960724155419e-05,9.47452281252481e-06,1.548200089018792e-05,1.2109749150113203e-05,1.4793086847930681e-05,1.3004873835598119e-05,1.4495782124868128e-05,9.975135071726982e-06,4.288321633794112e-06,9.303705155616626e-06,6.089233011152828e-06,1.2271470041014254e-05
100,2.682116064534057e-05,3.088484663749114e-05,3.1080977350939065e-05,3.381505666766316e-05,3.341395131428726e-05,3.216089680790901e-05,3.522696715663187e-05,3.336331792525016e-05,3.5691446100827307e-05,3.582250792533159e-05,3.155082595185377e-05,3.6543035093927756e-05,3.534226561896503e-05,3.6574510886566713e-05,3.470090450718999e-05,3.6773475585505366e-05,3.526672298903577e-05,3.686620402731933e-05,3.17864069074858e-05,3.5421551729086787e-05,3.425766772124916e-05,3.3670690754661337e-05,3.653908061096445e-05,3.631287472671829e-05,3.3447195164626464e-05,3.391296195331961e-05,3.3253243600483984e-05,3.802942956099287e-05,3.664948235382326e-05,3.8239682908169925e-05,3.0403600248973817e-05,3.240711521357298e-05,3.6959710996598005e-05,3.6762670788448304e-05,3.368520629010163e-05,3.922882387996651e-05,3.427976480452344e-05,3.928725345758721e-05,3.536941949278116e-05,3.6312732845544815e-05,3.959629248129204e-05,3.9604503399459645e-05,3.9630358514841646e-05,3.529677269398235e-05,4.007465759059414e-05,4.02724945161026e-05,2.795875843730755e-05,3.745321009773761e-05,3.542401100276038e-05,4.043300577905029e-05
200,2.9359471227508038e-05,2.92254590021912e-05,3.0466866519418545e-05,3.262203972553834e-05,3.1831041269470006e-05,2.7500649594003335e-05,3.193198426743038e-05,3.341056435601786e-05,3.396689135115594e-05,3.2910356821957976e-05,2.9787601306452416e-05,3.4776214306475595e-05,3.0271852665464394e-05,3.3989697840297595e-05,3.665075564640574e-05,3.407791882636957e-05,3.35577642545104e-05,3.728367664734833e-05,3.757486410904676e-05,3.495295095490292e-05,3.231890877941623e-05,2.3502450858359225e-05,3.774416109081358e-05,3.777955498662777e-05,3.028734317922499e-05,3.242278398829512e-05,3.1311807106249034e-05,3.505575659801252e-05,3.762693449971266e-05,3.237382770748809e-05,2.9067563446005806e-05,3.0077582778176293e-05,3.8471574953291565e-05,3.438651037868112e-05,3.904192635673098e-05,3.4904918720712885e-05,3.7132187571842223e-05,3.781682607950643e-05,2.7401041734265164e-05,3.407369149499573e-05,3.5794972063740715e-05,3.5309523809701204e-05,3.503454354358837e-05,3.13642667606473e-05,3.709522934514098e-05,3.8530819438165054e-05,2.383751780143939e-05,3.539945828379132e-05,3.266028215875849e-05,3.701484820339829e-05
300,2.8598653443623334e-05,3.343914067954756e-05,3.4048101952066645e-05,3.484175249468535e-05,3.485062188701704e-05,3.4958258765982464e-05,3.391852442291565e-05,3.533762355800718e-05,3.4680571843637154e-05,3.4615386539371684e-05,3.584516161936335e-05,3.462290624156594e-05,3.654474494396709e-05,3.569904947653413e-05,3.568593456293456e-05,3.32429917762056e-05,3.711260069394484e-05,3.733258199645206e-05,3.7540281482506543e-05,3.759092578548007e-05,3.761253537959419e-05,3.654794272733852e-05,3.5508764995029196e-05,3.31402407027781e-05,3.779676626436412e-05,3.7887941289227456e-05,3.788726098719053e-05,3.210969953215681e-05,3.818731420324184e-05,3.444122557993978e-05,3.830741479760036e-05,3.834108429145999e-05,3.5194563679397106e-05,3.8529680750798434e-05,3.849341010209173e-05,3.632653533713892e-05,3.925833880202845e-05,3.670633668662049e-05,2.858470907085575e-05,3.949579695472494e-05,3.9503454900113866e-05,3.5561617551138625e-05,3.731284596142359e-05,3.971763726440258e-05,4.0121576603269204e-05,3.660790389403701e-05,3.2245741749648005e-05,4.0327860915567726e-05,4.0368242480326444e-05,3.9427399315172806e-05
400,1.3841558029525913e-05,1.910336322907824e-05,1.7176262190332636e-05,1.8880195057136007e-05,1.986186543945223e-05,1.570771200931631e-05,1.8181772247771733e-05,1.7509275494376197e-05,1.729075302137062e-05,1.8169332179240882e-05,1.7646392734604888e-05,1.9532111764419824e-05,1.5796600564499386e-05,1.8833823560271412e-05,1.9696160961757414e-05,1.6652134945616126e-05,2.0227475033607334e-05,1.9678594981087372e-05,1.775444434315432e-05,1.6787074855528772e-05,2.0519664758467115e-05,1.7652697351877578e-05,2.060891165456269e-05,1.734934630803764e-05,2.025611865974497e-05,1.800921563699376e-05,1.3072725778329186e-05,1.697755214991048e-05,1.8936178094008937e-05,1.758532198437024e-05,1.56610767589882e-05,1.6867508747964166e-05,1.896030516945757e-05,1.5989726307452656e-05,1.803807208489161e-05,2.0739640604006127e-05,1.8990955140907317e-05,1.9383853214094415e-05,1.6025051081669517e-05,1.9364635591045953e-05,2.0630968720070086e-05,2.0739260435220785e-05,1.976586463570129e-05,1.940649417520035e-05,2.2130683646537364e-05,1.7586431567906402e-05,1.51875347000896e-05,1.9827537471428514e-05,1.6894120562938042e-05,2.4889632186386734e-05
500,1.291122316615656e-05,1.5515857739956118e-05,1.6010630133678205e-05,1.6710344425518997e-05,1.6473517462145537e-05,1.5206158423097804e-05,1.895961213449482e-05,1.706941839074716e-05,1.713398341962602e-05,1.6767678971518762e-05,1.625991535547655e-05,1.7725858924677595e-05,1.546748899272643e-05,2.074648546113167e-05,1.886821883090306e-05,1.4679588275612332e-05,1.738938044582028e-05,1.6664163922541775e-05,1.6935140592977405e-05,1.9199869711883366e-05,1.9647464796435088e-05,1.4064389688428491e-05,1.7263695553992875e-05,1.7378082702634856e-05,1.543187681818381e-05,2.0729661628138274e-05,1.5326322682085447e-05,2.063067768176552e-05,1.8835400624084286e-05,1.8752505638985895e-05,1.630778206163086e-05,2.075607881124597e-05,2.0789255358977243e-05,2.0813098672078922e-05,1.8211418137070723e-05,2.295704143762123e-05,1.658067230891902e-05,2.1413856302388012e-05,1.3365853192226496e-05,1.76770245161606e-05,1.846820487116929e-05,2.0961015252396464e-05,2.003056761168409e-05,1.9313762095407583e-05,2.1211710190982558e-05,1.8147218725061975e-05,1.5162699128268287e-05,2.054634751402773e-05,1.9493580111884512e-05,2.1567308067460544e-05
600,1.1196044397365768e-05,1.9638049707282335e-05,1.679251181485597e-05,1.870035703177564e-05,1.7277989172725938e-05,1.697097650321666e-05,1.7740685507305898e-05,1.8497257769922726e-05,1.8068654753733426e-05,1.6761267033871263e-05,1.6069056073320098e-05,1.552990943309851e-05,1.5064697436173446e-05,1.9153334505972452e-05,2.1273257516440935e-05,1.4042211660125758e-05,2.1014287995058112e-05,2.1229801859590225e-05,1.7698243027552962e-05,1.996702303586062e-05,1.581869219080545e-05,1.8158236343879253e-05,1.7358695913571864e-05,1.8181968698627315e-05,2.1214329535723664e-05,1.664703268033918e-05,1.993990554183256e-05,1.7409662177669816e-05,2.0353192667244002e-05,1.6216394215007313e-05,2.0340708942967467e-05,1.8005144738708623e-05,1.8955030100187287e-05,1.8355152860749513e-05,1.8359769455855712e-05,2.1712228772230446e-05,1.923089803312905e-05,1.772635368979536e-05,1.7890091839944944e-05,1.8619857655721717e-05,2.1763613403891213e-05,1.8702272427617572e-05,2.0751565898535773e-05,1.9358269128133543e-05,1.864533987827599e-05,1.7390788343618624e-05,1.9298240658827126e-05,2.14789997698972e-05,1.6727728507248685e-05,2.3094447897165082e-05
700,1.1087474376836326e-05,1.6694080841261894e-05,1.659701047174167e-05,2.1874948288314044e-05,1.761721432558261e-05,1.715228245302569e-05,1.930278267536778e-05,1.6803216567495838e-05,1.703495581750758e-05,1.6808789951028302e-05,1.8964694390888326e-05,1.8213013390777633e-05,1.8047794583253562e-05,1.96176661120262e-05,1.7304641005466692e-05,1.6694670193828642e-05,1.8517293938202783e-05,2.0080951799172908e-05,1.7491813196102157e-05,1.7137395843747072e-05,1.825911022024229e-05,1.5182100469246507e-05,1.8719783838605508e-05,1.8178516256739385e-05,1.535937553853728e-05,1.8807344531523995e-05,1.574199995957315e-05,1.7827629562816583e-05,1.989975498872809e-05,1.889493432827294e-05,1.619782233319711e-05,1.7786587704904377e-05,1.8501566955819726e-05,1.8608001482789405e-05,1.7272181139560416e-05,2.0714098354801536e-05,1.950399746419862e-05,2.1037805709056556e-05,1.5582078049192205e-05,1.9679715478559956e-05,1.8833905414794572e-05,2.0170000425423495e-05,2.7310470613883808e-05,2.275260521855671e-05,2.0220666556269862e-05,2.045539440587163e-05,1.4969113180995919e-05,2.1031473806942813e-05,1.5988531231414527e-05,2.229605888715014e-05
800,1.1238119441259187e-05,1.4562530850525945e-05,1.3631133697344922e-05,1.9041330233449116e-05,1.752034222590737e-05,1.638858338992577e-05,1.6886659068404697e-05,1.7597001715330407e-05,1.6248339306912385e-05,1.8421682398184203e-05,1.4092096535023302e-05,2.1041514628450386e-05,1.4750201444257982e-05,2.2215030185179785e-05,1.836559567891527e-05,1.594898094481323e-05,1.6116111510200426e-05,1.8306205674889497e-05,1.648818579269573e-05,1.979818262043409e-05,1.6419691746705212e-05,1.0497051334823482e-05,1.679825254541356e-05,1.683400660112966e-05,1.650358535698615e-05,1.6920279449550435e-05,1.1703627023962326e-05,1.6649733879603446e-05,2.0084125935682096e-05,1.8978225853061303e-05,1.4864491276966874e-05,1.6394116755691357e-05,1.9930997950723395e-05,1.9023287677555345e-05,2.181405398005154e-05,2.043843960564118e-05,1.8701566659728996e-05,1.9825331037282012e-05,1.48368035297608e-05,1.8240936697111465e-05,2.1178400857024826e-05,2.07994926313404e-05,2.005927308346145e-05,1.6211588445003144e-05,2.0041055904584937e-05,1.7416125047020614e-05,1.1438191904744599e-05,1.9107357729808427e-05,1.5230642929964233e-05,2.0109882825636305e-05
900,1.296995014854474e-05,1.6060426787589677e-05,1.5540806998615153e-05,1.7488573575974442e-05,1.8470636860001832e-05,1.4897503206157126e-05,1.788150802894961e-05,2.0498433514148928e-05,1.8314300177735277e-05,1.6489937479491346e-05,1.58501134137623e-05,1.8090815501636826e-05,1.4995608580647968e-05,1.8858438124880195e-05,1.7603782907826826e-05,1.5557719962089323e-05,1.6756352124502882e-05,1.7127054888987914e-05,1.9631415852927603e-05,1.7135063899331726e-05,1.5963598343660124e-05,1.7700640455586836e-05,1.7902728359331377e-05,1.7810871213441715e-05,1.536771742394194e-05,1.6111633158288896e-05,1.950679325091187e-05,1.719036117719952e-05,1.9233104467275552e-05,1.6970687283901498e-05,1.547331703477539e-05,2.118766315106768e-05,1.872597204055637e-05,1.7670126908342354e-05,1.8221309801447205e-05,2.197808316850569e-05,1.6588441212661564e-05,1.944158793776296e-05,1.4513556379824877e-05,1.7396139810443856e-05,1.7820839275373146e-05,1.8352389815845527e-05,1.7589896742720157e-05,1.868608160293661e-05,1.674506529525388e-05,2.0412126104929484e-05,1.6034766304073855e-05,1.9572105884435587e-05,1.7134305380750448e-05,2.2922864445718005e-05
