step,mean,median,p90,p99,max
0,1.6093886406411328e-05,1.4694418496219441e-05,2.469536048010923e-05,3.606701866374344e-05,6.144723738543689e-05
100,6.555034636335222e-05,6.597689935006201e-05,7.60042094043456e-05,9.993375242629548e-05,0.00015186695964075625
200,6.389811538757126e-05,6.47380184091162e-05,7.371891842922196e-05,9.49916120589478e-05,0.00013977938215248287
300,6.640783192730331e-05,6.675437180092558e-05,7.689430640311912e-05,9.791578195290637e-05,0.00019200664246454835
400,3.4341092803710384e-05,3.484581611701287e-05,4.0193897802964784e-05,4.7845208973740087e-05,7.872957939980552e-05
500,3.4497570067872273e-05,3.479105180304032e-05,4.066518522449769e-05,5.1957707000838113e-05,0.00011404533142922446
600,3.273997703599564e-05,3.2893565730773844e-05,3.8105325074866414e-05,4.732190755021292e-05,7.787528011249378e-05
700,3.2697595025459645e-05,3.277013456681743e-05,3.756814658117946e-05,5.0273856504645655e-05,9.221079380949959e-05
800,3.378965356607263e-05,3.376886343176011e-05,3.987007221439853e-05,5.191494492464694e-05,8.444533887086436e-05
900,3.256047906420788e-05,3.262567042838782e-05,3.798889338213485e-05,4.708623546321177e-05,0.00011003532563336194
1000,3.4378113196810644e-05,3.4643730032257736e-05,3.98515876440797e-05,4.982969894626874e-05,8.283194620162249e-05
1100,3.392057870245578e-05,3.4198290450149216e-05,3.924295197066385e-05,4.8803122081153556e-05,9.354553912999108e-05
1200,3.2701087217138335e-05,3.294287307653576e-05,3.7999321648385376e-05,4.989580720575758e-05,6.81448436807841e-05
1300,3.59197610870459e-05,3.620671668613795e-05,4.2249603211530484e-05,5.224342385190527e-05,8.231995889218524e-05
1400,3.375351952326712e-05,3.417774132685736e-05,3.9038301110849716e-05,4.921190775348804e-05,8.167843043338507e-05
1500,3.357768482459278e-05,3.380573252798058e-05,3.93196678487584e-05,5.021318447688821e-05,8.251417602878064e-05
1600,3.4437642969667846e-05,3.46309370797826e-05,4.0429524233331904e-05,5.118045901326694e-05,7.922631630208343e-05
1700,3.3552806288282356e-05,3.3573673135833815e-05,3.895366899087094e-05,4.976007385266703e-05,8.99949372978881e-05
1800,3.521631030675313e-05,3.5547987863537855e-05,4.04871825594455e-05,5.183688517718107e-05,7.964363612700254e-05
