step,channel_2950,channel_2564,channel_3572,channel_1333,channel_3838,channel_4464,channel_1254,channel_4188,channel_2976,channel_3518,channel_220,channel_4676,channel_2926,channel_1475,channel_2813,channel_4254,channel_1320,channel_715,channel_2756,channel_3414,channel_2144,channel_3612,channel_3239,channel_2267,channel_3552,channel_621,channel_1962,channel_3783,channel_3425,channel_417,channel_1596,channel_4285,channel_2785,channel_1552,channel_3012,channel_588,channel_1841,channel_72,channel_3578,channel_1701,channel_3874,channel_4246,channel_2355,channel_1426,channel_2972,channel_498,channel_2448,channel_168,channel_2587,channel_2757
0,0.000283654808299616,3.329776518512517e-05,2.3796990717528388e-05,1.0163072147406638e-05,5.1094302762066945e-06,6.392304203473032e-05,1.4634918443334755e-05,1.6509193301317282e-05,5.165197580936365e-05,4.2684285290306434e-05,6.540276808664203e-05,7.684187585255131e-05,8.653407348901965e-06,2.421612953185104e-05,1.1562966392375529e-05,9.676115041656885e-06,1.7412170564057305e-05,0.0001957473868969828,2.1422280042315833e-05,2.6120183974853717e-05,0.0001896253670565784,3.6248624383006245e-05,3.1302726711146533e-05,1.9206008801120333e-05,3.9330469007836655e-05,3.011710214195773e-05,1.1829852155642584e-05,2.2981741494731978e-05,4.443371290108189e-05,1.4882786672387738e-05,3.5770153772318736e-05,1.809551213227678e-05,2.067544119199738e-05,5.0760489102685824e-05,1.2986007277504541e-05,8.867191354511306e-06,1.1172125596203841e-05,2.517993198125623e-05,0.00015332087059505284,1.286128372157691e-05,4.167684164713137e-05,1.3235927326604724e-05,4.676134994952008e-05,3.2970350730465725e-05,0.00015031933435238898,1.214258463733131e-05,9.43451959756203e-06,2.6627863917383365e-05,8.105688175419345e-05,0.00014596297114621848
100,8.258927118731663e-05,0.0001283026795135811,0.00026147966855205595,6.1923245084472e-05,1.724976027617231e-05,0.00016827558283694088,7.720277790213004e-05,9.280007361667231e-05,0.00010102480882778764,0.0002385833504376933,0.00017235122504644096,8.955632074503228e-05,3.633034066297114e-05,9.947325452230871e-05,3.8408794353017583e-05,2.947534085251391e-05,7.244904554681852e-05,0.00011758349137380719,1.939584399224259e-05,0.00011804042878793553,9.397638496011496e-05,6.635899626417086e-05,8.652218093629926e-05,9.756111103342846e-05,0.00015917664859443903,0.00017548323376104236,6.982788181630895e-05,7.642989658052102e-05,4.725123289972544e-05,6.162255158415064e-05,0.00016431210679002106,7.165381975937635e-05,8.675151184434071e-05,0.000142872057040222,8.70254953042604e-05,0.00010769243817776442,5.818542922497727e-05,8.26092145871371e-05,1.604114004294388e-05,0.0001529630972072482,0.00015288560825865716,6.604834197787568e-05,0.00013462243077810854,0.00015087494102772325,2.8683913114946336e-05,9.611980931367725e-05,7.94035877333954e-05,0.0001427505339961499,6.678999488940462e-05,8.451135363429785e-05
200,8.279134635813534e-05,8.749697008170187e-05,0.00011940923286601901,6.073988333810121e-05,1.5149520550039597e-05,0.00016613843035884202,0.00024209778348449618,8.382344822166488e-05,0.00017106201266869903,0.000161575066158548,0.00012665442773140967,0.000219678899156861,1.940790025400929e-05,0.0001555808848934248,2.9665385227417573e-05,1.4429395378101617e-05,5.3441792260855436e-05,0.00010071126598631963,2.2717582396580838e-05,8.720058394828811e-05,4.488970444072038e-05,4.703706508735195e-05,0.0001792992406990379,8.042554691201076e-05,8.85505651240237e-05,0.00011156508116982877,5.3409257816383615e-05,6.211647996678948e-05,7.475855090888217e-05,6.184775702422485e-05,8.671151590533555e-05,7.828100206097588e-05,0.00016096771287266165,9.08880538190715e-05,7.625011494383216e-05,0.00011075161455664784,0.00015819816326256841,0.00015481999434996396,1.2956860700796824e-05,2.5353940145578235e-05,6.705260602757335e-05,3.8715752452844754e-05,0.00015106827777344733,0.0001289801293751225,4.083066596649587e-05,6.417336408048868e-05,6.282963295234367e-05,9.929575026035309e-05,0.00014686165377497673,6.57773416605778e-05
300,0.00025112362345680594,0.0001323822798440233,0.00012492686801124364,0.0002549200435169041,8.394260476052295e-06,0.00024958825088106096,0.00013817427679896355,0.00024124811170622706,0.00024087572819553316,0.00011691615509334952,0.00022130044817458838,0.00018194755830336362,2.6417454137117602e-05,0.00021651459974236786,2.6696148779592477e-05,1.2480381883506197e-05,0.00010408756497781724,0.00011272002302575856,1.5774770872667432e-05,0.0001915575412567705,3.820151323452592e-05,0.0001843241334427148,0.00010208346066065133,9.510981180937961e-05,0.00016418317682109773,0.00016983678506221622,6.226156983757392e-05,0.00016901528579182923,0.00016847658844199032,0.0001651519996812567,6.233430758584291e-05,0.0001635303342482075,7.924242527224123e-05,0.00015998873277567327,0.0001591724285390228,0.00015837894170545042,7.298657874343917e-05,9.154478902928531e-05,1.8159966202802025e-05,2.628203947097063e-05,0.0001059741698554717,4.0955339500214905e-05,8.826019620755687e-05,9.319191303802654e-05,2.2548767447005957e-05,7.4679461249616e-05,5.627820792142302e-05,0.00014781039499212056,0.0001054235763149336,7.078921771608293e-05
400,3.102231858065352e-05,6.474580732174218e-05,9.41519028856419e-05,4.35459878644906e-05,5.017451258026995e-06,0.00013615623174700886,3.2128045859280974e-05,4.5698103349423036e-05,8.126234752126038e-05,7.799320883350447e-05,6.463071622420102e-05,0.00010194044443778694,3.136287341476418e-05,7.086469122441486e-05,1.3374690752243623e-05,5.008587322663516e-06,3.2392796128988266e-05,3.9032242057146505e-05,1.7096159353968687e-05,3.5545719583751634e-05,2.3397484255838208e-05,4.137351061217487e-05,0.00010036271851276979,5.885903738089837e-05,8.519937546225265e-05,7.495039608329535e-05,4.571523459162563e-05,3.09681381622795e-05,2.5454517526668496e-05,3.6769924918189645e-05,4.7231682401616126e-05,4.0042581531452015e-05,5.547421460505575e-05,5.220202365308069e-05,2.9409446142381057e-05,4.701294164988212e-05,4.1537059587426484e-05,4.247277684044093e-05,7.173604899435304e-06,1.2010231330350507e-05,4.154959606239572e-05,1.545672603242565e-05,4.959261423209682e-05,6.197523180162534e-05,8.862947652232833e-06,3.334545544930734e-05,3.5032611776841804e-05,7.040359923848882e-05,5.969436460873112e-05,4.044981687911786e-05
500,4.605545836966485e-05,5.543007864616811e-05,0.00011180675210198388,2.7192820198251866e-05,3.814084266196005e-06,7.540683873230591e-05,4.920510036754422e-05,5.440909444587305e-05,0.00010843802010640502,9.361493721371517e-05,5.5578919273102656e-05,4.144790000282228e-05,9.504048648523167e-06,3.450275107752532e-05,6.095526714489097e-06,5.758841780334478e-06,3.8984559068921953e-05,7.581627869512886e-05,5.8802902458410244e-06,3.368866236996837e-05,1.9767287085414864e-05,2.3690425223321654e-05,4.0061269828584045e-05,6.941990432096645e-05,4.926378824166022e-05,5.1494902436388656e-05,3.158355684718117e-05,4.034264202346094e-05,3.576383096515201e-05,3.8438687624875456e-05,5.801446968689561e-05,2.779008718789555e-05,5.8846035244641826e-05,3.9657679735682905e-05,2.1772273612441495e-05,4.3117157474625856e-05,7.294117676792666e-05,3.3747433917596936e-05,7.057393759168917e-06,8.999635610962287e-06,9.756853251019493e-05,1.8560627722763456e-05,4.610446558217518e-05,5.6852411944419146e-05,9.0688445197884e-06,3.5751305404119194e-05,5.3806055802851915e-05,4.873366924584843e-05,3.155605372739956e-05,2.601600681373384e-05
600,3.786428351304494e-05,8.2601880421862e-05,8.077783422777429e-05,2.5830748199950904e-05,1.0626357834553346e-05,8.403576794080436e-05,7.933185406727716e-05,4.4031756260665134e-05,6.495835987152532e-05,5.43755195394624e-05,0.0001719813735689968,8.981936844065785e-05,1.0723517334554344e-05,8.116181561490521e-05,2.1276226107147522e-05,3.967304564866936e-06,4.484087185119279e-05,4.974114926881157e-05,0.00019314142991788685,4.827641896554269e-05,2.910416151280515e-05,4.8562316806055605e-05,3.7801004509674385e-05,4.113303293706849e-05,0.00014023412950336933,0.00011689559323713183,3.446922346483916e-05,4.421053745318204e-05,2.144964673789218e-05,3.9856433431850746e-05,2.6164767405134626e-05,4.194266875856556e-05,5.863809565198608e-05,6.587077223230153e-05,3.0384604542632587e-05,5.5970191169762984e-05,3.467868373263627e-05,3.487433787086047e-05,1.182382220576983e-05,1.2727974535664544e-05,5.0107340939575806e-05,4.9706439313013107e-05,3.569981345208362e-05,4.991736204829067e-05,1.9556340703275055e-05,5.0962356908712536e-05,6.663479143753648e-05,4.816026194021106e-05,4.519609865383245e-05,3.132598430966027e-05
700,7.571496826130897e-05,8.760257333051413e-05,7.663543510716408e-05,3.344309516251087e-05,6.419128567358712e-06,8.845808770274743e-05,7.81382987042889e-05,4.176797665422782e-05,0.00011202815949218348,5.6511617003707215e-05,8.171323133865371e-05,5.9776219131890684e-05,0.0002181743475375697,5.648126170854084e-05,0.00020319684699643403,0.00020037555077578872,3.117043888778426e-05,4.921973231830634e-05,9.77027684712084e-06,4.433637877809815e-05,2.4798971935524605e-05,7.688307232456282e-05,6.11985960858874e-05,4.2481689888518304e-05,6.405134627129883e-05,6.384550215443596e-05,4.335897756391205e-05,3.34846117766574e-05,2.6564515792415477e-05,2.440111893520225e-05,2.6054731279145926e-05,5.909192259423435e-05,5.116037209518254e-05,5.3045485401526093e-05,3.007636587426532e-05,3.093931081821211e-05,3.767771340790205e-05,3.962737901019864e-05,8.366698239115067e-06,3.6304078093962744e-05,3.8583129935432225e-05,3.4523556678323075e-05,5.082686402602121e-05,5.6328648497583345e-05,1.4254948837333359e-05,3.955307329306379e-05,3.1552528525935486e-05,4.917657861369662e-05,4.7735171392560005e-05,3.746980655705556e-05
800,2.7173520720680244e-05,4.2685409425757825e-05,5.895590948057361e-05,3.2299292797688395e-05,3.3360372526658466e-06,0.00013901629426982254,5.266673178994097e-05,4.899413761449978e-05,8.241847535828128e-05,0.00010175459465244785,6.220484647201374e-05,5.4833970352774486e-05,1.7078469682019204e-05,7.453031139448285e-05,1.6697082173777744e-05,1.365812659059884e-05,2.5612671379349194e-05,4.801793329534121e-05,6.003378530294867e-06,6.99908850947395e-05,2.6855055693886243e-05,4.064763561473228e-05,4.173757406533696e-05,8.956198144005612e-05,4.5724635128863156e-05,6.127638334874064e-05,2.4917693735915236e-05,3.0562343454221264e-05,2.4904791644075885e-05,2.0355644664959982e-05,3.2097996154334396e-05,3.8651993236271665e-05,4.002647983725183e-05,4.597547012963332e-05,4.176341099082492e-05,2.9763752536382526e-05,3.407334224903025e-05,5.8796013036044315e-05,1.5112963410501834e-05,1.2225394129927736e-05,2.924416185123846e-05,2.166555896110367e-05,3.872296292684041e-05,5.140079520060681e-05,9.279639925807714e-06,2.1364432541304268e-05,4.0833638195181265e-05,4.9377831601304933e-05,5.3584692068398e-05,2.7455931558506563e-05
900,2.8453410777729005e-05,8.556183456676081e-05,8.57186532812193e-05,5.8458645071368665e-05,5.948394118604483e-06,9.513054101262242e-05,5.8256049669580534e-05,8.530789637006819e-05,5.132693695486523e-05,5.266540392767638e-05,9.952292020898312e-05,9.584471263224259e-05,1.0632460544002242e-05,4.397460725158453e-05,1.4812229892413598e-05,9.002249498735182e-06,3.9515951357316226e-05,6.62612947053276e-05,4.293818619771628e-06,9.058026626007631e-05,2.6696321583585814e-05,2.6867151973419823e-05,6.175316229928285e-05,4.630571129382588e-05,8.28205156722106e-05,7.827451918274164e-05,2.5919969630194828e-05,6.529198435600847e-05,2.9155549782444723e-05,2.9968086892040446e-05,3.143561843899079e-05,3.5590688639786094e-05,6.780350668122992e-05,7.575820200145245e-05,3.2338357414118946e-05,5.044713179813698e-05,5.9855738072656095e-05,4.432294736034237e-05,1.3494419363269117e-05,1.1329269909765571e-05,5.2854022214887664e-05,2.6216230253339745e-05,5.050410618423484e-05,5.679500463884324e-05,9.79541346168844e-06,3.43672109011095e-05,4.355667988420464e-05,5.133098966325633e-05,4.717063711723313e-05,5.0050988647853956e-05
