step,mean,median,p90,p99,max
0,9.624216240236718e-06,7.427551736327587e-06,1.7136797760031185e-05,3.865491478791226e-05,0.00030345487175509334
100,5.0462220903213506e-05,4.397107841214165e-05,8.71560419909656e-05,0.0001603046779928263,0.00046949100214987993
200,4.950645435454847e-05,4.287525916879531e-05,8.896380531950853e-05,0.00016815372975543136,0.00031904553179629147
300,5.066391428128276e-05,4.423946302267723e-05,8.932330747484228e-05,0.0001582497378694824,0.00041816002340056
400,2.559640606132107e-05,2.190915711253183e-05,4.563728143693879e-05,9.242097636160899e-05,0.00032484298571944237
500,2.590106198800606e-05,2.176880843762774e-05,4.6705473141628315e-05,9.664877848990726e-05,0.00025994470342993736
600,2.425651510542643e-05,2.024643254117109e-05,4.436961207829881e-05,8.603098773164675e-05,0.0002638435107655823
700,2.4110535346245105e-05,2.0694043996627443e-05,4.2178654985036696e-05,7.902981982624623e-05,0.00018267129780724645
800,2.5120656122508484e-05,2.175458848796552e-05,4.469020932447165e-05,8.338795625604667e-05,0.00017382788064423949
900,2.4381722750987933e-05,2.0794618649233598e-05,4.462030119611882e-05,8.714462244824963e-05,0.00015803994028829038
1000,2.544324466481983e-05,2.1583253328572027e-05,4.5715138185187236e-05,8.694344134710251e-05,0.0003555466828402132
1100,2.5284276740194773e-05,2.148235398635734e-05,4.582019791996572e-05,8.623038425866976e-05,0.00019897408492397517
1200,2.4264822838874972e-05,2.024272998824017e-05,4.458789517229887e-05,8.960271668911437e-05,0.00020561108249239624
1300,2.720918632373594e-05,2.2723884285369422e-05,4.9471535385237074e-05,9.578711164067495e-05,0.00016822415636852384
1400,2.5146014417060396e-05,2.1211210878391284e-05,4.486843718041199e-05,9.15799343056276e-05,0.0003095934516750276
1500,2.536312250996755e-05,2.1245550669846125e-05,4.615853467839769e-05,9.373450142447836e-05,0.00020689509983640164
1600,2.536040776766525e-05,2.103388760588132e-05,4.689588276960421e-05,9.27030726597877e-05,0.00017912712064571679
1700,2.4514900569982956e-05,2.0692356883955654e-05,4.407470114529132e-05,8.505961945047602e-05,0.00025738953263498843
1800,2.6188100125077907e-05,2.2651594008493703e-05,4.737061135529075e-05,8.511415348039004e-05,0.00020962634880561382
1900,2.5096978537002195e-05,2.0745914298458956e-05,4.639988583221565e-05,8.577537628298152e-05,0.00026453533791936934
2000,2.6288067591289333e-05,2.2228947273106314e-05,4.668789151764939e-05,9.636174741899584e-05,0.00022356024419423193
2100,2.494709516494933e-05,2.0806066459044814e-05,4.727757259388453e-05,9.09899207908893e-05,0.00021312279568519443
2200,2.5837315896933656e-05,2.180195770051796e-05,4.744372454297263e-05,9.089429993764495e-05,0.00030513718957081437
2300,2.506759334438382e-05,2.1264296265144367e-05,4.402311169542372e-05,8.811273510218591e-05,0.00018444079614710063
2400,2.6702530594855856e-05,2.2533695300808176e-05,4.771619824168738e-05,9.233269105607167e-05,0.00022009809617884457
2500,2.5309364245975163e-05,2.1157717128517106e-05,4.709033673861995e-05,8.830693921481721e-05,0.00017107720486819744
2600,2.6009649933658874e-05,2.1760670279036276e-05,4.831896294490434e-05,9.35211782052647e-05,0.00023740797769278288
2700,2.5326610419587176e-05,2.1827541786478832e-05,4.434591101016849e-05,8.798378126812162e-05,0.00043284802814014256
2800,2.3926377753397415e-05,1.9849749151035212e-05,4.442676145117729e-05,9.033922542585043e-05,0.000269479991402477
2900,2.6578952859442718e-05,2.3229226826515514e-05,4.603003399097361e-05,8.970940791186876e-05,0.0002175470581278205
3000,2.531788662120174e-05,2.1320823179848958e-05,4.5981200310052364e-05,9.307708496635297e-05,0.0002244133793283254
3100,2.5323770409395246e-05,2.098534423566889e-05,4.702542282757349e-05,8.869616307492832e-05,0.00020416436018422246
3200,2.606600459022589e-05,2.1941507839073893e-05,4.695038187492173e-05,9.69674727093661e-05,0.00025814189575612545
3300,2.7210085467559664e-05,2.343418509553885e-05,4.853248537983745e-05,9.448535645788068e-05,0.0002025482099270448
3400,2.688570205035633e-05,2.333096563233994e-05,4.7660142081440425e-05,8.654312281578313e-05,0.0001868956460384652
3500,2.4918459972346268e-05,2.118811335094506e-05,4.556085805234033e-05,8.181454461009706e-05,0.0002665356732904911
3600,2.5906661021757316e-05,2.2554819224751554e-05,4.50990250101313e-05,8.151133915816898e-05,0.0002692060370463878
3700,2.661693535439313e-05,2.2307271137833595e-05,4.8979904750012776e-05,9.084915502171496e-05,0.0001793480187188834
3800,2.4992896501801154e-05,2.1217550056462642e-05,4.5357995622907767e-05,8.470539345580613e-05,0.0002475094224791974
3900,2.6012271778668978e-05,2.22730050154496e-05,4.629418726835865e-05,9.136575121374325e-05,0.00018746541172731668
4000,2.5590050435961736e-05,2.1455158275784925e-05,4.679479643527884e-05,9.315283932664896e-05,0.00018881000869441777
4100,2.6444862670011187e-05,2.2446080947702285e-05,4.7596591321052985e-05,9.26387496292591e-05,0.0002636991848703474
4200,2.527251692195277e-05,2.0563679754559416e-05,4.855955085076857e-05,9.030741261085485e-05,0.00018588107195682824
4300,2.4820450862232012e-05,2.046095505647827e-05,4.741402772197034e-05,9.105267170525603e-05,0.00021994346752762794
4400,2.609755276706874e-05,2.127743482560618e-05,4.880192682321648e-05,9.551637413096605e-05,0.0003070555394515395
4500,2.575634824652477e-05,2.1918814127275255e-05,4.6998315519886076e-05,8.870615281921346e-05,0.00018211918359156698
4600,2.5637816357659243e-05,2.178548129450064e-05,4.6640835353173306e-05,9.119390255364123e-05,0.00021244639356154948
4700,2.6564554132740543e-05,2.2391924176190514e-05,4.930792711093091e-05,9.411010309122503e-05,0.0002204875781899318
4800,2.5997358649364417e-05,2.1911315343459137e-05,4.6030647354200476e-05,9.357014656416133e-05,0.0002501950366422534
4900,2.5845616727693255e-05,2.1758062757726293e-05,4.7074743633857e-05,8.985675260191769e-05,0.00017176198889501393
5000,2.473354680060088e-05,2.0548949578369502e-05,4.404334395076147e-05,8.308132208185267e-05,0.00025272031780332327
5100,2.61157181798217e-05,2.1889952222409192e-05,4.871443197771441e-05,9.269128662708665e-05,0.00016512160073034465
5200,2.5325239252454124e-05,2.1741422642662656e-05,4.625212204700801e-05,8.486153550620637e-05,0.0001944736868608743
