step,channel_3551,channel_1126,channel_4518,channel_3447,channel_2063,channel_568,channel_634,channel_3121,channel_2865,channel_2184,channel_1578,channel_2859,channel_3299,channel_2356,channel_3138,channel_4596,channel_4319,channel_3238,channel_2076,channel_4755,channel_2017,channel_3265,channel_1055,channel_3088,channel_4161,channel_597,channel_4745,channel_4242,channel_4257,channel_4532,channel_3979,channel_2431,channel_2132,channel_3631,channel_1991,channel_2889,channel_2381,channel_2490,channel_3287,channel_3905,channel_3947,channel_222,channel_4321,channel_1231,channel_1509,channel_3214,channel_1202,channel_4032,channel_2548,channel_2795
0,1.9372453152755043e-06,4.9419841161579825e-06,3.1303716241382062e-06,1.3244442698123748e-06,1.4861163890600437e-06,1.092168804461835e-05,2.4428197775705485e-06,1.3806145489070332e-06,2.478082478774013e-06,9.880365723802242e-06,2.342314019188052e-06,1.091755052584631e-06,2.0506727196334396e-06,2.40888107327919e-06,1.7746207277014037e-06,2.254396122225444e-06,2.0338356989668682e-06,2.0753507214976707e-06,4.531561899057124e-06,6.596147613890935e-06,2.982117393912631e-06,1.8959103726956528e-06,1.92291281564394e-06,6.394081538019236e-06,2.695492412385647e-06,7.2477737376175355e-06,1.6753347154008225e-06,3.5183984437026083e-06,3.510743908918812e-06,4.7208186515490524e-06,1.958472694241209e-06,2.333574229851365e-06,2.838755108314217e-06,1.743159918987658e-05,2.0441073047550162e-06,4.183837972959736e-06,7.209302111732541e-06,2.816747382894391e-06,2.392785063420888e-06,7.586514129798161e-06,1.3807116374664474e-05,3.916765763278818e-06,4.936711775371805e-06,6.340960226225434e-06,1.8069284124067053e-05,2.3253096514963545e-06,1.0714574273151811e-05,2.74352760243346e-06,2.359093286941061e-06,5.370015514927218e-06
100,9.198018233291805e-06,7.702436050749384e-06,1.1310224181215744e-05,7.1524309532833286e-06,1.2172231436125003e-05,1.1001816346833948e-05,1.1497760169731919e-05,1.2870012142229825e-05,1.1727967830665875e-05,1.0594835657684598e-05,1.0041771020041779e-05,8.521173185727093e-06,1.3855382348992862e-05,1.062082992575597e-05,1.3115142792230472e-05,9.23540756048169e-06,1.4727165762451477e-05,1.037063975672936e-05,1.0350229786126874e-05,1.5332263501477428e-05,1.594697096152231e-05,1.5558387531200424e-05,1.4463767911365721e-05,1.6188345398404635e-05,1.623499338165857e-05,1.0764817488961853e-05,1.090455953089986e-05,9.680384209787007e-06,1.2498174328356981e-05,1.3847069567418657e-05,1.4183965504344087e-05,1.6439376850030385e-05,1.0972003110509831e-05,1.4899385860189795e-05,9.583592145645525e-06,1.3204398783273064e-05,1.4869191545585636e-05,1.6140127627295442e-05,1.293106561206514e-05,1.7760838090907782e-05,1.4515799193759449e-05,1.5617270037182607e-05,1.5596133380313404e-05,1.6247173334704712e-05,1.76451158040436e-05,1.4539876246999484e-05,1.8279328287462704e-05,1.2184759725641925e-05,1.2703172615147196e-05,1.856750350270886e-05
200,9.391472303832415e-06,1.1065826583944727e-05,9.00245868251659e-06,5.367206995288143e-06,9.656072506913915e-06,1.0367562026658561e-05,1.1558247933862731e-05,1.2815870832127985e-05,1.2307195902394596e-05,1.3485701856552623e-05,8.155858267855365e-06,1.2772065929311793e-05,7.44256885809591e-06,8.96723668120103e-06,1.0686922905733809e-05,1.1493689271446783e-05,1.0082771950692404e-05,1.013725977827562e-05,1.5418583643622696e-05,1.3303818377607968e-05,1.3934265552961733e-05,1.597651862539351e-05,1.4934207683836576e-05,1.141551274486119e-05,1.2194343980809208e-05,1.636173328734003e-05,1.0629153621266596e-05,8.744996193854604e-06,8.991623872134369e-06,1.6714959201635793e-05,1.0137175195268355e-05,1.3474545994540676e-05,1.7176815163111314e-05,1.295901347475592e-05,9.21149239729857e-06,1.483918367739534e-05,1.6813917682156898e-05,1.4189266948960721e-05,7.143314633140108e-06,1.6672542187734507e-05,1.0899007065745536e-05,1.3255543308332562e-05,1.7926098735188134e-05,1.5681491277064197e-05,1.5343199265771545e-05,1.4658121472166386e-05,9.73290570982499e-06,1.83149277290795e-05,1.1189174074388575e-05,1.058085763361305e-05
300,1.063211584551027e-05,9.965226126951165e-06,1.0010654477810021e-05,1.0943933375529014e-05,9.609401786292437e-06,1.1935784641536884e-05,9.782677807379514e-06,1.3126927115081344e-05,1.1765492672566324e-05,1.3100251635478344e-05,1.361781596642686e-05,9.087467333301902e-06,1.2557342415675521e-05,9.233828677679412e-06,1.4716171790496446e-05,1.5197259926935658e-05,1.092070851882454e-05,1.4621494301536586e-05,1.5710247680544853e-05,1.4212518181011546e-05,1.37416209327057e-05,1.4083455425861757e-05,1.570204403833486e-05,1.1391278349037748e-05,1.4171784641803242e-05,1.4474701856670436e-05,1.2952084034623113e-05,9.79177639237605e-06,1.658176006458234e-05,1.5399449694086798e-05,1.2141374099883251e-05,1.6962050722213462e-05,1.512016388005577e-05,1.2123338819947094e-05,1.7521519112051465e-05,1.753048309183214e-05,1.7617956473259255e-05,1.4659084627055563e-05,1.775199234543834e-05,1.7501117326901294e-05,1.196415632875869e-05,1.3061601748631801e-05,1.69252889463678e-05,1.7994711015489884e-05,1.2958245861227624e-05,1.4045341231394559e-05,1.2742955732392147e-05,9.866427717497572e-06,1.851466549851466e-05,1.322116622759495e-05
400,6.599231710424647e-06,5.77829541725805e-06,5.5045029512257315e-06,3.6418794024939416e-06,1.079079356713919e-05,1.043110023601912e-05,6.188622137415223e-06,5.130493718752405e-06,7.24100436855224e-06,4.373545834823744e-06,1.3538492567022331e-05,4.0567847463535145e-06,2.995431486851885e-06,5.338400114851538e-06,6.386715995176928e-06,3.991236098954687e-06,4.120088306081016e-06,6.768541879864642e-06,6.266800937737571e-06,9.697007953946013e-06,1.4143734915705863e-05,6.9411707954714075e-06,9.177187166642398e-06,5.145711384102469e-06,5.558725661103381e-06,9.321736797573976e-06,7.419912435580045e-06,4.187386821286054e-06,5.547655291593401e-06,7.74450472817989e-06,6.43111116005457e-06,8.566571523260791e-06,7.832750270608813e-06,8.985918611870147e-06,1.013907603919506e-05,5.504336058947956e-06,7.020822977210628e-06,6.071574262023205e-06,7.1968661359278485e-06,6.753934940206818e-06,4.937459834764013e-06,7.3904029704863206e-06,1.0527280210226309e-05,1.3942250006948598e-05,1.0401830877526663e-05,9.539228813082445e-06,1.0618950000207406e-05,5.475402304000454e-06,5.384840733313467e-06,8.926502232498024e-06
500,8.425578926107846e-06,6.372641109919641e-06,5.2173936637700535e-06,4.378313860797789e-06,3.880493750330061e-06,5.0916146392410155e-06,4.659224032366183e-06,7.783637556713074e-06,7.6199521572561935e-06,7.534516498708399e-06,9.969609891413711e-06,3.3877738587761996e-06,1.3240960470284335e-05,3.7821812384208897e-06,6.612305242015282e-06,3.7212455481494544e-06,4.0266568248625845e-06,5.747666364186443e-06,6.5328367782058194e-06,5.564528692048043e-06,8.087004971457645e-06,6.098853191360831e-06,7.381003797490848e-06,6.000023859087378e-06,1.0399908205727115e-05,1.0329310498491395e-05,7.138680302887224e-06,4.333250672061695e-06,6.914781806699466e-06,8.444711056654342e-06,4.6043478505453095e-06,6.324642981780926e-06,6.697012395306956e-06,9.722135473566595e-06,5.00061742059188e-06,3.4271631648152834e-06,6.4701730480010156e-06,4.493333108257502e-06,5.329376108420547e-06,7.650010957149789e-06,6.003770977258682e-06,7.072226708260132e-06,6.686614142381586e-06,6.326639322651317e-06,5.327371127350489e-06,4.85476948597352e-06,9.775326361705083e-06,8.19536671770038e-06,5.086912096885499e-06,6.37760604149662e-06
600,6.135848707344849e-06,5.43121132068336e-06,4.75219167128671e-06,3.870616183121456e-06,4.756595444632694e-06,5.158694875717629e-06,4.588205229083542e-06,7.081390776875196e-06,6.1864643612352666e-06,7.284899766091257e-06,4.462498964130646e-06,4.149835604039254e-06,4.712594545708271e-06,5.970853180770064e-06,5.372696705308044e-06,5.5931404858711176e-06,5.124819381308043e-06,4.609820280165877e-06,5.723908998334082e-06,6.546849363076035e-06,1.2574636457429733e-05,7.716106665611733e-06,6.720224519085605e-06,9.511440111964475e-06,7.354794433922507e-06,5.940628852840746e-06,6.7178543758927844e-06,3.2092061701405328e-06,7.078930138959549e-06,1.2540248462755699e-05,3.743722572835395e-06,1.2180436897324398e-05,6.717429187119706e-06,9.060581760422792e-06,5.098653218738036e-06,7.008540706010535e-06,5.166218670638045e-06,3.985262537753442e-06,6.739107902831165e-06,6.112695700721815e-06,6.877539362903917e-06,7.422810540447244e-06,7.174242000473896e-06,6.498320999526186e-06,1.5379944670712575e-05,5.647917987516848e-06,4.971464022673899e-06,1.1175460713275243e-05,6.433719590859255e-06,8.633576726424508e-06
700,6.014625341776991e-06,4.607688879332272e-06,3.951276994484942e-06,3.4432578104315326e-06,9.181763743981719e-06,4.1626094571256544e-06,4.322776021581376e-06,8.530282684660051e-06,5.3989429034118075e-06,4.522123617789475e-06,6.4709302023402415e-06,7.045108304737369e-06,1.24420112115331e-05,4.468732186069246e-06,7.398352408927167e-06,1.0264918273605872e-05,7.914892194094136e-06,4.207161055092001e-06,6.8085023485764395e-06,6.143832706584362e-06,5.267052529234206e-06,8.147049811668694e-06,8.738735232327599e-06,5.950027116341516e-06,6.674288670183159e-06,6.0793622651544865e-06,6.995330295467284e-06,6.685838343400974e-06,4.563364200294018e-06,1.2047206837451085e-05,4.0831396290741395e-06,7.369791092060041e-06,1.2995927136216778e-05,7.929490493552294e-06,7.058406026771991e-06,5.983336450299248e-06,6.8962872319389135e-06,3.98514839616837e-06,7.79740912548732e-06,8.163620805134997e-06,9.145069270743988e-06,6.978571491345065e-06,7.127892786229495e-06,1.639960646571126e-05,6.846415999461897e-06,9.974175554816611e-06,5.003258138458477e-06,5.635783054458443e-06,6.981162187003065e-06,7.570900379505474e-06
800,5.133824743097648e-06,3.505446784402011e-06,5.036643415223807e-06,4.2028063944599126e-06,5.046452770329779e-06,4.713449015980586e-06,5.1089255066472106e-06,4.14097439715988e-06,7.824031854397617e-06,8.014017112145666e-06,9.601317287888378e-06,5.564055754803121e-06,3.6962153444619616e-06,4.523842108028475e-06,9.039694305101875e-06,7.1988570198300295e-06,1.543784856039565e-05,6.5300368987664115e-06,1.1418994290579576e-05,8.661672836751677e-06,7.179993644967908e-06,9.756793588167056e-06,8.511092346452642e-06,8.55069447425194e-06,7.674143489566632e-06,6.901260803715559e-06,5.632511602016166e-06,4.464340690901736e-06,5.060810963186668e-06,1.0690916496969294e-05,1.6840680473251268e-05,9.267688255931716e-06,3.99063219447271e-06,1.046508077706676e-05,8.371766853088047e-06,7.700159585510846e-06,9.508221410214901e-06,1.6173800759133883e-05,1.1564673513930757e-05,6.414939434762346e-06,1.714085738058202e-05,1.7819567801780067e-05,1.041666473611258e-05,1.4568950064131059e-05,9.756751751410775e-06,4.8608321776555385e-06,1.086263819161104e-05,9.720033631310798e-06,4.712680947704939e-06,5.218886599323014e-06
900,5.305577815306606e-06,5.060576313553611e-06,4.736233677249402e-06,4.140796590945683e-06,3.2864998047443805e-06,4.432808964338619e-06,5.539623089134693e-06,5.35650451638503e-06,4.977150183549384e-06,4.913279553875327e-06,3.6407452626008308e-06,4.097482360521099e-06,3.4993795452464838e-06,4.131421974307159e-06,1.3504431080946233e-05,5.567007519857725e-06,4.150361291976878e-06,9.554294592817314e-06,9.486376256973017e-06,4.7409048420377076e-06,3.970206762460293e-06,8.20936566015007e-06,6.92997855367139e-06,5.481895186676411e-06,7.33010574549553e-06,1.4520685908792075e-05,8.225115379900672e-06,3.0612898171966663e-06,1.0338831998524256e-05,1.2516571587184444e-05,4.64438699054881e-06,6.4331361500080675e-06,5.5127716223069e-06,7.122549504856579e-06,5.2988621064287145e-06,5.428011718322523e-06,8.387380148633383e-06,5.339553354133386e-06,4.518733476288617e-06,6.790457518945914e-06,4.226035343890544e-06,1.0296330401615705e-05,4.679046469391324e-06,9.114575732382946e-06,1.0400286555523053e-05,4.616168098436901e-06,9.361590855405666e-06,1.0283951269229874e-05,5.7652973737276625e-06,5.149554453964811e-06
