step,channel_813,channel_1337,channel_3580,channel_1363,channel_234,channel_4836,channel_1354,channel_989,channel_1215,channel_3430,channel_531,channel_810,channel_1516,channel_3317,channel_1528,channel_1476,channel_3700,channel_4656,channel_2280,channel_471,channel_1427,channel_4113,channel_4369,channel_239,channel_2896,channel_3160,channel_2827,channel_3376,channel_3696,channel_1572,channel_176,channel_4253,channel_28,channel_907,channel_1214,channel_4053,channel_3455,channel_3123,channel_2132,channel_3066,channel_4001,channel_4815,channel_493,channel_4059,channel_2677,channel_2581,channel_4580,channel_1764,channel_464,channel_3582
0,1.0195378763455665e-06,2.7256523026153445e-05,1.3432696505333297e-05,2.2981330403126776e-05,1.8650625861482695e-05,7.094983629940543e-06,3.1230323656927794e-05,1.6865056750248186e-05,1.6248617612291127e-05,1.840717413870152e-05,5.38628864887869e-06,2.644098458404187e-05,1.1875691598106641e-05,8.737078132980969e-06,6.9787283791811205e-06,1.7183603631565347e-05,2.5873192498693243e-05,1.362466900900472e-05,7.528281003033044e-06,1.2685870387940668e-05,2.869716081477236e-05,1.961334237421397e-05,1.1884014384122565e-05,1.1604116480157245e-05,1.902766052808147e-05,2.4612028937553987e-05,1.3759186913375743e-05,1.7786600437830202e-05,1.2156900083937217e-05,1.9283397705294192e-05,1.6679683540132828e-05,3.34075084538199e-05,1.2490439985413104e-05,9.033619789988734e-06,1.675668499956373e-05,3.1054576538736e-05,3.5902638046536595e-05,9.788316674530506e-06,2.556769504735712e-05,2.433403096802067e-05,1.5725427147117443e-05,2.0174258679617196e-05,1.1802202607213985e-05,1.742745916999411e-05,1.7746586308931e-05,2.3280535970116034e-05,2.1172982087591663e-05,1.572589280840475e-05,3.915183333447203e-05,1.30970483951387e-05
100,7.064179044391494e-06,2.2285252271103673e-05,2.30858386203181e-05,2.808267527143471e-05,3.0753566534258425e-05,2.9197211915743537e-05,3.188023038092069e-05,3.21855659421999e-05,2.7105857952847145e-05,3.2578220270806924e-05,3.2759624446043745e-05,3.035873123735655e-05,3.135063889203593e-05,3.313914203317836e-05,3.517828372423537e-05,3.4868444345192984e-05,3.379362533451058e-05,3.5743873013416305e-05,3.093145278398879e-05,3.581253258744255e-05,3.5816527088172734e-05,3.442727756919339e-05,3.641766306827776e-05,3.631201616371982e-05,2.693348505999893e-05,3.595721136662178e-05,3.728314186446369e-05,3.69888985005673e-05,3.4705037251114845e-05,3.791439303313382e-05,3.8084770494606346e-05,3.3158110454678535e-05,3.7033478292869404e-05,3.838093834929168e-05,3.119306347798556e-05,3.857912452076562e-05,3.5085500712739304e-05,3.862231460516341e-05,3.812258364632726e-05,3.710896271513775e-05,3.870411455864087e-05,3.772299169213511e-05,3.667368582682684e-05,3.8570233300561085e-05,3.6676494346465915e-05,3.863832534989342e-05,3.906946585630067e-05,3.781051782425493e-05,3.721002212841995e-05,3.919105074601248e-05
200,2.116627001669258e-06,2.6433082894072868e-05,2.3777827664162032e-05,2.4095179469441064e-05,2.74854464805685e-05,2.6677567802835256e-05,2.7993832190986723e-05,2.5891666155075654e-05,3.037492570001632e-05,2.397752359684091e-05,2.4867220417945646e-05,3.3154647098854184e-05,2.7167250664206222e-05,2.861786197172478e-05,2.9344653739826754e-05,3.45549633493647e-05,3.571889828890562e-05,3.398982880753465e-05,2.5935887606465258e-05,3.3025626180460677e-05,3.5581608244683594e-05,3.621790892793797e-05,3.4117947507184e-05,3.6953344533685595e-05,2.8292763090576045e-05,3.3911554055521265e-05,3.272260437370278e-05,3.731846663868055e-05,3.7657700886484236e-05,3.6410052416613325e-05,3.4376163966953754e-05,3.151684359181672e-05,3.823204315267503e-05,3.5269833460915834e-05,3.776110679609701e-05,2.0181301806587726e-05,3.5151471820427105e-05,3.186852336511947e-05,3.751127951545641e-05,3.0438861358561553e-05,3.811329952441156e-05,3.661791924969293e-05,3.184650631737895e-05,3.608915358199738e-05,3.775221557589248e-05,3.8135156501084566e-05,3.66460662917234e-05,3.554533759597689e-05,3.5012657463084906e-05,2.8741589630953968e-05
300,2.0449076600925764e-06,2.387273525528144e-05,2.341949220863171e-05,2.9479384465957992e-05,2.7069947464042343e-05,3.135437145829201e-05,3.180449130013585e-05,3.158077015541494e-05,3.257275966461748e-05,2.9258420909172855e-05,2.98141658277018e-05,3.181357533321716e-05,3.439110150793567e-05,3.4808650525519624e-05,2.8842359824921004e-05,3.5712098906515166e-05,3.4993121516890824e-05,3.502287290757522e-05,3.520633981679566e-05,3.338191891089082e-05,3.4407712519168854e-05,3.430817378102802e-05,3.47018321917858e-05,3.3577238355064765e-05,3.265278064645827e-05,3.711732279043645e-05,3.417060725041665e-05,3.338218084536493e-05,3.445724360062741e-05,3.5415461752563715e-05,3.560137702152133e-05,3.640527211246081e-05,3.744548303075135e-05,3.30772963934578e-05,3.8502908864757046e-05,3.394977102288976e-05,3.8598980609094724e-05,3.8312660763040185e-05,3.867262785206549e-05,3.868821295327507e-05,3.7346253520809114e-05,3.5704681067727506e-05,3.8754053093725815e-05,3.4786895412253216e-05,3.827246473520063e-05,3.889904110110365e-05,3.705480048665777e-05,3.687074422487058e-05,3.495510100037791e-05,3.485661727609113e-05
400,3.5838309031532845e-06,1.0690441740734968e-05,1.5251277545758057e-05,1.4032742001290899e-05,1.5484905816265382e-05,1.5134882232814562e-05,1.5189973964879755e-05,1.3888830835639965e-05,1.5314957636292093e-05,2.797777960950043e-05,1.7189562640851364e-05,1.9522569346008822e-05,1.6709198462194763e-05,1.7114805814344436e-05,2.865236092475243e-05,1.5850018826313317e-05,1.7760490663931705e-05,1.759080078045372e-05,1.5348390661529265e-05,1.785076347005088e-05,1.3985581063025165e-05,2.1850381017429754e-05,1.809477726055775e-05,2.518446126487106e-05,1.2860407878179103e-05,1.737276033964008e-05,1.7482661860412918e-05,1.5956977222231217e-05,2.1669053239747882e-05,1.8216569515061565e-05,1.868833896878641e-05,2.7514741304912604e-05,2.627841786306817e-05,1.945528492797166e-05,1.845098267949652e-05,1.2678388884523883e-05,1.602535485289991e-05,2.115599090757314e-05,2.0450266674743034e-05,1.988336407521274e-05,1.5249889656843152e-05,1.96760956896469e-05,1.6238227544818074e-05,1.7849695723270997e-05,1.809441346267704e-05,1.7751193809090182e-05,1.9479137336020358e-05,1.830541623348836e-05,1.6630763639113866e-05,1.502684608567506e-05
500,2.4821276838338235e-06,1.2666091606661212e-05,1.0994664989993908e-05,1.234735464095138e-05,1.6044625226641074e-05,1.3865146684111096e-05,2.0293517081881873e-05,1.256720133824274e-05,1.4809786080149934e-05,2.108093940478284e-05,1.3479515473591164e-05,1.4149799426377285e-05,1.7359028788632713e-05,2.8797961931559257e-05,1.794087074813433e-05,1.5191783859336283e-05,2.676202348084189e-05,1.601919939275831e-05,1.0853206731553655e-05,1.5395535228890367e-05,1.695818173175212e-05,2.1250265490380116e-05,2.225157368229702e-05,1.69639679370448e-05,1.5309491573134437e-05,1.964037073776126e-05,1.7267446310142986e-05,1.3299709280545358e-05,2.5106925022555515e-05,1.6470521586597897e-05,3.159625339321792e-05,1.892580075946171e-05,1.9853372577927075e-05,1.4109772564552259e-05,1.4924200513632968e-05,1.2576620974869002e-05,1.779262674972415e-05,1.801112557586748e-05,1.873235851235222e-05,1.619667818886228e-05,1.6175496057257988e-05,1.5966697901603766e-05,1.5385699953185394e-05,1.8030519640888087e-05,1.850071203080006e-05,1.8919190551969223e-05,1.933047315105796e-05,1.7198226487380452e-05,1.9542187146726064e-05,2.3410477297147736e-05
600,1.280975311601651e-06,1.0740945072029717e-05,1.3241171473055147e-05,1.572187466081232e-05,1.4106678463576827e-05,1.6699979823897593e-05,1.3212658814154565e-05,1.3482514987117611e-05,1.2158359822933562e-05,2.205947384936735e-05,1.6310857972712256e-05,1.83872089110082e-05,2.1422425561468117e-05,1.6019934264477342e-05,2.274318649142515e-05,2.744627454376314e-05,1.5758310837554745e-05,2.0887084247078747e-05,2.3960576072568074e-05,2.2547801563632675e-05,1.646089367568493e-05,2.1955576812615618e-05,3.572613786673173e-05,1.5880803402978927e-05,1.6677908206474967e-05,2.1109301087562926e-05,2.019138446485158e-05,2.2556461772182956e-05,2.4512750314897858e-05,2.2557160264113918e-05,2.4714092432986945e-05,2.4945518816821277e-05,1.534201692265924e-05,1.593470005900599e-05,1.4704351087857503e-05,1.1880525562446564e-05,1.7814645616454072e-05,1.6704709196346812e-05,2.404526821919717e-05,1.8142412955057807e-05,2.4716828193049878e-05,1.71300234796945e-05,2.0913876142003573e-05,1.978014006454032e-05,2.2661279217572883e-05,2.8221327738719992e-05,1.640791197132785e-05,1.840785080275964e-05,1.7179923816001974e-05,1.4805514183535706e-05
700,1.378248839500884e-06,1.109327877202304e-05,1.3139473594492301e-05,1.3830251191393472e-05,2.0474755729082972e-05,1.4472095244855154e-05,1.5355541108874604e-05,1.2705665540124755e-05,2.243060225737281e-05,1.8151557014789432e-05,1.6184611013159156e-05,1.6225769286393188e-05,1.4659828593721613e-05,1.6966903785942122e-05,1.656176391406916e-05,1.854924630606547e-05,2.6689258447731845e-05,1.9231703845434822e-05,1.6294210581691004e-05,2.063119063677732e-05,1.4315392945718486e-05,2.4654262233525515e-05,2.2838579752715304e-05,1.7017680875142105e-05,1.5230075405270327e-05,2.1050142095191404e-05,1.8861825083149597e-05,2.3815893655410036e-05,1.6670792319928296e-05,1.749592956912238e-05,2.294260229973588e-05,1.7430202206014656e-05,1.837059244280681e-05,1.9099519704468548e-05,1.46276061059325e-05,2.0433226382010616e-05,2.2924301447346807e-05,1.8616312445374206e-05,2.3989945475477725e-05,2.028253220487386e-05,1.8947832359117456e-05,2.3371771021629684e-05,2.0742456399602816e-05,2.102366488543339e-05,2.1665109670720994e-05,1.9006985894520767e-05,2.65605776803568e-05,1.9331317162141204e-05,1.9883835193468258e-05,1.6679152395226993e-05
800,2.2806825654697604e-06,1.2777185474988073e-05,1.2445233551261481e-05,1.2404097105900291e-05,1.4693219782202505e-05,1.5536179489572532e-05,2.0318675524322316e-05,1.3895070878788829e-05,1.2593868632393423e-05,1.5219468878058251e-05,1.7774582374840975e-05,1.8478927813703194e-05,1.3915392628405243e-05,1.7485963326180354e-05,2.275659608130809e-05,1.807980879675597e-05,2.0819583369302563e-05,1.609693208592944e-05,1.7976250092033297e-05,2.0646522898459807e-05,1.763523141562473e-05,2.226873220934067e-05,2.135511749656871e-05,2.0104351278860122e-05,1.809852255973965e-05,2.0341329218354076e-05,1.810525282053277e-05,1.740546213113703e-05,1.9632412659120746e-05,1.9433577108429745e-05,1.7498450688435696e-05,1.814664210542105e-05,1.577303009980824e-05,1.5048297427711077e-05,1.5208929653454106e-05,1.1881861610163469e-05,1.907967816805467e-05,1.686353061813861e-05,1.7640481019043364e-05,2.453578963468317e-05,2.0045103156007826e-05,1.645101474423427e-05,1.4477082004304975e-05,2.5778766939765774e-05,2.017311635427177e-05,1.9984692698926665e-05,2.08591536647873e-05,1.748361137288157e-05,2.4750672309892252e-05,1.69625836861087e-05
900,1.067239509211504e-06,1.416173381585395e-05,1.1614976756391115e-05,1.2659041203733068e-05,1.2373387107800227e-05,1.2147882443969138e-05,1.342995892628096e-05,1.303904446103843e-05,1.3259785191621631e-05,1.32359664348769e-05,9.679507456894498e-06,1.6126079572131857e-05,1.4116203601588495e-05,1.4640475455962587e-05,1.465751847717911e-05,2.0805906387977302e-05,1.598481867404189e-05,2.5207737053278834e-05,1.810086723708082e-05,1.655072992434725e-05,1.859694384620525e-05,1.722867636999581e-05,2.9504388294299133e-05,1.6222129488596693e-05,1.2361104381852783e-05,1.7252021280000918e-05,1.8151631593354978e-05,2.527285869291518e-05,1.8337897927267477e-05,1.7193904568557627e-05,1.660607995290775e-05,2.2213085685507394e-05,2.3683414838160388e-05,1.447344220650848e-05,1.5216905012493953e-05,1.6234063878073357e-05,1.4160343198454939e-05,2.387227323197294e-05,2.5340104912174866e-05,1.9579056242946535e-05,1.6430567484349012e-05,2.2253012502915226e-05,1.5103242731129285e-05,1.7004187611746602e-05,2.4177119485102594e-05,1.679824708844535e-05,1.6886298908502795e-05,2.642398430907633e-05,1.5173923202382866e-05,1.8601205738377757e-05
