step,channel_765,channel_186,channel_3367,channel_1031,channel_3361,channel_1815,channel_629,channel_1468,channel_3235,channel_1084,channel_2154,channel_2672,channel_3035,channel_657,channel_4201,channel_1292,channel_529,channel_4705,channel_2387,channel_2973,channel_2588,channel_4573,channel_3008,channel_1161,channel_2966,channel_515,channel_1304,channel_3700,channel_2398,channel_1172,channel_388,channel_4027,channel_3322,channel_3196,channel_2783,channel_4548,channel_4178,channel_2024,channel_696,channel_2508,channel_1749,channel_634,channel_1755,channel_955,channel_2446,channel_2509,channel_334,channel_69,channel_1431,channel_59
0,0.0014072051271796227,0.00015577988233417273,0.00034056854201480746,6.679000216536224e-05,1.739499748509843e-05,0.000118492818728555,4.3525404180400074e-05,0.00024311243032570928,5.601178781944327e-05,0.00011072860797867179,0.0001835898292483762,0.00014494836796075106,3.321852636872791e-05,3.5592402127804235e-05,0.0001855000591604039,0.00010900269262492657,3.901603849953972e-05,2.5891506084008142e-05,3.92738074879162e-05,2.7738424250856042e-05,1.3786401723336894e-05,9.377495189255569e-06,3.838422708213329e-05,3.11014118778985e-05,3.18727434205357e-05,2.0358755136840045e-05,3.915568959200755e-05,1.8043147065327503e-05,1.1936829650949221e-05,6.253369065234438e-05,7.308147178264335e-05,2.4452339857816696e-05,1.579213494551368e-05,0.0002244754577986896,7.82999450166244e-06,3.6662371712736785e-05,2.0380874047987163e-05,4.993289985577576e-05,1.9634868294815533e-05,5.798076745122671e-05,3.6168428778182715e-05,7.325343176489696e-06,0.0001050643331836909,1.3244470210338477e-05,4.3188872950850055e-05,7.429027391481213e-06,8.38721462059766e-05,3.899089642800391e-05,1.2862644325650763e-05,6.012850280967541e-05
100,0.0013445693766698241,0.0003579729236662388,0.00040139007614925504,0.00039198060403577983,9.698565554572269e-05,0.00021765979181509465,0.00021718650532420725,0.0002081670827465132,0.0002630603266879916,0.00031837381538935006,0.00030473124934360385,0.0001236308744410053,4.3670170271070674e-05,0.00026053146575577557,0.0002230884274467826,0.00020021075033582747,0.0002674614079296589,0.0002711304696276784,0.00027056067483499646,0.00014672068937215954,9.706590208224952e-05,6.925719208084047e-05,0.00012778803647961468,0.00019906276429537684,0.00024169018433894962,6.941930041648448e-05,0.0001790254027582705,0.00023907837748993188,0.00023812642029952258,7.13790868758224e-05,0.000105766870547086,0.00015847118629608303,4.9158585170516744e-05,0.0001759823935572058,7.530477887485176e-05,0.00016514226444996893,0.0002109952038154006,0.0002104954473907128,0.0002010157477343455,0.00015666965919081122,0.0001503136445535347,6.50199071969837e-05,0.00016132112068589777,0.00010961098450934514,0.0001242706348421052,0.0001965460105566308,0.00012505167978815734,7.52698615542613e-05,7.111924060154706e-05,0.00016268290346488357
200,0.0016042483039200306,0.00032140742405317724,0.00039163773180916905,0.00021058162383269519,6.107823719503358e-05,0.00026136849191971123,0.0003633979649748653,0.000253949809120968,9.7931049822364e-05,0.00020692957332357764,0.00024293144815601408,0.00030261429492384195,6.254480103962123e-05,0.00029601497226394713,0.000291256612399593,0.0002466544683557004,0.0002326535468455404,0.00019491443526931107,0.00019702850840985775,0.00015900596918072551,9.785501606529579e-05,0.00025893052225001156,0.00016470732225570828,0.00016606351709924638,0.00024860529811121523,0.00024845116422511637,0.00015820520638953894,0.0001779292506398633,0.0001365904463455081,7.37583395675756e-05,0.00023134768707677722,8.159630669979379e-05,0.00022461508342530578,0.0001523965474916622,5.5549309763591737e-05,0.0001468645641580224,8.416693162871525e-05,8.88559952727519e-05,0.00014598789857700467,0.00018954345432575792,0.00020049282466061413,3.853891757898964e-05,0.00019824059563688934,6.258209032239392e-05,0.0001866702368715778,6.206500984262675e-05,0.00014717171143274754,9.569188841851428e-05,0.00019033630087506026,0.00018921992159448564
300,0.0017919010715559125,0.0006324230344034731,0.00037014155532233417,0.00022149128199089319,0.00012738500663544983,0.0002697851159609854,0.0002304914960404858,0.00027279776986688375,0.00032756218570284545,0.00011775559687521309,0.00020391469297464937,0.00018282115343026817,5.5891159718157724e-05,0.0002110318309860304,0.00022645814169663936,0.0002261322078993544,0.00024207985552493483,0.00018333607295062393,0.00016400481399614364,0.0001931809092639014,0.00010205649596173316,5.671551116392948e-05,0.0002520823327358812,0.0001885793753899634,0.0001995797938434407,0.00012289926235098392,0.00015757096116431057,0.0001446713722543791,0.00015630530833732337,0.00023560597037430853,0.0001047826954163611,0.00014595013635698706,6.185294478200376e-05,0.00012792674533557147,0.00022415343846660107,0.0001383854541927576,7.114006439223886e-05,0.0001060597860487178,0.00012248505663592368,0.00018108681251760572,0.00014914780331309885,7.244446169352159e-05,0.00015665114915464073,0.00019783846801146865,0.00019768279162235558,6.923942419234663e-05,0.00016981695080175996,0.00019121535297017545,6.459815631387755e-05,0.00011059908865718171
400,0.0010434674331918359,0.00014708173694089055,0.00022332787921186537,0.00016452479758299887,0.0003830292553175241,9.82157071121037e-05,0.0001486058026785031,0.00015560348401777446,3.6201879993313923e-05,6.611644494114444e-05,0.0001035059176501818,7.510156137868762e-05,0.00029916013590991497,0.00014888685836922377,0.0001400418987032026,0.0001457784528611228,0.00014269414532463998,0.0001290977088501677,6.229167047422379e-05,0.00026958700618706644,3.5330001992406324e-05,3.630055653047748e-05,6.563586066477001e-05,0.00011182816524524242,0.00012241648801136762,4.4687039917334914e-05,0.00012476769916247576,7.906545215519145e-05,0.00010651499906089157,5.809485446661711e-05,4.9092672270489857e-05,2.22411490540253e-05,3.089494566665962e-05,5.474587305798195e-05,1.6490777852595784e-05,8.205720951082185e-05,6.048940485925414e-05,5.139787754160352e-05,0.00011215520498808473,7.025929517112672e-05,0.00015364684804808348,1.730795884213876e-05,0.00012876439723186195,8.13798833405599e-05,4.403096318128519e-05,5.9711495850933716e-05,0.0001060163340298459,4.4445976527640596e-05,2.1738245777669363e-05,5.952020364929922e-05
500,0.0013491640565916896,0.00046933270641602576,0.0003126747615169734,0.0001867024548118934,5.536299795494415e-05,0.0001378818415105343,0.0001651662605581805,0.00017344974912703037,5.629551378660835e-05,6.985857180552557e-05,0.00020434804901015013,0.00017314341675955802,2.476256668160204e-05,0.00014843388635199517,0.0002334337041247636,0.00010905172530328855,0.0002506149176042527,0.00021201520576141775,8.383800741285086e-05,0.0001057595363818109,5.502458589035086e-05,4.640584302251227e-05,6.933230179129168e-05,0.00011887810978805646,0.00016885508375708014,4.627661473932676e-05,0.00013673010107595474,0.00017054789350368083,6.164433580124751e-05,7.494712917832658e-05,0.00010932842269539833,8.690422691870481e-05,3.82901489501819e-05,6.54201430734247e-05,2.137349292752333e-05,0.00013522905646823347,4.9392616347176954e-05,3.9623868360649794e-05,7.544652180513367e-05,9.094225242733955e-05,6.491733074653894e-05,2.8538919650600292e-05,8.614925900474191e-05,3.775513687287457e-05,5.197683276492171e-05,4.5150423829909414e-05,0.00011167327465955168,4.4086518755648285e-05,2.7110079827252775e-05,9.023692109622061e-05
600,0.0005778782651759684,0.00010233964712824672,0.00025239004753530025,0.00012368297029752284,4.452824214240536e-05,0.00012230497668497264,0.00012199451884953305,0.00011776952305808663,8.833420724840835e-05,5.508208050741814e-05,0.0001078530476661399,0.00010943231609417126,2.0543333448586054e-05,0.00011874364281538874,9.880520519800484e-05,9.411921200808138e-05,0.0001383843191433698,0.0001151034448412247,7.57104207878001e-05,0.0001047869081958197,7.94509396655485e-05,2.7871381462318823e-05,8.052670455072075e-05,0.00011590987560339272,0.00010936225589830428,9.670896542957053e-05,0.00010261512215947732,7.129793812055141e-05,6.161264900583774e-05,6.44392566755414e-05,6.099002348491922e-05,0.0001794215349946171,3.5842018405674025e-05,4.2815816414076835e-05,3.0214850994525477e-05,7.02271208865568e-05,6.829393532825634e-05,6.026803748682141e-05,7.215138612082228e-05,8.590653305873275e-05,7.012124842731282e-05,2.743684672168456e-05,8.238282316597179e-05,2.960384517791681e-05,6.306573777692392e-05,3.0566705390810966e-05,0.00011369190906407312,4.0094608266372234e-05,1.8581809854367748e-05,0.000134635396534577
700,0.000497339409776032,0.00014796634786762297,0.0001784745545592159,0.00013197689258959144,2.2336020265356638e-05,0.00012113148113712668,0.00011673280823742971,9.416733519174159e-05,3.640482100308873e-05,0.00013334676623344421,0.0001733641402097419,7.953277963679284e-05,1.612937376194168e-05,0.0001513122842879966,0.0001009341940516606,0.00012106434587622061,0.00018151625408791006,0.00012118349695811048,8.979086123872548e-05,0.00011277182784397155,4.6103450586088e-05,2.353463241888676e-05,6.38639903627336e-05,0.0001132710967794992,0.00012854744272772223,9.098219743464142e-05,0.00011610249930527061,0.00011667006037896499,9.869928180705756e-05,3.485975321382284e-05,6.382691208273172e-05,8.91534273250727e-06,3.0090022846707143e-05,7.42006377549842e-05,5.0209015171276405e-05,0.00010440856567583978,7.183776324382052e-05,8.19962442619726e-05,0.00010137647041119635,0.00012037941633025184,7.0014844823163e-05,2.5152246962534264e-05,7.178297528298572e-05,3.655062027974054e-05,6.1000049754511565e-05,2.0838991986238398e-05,6.558220775332302e-05,3.0999057344160974e-05,2.6260902814101428e-05,6.280906382016838e-05
800,0.0007162773399613798,0.00020744420180562884,0.00020893701002933085,0.00012490923108998686,3.807922257692553e-05,0.00016125391994137317,0.00010093764285556972,0.00016044652147684246,7.876143354224041e-05,6.0441070672823116e-05,0.00010682659922167659,6.200515781529248e-05,1.966660056496039e-05,8.15324965515174e-05,0.00011297887249384075,0.0001383568742312491,0.00010033454600488767,7.974532491061836e-05,6.396677781594917e-05,0.0001016931637423113,0.00011727527453331277,3.356892921146937e-05,5.7496439694659784e-05,9.817886893870309e-05,0.00012682087253779173,0.00010022188507718965,8.32982113934122e-05,6.461396696977317e-05,9.865519677987322e-05,3.164345980621874e-05,4.5840130042051896e-05,1.240800520463381e-05,2.544591188780032e-05,5.964126467006281e-05,4.51177402283065e-05,9.86688828561455e-05,4.690703281085007e-05,4.3844858737429604e-05,9.916152339428663e-05,7.578422810183838e-05,0.0001108595315599814,5.765984678873792e-05,7.597757212352008e-05,0.00010985547851305455,4.8704583605285734e-05,3.2225438189925626e-05,8.215980051318184e-05,5.3260162530932575e-05,5.1840779633494094e-05,0.00011540723062353209
900,0.0009504861664026976,0.00029385744710452855,0.00036092608934268355,0.0001302066375501454,5.6882559874793515e-05,0.000365107087418437,0.0001814185525290668,0.00012002495350316167,6.560254405485466e-05,6.168163963593543e-05,0.00019545866234693676,6.838135595899075e-05,2.492161002010107e-05,0.00018941957387141883,0.00025971964350901544,0.0002361367951380089,0.0002200543531216681,0.00014541027485392988,8.024432463571429e-05,0.0001264173333765939,7.622458360856399e-05,7.005454244790599e-05,9.573876013746485e-05,0.00012442399747669697,0.0001608281017979607,5.37683954462409e-05,0.00017342789215035737,0.00011939695104956627,9.002901060739532e-05,7.21156902727671e-05,0.00011473400081740692,2.3588330805068836e-05,3.0055773095227778e-05,4.249275298207067e-05,2.116500945703592e-05,7.646207086509094e-05,7.396923319902271e-05,4.113006798434071e-05,0.00011795534373959526,0.00010012558050220832,0.00013719779963139445,1.90077207662398e-05,0.00011435470514697954,8.895444625522941e-05,3.7934325519017875e-05,4.351715324446559e-05,6.868102354928851e-05,5.2118040912318975e-05,4.832857666769996e-05,7.454241858795285e-05
