step,mean,median,p90,p99,max
0,1.3945733450470535e-05,1.0764417311293073e-05,2.3356828023679554e-05,5.9431288209452676e-05,0.00041804934153333306
100,5.74877064481128e-05,5.012548353988677e-05,8.702405903022735e-05,0.00017258016043342648,0.00036476386594586074
200,5.824346530982744e-05,5.110283200338017e-05,8.800754003459587e-05,0.00017623268387978892,0.0003477702266536653
300,5.8059342294607054e-05,5.0688071496551856e-05,8.633669203845784e-05,0.00017791575839510185,0.0005923397839069366
400,3.0082417318990756e-05,2.6278446057403926e-05,4.627354210242629e-05,8.855439256876704e-05,0.0003693979524541646
500,3.0865922019267755e-05,2.633698022691533e-05,4.85044529341394e-05,9.867575834505247e-05,0.0002944126317743212
600,2.8925379531024848e-05,2.482917989254929e-05,4.368503832665738e-05,9.370700681756701e-05,0.00021912304509896785
700,2.8551095344597182e-05,2.498758567526238e-05,4.363080952316522e-05,8.375344681553533e-05,0.00018118122534360737
800,2.8139561940003427e-05,2.4155523533408996e-05,4.407164669828489e-05,8.60422922414727e-05,0.00022047308448236436
900,2.9193595321094047e-05,2.511036018404411e-05,4.5529162161983546e-05,9.142178161710034e-05,0.0002817807253450155
1000,3.064349603258614e-05,2.6484271984372754e-05,4.7112349420785884e-05,9.545622982841441e-05,0.00023967942979652435
1100,3.0321011542106273e-05,2.620557734189788e-05,4.681708269345108e-05,9.5232632374973e-05,0.00021331346943043172
1200,2.9061795163312204e-05,2.4980688067444135e-05,4.521737209870479e-05,8.970337716164066e-05,0.0001964222319656983
1300,3.1073356359381944e-05,2.6752504709293135e-05,4.8136225450434717e-05,9.469548582273996e-05,0.00018047586490865797
1400,2.968784498039898e-05,2.5842092327366117e-05,4.507237790676299e-05,9.087499987799671e-05,0.0001795533753465861
1500,2.9709522918720592e-05,2.54177375609288e-05,4.6802809447399337e-05,9.127473902481142e-05,0.00029803611687384546
1600,3.0024191267548423e-05,2.5821585950325243e-05,4.6540817493223585e-05,9.327504427346859e-05,0.00024211769050452858
1700,2.9310386710939813e-05,2.5289825316576753e-05,4.4570049067260693e-05,9.637621347792447e-05,0.00017572792421560735
1800,3.004104178833999e-05,2.5873783670249395e-05,4.6484401173074724e-05,9.630749053030736e-05,0.000241594243561849
1900,3.102696919439558e-05,2.6877761229116004e-05,4.771949134010356e-05,9.489741263678296e-05,0.00019984749087598175
2000,3.112439820839834e-05,2.6651323423720896e-05,4.811158032680395e-05,0.00010035123385023323,0.00019378976139705628
2100,2.9917601998488258e-05,2.5970143724407535e-05,4.6968191600171846e-05,8.862352042342509e-05,0.00022251215705182403
2200,3.139852709986787e-05,2.751292777247727e-05,4.7894574163365174e-05,9.803417466173404e-05,0.000281708751572296
2300,2.9728096399064963e-05,2.5621336135372985e-05,4.6221166849136324e-05,9.530336290481494e-05,0.00025950733106583357
2400,3.1520228628909454e-05,2.728239087446127e-05,4.799624075531027e-05,9.957101421605322e-05,0.0002501335693523288
2500,3.083823994546495e-05,2.663541272340808e-05,4.764167060784528e-05,9.504511588602324e-05,0.0002370337606407702
2600,3.1462767347141616e-05,2.770692572084954e-05,4.756378475576639e-05,9.028776301420288e-05,0.0002645998902153224
2700,3.133617048988706e-05,2.6951381187245715e-05,4.8325805983040476e-05,0.00010231253203528464,0.00026150522171519697
2800,3.0167826664645165e-05,2.6040160264528822e-05,4.634124234144109e-05,9.66138269723159e-05,0.00033346537384204566
2900,3.0334768410873225e-05,2.6807311769516673e-05,4.637010242731776e-05,8.98420245357556e-05,0.00016145680274348706
3000,3.1997774115105336e-05,2.7415698241384234e-05,5.024147503718266e-05,0.00010799090501677703,0.0003029129293281585
3100,3.214415328241895e-05,2.7642337045108434e-05,5.0041610302287146e-05,0.00010388444403361055,0.0002564227324910462
3200,3.025138081107726e-05,2.6238186364935245e-05,4.674765586969442e-05,9.059386655280826e-05,0.00022241812257561833
3300,3.193504930328124e-05,2.7638578103506006e-05,4.9414436216466125e-05,9.713899184134781e-05,0.00021464083692990243
3400,3.185856790428949e-05,2.7695053177012596e-05,4.870055963692721e-05,9.39553776697721e-05,0.00022512122814077884
3500,3.113836731497157e-05,2.7121037419419736e-05,4.7564977649017224e-05,9.463670008699397e-05,0.0003204323584213853
3600,3.0033499845877625e-05,2.598484297777759e-05,4.527611381490714e-05,9.177932282909746e-05,0.0002485911245457828
3700,3.166317193550433e-05,2.744477660598932e-05,4.8896163207245984e-05,9.789575575268824e-05,0.00020326637604739517
3800,3.136169879450348e-05,2.7130536182085052e-05,4.808710582437924e-05,9.706925033242437e-05,0.00024486452457495034
3900,3.05407126972462e-05,2.6576057280180976e-05,4.6754111826885486e-05,9.510804688034113e-05,0.0002231461985502392
4000,3.0799379518074344e-05,2.6673104002838954e-05,4.793052721652202e-05,9.417448127351224e-05,0.00024550597299821675
4100,3.2669971871556704e-05,2.83416275124182e-05,5.030213469581212e-05,9.915492599247952e-05,0.00025446200743317604
4200,3.118847883271395e-05,2.7068753297498915e-05,4.737978015327826e-05,9.813816883251995e-05,0.0002524689771234989
4300,3.084345745320075e-05,2.661122925928794e-05,4.85372253024252e-05,9.69324273319216e-05,0.00023677646822761744
4400,3.191682941938723e-05,2.7244263037573546e-05,4.8897211308940306e-05,0.00010347146315325503,0.000211842663702555
4500,3.212424851396559e-05,2.7667388167174067e-05,4.984766565030441e-05,9.938466762832817e-05,0.0002680475008673966
4600,3.1727023354066154e-05,2.7189455977350008e-05,4.953694879077375e-05,0.00010493009547644744,0.0003528282104525715
4700,3.319103121394338e-05,2.8458434826461598e-05,5.1824799811583944e-05,0.00011069570900872342,0.00022562689264304936
4800,3.134048736011676e-05,2.7495429094415158e-05,4.770503692270722e-05,9.700082606286716e-05,0.0002103696169797331
4900,3.2496367650499503e-05,2.8356300390441902e-05,4.9650941582513036e-05,0.00010400228886282992,0.0002646314969751984
5000,3.1078508929962676e-05,2.7398250495025422e-05,4.706080180767457e-05,9.457242747885174e-05,0.00022035375877749175
5100,3.2010737567265015e-05,2.7768815016315784e-05,4.878107756667304e-05,9.681635936431111e-05,0.00021180840849410743
5200,3.085393091221309e-05,2.648468580446206e-05,4.8104687812156045e-05,9.666638681665062e-05,0.0002958201803267002
