step,mean,median,p90,p99,max
0,2.2013088860311264e-05,1.4582705262000673e-05,4.4946331399842165e-05,0.00013565473273047216,0.00021503379684872925
100,6.794271642921299e-05,5.976208922220394e-05,0.00010434242722112685,0.00021710636719944842,0.0004197502858005464
200,6.73346927970085e-05,5.9576374042080715e-05,0.0001036844369082246,0.0002179778603021985,0.0004246611497364938
300,6.685708335599625e-05,5.856996540387627e-05,0.000103995105746435,0.00021878191037103515,0.00040292571065947413
400,3.6166952725125157e-05,3.182937507517636e-05,5.399945439421572e-05,0.00010857892848434852,0.00021967472275719047
500,3.437634127883322e-05,3.0069608328631148e-05,5.627013524645008e-05,0.00011734649633581279,0.00022049940889701247
600,3.411592509345545e-05,3.040198043890996e-05,5.19018794875592e-05,0.00011138836234749752,0.00018094037659466267
700,3.599793927528643e-05,3.1559160561300814e-05,5.607758248515893e-05,0.00011703360396495535,0.00018538133008405566
800,3.428252476567195e-05,2.990875145769678e-05,5.239789425104391e-05,0.00011090443440480142,0.00020042156393174082
900,3.3015150466196375e-05,2.915953427873319e-05,5.079876791569404e-05,0.00010792305001814382,0.0001810419635148719
1000,3.4835121414492475e-05,3.056650166399777e-05,5.3416306400322355e-05,0.0001155427846242673,0.0002003510744543746
1100,3.495066083100288e-05,3.0352807698363904e-05,5.466505353979301e-05,0.00011293090974504573,0.00020168579067103565
1200,3.407273730208057e-05,3.0324845283757895e-05,5.3443320211954415e-05,0.00010961975749523832,0.00017081639089155942
1300,3.516707568910046e-05,3.017618746525841e-05,5.550440801016521e-05,0.000112820650974754,0.00019942931248806417
1400,3.688098707702433e-05,3.24205648212228e-05,5.5198997870320454e-05,0.00011592094415391319,0.00021049956558272243
1500,3.4955317707791824e-05,3.06762958643958e-05,5.439064261736348e-05,0.00011242759937886146,0.00019704728038050234
1600,3.44929009636579e-05,3.0433698157139588e-05,5.350101855583489e-05,0.00010880703521252122,0.00019136957416776568
1700,3.3092729761311345e-05,2.860051426978316e-05,5.1563754823291674e-05,0.00011808067247329739,0.00018734396144282073
1800,3.563723949996854e-05,3.1035870051709935e-05,5.498306745721493e-05,0.00011594454008445603,0.00021187675883993506
1900,3.420189432493511e-05,2.968365060951328e-05,5.347813385014888e-05,0.00011332437097735216,0.00022085617820266634
2000,3.874563021253964e-05,3.3937039916054346e-05,5.951427920081187e-05,0.0001260441407794133,0.00018640884081833065
2100,3.519011154042216e-05,3.046567871933803e-05,5.5861248256405815e-05,0.0001191253184515517,0.00020451795717235655
2200,3.7133143089412055e-05,3.2426483812741935e-05,5.875653187104035e-05,0.00011905026076419726,0.00021850978373549879
2300,3.441424658794696e-05,2.9593848012154922e-05,5.248847810435109e-05,0.00011639868607744567,0.00022498832549899817
2400,3.645653831187344e-05,3.170414311171044e-05,5.633465480059385e-05,0.00011561064929992401,0.0002140803844667971
2500,3.509966399966353e-05,3.083285628235899e-05,5.449972741189413e-05,0.00011553828881005746,0.00018941141024697572
2600,3.63336821322946e-05,3.224244755983818e-05,5.612260247289669e-05,0.00012152466006227751,0.00021300974185578525
2700,3.807515187353212e-05,3.212346746295225e-05,5.852543290529866e-05,0.00013470852354657812,0.00025291103520430624
2800,3.680213079653478e-05,3.217026278434787e-05,5.785920257039834e-05,0.00012469190842239185,0.00022937530593480915
2900,3.667984641505687e-05,3.155270860588644e-05,5.7055816796491854e-05,0.00012434148738975633,0.00021799979731440544
