step,channel_481,channel_450,channel_466,channel_467,channel_488,channel_480,channel_487,channel_468,channel_449,channel_494,channel_483,channel_484,channel_451,channel_458,channel_492,channel_448,channel_495,channel_501,channel_486,channel_452,channel_471,channel_482,channel_461,channel_453,channel_500,channel_465,channel_473,channel_576,channel_470,channel_577,channel_454,channel_485,channel_503,channel_459,channel_579,channel_489,channel_472,channel_491,channel_506,channel_608,channel_609,channel_502,channel_457,channel_507,channel_456,channel_463,channel_610,channel_612,channel_455,channel_611
0,6.626555970612458e-10,1.4798515746150542e-09,1.5462185976033993e-09,3.6695269045594614e-09,2.2640480601410218e-09,7.717050332090025e-10,1.6488596044084147e-09,3.504740941906448e-09,1.2767455981332887e-09,2.3643131896733394e-09,1.0668845806804939e-09,1.5367914718567022e-09,1.6910345346232702e-09,4.15198408987294e-09,2.5065816089409054e-09,8.369727133583638e-10,2.633589124556579e-09,4.4468975168854286e-09,3.245145485664125e-09,2.1173527375850654e-09,3.956984961916987e-09,1.2004501837026282e-09,2.222830586262603e-09,2.288909506376058e-09,4.68789806973291e-09,2.808810739551859e-09,1.1052759596452688e-08,9.915520848835513e-08,4.0120178290692365e-09,7.487653164162111e-08,1.7017788289663827e-09,1.8726549200209774e-09,5.798991953298582e-09,2.8248294814403607e-09,1.2415326011705474e-07,3.7615683901037755e-09,5.067089858812324e-09,2.7974536020991536e-09,9.403167133825718e-09,6.405323205171953e-08,4.472614278938636e-08,8.42175928994493e-09,2.28681451552859e-09,9.04229047193894e-09,3.852333119169771e-09,2.005568155993842e-09,7.615587804821189e-08,1.1826907098111406e-07,2.040853042117874e-09,7.03642299981766e-08
100,2.5878815534952082e-08,7.364834431200507e-08,7.311798100317901e-08,1.4036633899650042e-07,7.301662208192283e-08,6.345570113808208e-08,1.4932179226434528e-07,9.31138828264011e-08,3.637593337657563e-08,9.469037109965939e-08,3.5988691138300055e-08,4.72753178826224e-08,3.545416049632877e-08,1.6526546176010015e-07,3.206949727996289e-08,1.9449082344635826e-08,1.005851970603544e-07,1.2153404327364115e-07,4.839708367398998e-08,7.057505513330398e-08,1.884979496935557e-07,5.9431560117673143e-08,6.764187077124006e-08,8.997218259310102e-08,9.721636473614126e-08,9.04285712977071e-08,2.4401126097473025e-07,7.97948700892448e-07,1.2294889017994137e-07,1.0936022363239317e-06,4.418452803633954e-08,8.053191891121969e-08,2.77954796956692e-07,7.24122841688768e-08,8.546986691726488e-07,8.860158828838394e-08,2.570330934759113e-07,1.2961197626282228e-07,3.6672170722340525e-07,1.5007880165285314e-06,1.5218893167912029e-06,2.3673320015404897e-07,8.198642120760269e-08,2.961546385904512e-07,7.228170773032616e-08,8.665034556543105e-08,1.354526830255054e-06,1.884798621176742e-06,6.507229244334667e-08,1.1454560535639757e-06
200,7.0576513522269124e-09,1.3509825258495312e-08,1.2818555994442704e-08,4.902254957528385e-08,2.3720339470401086e-08,9.876889528470656e-09,3.319600239137799e-08,1.5891689741920345e-08,6.301574817513256e-09,2.2281465561491132e-08,9.175851189979767e-09,1.1292681456609444e-08,8.695704600825138e-09,6.895563586795106e-08,1.660070481079856e-08,9.14939413121374e-09,5.076967468653493e-08,7.215459874032604e-08,1.2850404296216311e-08,1.4823687166654054e-08,1.4395301661807025e-07,1.0097215508153567e-08,2.7686771986168424e-08,1.4569853767909535e-08,2.947724198065771e-08,2.3282938244051365e-08,2.2695626000768243e-07,3.2403326599705906e-07,8.153061514803994e-08,3.542429851677298e-07,2.5051035024148405e-08,3.417707361563771e-08,5.911412159775864e-08,4.4722415992737297e-08,7.033978590698098e-07,2.8221343484347017e-08,5.310864636953738e-08,6.203064373266898e-08,8.714505383977666e-08,4.069100043579965e-07,3.822434848643752e-07,1.304423733472504e-07,2.4823769706472376e-08,1.0785414872316323e-07,4.874246073427457e-08,1.5045520385115196e-08,5.340814936971583e-07,1.1199433629371924e-06,3.227647482617613e-08,6.003592716297135e-07
300,1.1887464346216348e-08,2.236502538721652e-08,2.3323105224903884e-08,2.9266127299365507e-08,3.5220981686734376e-08,2.1743552736097627e-08,1.7355629822191077e-08,5.668035285566475e-08,2.3963711015539957e-08,3.1942530398509916e-08,2.0723859961435664e-08,2.6966633370761883e-08,1.6272043268372727e-08,4.42728520511082e-08,2.295902312710041e-08,8.82068995622376e-09,3.592114339312502e-08,3.721031305303768e-08,1.755488732158028e-08,2.1552454043671787e-08,6.704486565922707e-08,1.446087516399075e-08,2.9258279354849037e-08,2.3068594146025134e-08,7.171217220047765e-08,3.725132913245943e-08,1.241996727685546e-07,1.0468978643984883e-06,4.126675534621427e-08,7.765427199046826e-07,4.1107945492058207e-08,2.3588604847191164e-08,9.53299235106897e-08,2.2042145886302933e-08,1.2398052149364958e-06,4.1300410202893545e-08,1.1009073830337002e-07,6.332226121230633e-08,1.2788299841304251e-07,8.739389159018174e-07,1.0527572840146604e-06,5.0814200847071334e-08,4.629703198588686e-08,1.430909861710461e-07,3.2179805486975965e-08,1.576369257350052e-08,1.1997203728242312e-06,1.310914512941963e-06,4.018121302351574e-08,8.79768322192831e-07
400,5.9626859005845745e-09,6.8333458891345344e-09,8.19666112761297e-09,2.3884661359829806e-08,8.00378696652615e-09,3.156026773254439e-09,1.0379949344496708e-08,1.8583097727287168e-08,5.889585708018785e-09,2.7125654611381833e-08,6.382546935412847e-09,7.257031864327246e-09,4.825065680336138e-09,1.0517072546178952e-08,1.812424521574485e-08,3.8282039760417774e-09,1.4111869894861684e-08,3.6502484590528184e-08,1.4400619363641454e-08,7.603063068017946e-09,2.4520188546262034e-08,6.134598162788052e-09,9.985567928083583e-09,9.933732947331464e-09,2.129215914692395e-08,1.8606716167823834e-08,5.509903999723065e-08,3.644691446424986e-07,2.4110883956041107e-08,3.808737290000863e-07,9.147655966046386e-09,1.2584449926578145e-08,5.8180621209658057e-08,1.0714491516239377e-08,4.896069754067867e-07,1.0732407851321568e-08,2.9855865335548515e-08,3.308845109017966e-08,5.80887444812106e-08,5.505126523530635e-07,2.875146378755744e-07,3.0183091581648114e-08,2.8217444381084533e-08,8.870456724707765e-08,2.917220243148222e-08,7.59084617385497e-09,4.405801234952378e-07,9.703838941277354e-07,1.5397883856849148e-08,1.0738868922999245e-06
500,7.464604934170893e-09,7.498034193531566e-09,9.530978672955825e-08,9.63193258485262e-08,6.322517975831943e-08,6.097622851086726e-09,4.870259573408475e-08,5.079860798673508e-08,2.0433281733289732e-09,9.062065231546512e-08,7.465601470357797e-09,7.88729792589038e-09,4.717312318547329e-09,1.2481559785726404e-08,5.6348007149154e-08,5.769519528797673e-09,1.2010518446459173e-07,7.323234996192696e-08,8.266960449532235e-09,3.172805307372073e-08,3.6444038897798237e-08,4.945203357920036e-09,2.8098220639094507e-08,1.3753781225034345e-08,1.337101735998658e-07,6.703166377519665e-08,7.935978629802776e-08,1.6576427697145846e-07,8.889865910077788e-08,3.99911584736401e-07,1.3899954076634913e-08,1.080239098172342e-08,5.823596538334641e-08,4.584435231436146e-08,4.5163491790845e-07,3.9209325564115716e-08,1.972407304151602e-08,9.258071287376879e-08,2.2688207934606908e-07,6.682595312668127e-07,7.405145652228384e-07,1.990026845533066e-07,9.312825710594552e-08,4.315995383308291e-08,3.492979772090621e-08,5.561385130192775e-09,5.075803528598044e-07,4.456744306935434e-07,1.5468451408651163e-08,3.703973163737828e-07
600,7.210897212672762e-09,1.206466482273072e-08,6.317890210993937e-09,3.75493343085509e-08,1.763269530385969e-08,1.056804865839922e-08,1.6717605078042652e-08,6.454188650195647e-08,6.666675655964127e-09,3.011254889884185e-08,1.4380019841553349e-08,1.631476820307398e-08,6.938432495218194e-09,2.3713710106676444e-08,2.136712673461716e-08,7.62813812116292e-09,2.1361341140391232e-08,3.771357981463552e-08,2.0635738451346697e-08,3.0166326325797854e-08,5.0687429364870695e-08,1.5306639511436515e-08,1.087371348518218e-08,2.2070315353062142e-08,4.812842391288541e-08,3.5779383011913524e-08,6.455633183577447e-08,2.8615050950975274e-07,2.6077303871829827e-08,2.7696731308424205e-07,1.590148102081912e-08,1.3767565754108091e-08,4.257474373048353e-08,1.4477457455086551e-08,2.591980035049346e-07,2.2402032229251745e-08,4.269666575851261e-08,3.574172779963192e-08,1.7799298746012937e-07,2.7077845743406215e-07,3.2166062169380893e-07,3.631572909057468e-08,2.325433889893702e-08,5.4639460955741015e-08,4.403791820095648e-08,1.689251050152052e-08,5.292355353958555e-07,7.786171067891701e-07,1.7272784091915128e-08,3.9767346038388496e-07
700,8.095326187174123e-09,4.946920650894526e-09,8.697244702204898e-09,4.688338250957713e-08,3.3032218738071606e-08,7.475596142114682e-09,2.4539964726955077e-08,1.8992848183074784e-08,4.256850871797724e-09,2.0294830704870037e-08,1.1188961757113702e-08,7.706354665515391e-09,7.121149447897324e-09,7.942028368290721e-09,2.860888947964213e-08,5.8566551608407735e-09,2.929647457960982e-08,3.3246482900040064e-08,1.4717508989292583e-08,1.115804604268078e-08,3.237134293954114e-08,1.0018294638314273e-08,9.193191097267572e-09,1.0459901389481274e-08,2.6537302133533558e-08,4.017990917759562e-08,1.5281912624232064e-07,5.133679223945364e-07,2.4351026084445948e-08,3.260030325691332e-07,1.8618935726522068e-08,2.3618362376964797e-08,2.463106518746372e-08,8.024180431220884e-09,4.271443287962029e-07,7.47234540909858e-09,1.1445141723243069e-07,3.429700257129298e-08,5.769200583927159e-08,2.7137326696902164e-07,3.500366005937394e-07,5.537468794614142e-08,4.904235950675684e-08,5.072296360708606e-08,2.224319928245677e-08,1.9880355139889616e-08,7.474955054931343e-07,5.400285090217949e-07,9.284547353161088e-09,4.3985264142065716e-07
800,1.700171381457949e-08,9.272948631178224e-09,3.633974188232969e-08,3.82857017200422e-08,2.0057763450154198e-08,6.2285963053909654e-09,7.39453742681917e-09,2.4895133066138442e-08,1.994861165144357e-08,2.7478490594035065e-08,1.6896379406716733e-08,5.883361353653527e-09,1.8325780004602166e-08,1.0339090472655244e-08,2.920572939046906e-08,5.341673769976296e-09,2.3666711257419593e-08,7.095633236531285e-08,1.410068684037924e-08,8.019418018534452e-09,2.0290384483701018e-08,6.667900009915684e-09,2.2989572912024414e-08,8.735074885635186e-09,6.776726024781965e-08,6.481749892373045e-08,8.72502923243701e-08,4.0307054405275267e-07,1.2678109229113943e-08,3.0407872486648557e-07,3.0764347513922985e-08,9.889470575785708e-09,2.3092610490493826e-08,2.055715597748531e-08,3.10005191295204e-07,7.526558043480236e-09,1.8787414290954985e-08,5.1898258135452124e-08,3.207998133802903e-08,2.5414973947590624e-07,3.0774629067309434e-07,1.5498953587211872e-07,1.7071236868559936e-08,8.940194362594411e-08,4.3703341390255446e-08,2.874714333245265e-08,6.248353088267322e-07,5.569953600570443e-07,6.8232846039961714e-09,4.548105323465279e-07
900,2.9426190373271766e-09,6.102284455522522e-09,7.292602965947026e-09,2.245112895593593e-08,7.579781247102346e-09,3.0168345599435042e-09,1.1781732922599986e-08,2.01537808663943e-08,3.454273533876062e-09,1.203907196156706e-08,5.427490901155352e-09,6.2246714449543106e-09,6.197475865832303e-09,6.13270900728935e-09,1.4929430136589872e-08,4.814234344507895e-09,1.105453328875683e-08,1.7856306655517074e-08,8.54254444959679e-09,5.627486920900537e-09,3.1833153002480685e-08,3.1279239198767073e-09,7.332459528441859e-09,1.084915801641273e-08,1.9836914333382083e-08,2.3834642703945974e-08,4.696012823046658e-08,2.555226217282325e-07,2.0978744075250688e-08,2.411722448414366e-07,6.1420157848601775e-09,5.8503584199343095e-09,1.450521480705902e-08,5.928694868373441e-09,4.355756857421511e-07,8.451687349975145e-09,3.437110152049172e-08,1.9282749619264905e-08,6.781908012953863e-08,4.922823109154706e-07,2.660054008174484e-07,3.592219144366027e-08,1.2370868773814436e-08,5.4763091839049594e-08,1.4589115693297572e-08,1.1830437962601081e-08,5.213610165810678e-07,6.986578000578447e-07,1.482985911849255e-08,3.3758095696612145e-07
