step,channel_27,channel_8,channel_31,channel_14,channel_58,channel_61,channel_26,channel_33,channel_6,channel_53,channel_51,channel_9,channel_17,channel_30,channel_55,channel_35,channel_4,channel_0,channel_34,channel_21,channel_29,channel_39,channel_38,channel_1,channel_56,channel_12,channel_28,channel_2,channel_54,channel_40,channel_42,channel_71,channel_43,channel_74,channel_94,channel_7,channel_19,channel_52,channel_44,channel_77,channel_59,channel_97,channel_5,channel_122,channel_89,channel_96,channel_81,channel_69,channel_48,channel_101
0,0.00015273118333425373,7.592199835926294e-05,1.9854460333590396e-05,0.00016000145114958286,0.00012875856191385537,0.0002046715235337615,0.00010859547910513356,0.00016276146925520152,0.0002767985570244491,6.787824531784281e-05,0.000286062277154997,0.0003240729565732181,0.00034618654171936214,0.00031002183095552027,7.349023508140817e-05,0.00038424739614129066,0.00038553649210371077,5.415935811470263e-05,0.00011593841918511316,0.00011801568325608969,0.00012672874436248094,0.00016837744624353945,4.029006231576204e-05,0.00040723750134930015,8.187027560779825e-05,0.00012115604477003217,0.0004251491336617619,0.00012304825941100717,6.805785960750654e-05,0.00012720728409476578,0.00010065994138130918,0.00014441771782003343,0.00045039074029773474,0.0001636540691833943,0.0002107288019033149,0.00026649891515262425,0.0004714568785857409,7.551134331151843e-05,0.00048631595564074814,8.722353959456086e-05,0.0001901316427392885,9.619767661206424e-05,0.0004934321623295546,0.00033284115488640964,0.00019243689894210547,0.00020366003445815295,0.00012111735122743994,0.000170606974279508,0.00014948684838600457,0.000162955722771585
100,0.00015781709225848317,0.00020060724637005478,0.00027075709658674896,0.00026660654111765325,0.00013896716700401157,0.00020646768098231405,0.0001821762853069231,0.00032346430816687644,0.0002976847463287413,0.00013044648221693933,0.00013757709530182183,0.00020982776186428964,0.00024538958678022027,0.0001792065886547789,0.00017985989688895643,0.0002735923044383526,0.0002169079816667363,0.0003663699026219547,0.0003676825144793838,0.0003806392487604171,0.00039707982796244323,0.00016477562894579023,0.00040627626003697515,0.00026560440892353654,0.00040948521927930415,0.0002544366579968482,0.0001930612197611481,0.0002540897694416344,0.00018647927208803594,0.0004357836442068219,0.0003471089876256883,0.00021860255219507962,0.0003518034645821899,0.0002630666131153703,0.0002755368477664888,0.0004703112645074725,0.0003852870431728661,0.00036246783565729856,0.00031835123081691563,0.00024997361470013857,0.0002823697286657989,0.00029783285572193563,0.00031107061658985913,0.0002192345418734476,0.0004715205868706107,0.000435593887232244,0.0002176758280256763,0.0002666458603926003,0.00039498592377640307,0.00027802656404674053
200,0.0001707641640678048,0.00024409402976743877,0.00021966054919175804,0.00028670954634435475,0.00027107083587907255,0.00013729790225625038,0.00012851129577029496,0.00026163828442804515,0.000263507041381672,0.0001219141049659811,0.00022048315440770239,0.0001806058280635625,0.00025492566055618227,0.00021339283557608724,0.00031391537049785256,0.0002376136981183663,0.00024344235134776682,0.0002612533571664244,0.00024468940682709217,0.00019063033687416464,0.00016345683252438903,0.0003998403553850949,0.0003132179845124483,0.0001846734230639413,0.00014884282427374274,0.00018541257304605097,0.0003790325135923922,0.00018786823784466833,0.00023680925369262695,0.00017042894614860415,0.0002621820895001292,0.000387614214560017,0.0001822156336857006,0.00032137363450601697,0.00012443962623365223,0.00020102514827158302,0.0003315490030217916,0.0004745913902297616,0.00048616627464070916,0.00032814001315273345,0.00028777754050679505,0.000409032596508041,0.00041498636710457504,0.00019404635531827807,0.0002905137953348458,0.00021478018607012928,0.0003657563356682658,0.00021399062825366855,0.00019204666023142636,0.00023645488545298576
300,0.00013014844444114715,0.00014891270257066935,0.00012275368499103934,9.732275793794543e-05,0.0002920326078310609,0.0001369791862089187,0.00021184171782806516,0.000222021306399256,0.0003104115603491664,0.0002581578155513853,0.00023234878608491272,0.00025613317848183215,0.0002615721896290779,0.00014879553054925054,0.00024015121744014323,0.0001497630582889542,0.00033848953898996115,0.00014974348596297204,0.00015963199257384986,0.00023278067237697542,0.00018685661780182272,0.00017615745309740305,0.0002245362411485985,0.0002037766098510474,0.00027873105136677623,0.00042163245962001383,0.0001815726573113352,0.00042485157609917223,0.00031774441595189273,0.0003714479098562151,0.0002360789367230609,0.00017955913790501654,0.00023336458252742887,0.0003139608015771955,0.0002748266560956836,0.00024530707742087543,0.0002664111671037972,0.0002466041187290102,0.00019224845163989812,0.00020915550703648478,0.00045332181616686285,0.0001775809796527028,0.00017892984033096582,0.00029156444361433387,0.000281337444903329,0.00020283674530219287,0.00024282011145260185,0.0003531202382873744,0.000462838273961097,0.00014270219253376126
400,0.0001274912356166169,0.000139439434860833,9.320664685219526e-05,7.688945333939046e-05,6.597265019081533e-05,0.00010678691614884883,0.00010245889279758558,0.00011037809599656612,0.00020249512454029173,0.00022468814859166741,0.00018304205150343478,0.00011960296251345426,0.00010367180948378518,7.830716640455648e-05,0.00016030564438551664,0.00025096669560298324,0.0001112366298912093,0.00018906094192061573,0.00015215488383546472,0.00013422872871160507,0.00019497043103910983,0.00014680845197290182,0.0001616862282389775,0.00021390835172496736,0.00010660764382919297,0.00014652863319497555,9.907946514431387e-05,0.00012759033415932208,0.0002680945035535842,0.00010934335296042264,0.00010605472198221833,0.0001980755478143692,0.00017719692550599575,0.000250793294981122,0.00015847367467358708,8.782408258412033e-05,0.00012839814007747918,0.0001374512503389269,0.00031302269781008363,0.00010773442772915587,9.193552250508219e-05,0.00023485193378292024,0.00028681897674687207,0.0004508064885158092,0.00037520393379963934,0.00023134637740440667,0.0001270597567781806,0.00013165951531846076,0.00015107340004760772,0.00017491434118710458
500,0.00018320372328162193,0.00015728002472314984,8.177920244634151e-05,0.00011018267105100676,0.00015289273869711906,7.29393505025655e-05,0.00015607013483531773,0.00018772610928863287,0.00023188989143818617,0.00010438629396958277,7.538272620877251e-05,0.00021964791812933981,0.00018536532297730446,0.00011326530511723831,0.0001081628943211399,0.000334198004566133,9.475972183281556e-05,6.519526505144313e-05,9.438488632440567e-05,0.00039471013587899506,0.00011891320900758728,0.0002787125704344362,0.0002857717627193779,0.00017477334768045694,0.00011963478027610108,9.719945228425786e-05,0.0001077325432561338,9.781473636394367e-05,0.0003469670773483813,0.00014345304225571454,0.00043680492672137916,9.817886893870309e-05,0.0002112191286869347,0.00011970596824539825,0.00030014480580575764,0.00013338217104319483,6.116428266977891e-05,0.00011601783626247197,8.753735892241821e-05,0.00012262709788046777,0.00022446490766014904,0.00013720763672608882,0.00022437081497628242,9.147500531980768e-05,0.00021639677288476378,0.0001612509076949209,0.0001531495072413236,8.487224840791896e-05,0.00010810293315444142,0.00020407202828209847
600,0.00015498192806262523,0.00022730245837010443,6.837088585598394e-05,0.00012974672426935285,7.963788812048733e-05,7.637697126483545e-05,0.00018075962725561112,0.00023274256091099232,0.00010078039485961199,0.00012211101420689374,0.00013499590568244457,0.00021867299801670015,0.0001615010987734422,0.00024379626847803593,6.945370842004195e-05,0.0003390940255485475,0.00014115597878117114,0.00018940999871119857,0.00012381210399325937,0.00010930005373666063,7.736974657746032e-05,0.00015607857494615018,8.064966095844284e-05,0.00011361036013113335,9.505677735432982e-05,7.362203177763149e-05,0.00018964370246976614,0.00013343847240321338,0.00017248958465643227,9.514977864455432e-05,0.00012465909821912646,0.00014356737665366381,0.0003627192054409534,0.00026041746605187654,0.00020056204812135547,0.00021190523693803698,0.00015116801660042256,0.00014449938316829503,0.00012615862942766398,0.0003462462918832898,0.00013467036478687078,0.00028763391310349107,0.0001276148686883971,0.00012667632836382836,0.00016132993914652616,0.0003400241839699447,0.0003436759579926729,0.00013560205115936697,0.00020855895127169788,0.00014426374400500208
700,0.00013507381663657725,9.730744932312518e-05,0.00016635164502076805,8.879603410605341e-05,0.00025898730382323265,0.00020166774629615247,0.00014927050506230444,0.00013559877697844058,0.00032453061430715024,0.00010285135795129463,0.00015404666191898286,8.494533540215343e-05,0.0001619443210074678,0.00016256613889709115,0.00021019224368501455,0.0002946406602859497,0.00019174712360836565,0.00015432247892022133,0.00030072295339778066,0.00016798153228592128,0.0001400016772095114,0.00013688647595699877,0.00010910360288107768,0.00015467542107217014,9.349063475383446e-05,7.29570965631865e-05,8.775288006290793e-05,9.001857688417658e-05,6.812129868194461e-05,0.00011985732999164611,0.00030154615524224937,0.00028584300889633596,0.0001234375813510269,0.0002417118666926399,0.00012568608508445323,0.00011159024870721623,7.903607911430299e-05,9.537265577819198e-05,0.0004057572514284402,0.0002497177920304239,0.00027915797545574605,0.00040434580296278,0.00015782701666466892,0.00014814278983976692,9.627605322748423e-05,0.00034129642881453037,0.00047333011752925813,0.00014199157885741442,0.00017454700719099492,0.00045977041008882225
800,0.0002501278941053897,0.0001561758981551975,0.00011039994569728151,0.0001478827907703817,0.00030811980832368135,5.700969632016495e-05,0.00012625048111658543,0.0001340852031717077,0.00020148177281953394,9.437036351300776e-05,8.565012103645131e-05,9.88833635346964e-05,0.00019032145792152733,8.919132960727438e-05,0.00037764740409329534,0.00012180473277112469,0.0002760817005764693,0.00010849656973732635,7.366813224507496e-05,0.0001861840282799676,0.00011322945647407323,0.00022300818818621337,0.0001654216175666079,0.0001400223554810509,0.00013484946975950152,0.00030630972469225526,8.862980757839978e-05,0.00022795631957706064,0.00010092993034049869,0.00013911288988310844,0.00024148958618752658,0.00037096667801961303,9.093429252970964e-05,0.00016622789553366601,0.00025856931461021304,9.273217438021675e-05,0.00012087169307051226,0.00015429309860337526,0.0002499741967767477,0.0002737887261901051,0.00013874837895855308,0.00020489495364017785,9.873727685771883e-05,0.00024239683989435434,0.0001760336454026401,0.0001190688562928699,0.0002490913902875036,0.00019012272241525352,0.00022521369101013988,0.00011160055873915553
900,0.00012128230446251109,0.00010001935152104124,7.942978845676407e-05,0.0002988794294651598,0.00018805173749569803,7.550587906735018e-05,9.376045636599883e-05,0.0002029729657806456,0.00011618579446803778,0.00022437852749135345,0.0001380861212965101,9.20384845812805e-05,0.00013646570732817054,0.00011590029316721484,6.3774008594919e-05,0.00010526048572501168,9.027921623783186e-05,0.00016154658806044608,8.616608829470351e-05,9.314784983871505e-05,0.00010210959590040147,7.988845754880458e-05,0.0002380678924964741,0.00014568808546755463,6.523922638734803e-05,9.37416116357781e-05,0.00015886747860349715,0.0001666351017775014,0.0002092314971378073,8.021516987355426e-05,0.0001502071099821478,0.00019794257241301239,0.00010123375250259414,0.00010788800136651844,0.00017520118854008615,7.85302763688378e-05,0.0001880700292531401,0.00025115819880738854,0.00020832188602071255,0.00017723551718518138,0.00010697715333662927,0.00017222893075086176,0.0001938675850396976,0.00011988741607638076,0.0004714422393590212,0.00017621630104258657,0.00011271457333350554,0.00031474718707613647,0.00023412062728311867,0.00026779549079947174
