step,channel_78,channel_14,channel_11,channel_114,channel_2,channel_13,channel_22,channel_84,channel_109,channel_21,channel_48,channel_18,channel_23,channel_111,channel_63,channel_0,channel_56,channel_1,channel_59,channel_108,channel_120,channel_50,channel_82,channel_27,channel_7,channel_88,channel_66,channel_41,channel_104,channel_86,channel_60,channel_40,channel_103,channel_19,channel_16,channel_79,channel_127,channel_87,channel_102,channel_92,channel_55,channel_24,channel_64,channel_90,channel_20,channel_97,channel_46,channel_30,channel_74,channel_37
0,2.2456848455476575e-05,2.207460602221545e-05,3.138870306429453e-05,4.70112354378216e-05,5.500239785760641e-05,2.4750333977863193e-05,3.6529600038193166e-05,2.2505295419250615e-05,5.1726397941820323e-05,2.6245772460242733e-05,2.4656528694322333e-05,8.887791409506463e-06,4.447757237358019e-05,9.506960850558244e-06,3.0398588933167048e-05,5.96784011577256e-05,2.0618004782591015e-05,3.803326762863435e-05,2.227631011919584e-05,5.549996785703115e-05,3.493704571155831e-05,2.5511355488561094e-05,1.4298966561909765e-05,6.649761871813098e-06,1.6862501070136204e-05,5.044623321737163e-05,1.629459802643396e-05,1.7123444195021875e-05,1.763448199199047e-05,9.405968012288213e-05,3.660013317130506e-05,2.2338968847179785e-05,1.0640178516041487e-05,6.639346247538924e-05,2.0150850104982965e-05,3.386204843991436e-05,4.648220419767313e-05,5.026530925533734e-05,2.3095695723895915e-05,4.448231993592344e-05,2.1052277588751167e-05,8.976950994110666e-06,3.514170748530887e-05,5.709460674552247e-05,3.789529364439659e-05,1.2922496352985036e-05,2.9269900551298633e-05,1.7280566680710763e-05,2.480186776665505e-05,7.633952918695286e-05
100,5.2802308346144855e-05,0.00023545896692667156,8.388323476538062e-05,0.00022031761182006449,0.00021544481569435447,7.157755317166448e-05,0.0002032420306932181,6.159149052109569e-05,0.0002012429031310603,7.509544229833409e-05,0.00013373188266996294,0.00011202620953554288,0.00017297900922130793,0.0001718499552225694,5.174179023015313e-05,9.101993055082858e-05,6.949889211682603e-05,0.00014375436876434833,8.589976641815156e-05,7.524676038883626e-05,0.00016207176668103784,7.155710773076862e-05,4.65006596641615e-05,6.709557783324271e-05,0.0001449979463359341,9.190708078676835e-05,0.00015335704665631056,0.00015253681340254843,0.00015214670565910637,5.4461779654957354e-05,0.0001517665950814262,5.5562359193572775e-05,0.00011426459968788549,0.00011442422692198306,8.117327524814755e-05,4.198558963253163e-05,0.00014531001215800643,0.00010609747550915927,6.066825517336838e-05,0.0001424316578777507,0.000142178701935336,6.969593960093334e-05,0.0001412920537404716,0.00014054631174076349,5.423650145530701e-05,7.870057743275538e-05,0.0001176658333861269,0.00013894282164983451,7.720097346464172e-05,0.00012694702309090644
200,0.0001429040275979787,0.00011319386976538226,0.00013849955576006323,0.0001562886463943869,9.969877282856032e-05,0.00020722080080304295,0.00012717273784801364,0.00020261493045836687,0.00015562190674245358,0.00019787186465691775,6.133737042546272e-05,0.00017896367353387177,4.678375626099296e-05,8.858165529090911e-05,0.0001689139608060941,0.0001686327304923907,5.808149217045866e-05,0.00016677971871104091,0.00016433832934126258,0.00015749015437904745,6.332134216791019e-05,9.953144035534933e-05,0.00015875391545705497,0.0001587403385201469,0.00015429982158821076,6.495090201497078e-05,9.914889233186841e-05,8.095762314042076e-05,0.0001071065416908823,0.00011020716920029372,8.209179213736206e-05,0.00015029337373562157,4.495676694205031e-05,0.00014700488827656955,5.5115764553193e-05,0.00014533186913467944,4.951476876158267e-05,9.413495718035847e-05,0.0001438458712073043,6.813017535023391e-05,5.209382652537897e-05,0.00014183719758875668,0.00012264341057743877,6.76464187563397e-05,0.00014039080997463316,0.0001397511368850246,0.00013972166925668716,5.729026815970428e-05,0.00013698865950573236,6.061531894374639e-05
300,0.0002549274358898401,8.404029358644038e-05,0.00022555975010618567,9.796916856430471e-05,8.034152415348217e-05,8.699190220795572e-05,9.76097653619945e-05,8.50973156047985e-05,8.312252612086013e-05,6.49488574708812e-05,0.00018243696831632406,8.124870510073379e-05,0.000148438208270818,8.857813372742385e-05,8.76946869539097e-05,0.00015448714839294553,0.00016704545123502612,6.002481313771568e-05,4.751683445647359e-05,0.00016214580682571977,7.81785201979801e-05,0.00016120914369821548,7.264855230459943e-05,6.771625339752063e-05,0.00012720836093649268,0.00012914568651467562,0.00010382072650827467,7.863032078603283e-05,0.00010134138574358076,7.563050166936591e-05,0.0001241456193383783,5.473247802001424e-05,0.00014869446749798954,8.208050712710246e-05,9.979312744690105e-05,0.00014253453991841525,5.136408071848564e-05,0.00014429404109250754,5.096760651213117e-05,6.119871977716684e-05,0.00010120733350049704,7.456650928361341e-05,4.718296622741036e-05,0.00014027333236299455,0.0001030978819471784,5.3834337450098246e-05,6.309817399596795e-05,5.951227285549976e-05,4.734136018669233e-05,6.970611138967797e-05
400,4.150742825004272e-05,2.982652404170949e-05,0.00010916730388998985,4.125043415115215e-05,7.193774217739701e-05,3.412830119486898e-05,4.214492946630344e-05,5.341351425158791e-05,0.00013503312948159873,2.8235765057615936e-05,3.3011707273544744e-05,3.74707487935666e-05,2.1974874471197836e-05,2.972671609313693e-05,5.9129415603820235e-05,6.829857011325657e-05,4.629537579603493e-05,5.676216824213043e-05,2.5223167540389113e-05,6.479991861851886e-05,4.9429665523348376e-05,3.485669003566727e-05,4.575318598654121e-05,7.521858788095415e-05,4.1275608964497223e-05,5.599844007520005e-05,5.0837217713706195e-05,7.30742685846053e-05,3.454647594480775e-05,5.1434337365208194e-05,5.7717123127076775e-05,5.5926495406311005e-05,3.5590335755841807e-05,9.133222920354456e-05,2.8992608349653892e-05,7.015013397904113e-05,4.420889672474004e-05,0.0001349452941212803,4.934886237606406e-05,7.362734322668985e-05,3.624105011112988e-05,6.09466660534963e-05,4.745398837258108e-05,3.3547592465765774e-05,8.463527774438262e-05,2.9331828045542352e-05,4.344838089309633e-05,8.984182932181284e-05,3.80717174266465e-05,2.585372385510709e-05
500,6.167829997139052e-05,2.973563823616132e-05,5.7056095101870596e-05,3.078431109315716e-05,2.9971106414450333e-05,4.141680619795807e-05,3.0695311579620466e-05,4.380255631986074e-05,4.3882799218408763e-05,6.719738303218037e-05,2.7386438887333497e-05,2.950426278403029e-05,4.448977779247798e-05,6.446964835049585e-05,2.6226080080959946e-05,5.284422149998136e-05,2.5026005459949374e-05,5.023935227654874e-05,2.890879477490671e-05,4.0162893128581345e-05,2.501254311937373e-05,3.6332923627924174e-05,4.11721775890328e-05,5.5193966545630246e-05,2.8252903575776145e-05,5.3876319725532085e-05,3.2265394111163914e-05,7.42670672480017e-05,6.0991882492089644e-05,4.721994264400564e-05,5.259535100776702e-05,4.421232733875513e-05,7.896024908404797e-05,4.2484101868467405e-05,3.977830783696845e-05,4.499419446801767e-05,5.650610910379328e-05,4.273685408406891e-05,5.692183549399488e-05,4.6646113332826644e-05,2.4705150281079113e-05,2.997370029333979e-05,5.5413514928659424e-05,3.003303390869405e-05,3.7836143746972084e-05,2.6823492589755915e-05,4.644309592549689e-05,5.073314605397172e-05,4.548471042653546e-05,4.498344424064271e-05
600,3.295157875982113e-05,3.1927538657328114e-05,3.175000165356323e-05,3.0010463888174854e-05,0.00011256132711423561,3.6069483030587435e-05,5.808603600598872e-05,3.7553065340034664e-05,3.383754301466979e-05,4.8457553930347785e-05,3.5483524698065594e-05,3.1717812817078084e-05,2.5870655008475296e-05,3.897011265507899e-05,4.065335451741703e-05,4.29595893365331e-05,6.911595846759155e-05,6.248157296795398e-05,4.009743861388415e-05,3.789850961766206e-05,3.8956099160714075e-05,3.273269976489246e-05,3.00348037853837e-05,3.170707350363955e-05,2.5435530915274285e-05,5.7082266721408814e-05,6.449029024224728e-05,3.540797843015753e-05,0.00012252434680704027,4.709300264948979e-05,3.138281681458466e-05,7.392410043394193e-05,3.8386038795579225e-05,6.062467218725942e-05,4.962534876540303e-05,3.8152495108079165e-05,3.6277793697081506e-05,0.00010830794781213626,3.41120503435377e-05,3.832941729342565e-05,2.8606820706045255e-05,4.761304080602713e-05,4.5990127546247095e-05,4.07245934184175e-05,2.8044347345712595e-05,2.6607651307131164e-05,3.2666695915395394e-05,4.295863618608564e-05,6.316717190202326e-05,3.68895816791337e-05
700,5.998265987727791e-05,3.199064303771593e-05,4.109497967874631e-05,4.4607095333049074e-05,3.610314161051065e-05,4.0853366954252124e-05,3.866967381327413e-05,4.635905133909546e-05,3.4054031857522205e-05,3.8188645703485236e-05,3.630297214840539e-05,3.274255504948087e-05,3.37028359354008e-05,3.800167905865237e-05,9.440560825169086e-05,3.5119297535857186e-05,5.26630028616637e-05,4.9131765990750864e-05,3.3102143788710237e-05,8.26967298053205e-05,3.375394589966163e-05,4.86791213916149e-05,3.107708107563667e-05,3.8212114304769784e-05,5.5860971770016477e-05,3.396001920918934e-05,4.213106512906961e-05,4.0623162931296974e-05,7.171582547016442e-05,5.325184247340076e-05,8.030285243876278e-05,2.8570500944624655e-05,4.768441795022227e-05,2.7456706447992474e-05,4.6170371206244454e-05,3.736787766683847e-05,4.626492955139838e-05,5.628869985230267e-05,3.79937409888953e-05,5.5896962294355035e-05,4.477636321098544e-05,4.874431760981679e-05,4.518971763900481e-05,5.3257146646501496e-05,8.492726919939741e-05,5.488121314556338e-05,4.260532296029851e-05,3.784628279390745e-05,4.737559356726706e-05,3.807629764196463e-05
800,2.730111009441316e-05,4.3528380047064275e-05,9.041788871400058e-05,8.902452100301161e-05,2.75369511655299e-05,3.8643411244265735e-05,3.386820753803477e-05,4.372005787445232e-05,3.12966549245175e-05,3.814847150351852e-05,5.5829863413237035e-05,3.2621763239149004e-05,3.088642188231461e-05,6.055664925952442e-05,6.912859680596739e-05,9.425334428669885e-05,2.5847739379969425e-05,6.168837717268616e-05,5.5008385970722884e-05,4.8752543079899624e-05,5.1044778956566006e-05,4.623052154784091e-05,3.504259075270966e-05,3.59846162609756e-05,5.8622612414183095e-05,3.9210943214129657e-05,3.39908801834099e-05,3.296652721473947e-05,4.200591138214804e-05,3.6501656722975895e-05,2.9336861189221963e-05,4.307140625314787e-05,4.325180998421274e-05,3.970926263718866e-05,3.5954999475507066e-05,3.140265107504092e-05,7.261701102834195e-05,4.06151229981333e-05,2.7159712772117928e-05,2.2628162696491927e-05,3.0484359740512446e-05,3.9494250813731924e-05,3.1300736736739054e-05,7.994126644916832e-05,3.863743768306449e-05,2.8782118533854373e-05,8.549218910047784e-05,3.831348294625059e-05,3.523239502101205e-05,3.124994327663444e-05
900,4.552762402454391e-05,2.4630217012600042e-05,3.7401980080176145e-05,3.166309033986181e-05,3.560929326340556e-05,6.451775698224083e-05,2.3881713786977343e-05,3.107894735876471e-05,6.723561091348529e-05,2.3711749236099422e-05,3.584976730053313e-05,5.0841910706367344e-05,6.206228863447905e-05,4.3743959395214915e-05,2.8851118258899078e-05,5.11208017996978e-05,4.3339867261238396e-05,3.151569762849249e-05,6.01178799115587e-05,4.866010931436904e-05,3.191359428456053e-05,4.859275577473454e-05,3.348466634633951e-05,3.1913888960843906e-05,6.129797111498192e-05,5.5114600399974734e-05,5.699344546883367e-05,3.5958491935161874e-05,8.70087169460021e-05,4.38830757047981e-05,4.940085636917502e-05,5.9968508139718324e-05,4.898663974017836e-05,3.248540451750159e-05,3.0854651413392276e-05,4.89015546918381e-05,3.44076834153384e-05,2.6436169719090685e-05,5.037662049289793e-05,2.917941310442984e-05,4.1404149669688195e-05,4.1082479583565146e-05,6.602464418392628e-05,3.937336805392988e-05,3.6104618629906327e-05,1.986095776373986e-05,4.8776022595120594e-05,6.949671660549939e-05,2.9009763238718733e-05,4.1669489291962236e-05
