step,channel_1126,channel_1947,channel_2254,channel_2685,channel_2258,channel_432,channel_4003,channel_2744,channel_4383,channel_254,channel_3786,channel_3570,channel_3634,channel_272,channel_4171,channel_2673,channel_1858,channel_4043,channel_359,channel_3287,channel_1222,channel_4746,channel_2739,channel_3182,channel_2767,channel_1207,channel_2972,channel_2883,channel_3626,channel_4473,channel_1473,channel_3863,channel_3855,channel_2379,channel_4388,channel_414,channel_364,channel_2100,channel_291,channel_2447,channel_1198,channel_2455,channel_2481,channel_2245,channel_448,channel_2906,channel_3054,channel_2471,channel_796,channel_3462
0,1.4434053809964098e-06,1.796034098333621e-06,1.363400087939226e-06,6.8848721639369614e-06,2.515185997253866e-06,2.2923895812709816e-06,1.3956646398582961e-06,3.7990944292687345e-06,1.9053566120419418e-06,2.0526706521195592e-06,9.248149581253529e-06,9.452714380131511e-07,2.342459083592985e-06,5.677692115568789e-06,8.207039172702935e-06,3.6649955745815532e-06,2.677607881196309e-06,1.521418766969873e-06,1.475250883231638e-06,2.336062152608065e-06,3.907609425368719e-06,1.247092654921289e-06,7.10451331542572e-06,1.5688817711634329e-06,2.0843185666308273e-06,2.31368562708667e-06,1.0028738870460074e-05,3.4427853279339615e-06,4.71563089377014e-06,4.661791535909288e-06,3.7763365980936214e-06,9.294910341850482e-06,1.1553706826816779e-06,9.528580449114088e-06,2.4215541998273693e-06,4.381697635835735e-06,5.227866495260969e-06,2.3979459911060985e-06,6.281745299929753e-06,1.546523208162398e-06,4.489878392632818e-06,3.93190020986367e-06,2.3332625005423324e-06,1.665959302954434e-06,3.0222361147025367e-06,2.606848056529998e-06,2.934817530331202e-06,1.7777360881154891e-06,1.1868624824273866e-05,3.3191784041264327e-06
100,3.3282747153862147e-06,6.056389793229755e-06,6.606601800740464e-06,4.3789727897092234e-06,4.547281605482567e-06,7.5725092756329104e-06,7.053102308418602e-06,7.763091161905322e-06,6.464202670031227e-06,8.834801519697066e-06,9.178551408695057e-06,8.818467904347926e-06,8.586976946389768e-06,8.665360837767366e-06,9.78706702881027e-06,5.959558620816097e-06,9.914200745697599e-06,6.376567853294546e-06,7.66188259149203e-06,1.0118594218511134e-05,6.2895014707464725e-06,1.014779172692215e-05,1.0610793651721906e-05,8.168771273631137e-06,1.1217425708309747e-05,1.0062499313789885e-05,1.1502186680445448e-05,1.1662012184388004e-05,9.134736501437146e-06,7.1167878559208475e-06,7.92073205957422e-06,9.766683433554135e-06,9.399432201462332e-06,6.1603341237059794e-06,1.2322379006945994e-05,1.2356570550764445e-05,9.854315976554062e-06,7.648740393051412e-06,8.572133083362132e-06,9.934709851222578e-06,1.0850645594473463e-05,1.1237378203077242e-05,1.053540654538665e-05,1.2108694136259146e-05,5.97803318669321e-06,7.097365596564487e-06,6.7315040723769926e-06,8.88869271875592e-06,7.652997737750411e-06,1.3166499229555484e-05
200,2.8314800601947354e-06,4.891741809842642e-06,5.585325197898783e-06,5.1735473789449316e-06,6.531427061418071e-06,5.976598458801163e-06,8.666912435728591e-06,5.6580629461677745e-06,8.766059181652963e-06,9.071401109395083e-06,8.757453542784788e-06,4.024801000923617e-06,7.702637958573177e-06,6.333884812192991e-06,7.845746040402446e-06,9.36601009016158e-06,4.906194135401165e-06,9.994876563723665e-06,8.369903298444115e-06,5.88843931836891e-06,8.467320185445715e-06,1.0026370546256658e-05,7.926963917270768e-06,7.314216873055557e-06,7.563270628452301e-06,1.0656406630005222e-05,8.706841072125826e-06,6.974785264901584e-06,1.1663348232104909e-05,1.1109926163044292e-05,1.0145629858016036e-05,1.1814009667432401e-05,6.4682785705372225e-06,9.39401434152387e-06,6.549452336912509e-06,6.990525434957817e-06,7.24943311070092e-06,8.683382475282997e-06,8.672644071339164e-06,7.948649908939842e-06,7.976110282470472e-06,8.900036846171133e-06,7.12541259417776e-06,6.1134273892093915e-06,1.2883332601631992e-05,9.227202099282295e-06,6.074220436858013e-06,1.3088180821796414e-05,7.998538421816193e-06,1.1030424502678216e-05
300,3.267808324380894e-06,4.188927505310858e-06,4.774695753440028e-06,8.066952432272956e-06,8.184673788491637e-06,7.113038464012789e-06,8.137802069541067e-06,7.845043910492677e-06,7.239356818899978e-06,6.519835551443975e-06,9.055264854396228e-06,5.090624199510785e-06,7.41549820304499e-06,6.674828000541311e-06,6.229491191334091e-06,6.11653013038449e-06,5.335440164344618e-06,8.455484021396842e-06,1.0073966222989839e-05,5.75367675992311e-06,6.890546956128674e-06,1.0068292795040179e-05,7.934560017019976e-06,1.0875345651584212e-05,9.324972779722884e-06,9.002529623103328e-06,9.127111297857482e-06,1.0028943506767973e-05,1.1606766747718211e-05,9.244380635209382e-06,1.179387891170336e-05,1.0326909432478715e-05,9.147960554400925e-06,1.1940814147237688e-05,8.410786904278211e-06,6.810736977058696e-06,9.878328455670271e-06,7.71349914430175e-06,1.2693485587078612e-05,6.014649443386588e-06,9.032843991008122e-06,1.2788755157089327e-05,8.424314728472382e-06,1.2848436199419666e-05,9.58666714723222e-06,9.707405297376681e-06,5.556768883252516e-06,6.793778538849438e-06,9.734534614835866e-06,8.725271072762553e-06
400,1.255616439266305e-06,3.849354015983408e-06,3.033356961168465e-06,3.373480012669461e-06,3.6846950024482794e-06,4.7585685933881905e-06,4.439956228452502e-06,8.695178621564992e-06,3.2581920095253736e-06,3.348832024130388e-06,6.6823108682001475e-06,3.7495267406484345e-06,6.2670874285686295e-06,6.781256161048077e-06,6.0588072301470675e-06,5.9985072766721714e-06,2.821588850565604e-06,4.599908152158605e-06,4.273717877367744e-06,9.173037142318208e-06,6.856836080260109e-06,1.0342807399865706e-05,3.723080226336606e-06,7.346272013819544e-06,3.958944034820888e-06,6.450536147895036e-06,1.1646287930489052e-05,4.624664143193513e-06,6.7883879637520295e-06,4.894077392236795e-06,7.267328328453004e-06,5.8521927712718025e-06,7.779696716170292e-06,4.486280431592604e-06,4.9769018914958e-06,4.472285581869073e-06,5.47899617231451e-06,3.867619398079114e-06,6.592196768906433e-06,7.012706646492006e-06,5.440644144982798e-06,6.872842277516611e-06,3.5547259358281735e-06,3.1075894639798207e-06,1.2426773537299596e-05,5.2628984121838585e-06,3.740272632057895e-06,6.431905148929218e-06,8.221545613196213e-06,6.513175321742892e-06
500,1.3765886706096353e-06,1.8431758235237794e-06,2.0639806734834565e-06,3.823605766228866e-06,2.6010773126472486e-06,3.904456661985023e-06,3.650659891718533e-06,3.1409776966029312e-06,4.9374020818504505e-06,3.2590785394859267e-06,3.0196829357009847e-06,2.893522832891904e-06,4.798198460775893e-06,3.211564944649581e-06,3.3235278351639863e-06,3.7497027278732276e-06,2.860317181330174e-06,3.952718998334603e-06,6.777403996238718e-06,2.6264226562489057e-06,2.6948364393319935e-06,5.056753252574708e-06,3.899777311744401e-06,3.849342647299636e-06,2.9353163881751243e-06,3.005549615409109e-06,5.126678843225818e-06,3.8115667848614976e-06,3.0307069209811743e-06,3.5645825846586376e-06,4.125417035538703e-06,3.0291214443423087e-06,4.107897893845802e-06,4.458388957573334e-06,5.434925697045401e-06,4.318992523622001e-06,3.7415939004858956e-06,6.508815204142593e-06,5.037756181991426e-06,4.160202934144763e-06,4.547417574940482e-06,4.190155777905602e-06,2.519020199542865e-06,1.0520821888349019e-05,3.455673322605435e-06,5.913295808568364e-06,2.7788682928076014e-06,5.0508524509496056e-06,9.502714419795666e-06,3.8710782064299565e-06
600,1.2118598533561453e-06,3.388541472304496e-06,5.263488219497958e-06,5.258218152448535e-06,3.793282076003379e-06,7.1443287197325844e-06,3.5511873193172505e-06,2.735803036557627e-06,3.007925442943815e-06,2.658137873368105e-06,2.870725666070939e-06,3.1077452149474993e-06,4.990443812857848e-06,3.6666040159616387e-06,7.447109965141863e-06,3.476976417005062e-06,3.684611783683067e-06,4.388375145936152e-06,4.610040832631057e-06,4.032519427710213e-06,4.233424078847747e-06,4.305668426241027e-06,5.41386725672055e-06,6.160609245853266e-06,3.6926201119058533e-06,2.7334292553859996e-06,3.865269718517084e-06,2.6890995741268853e-06,4.090401944267796e-06,4.578259449772304e-06,5.381225037126569e-06,1.1817562153737526e-05,3.6220824313204503e-06,4.4255702960072085e-06,3.615405148593709e-06,3.7844024518562946e-06,4.505251126829535e-06,4.2169372136413585e-06,6.288265922194114e-06,6.584055427083513e-06,3.4310346563870553e-06,5.392736511566909e-06,4.287199772079475e-06,5.258098099147901e-06,3.394409532120335e-06,3.707199084601598e-06,3.630565061030211e-06,5.912063443247462e-06,5.126209089212352e-06,6.77622028888436e-06
700,3.4176453027612297e-06,5.374517058953643e-06,6.482837761723204e-06,5.230666829447728e-06,3.092729230047553e-06,6.091358955018222e-06,2.5235999601136427e-06,2.937676072178874e-06,6.6038828663295135e-06,3.424096348680905e-06,7.102050403773319e-06,2.643295601956197e-06,7.803604603395797e-06,4.495331722864648e-06,3.206934252375504e-06,4.82586256111972e-06,2.408116870356025e-06,5.495578079717234e-06,2.899242190324003e-06,5.6185467656177934e-06,1.0284735253662802e-05,6.7900300564360805e-06,3.674161462186021e-06,6.3844431679171976e-06,4.0499917304259725e-06,7.031076165731065e-06,1.0134670446859673e-05,5.795629931526491e-06,7.845052095944993e-06,1.1741998605430126e-05,8.34256388770882e-06,1.1045672181353439e-05,1.0522271622903645e-05,5.078811227576807e-06,4.341246949479682e-06,8.913299097912386e-06,1.1540264495124575e-05,4.6811214815534186e-06,8.175889888661914e-06,5.84351164434338e-06,4.568469194055069e-06,6.377946192515083e-06,4.226955297781387e-06,4.887081558990758e-06,6.066884452593513e-06,3.4500558285799343e-06,1.29993750306312e-05,5.088020316179609e-06,7.75284570408985e-06,8.461533980153035e-06
800,1.1741175285351346e-06,2.3153684196586255e-06,2.9182765501900576e-06,2.9898606044298504e-06,1.932381564984098e-06,3.2189714147534687e-06,4.0214617911260575e-06,4.243956482241629e-06,3.948875473724911e-06,3.579496933525661e-06,6.431365363823716e-06,2.086486801999854e-06,4.237841494614258e-06,3.2473274131916696e-06,3.2287539397657383e-06,4.6440968617389444e-06,2.100102619806421e-06,4.297670329833636e-06,4.2499650589888915e-06,3.5061877952102805e-06,3.7662789509340655e-06,6.611194294237066e-06,3.6771823488379596e-06,4.596929557010299e-06,2.816708729369566e-06,4.91629725729581e-06,3.0485914521705126e-06,3.251069301768439e-06,5.2597379180951975e-06,3.688061951834243e-06,5.833516297570895e-06,4.372773673821939e-06,3.825379735644674e-06,5.9222256822977215e-06,7.407989869534504e-06,4.70896202386939e-06,4.946152330376208e-06,3.066450290134526e-06,5.8253890529158525e-06,9.618655894882977e-06,2.5464273676334415e-06,4.240943781042006e-06,1.9554786376829725e-06,3.356936076670536e-06,3.343347543705022e-06,3.5503071558196098e-06,5.260199941403698e-06,4.683107817982091e-06,5.5919749684107956e-06,7.1725376074027736e-06
900,1.1989252470812062e-06,2.500191385479411e-06,2.6945190256810747e-06,4.152402652835008e-06,2.2807055302109802e-06,4.558143700705841e-06,4.255091425875435e-06,3.547556161720422e-06,4.666841505240882e-06,3.0449127734755166e-06,3.0537685233866796e-06,3.1976592254068237e-06,4.2934871089528315e-06,3.0948162930144463e-06,3.837419171759393e-06,4.296593942854088e-06,5.245650754659437e-06,2.982877504109638e-06,5.479132596519776e-06,5.1200768211856484e-06,3.577362804207951e-06,5.874064754607389e-06,2.7380983738112263e-06,3.80443225367344e-06,3.5370210298424354e-06,3.586176489989157e-06,5.107714969199151e-06,4.530347268882906e-06,4.680603069573408e-06,5.716454779758351e-06,7.96180665929569e-06,6.157247298688162e-06,5.0249177547812e-06,3.5077482607448474e-06,4.687768978328677e-06,4.1645039345894475e-06,3.7077472825330915e-06,7.706002179475036e-06,4.119489403819898e-06,3.909730367013253e-06,4.570267265080474e-06,8.295808584080078e-06,3.421324208829901e-06,3.6688179534394294e-06,3.885508249368286e-06,4.709245786216343e-06,8.289000106742606e-06,2.875304517147015e-06,5.0819658099499065e-06,5.735374088544631e-06
